"abu","acum_busd","acum_busd_val","acum_val","asd","auk","bs","bu","bu-sd","bu-sd_val","c","date","datetime","h","l","o","pbu","psd","puk","rbu","rsd","ruk","sb","sd","sum_vol","total_vol","uk","val","val_bu","val_sd","val_uk"
12069.6,206000,5401880000,5487474300,1060.9,143.5,Infinity,206000,206000,5401880000,23.7,"2022-12-07T09:00:00.000Z",1670403600000,26.3,23.7,25.5,100,0,0,17.1,,,0,,206000,51500,,5401880000,5401880000,,
12069.6,204400,5363960000,5496954300,1060.9,143.5,0,,-1600,-37920000,23.7,"2022-12-07T09:02:00.000Z",1670403720000,23.7,23.7,23.7,0,100,0,,1.5,,Infinity,1600,1600,51900,,37920000,,37920000,
12069.6,201400,5291360000,5569575000,1060.9,143.5,0,,-3000,-72600000,24.2,"2022-12-07T09:12:00.000Z",1670404320000,24.2,24.2,24.2,0,100,0,,2.8,,Infinity,3000,3000,3000,,72600000,,72600000,
12069.6,201200,5286520000,5574415000,1060.9,143.5,0,,-200,-4840000,24.2,"2022-12-07T09:14:00.000Z",1670404440000,24.2,24.2,24.2,0,100,0,,0.2,,Infinity,200,200,3200,,4840000,,4840000,
12069.6,197500,5284017200,5642175000,1060.9,143.5,0,,-3700,-2502800,24.2,"2022-12-07T09:16:00.000Z",1670404560000,24.2,23,23,0,57.8,42.2,,3.5,18.8,Infinity,3700,6400,6000,2700,67842800,,2502800,65340000
12069.6,197700,5288857200,5647015000,1060.9,143.5,Infinity,200,200,4840000,24.2,"2022-12-07T09:28:00.000Z",1670405280000,24.2,24.2,24.2,100,0,0,0,,,0,,200,6200,,4840000,4840000,,
12069.6,194700,5288788200,2748522000,1060.9,143.5,0,,-3000,-69000,23,"2022-12-07T09:50:00.000Z",1670406600000,23,23,23,0,100,0,,2.8,,Infinity,3000,3000,54300,,69000,,69000,
12069.6,205500,5308378200,5666375000,1060.9,143.5,Infinity,10800,10800,19590000,24.2,"2022-12-07T09:54:00.000Z",1670406840000,24.2,23,23,100,0,0,0.9,,,0,,10800,7000,,19590000,19590000,,
12069.6,205700,5308382800,5680895000,1060.9,143.5,Infinity,200,200,4600,24.2,"2022-12-07T09:58:00.000Z",1670407080000,24.2,23,23,25,0,75,0,,4.2,0,,800,7600,600,14524600,4600,,14520000
12069.6,204800,5286872800,5702405000,1060.9,143.5,0,,-900,-21510000,23.9,"2022-12-07T10:44:00.000Z",1670409840000,23.9,23.9,23.9,0,100,0,,0.8,,Infinity,900,900,8500,,21510000,,21510000,
12069.6,205000,5286877400,2748641600,1060.9,143.5,Infinity,200,200,4600,23,"2022-12-07T10:56:00.000Z",1670410560000,23,23,23,100,0,0,0,,,0,,200,59500,,4600,4600,,
12069.6,261000,5288221400,2749313600,1060.9,143.5,Infinity,56000,56000,1344000,24,"2022-12-07T11:02:00.000Z",1670410920000,24,24,24,100,0,0,4.6,,,0,,56000,87500,,1344000,1344000,,
12069.6,260700,5280991400,5709635000,1060.9,143.5,0,,-300,-7230000,24.1,"2022-12-07T11:08:00.000Z",1670411280000,24.1,24.1,24.1,0,100,0,,0.3,,Infinity,300,300,8800,,7230000,,7230000,
12069.6,260500,5276211400,5714415000,1060.9,143.5,0,,-200,-4780000,23.9,"2022-12-07T11:12:00.000Z",1670411520000,23.9,23.9,23.9,0,100,0,,0.2,,Infinity,200,200,9000,,4780000,,4780000,
12069.6,259200,5245271400,5745355000,1060.9,143.5,0,,-1300,-30940000,23.8,"2022-12-07T11:14:00.000Z",1670411640000,23.8,23.8,23.8,0,100,0,,1.2,,Infinity,1300,1300,10300,,30940000,,30940000,
12069.6,259300,5247911400,5875435000,1060.9,143.5,1,2800,100,2639999.9999999925,23.6,"2022-12-07T13:20:00.000Z",1670419200000,23.7,23.6,23.7,50.9,49.1,0,0.2,2.5,,1,2700,5500,15800,,130080000,66360000,63720000.00000001,
12069.6,259200,5245541400,5896765000,1060.9,143.5,0.8,400,-100,-2370000,23.7,"2022-12-07T13:26:00.000Z",1670419560000,23.7,23.7,23.7,44.4,55.6,0,0,0.5,,1.3,500,900,16700,,21330000,9480000,11850000,
12069.6,259100,5243161400,5899145000,1060.9,143.5,0,,-100,-2380000,23.8,"2022-12-07T13:52:00.000Z",1670421120000,23.8,23.8,23.8,0,100,0,,0.1,,Infinity,100,100,16800,,2380000,,2380000,
12069.6,255100,5148361400,5993945000,1060.9,143.5,0,,-4000,-94800000,23.7,"2022-12-07T14:28:00.000Z",1670423280000,23.7,23.7,23.7,0,100,0,,3.8,,Infinity,4000,4000,20800,,94800000,,94800000,
12069.6,252900,5097541400,2774723600,1060.9,143.5,0,,-2200,-50820000,23.1,"2022-12-07T14:38:00.000Z",1670423880000,23.1,23.1,23.1,0,100,0,,2.1,,Infinity,2200,2200,88600,,50820000,,50820000,
12069.6,252700,5092921400,2777033600,1060.9,143.5,0,,-200,-4620000,23.1,"2022-12-07T14:44:00.000Z",1670424240000,23.1,23.1,23.1,0,100,0,,0.2,,Infinity,200,200,88700,,4620000,,4620000,
12069.6,252200,5081121400,6005745000,1060.9,143.5,0,,-500,-11800000,23.6,"2022-12-07T14:46:00.000Z",1670424360000,23.6,23.6,23.6,0,100,0,,0.5,,Infinity,500,500,21300,,11800000,,11800000,
12069.6,253200,5104821400,6029445000,1060.9,143.5,Infinity,1000,1000,23700000,23.7,"2022-12-07T14:58:00.000Z",1670425080000,23.7,23.7,23.7,100,0,0,0.1,,,0,,1000,22300,,23700000,23700000,,
