"abu","acum_busd","acum_busd_val","acum_val_bu","acum_val_sd","acum_val","avg_val_bu","avg_val_sd","rbusd","asd","auk","bs","bu","bu-sd","bu-sd_val","c","date","datetime","h","l","o","pbu","psd","puk","rbu","rsd","ruk","sb","sd","sum_vol","total_vol","uk","val","val_bu","val_sd","val_uk"
28223.9,113900,4129013000,4347592000,218579000,44059751000,846007793.5,771845080.4,55.7,27956.5,697.8,4.8,143700,113900,4129013000,31.45,"2022-12-07T09:15:00.000Z",1670404500000,31.9,30,30.2,82.7,17.2,0.1,5.1,1.1,0.3,0.2,29800,173700,17900,200,4572461000,4347592000,218579000,6290000
28223.9,83600,3988495000,4974792000,986297000,44572241000,846007793.5,771845080.4,-1.9,27956.5,697.8,0.4,20400,-30300,-140518000,31.55,"2022-12-07T09:20:00.000Z",1670404800000,31.9,30,30.1,28.2,70,1.8,0.7,1.8,1.9,2.5,50700,72400,34100,1300,1434798000,627200000,767718000,39880000
28223.9,95700,4355993000,5501888000,1145895000,45163041000,846007793.5,771845080.4,5,27956.5,697.8,3.1,17900,12100,367498000,31.6,"2022-12-07T09:25:00.000Z",1670405100000,31.6,29.95,30,75.5,24.5,0,0.6,0.2,,0.3,5800,23700,52800,,686694000,527096000,159598000,
28223.9,33600,2346526000,5817196000,3470670000,47316616000,846007793.5,771845080.4,-27.1,27956.5,697.8,0.2,12100,-62100,-2009467000,31.45,"2022-12-07T09:30:00.000Z",1670405400000,31.55,29.95,29.95,13.8,84.9,1.3,0.4,2.7,1.6,6.1,74200,87400,121200,1100,2674753000,315308000,2324775000,34670000
28223.9,46900,2751981000,6503271000,3751290000,47804291000,846007793.5,771845080.4,5.5,27956.5,697.8,2.5,22400,13300,405455000,31.5,"2022-12-07T09:35:00.000Z",1670405700000,31.5,29.9,29.95,71.1,28.9,0,0.8,0.3,,0.4,9100,31500,136700,,966695000,686075000,280620000,
28223.9,82800,3739761000,7672466000,3932705000,47921071000,846007793.5,771845080.4,13.3,27956.5,697.8,7,41900,35900,987780000,31.6,"2022-12-07T09:40:00.000Z",1670406000000,31.6,29.9,29.95,87.5,12.5,0,1.5,0.2,,0.1,6000,47900,140400,,1350610000,1169195000,181415000,
28223.9,87600,3906241000,8153576000,4247335000,48369761000,846007793.5,771845080.4,2.2,27956.5,697.8,1.5,15300,4800,166480000,31.6,"2022-12-07T09:45:00.000Z",1670406300000,31.6,29.85,29.95,59.3,40.7,0,0.5,0.4,,0.7,10500,25800,154600,,795740000,481110000,314630000,
28223.9,90600,3991616000,8456991000,4465375000,48723776000,846007793.5,771845080.4,1.2,27956.5,697.8,1.4,9900,3000,85375000,31.6,"2022-12-07T09:50:00.000Z",1670406600000,31.65,29.9,29.9,58.9,41.1,0,0.4,0.2,,0.7,6900,16800,165800,,521455000,303415000,218040000,
28223.9,103000,4366826000,9044291000,4677465000,48805926000,846007793.5,771845080.4,5.1,27956.5,697.8,2.7,19500,12400,375210000,31.6,"2022-12-07T09:55:00.000Z",1670406900000,31.6,29.8,29.9,73.3,26.7,0,0.7,0.3,,0.4,7100,26600,168400,,799390000,587300000,212090000,
28223.9,68600,3295061000,9395546000,6100485000,50182306000,846007793.5,771845080.4,-14.5,27956.5,697.8,0.2,11400,-34400,-1071765000,31.45,"2022-12-07T10:00:00.000Z",1670407200000,31.7,29.8,29.9,18.9,76,5.1,0.4,1.6,4.4,4,45800,60300,212100,3100,1871770000,351255000,1423020000,97495000
28223.9,48700,2722401000,9789096000,7066695000,50537996000,846007793.5,771845080.4,-7.7,27956.5,697.8,0.4,12700,-19900,-572660000,31.4,"2022-12-07T10:05:00.000Z",1670407500000,31.5,29.4,29.7,28,72,0,0.4,1.2,,2.6,32600,45300,223400,,1359760000,393550000,966210000,
28223.9,57800,3009311000,10363386000,7354075000,50888076000,846007793.5,771845080.4,3.9,27956.5,697.8,1.9,18800,9100,286910000,31.5,"2022-12-07T10:10:00.000Z",1670407800000,31.6,29.4,29.4,66,34,0,0.7,0.3,,0.5,9700,28500,234500,,861670000,574290000,287380000,
28223.9,58500,3041201000,11341486000,8300285000,51051871000,846007793.5,771845080.4,0.4,27956.5,697.8,1,32900,700,31890000,31.5,"2022-12-07T10:15:00.000Z",1670408100000,31.5,29.35,29.35,50.5,49.4,0.2,1.2,1.2,0.1,1,32200,65200,239700,100,1927455000,978100000,946210000,3145000
28223.9,58100,3021601000,11667026000,8645425000,51321611000,846007793.5,771845080.4,-0.3,27956.5,697.8,1,10900,-400,-19600000,31.4,"2022-12-07T10:20:00.000Z",1670408400000,31.5,29.45,29.5,49.1,50.9,0,0.4,0.4,,1,11300,22200,248300,,670680000,325540000,345140000,
28223.9,56000,2928336000,12257816000,9329480000,52083156000,846007793.5,771845080.4,-1.3,27956.5,697.8,0.9,19800,-2100,-93265000,31.3,"2022-12-07T10:25:00.000Z",1670408700000,31.5,29.5,29.5,47.5,52.5,0,0.7,0.8,,1.1,21900,41700,272600,,1274845000,590790000,684055000,
28223.9,41200,2492146000,12732051000,10239905000,52572756000,846007793.5,771845080.4,-5.9,27956.5,697.8,0.5,15600,-14800,-436190000,31.3,"2022-12-07T10:30:00.000Z",1670409000000,31.55,29.4,29.5,33.9,66.1,0,0.6,1.1,,1.9,30400,46000,288200,,1384660000,474235000,910425000,
28223.9,31600,2210996000,12919676000,10708680000,52723516000,846007793.5,771845080.4,-3.8,27956.5,697.8,0.4,6200,-9600,-281150000,31.45,"2022-12-07T10:35:00.000Z",1670409300000,31.5,29.35,29.45,28.2,71.8,0,0.2,0.6,,2.5,15800,22000,293000,,656400000,187625000,468775000,
28223.9,30500,2183386000,13326496000,11143110000,52902296000,846007793.5,771845080.4,-0.4,27956.5,697.8,0.9,13600,-1100,-27610000,31.35,"2022-12-07T10:40:00.000Z",1670409600000,31.45,29.25,29.35,47.7,51.6,0.7,0.5,0.5,0.3,1.1,14700,28500,298700,200,847100000,406820000,434430000,5850000
28223.9,30800,2199586000,13765396000,11565810000,53037026000,846007793.5,771845080.4,0.2,27956.5,697.8,1,14700,300,16200000,31.25,"2022-12-07T10:45:00.000Z",1670409900000,31.45,29.3,29.3,50.5,49.5,0,0.5,0.5,,1,14400,29100,303000,,861600000,438900000,422700000,
28223.9,41400,2529696000,14354266000,11824570000,53691226000,846007793.5,771845080.4,4.5,27956.5,697.8,2.3,19000,10600,330110000,31.5,"2022-12-07T10:50:00.000Z",1670410200000,31.55,29.3,29.35,69.3,30.7,0,0.7,0.3,,0.4,8400,27400,323800,,847630000,588870000,258760000,
28223.9,45500,2666506000,15017046000,12350540000,53908576000,846007793.5,771845080.4,1.8,27956.5,697.8,1.2,22100,4100,136810000,31.5,"2022-12-07T10:55:00.000Z",1670410500000,31.5,29.2,29.35,54.8,44.7,0.5,0.8,0.6,0.3,0.8,18000,40300,330700,200,1194610000,662780000,525970000,5860000
28223.9,38800,2490531000,16084361000,13593830000,54447431000,846007793.5,771845080.4,-2.4,27956.5,697.8,0.8,35500,-6700,-175975000,31.4,"2022-12-07T11:00:00.000Z",1670410800000,31.6,29.15,29.3,45.7,54.3,0,1.3,1.5,,1.2,42200,77700,347800,,2310605000,1067315000,1243290000,
28223.9,77200,3638706000,17687191000,14048485000,55033186000,846007793.5,771845080.4,15.5,27956.5,697.8,3.5,53700,38400,1148175000,31.6,"2022-12-07T11:05:00.000Z",1670411100000,31.7,29.2,29.2,77.8,22.2,0,1.9,0.5,,0.3,15300,69000,366400,,2057485000,1602830000,454655000,
28223.9,100000,4311256000,18505641000,14194385000,55247696000,846007793.5,771845080.4,9.1,27956.5,697.8,5.8,27600,22800,672550000,31.5,"2022-12-07T11:10:00.000Z",1670411400000,31.6,29.2,29.2,85.2,14.8,0,1,0.2,,0.2,4800,32400,373200,,964350000,818450000,145900000,
28223.9,153600,5893426000,20210906000,14317480000,55392566000,846007793.5,771845080.4,21.3,27956.5,697.8,14.1,57700,53600,1582170000,31.55,"2022-12-07T11:15:00.000Z",1670411700000,31.55,29.3,29.35,93.4,6.6,0,2,0.1,,0.1,4100,61800,377800,,1828360000,1705265000,123095000,
28223.9,154400,5916846000,20334516000,14417670000,55568846000,846007793.5,771845080.4,0.3,27956.5,697.8,1.3,4000,800,23420000,31.55,"2022-12-07T11:20:00.000Z",1670412000000,31.55,29.7,29.7,55.6,44.4,0,0.1,0.1,,0.8,3200,7200,383400,,223800000,123610000,100190000,
28223.9,189400,7029741000,21784101000,14754360000,57041951000,846007793.5,771845080.4,15,27956.5,697.8,4.2,46100,35000,1112895000,31.7,"2022-12-07T11:25:00.000Z",1670412300000,31.7,29.5,29.6,80.6,19.4,0,1.6,0.4,,0.2,11100,57200,430000,,1786275000,1449585000,336690000,
28223.9,181700,6777051000,22343951000,15566900000,57752031000,846007793.5,771845080.4,-3.4,27956.5,697.8,0.7,18600,-7700,-252690000,31.55,"2022-12-07T13:00:00.000Z",1670418000000,31.7,29.5,29.5,41.4,58.6,0,0.7,0.9,,1.4,26300,44900,452500,,1372390000,559850000,812540000,
28223.9,165500,6268416000,22592121000,16323705000,58615606000,846007793.5,771845080.4,-6.9,27956.5,697.8,0.3,8000,-16200,-508635000,31.5,"2022-12-07T13:05:00.000Z",1670418300000,31.65,29.45,29.5,24.7,74.7,0.6,0.3,0.9,0.3,3,24200,32400,479900,200,1010875000,248170000,756805000,5900000
28223.9,153000,5915846000,22876266000,16960420000,58883826000,846007793.5,771845080.4,-4.8,27956.5,697.8,0.4,9100,-12500,-352570000,31.55,"2022-12-07T13:10:00.000Z",1670418600000,31.6,29.3,29.45,29.6,70.4,0,0.3,0.8,,2.4,21600,30700,488400,,920860000,284145000,636715000,
28223.9,86000,3933271000,23238676000,19305405000,59580671000,846007793.5,771845080.4,-26.7,27956.5,697.8,0.2,11900,-67000,-1982575000,31.3,"2022-12-07T13:15:00.000Z",1670418900000,31.55,29.3,29.3,13.1,86.9,0,0.4,2.8,,6.6,78900,90800,510600,,2707395000,362410000,2344985000,
28223.9,86700,3968731000,23999081000,20030350000,60750351000,846007793.5,771845080.4,0.5,27956.5,697.8,1,24400,700,35460000,31.3,"2022-12-07T13:20:00.000Z",1670419200000,31.5,29.2,29.3,50.7,49.3,0,0.9,0.8,,1,23700,48100,547900,,1485350000,760405000,724945000,
28223.9,94500,4185671000,24918761000,20733090000,61892401000,846007793.5,771845080.4,2.9,27956.5,697.8,1.3,30300,7800,216940000,31.4,"2022-12-07T13:25:00.000Z",1670419500000,31.45,29.2,29.2,57.4,42.6,0,1.1,0.8,,0.7,22500,52800,584300,,1622420000,919680000,702740000,
28223.9,113300,4748971000,25738086000,20989115000,62524606000,846007793.5,771845080.4,7.6,27956.5,697.8,3.3,27000,18800,563300000,31.4,"2022-12-07T13:30:00.000Z",1670419800000,31.5,29.3,29.4,75.2,22.8,1.9,1,0.3,1,0.3,8200,35900,604400,700,1097365000,819325000,256025000,22015000
28223.9,109000,4621731000,26377961000,21756230000,62829656000,846007793.5,771845080.4,-1.7,27956.5,697.8,0.8,21300,-4300,-127240000,31.5,"2022-12-07T13:35:00.000Z",1670420100000,31.5,29.5,29.55,45.4,54.6,0,0.8,0.9,,1.2,25600,46900,614100,,1406990000,639875000,767115000,
28223.9,108700,4641381000,26938716000,22297335000,63512936000,846007793.5,771845080.4,0.3,27956.5,697.8,1,17800,-300,19650000,31.6,"2022-12-07T13:40:00.000Z",1670420400000,31.6,29.45,29.5,49.6,50.4,0,0.6,0.6,,1,18100,35900,635800,,1101860000,560755000,541105000,
28223.9,133100,5342041000,28225791000,22883750000,64175806000,846007793.5,771845080.4,9.4,27956.5,697.8,2.3,43200,24400,700660000,31.3,"2022-12-07T13:45:00.000Z",1670420700000,31.75,29.45,29.45,69.7,30.3,0,1.5,0.7,,0.4,18800,62000,656800,,1873490000,1287075000,586415000,
28223.9,133600,5377576000,28758586000,23381010000,64495691000,846007793.5,771845080.4,0.5,27956.5,697.8,1,17300,500,35535000,31.6,"2022-12-07T13:50:00.000Z",1670421000000,31.7,29.5,29.65,50.7,49.3,0,0.6,0.6,,1,16800,34100,666900,,1030055000,532795000,497260000,
28223.9,161100,6175536000,29902466000,23726930000,64813271000,846007793.5,771845080.4,10.8,27956.5,697.8,3.5,38700,27500,797960000,31.3,"2022-12-07T13:55:00.000Z",1670421300000,31.6,29.4,29.5,77.6,22.4,0,1.4,0.4,,0.3,11200,49900,677000,,1489800000,1143880000,345920000,
