"abu","acum_busd","acum_busd_val","acum_val_bu","acum_val_sd","acum_val","avg_val_bu","avg_val_sd","rbusd","asd","auk","bs","bu","bu-sd","bu-sd_val","c","date","datetime","h","l","o","pbu","psd","puk","rbu","rsd","ruk","sb","sd","sum_vol","total_vol","uk","val","val_bu","val_sd","val_uk"
4563.2,0,0,0,0,3183256600,82313494.7,68688957.9,0,4368.4,694.7,NaN,,0,0,20.9,"2022-12-08T09:15:00.000Z",1670490900000,20.9,20.9,20.9,0,0,100,,,5.2,NaN,,3600,1800,3600,75240000,,,75240000
4563.2,-2000,-42000,0,42000,3183277600,82313494.7,68688957.9,0,4368.4,694.7,0,,-2000,-42000,21,"2022-12-08T09:25:00.000Z",1670491500000,21,21,21,0,100,0,,0.5,,Infinity,2000,2000,2800,,42000,,42000,
4563.2,-8000,-293174000,168000,293342000,3330011600,82313494.7,68688957.9,-21.5,4368.4,694.7,0.6,8000,-6000,-293132000,21,"2022-12-08T09:30:00.000Z",1670491800000,21,20.95,20.95,36.4,63.6,0,1.8,3.2,,1.8,14000,22000,13800,,293468000,168000,293300000,
4563.2,-16200,-305963600,222600,306186200,3336461000,82313494.7,68688957.9,-0.9,4368.4,694.7,0.2,2600,-8200,-12789600,21,"2022-12-08T09:35:00.000Z",1670492100000,21.05,21,21.05,19.4,80.6,0,0.6,2.5,,4.2,10800,13400,20500,,12898800,54600,12844200,
4563.2,-15600,-305951000,235200,306186200,3336467300,82313494.7,68688957.9,0,4368.4,694.7,Infinity,600,600,12600,21,"2022-12-08T09:40:00.000Z",1670492400000,21,21,21,100,0,0,0.1,,,0,,600,20800,,12600,12600,,
4563.2,3000,90229000,396415200,306186200,3534557300,82313494.7,68688957.9,29.1,4368.4,694.7,Infinity,18600,18600,396180000,21.3,"2022-12-08T09:45:00.000Z",1670492700000,21.3,21.3,21.3,100,0,0,4.1,,,0,,18600,30100,,396180000,396180000,,
4563.2,8800,213829000,520015200,306186200,3596357300,82313494.7,68688957.9,9.1,4368.4,694.7,Infinity,5800,5800,123600000,21.45,"2022-12-08T09:50:00.000Z",1670493000000,21.45,21.3,21.3,100,0,0,1.3,,,0,,5800,33000,,123600000,123600000,,
4563.2,1800,64729000,520015200,455286200,3670907300,82313494.7,68688957.9,-10.9,4368.4,694.7,0,,-7000,-149100000,21.3,"2022-12-08T09:55:00.000Z",1670493300000,21.3,21.3,21.3,0,100,0,,1.6,,Infinity,7000,7000,36500,,149100000,,149100000,
4563.2,-1800,-11951000,524275200,536226200,3713507300,82313494.7,68688957.9,-5.6,4368.4,694.7,0.1,200,-3600,-76680000,21.3,"2022-12-08T10:00:00.000Z",1670493600000,21.3,21.3,21.3,5,95,0,0,0.9,,19,3800,4000,38500,,85200000,4260000,80940000,
4563.2,5400,142129000,678355200,536226200,3790547300,82313494.7,68688957.9,11.3,4368.4,694.7,Infinity,7200,7200,154080000,21.4,"2022-12-08T10:10:00.000Z",1670494200000,21.4,21.4,21.4,100,0,0,1.6,,,0,,7200,42100,,154080000,154080000,,
