"abu","acum_busd","acum_busd_val","acum_val","asd","auk","bs","bu","bu-sd","bu-sd_val","c","date","datetime","h","l","o","pbu","psd","puk","rbu","rsd","ruk","sb","sd","sum_vol","total_vol","uk","val","val_bu","val_sd","val_uk"
5110.3,7200,59756000.00000001,4056067000,7164.1,161.5,Infinity,7200,7200,59756000.00000001,8.28,"2022-12-08T09:14:00.000Z",1670490840000,8.3,8.28,8.3,100,0,0,1.4,,,0,,7200,3600,,59756000.00000001,59756000.00000001,,
5110.3,15200,126410000,4105696000,7164.1,161.5,5,10000,8000,66654000,8.3,"2022-12-08T09:18:00.000Z",1670491080000,8.3,8.15,8.16,83.3,16.7,0,2,0.3,,0.2,2000,12000,9600,,99258000,82956000,16302000,
5110.3,19800,164590000,4141386000,7164.1,161.5,3.3,6600,4600,38180000.00000001,8.3,"2022-12-08T09:20:00.000Z",1670491200000,8.3,8.3,8.3,76.7,23.3,0,1.3,0.3,,0.3,2000,8600,13900,,71380000,54780000.00000001,16600000,
5110.3,7800,64990000,4191186000,7164.1,161.5,0,,-12000,-99600000,8.3,"2022-12-08T09:22:00.000Z",1670491320000,8.3,8.3,8.3,0,100,0,,1.7,,Infinity,12000,12000,19900,,99600000,,99600000,
5110.3,7800,64990000,4206126000,7164.1,161.5,NaN,,0,0,8.3,"2022-12-08T09:24:00.000Z",1670491440000,8.3,8.3,8.3,0,0,100,,,22.3,NaN,,3600,21700,3600,29880000,,,29880000
5110.3,16000,133106000,4245108000,7164.1,161.5,14.7,8800,8200,68116000,8.2,"2022-12-08T09:26:00.000Z",1670491560000,8.3,8.2,8.3,93.6,6.4,0,1.7,0.1,,0.1,600,9400,26400,,77964000,73040000,4924000,
5110.3,15800,131460000,4245931000,7164.1,161.5,0,,-200,-1646000,8.23,"2022-12-08T09:38:00.000Z",1670492280000,8.23,8.23,8.23,0,100,0,,0,,Infinity,200,200,26500,,1646000,,1646000,
5110.3,15400,128168000,4247577000,7164.1,161.5,0,,-400,-3292000,8.23,"2022-12-08T09:40:00.000Z",1670492400000,8.23,8.23,8.23,0,100,0,,0.1,,Infinity,400,400,26700,,3292000,,3292000,
5110.3,17000,141490000,4259176000,7164.1,161.5,3.7,2200,1600,13322000,8.3,"2022-12-08T09:42:00.000Z",1670492520000,8.3,8.23,8.23,78.6,21.4,0,0.4,0.1,,0.3,600,2800,28100,,23198000,18260000,4938000,
5110.3,16400,136518000,4263330000,7164.1,161.5,0.3,200,-600,-4972000.000000001,8.34,"2022-12-08T09:48:00.000Z",1670492880000,8.34,8.3,8.3,20,80,0,0,0.1,,4,800,1000,28600,,8308000.000000001,1668000,6640000.000000001,
5110.3,6800,56726000,4303226000,7164.1,161.5,0,,-9600,-79792000,8.3,"2022-12-08T09:50:00.000Z",1670493000000,8.34,8.3,8.34,0,100,0,,1.3,,Infinity,9600,9600,33400,,79792000,,79792000,
5110.3,15200,127078000,4368286000,7164.1,161.5,3.6,11600,8400,70352000,8.39,"2022-12-08T09:54:00.000Z",1670493240000,8.39,8.3,8.3,74.4,20.5,5.1,2.3,0.4,5,0.3,3200,15600,41200,800,130120000,96912000,26560000,6648000
5110.3,15400,128760000,4469925000,7164.1,161.5,1,12200,200,1682000,8.4,"2022-12-08T09:56:00.000Z",1670493360000,8.4,8.39,8.39,50.4,49.6,0,2.4,1.7,,1,12000,24200,53300,,203278000,102480000,100798000,
5110.3,22200,185884000,4572403000,7164.1,161.5,1.8,15600,6800,57124000,8.4,"2022-12-08T09:58:00.000Z",1670493480000,8.4,8.39,8.4,63.9,36.1,0,3.1,1.2,,0.6,8800,24400,65500,,204956000,131040000,73916000,
5110.3,3800,31524000,4649583000,7164.1,161.5,0,,-18400,-154360000,8.35,"2022-12-08T10:00:00.000Z",1670493600000,8.4,8.35,8.4,0,100,0,,2.6,,Infinity,18400,18400,74700,,154360000,,154360000,
5110.3,4400,36564000,4660503000,7164.1,161.5,1.6,1600,600,5040000,8.4,"2022-12-08T10:02:00.000Z",1670493720000,8.4,8.4,8.4,61.5,38.5,0,0.3,0.1,,0.6,1000,2600,76000,,21840000,13440000,8400000,
5110.3,-13000,-109596000,4733583000,7164.1,161.5,0,,-17400,-146160000,8.4,"2022-12-08T10:04:00.000Z",1670493840000,8.4,8.4,8.4,0,100,0,,2.4,,Infinity,17400,17400,84700,,146160000,,146160000,
5110.3,-14200,-119676000,4743663000,7164.1,161.5,0.3,600,-1200,-10080000,8.4,"2022-12-08T10:06:00.000Z",1670493960000,8.4,8.4,8.4,25,75,0,0.1,0.3,,3,1800,2400,85900,,20160000,5040000,15120000,
5110.3,-16400,-138156000,4752903000,7164.1,161.5,0,,-2200,-18480000,8.4,"2022-12-08T10:10:00.000Z",1670494200000,8.4,8.4,8.4,0,100,0,,0.3,,Infinity,2200,2200,87000,,18480000,,18480000,
5110.3,-16600,-139836000,4753743000,7164.1,161.5,0,,-200,-1680000,8.4,"2022-12-08T10:14:00.000Z",1670494440000,8.4,8.4,8.4,0,100,0,,0,,Infinity,200,200,87100,,1680000,,1680000,
5110.3,-17400,-146524000,4757087000,7164.1,161.5,0,,-800,-6688000,8.36,"2022-12-08T10:16:00.000Z",1670494560000,8.36,8.36,8.36,0,100,0,,0.1,,Infinity,800,800,87500,,6688000,,6688000,
5110.3,-18400,-153274000,4929272000,7164.1,161.5,1,20000,-1000,-6750000,8.36,"2022-12-08T10:26:00.000Z",1670495160000,8.48,8.36,8.36,48.8,51.2,0,3.9,2.9,,1.1,21000,41000,108000,,344370000,168810000,175560000,
5110.3,-18200,-151578000,4930120000,7164.1,161.5,Infinity,200,200,1696000,8.48,"2022-12-08T10:36:00.000Z",1670495760000,8.48,8.48,8.48,100,0,0,0,,,0,,200,108100,,1696000,1696000,,
5110.3,-18000,-149882000,4930968000,7164.1,161.5,Infinity,200,200,1696000,8.48,"2022-12-08T10:38:00.000Z",1670495880000,8.48,8.48,8.48,100,0,0,0,,,0,,200,108200,,1696000,1696000,,
5110.3,-17400,-144788000,4933515000,7164.1,161.5,Infinity,600,600,5094000,8.49,"2022-12-08T10:40:00.000Z",1670496000000,8.49,8.49,8.49,100,0,0,0.1,,,0,,600,108500,,5094000,5094000,,
5110.3,2200,21784000,5016801000,7164.1,161.5,Infinity,19600,19600,166572000,8.5,"2022-12-08T10:44:00.000Z",1670496240000,8.5,8.48,8.5,100,0,0,3.8,,,0,,19600,118300,,166572000,166572000,,
5110.3,18200,158584000,5085201000,7164.1,161.5,Infinity,16000,16000,136800000,8.55,"2022-12-08T10:46:00.000Z",1670496360000,8.55,8.55,8.55,100,0,0,3.1,,,0,,16000,126300,,136800000,136800000,,
5110.3,33600,289584000,5200001000,7164.1,161.5,3.7,21200,15400,131000000,8.5,"2022-12-08T10:48:00.000Z",1670496480000,8.55,8.5,8.55,78.5,21.5,0,4.1,0.8,,0.3,5800,27000,139800,,229600000,180300000,49300000,
5110.3,31400,270884000,5226351000,7164.1,161.5,0.5,2000,-2200,-18700000,8.5,"2022-12-08T10:50:00.000Z",1670496600000,8.5,8.5,8.5,32.3,67.7,0,0.4,0.6,,2.1,4200,6200,142900,,52700000,17000000,35700000,
