"abu","acum_busd","acum_busd_val","acum_val_bu","acum_val_sd","acum_val","avg_val_bu","avg_val_sd","rbusd","asd","auk","bs","bu","bu-sd","bu-sd_val","c","date","datetime","h","l","o","pbu","psd","puk","rbu","rsd","ruk","sb","sd","sum_vol","total_vol","uk","val","val_bu","val_sd","val_uk"
3081.5,22000,308000,308000,0,966062000,25505037,8068518.5,0,559.3,2603.7,Infinity,22000,22000,308000,14,"2022-12-08T09:00:00.000Z",1670490000000,14,14,14,100,0,0,7.1,,,0,,22000,11000,,308000,308000,,
3081.5,23000,322000,322000,0,971629000,25505037,8068518.5,0,559.3,2603.7,Infinity,1000,1000,14000,14,"2022-12-08T09:52:00.000Z",1670493120000,14,13.9,13.9,55.6,0,44.4,0.3,,0.3,0,,1800,11900,800,11134000,14000,,11120000
3081.5,24800,25342000,25342000,0,984139000,25505037,8068518.5,1.4,559.3,2603.7,Infinity,1800,1800,25020000,13.9,"2022-12-08T10:32:00.000Z",1670495520000,13.9,13.9,13.9,100,0,0,0.6,,,0,,1800,12800,,25020000,25020000,,
3081.5,24800,25342000,25342000,0,985529000,25505037,8068518.5,0,559.3,2603.7,NaN,,0,0,13.9,"2022-12-08T10:34:00.000Z",1670495640000,13.9,13.9,13.9,0,0,100,,,0.1,NaN,,200,12900,200,2780000,,,2780000
3081.5,34800,162342000,162342000,0,1054029000,25505037,8068518.5,7.9,559.3,2603.7,Infinity,10000,10000,137000000,13.7,"2022-12-08T13:04:00.000Z",1670504640000,13.7,13.7,13.7,100,0,0,3.2,,,0,,10000,17900,,137000000,137000000,,
3081.5,38600,215162000,215162000,0,1080439000,25505037,8068518.5,3,559.3,2603.7,Infinity,3800,3800,52820000,13.9,"2022-12-08T13:06:00.000Z",1670504760000,13.9,13.9,13.9,100,0,0,1.2,,,0,,3800,19800,,52820000,52820000,,
3081.5,34600,160362000,215162000,54800000,1107839000,25505037,8068518.5,3.1,559.3,2603.7,0,,-4000,-54800000,13.7,"2022-12-08T13:12:00.000Z",1670505120000,13.7,13.7,13.7,0,100,0,,7.2,,Infinity,4000,4000,21800,,54800000,,54800000,
3081.5,46600,160530000,215330000,54800000,1107923000,25505037,8068518.5,0,559.3,2603.7,Infinity,12000,12000,168000,14,"2022-12-08T13:14:00.000Z",1670505240000,14,14,14,100,0,0,3.9,,,0,,12000,27800,,168000,168000,,
3081.5,50200,212730000,282030000,69300000,1148523000,25505037,8068518.5,3,559.3,2603.7,4.6,4600,3600,52200000,14.5,"2022-12-08T13:16:00.000Z",1670505360000,14.5,14.5,14.5,82.1,17.9,0,1.5,1.8,,0.2,1000,5600,30600,,81200000,66700000,14500000,
3081.5,56000,292656000,373796000,81140000,1200326000,25505037,8068518.5,4.6,559.3,2603.7,8.3,6600,5800,79926000,14.8,"2022-12-08T13:18:00.000Z",1670505480000,15,14.8,14.8,89.2,10.8,0,2.1,1.4,,0.1,800,7400,34300,,103606000,91766000,11840000,
3081.5,55400,283776000,435956000,152180000,1266926000,25505037,8068518.5,0.5,559.3,2603.7,0.9,4200,-600,-8880000,14.8,"2022-12-08T13:20:00.000Z",1670505600000,14.8,14.8,14.8,46.7,53.3,0,1.4,8.6,,1.1,4800,9000,38800,,133200000,62160000,71040000,
3081.5,55800,289696000,441876000,152180000,1269886000,25505037,8068518.5,0.3,559.3,2603.7,Infinity,400,400,5920000,14.8,"2022-12-08T13:22:00.000Z",1670505720000,14.8,14.8,14.8,100,0,0,0.1,,,0,,400,39000,,5920000,5920000,,
3081.5,56000,292656000,444836000,152180000,1271366000,25505037,8068518.5,0.2,559.3,2603.7,Infinity,200,200,2960000,14.8,"2022-12-08T13:24:00.000Z",1670505840000,14.8,14.8,14.8,100,0,0,0.1,,,0,,200,39100,,2960000,2960000,,
3081.5,57800,319296000,471476000,152180000,1284686000,25505037,8068518.5,1.5,559.3,2603.7,Infinity,1800,1800,26640000,14.8,"2022-12-08T13:26:00.000Z",1670505960000,14.8,14.8,14.8,100,0,0,0.6,,,0,,1800,40000,,26640000,26640000,,
3081.5,69800,495696000,647876000,152180000,1372886000,25505037,8068518.5,10.1,559.3,2603.7,Infinity,12000,12000,176400000,14.7,"2022-12-08T13:28:00.000Z",1670506080000,14.7,14.7,14.7,100,0,0,3.9,,,0,,12000,46000,,176400000,176400000,,
3081.5,69300,488346000,647876000,159530000,1380236000,25505037,8068518.5,0.4,559.3,2603.7,0,,-500,-7350000,14.7,"2022-12-08T13:32:00.000Z",1670506320000,14.7,14.7,14.7,0,50,50,,0.9,0.2,Infinity,500,1000,46500,500,14700000,,7350000,7350000
3081.5,70100,500106000,659636000,159530000,1386116000,25505037,8068518.5,0.7,559.3,2603.7,Infinity,800,800,11760000,14.7,"2022-12-08T13:36:00.000Z",1670506560000,14.7,14.7,14.7,100,0,0,0.3,,,0,,800,46900,,11760000,11760000,,
3081.5,69700,494306000,659636000,165330000,1389016000,25505037,8068518.5,0.3,559.3,2603.7,0,,-400,-5800000,14.5,"2022-12-08T13:48:00.000Z",1670507280000,14.5,14.5,14.5,0,100,0,,0.7,,Infinity,400,400,47100,,5800000,,5800000,
3081.5,70100,500106000,665436000,165330000,1391916000,25505037,8068518.5,0.3,559.3,2603.7,Infinity,400,400,5800000,14.5,"2022-12-08T13:50:00.000Z",1670507400000,14.5,14.5,14.5,100,0,0,0.1,,,0,,400,47300,,5800000,5800000,,
3081.5,70100,500106000,665436000,165330000,1829916000,25505037,8068518.5,0,559.3,2603.7,NaN,,0,0,14.6,"2022-12-08T13:52:00.000Z",1670507520000,14.6,14.6,14.6,0,0,100,,,23,NaN,,60000,77300,60000,876000000,,,876000000
3081.5,69100,485506000,665436000,179930000,1837216000,25505037,8068518.5,0.8,559.3,2603.7,0,,-1000,-14600000,14.6,"2022-12-08T14:00:00.000Z",1670508000000,14.6,14.6,14.6,0,100,0,,1.8,,Infinity,1000,1000,77800,,14600000,,14600000,
