"abu","acum_busd","acum_busd_val","acum_val","asd","auk","bs","bu","bu-sd","bu-sd_val","c","date","datetime","h","l","o","pbu","psd","puk","rbu","rsd","ruk","sb","sd","sum_vol","total_vol","uk","val","val_bu","val_sd","val_uk"
611.1,800,11240000,138670400,822.2,44.4,Infinity,800,800,11240000,14.05,"2022-12-08T09:14:00.000Z",1670490840000,14.05,14.05,14.05,100,0,0,1.3,,,0,,800,400,,11240000,11240000,,
611.1,800,11240000,144250400,822.2,44.4,NaN,,0,0,13.95,"2022-12-08T09:52:00.000Z",1670493120000,13.95,13.95,13.95,0,0,100,,,18,NaN,,800,800,800,11160000,,,11160000
611.1,1000,14020000,145640400,822.2,44.4,Infinity,200,200,2780000,13.9,"2022-12-08T10:24:00.000Z",1670495040000,13.9,13.9,13.9,100,0,0,0.3,,,0,,200,900,,2780000,2780000,,
611.1,1200,16810000,147035400,822.2,44.4,Infinity,200,200,2790000,13.95,"2022-12-08T10:26:00.000Z",1670495160000,13.95,13.95,13.95,100,0,0,0.3,,,0,,200,1000,,2790000,2790000,,
611.1,600,8470000,151205400,822.2,44.4,0,,-600,-8340000,13.9,"2022-12-08T10:32:00.000Z",1670495520000,13.9,13.9,13.9,0,100,0,,0.7,,Infinity,600,600,1300,,8340000,,8340000,
611.1,1800,8486800,154003800,822.2,44.4,7,1400,1200,16800,13.95,"2022-12-08T10:34:00.000Z",1670495640000,14,13.95,13.95,87.5,12.5,0,2.3,0.2,,0.1,200,1600,2100,,5596800,2806800,2790000,
611.1,1600,5696800,155398800,822.2,44.4,0,,-200,-2790000,13.95,"2022-12-08T10:36:00.000Z",1670495760000,13.95,13.95,13.95,0,100,0,,0.2,,Infinity,200,200,2200,,2790000,,2790000,
611.1,0,-16623200,166558800,822.2,44.4,0,,-1600,-22320000,13.95,"2022-12-08T10:40:00.000Z",1670496000000,13.95,13.95,13.95,0,100,0,,1.9,,Infinity,1600,1600,3000,,22320000,,22320000,
611.1,-1200,-33363200,174928800,822.2,44.4,0,,-1200,-16740000,13.95,"2022-12-08T10:42:00.000Z",1670496120000,13.95,13.95,13.95,0,100,0,,1.5,,Infinity,1200,1200,3600,,16740000,,16740000,
611.1,800,-5463200,188878800,822.2,44.4,Infinity,2000,2000,27900000,13.95,"2022-12-08T13:10:00.000Z",1670505000000,13.95,13.95,13.95,100,0,0,3.3,,,0,,2000,4600,,27900000,27900000,,
611.1,-3600,-65063200,218678800,822.2,44.4,0,,-4400,-59600000,13.5,"2022-12-08T13:16:00.000Z",1670505360000,13.6,13.5,13.6,0,100,0,,5.4,,Infinity,4400,4400,6800,,59600000,,59600000,
611.1,-4000,-70463200,221378800,822.2,44.4,0,,-400,-5400000,13.5,"2022-12-08T13:38:00.000Z",1670506680000,13.5,13.5,13.5,0,100,0,,0.5,,Infinity,400,400,7000,,5400000,,5400000,
611.1,-5000,-83963200,228128800,822.2,44.4,0,,-1000,-13500000,13.5,"2022-12-08T13:46:00.000Z",1670507160000,13.5,13.5,13.5,0,100,0,,1.2,,Infinity,1000,1000,7500,,13500000,,13500000,
611.1,-6000,-97513200,234903800,822.2,44.4,0,,-1000,-13550000,13.55,"2022-12-08T14:04:00.000Z",1670508240000,13.55,13.55,13.55,0,100,0,,1.2,,Infinity,1000,1000,8000,,13550000,,13550000,
611.1,-5600,-91953200,237683800,822.2,44.4,Infinity,400,400,5560000,13.9,"2022-12-08T14:12:00.000Z",1670508720000,13.9,13.9,13.9,100,0,0,0.7,,,0,,400,8200,,5560000,5560000,,
611.1,-6800,-108203200,245808800,822.2,44.4,0,,-1200,-16250000,13.5,"2022-12-08T14:14:00.000Z",1670508840000,13.55,13.5,13.55,0,100,0,,1.5,,Infinity,1200,1200,8800,,16250000,,16250000,
611.1,-9800,-148703200,266058800,822.2,44.4,0,,-3000,-40500000,13.5,"2022-12-08T14:18:00.000Z",1670509080000,13.5,13.5,13.5,0,100,0,,3.6,,Infinity,3000,3000,10300,,40500000,,40500000,
611.1,-3800,-148619200,266100800,822.2,44.4,Infinity,6000,6000,84000,14,"2022-12-08T14:44:00.000Z",1670510640000,14,14,14,100,0,0,9.8,,,0,,6000,13300,,84000,84000,,
