"abu","acum_busd","acum_busd_val","acum_val","asd","auk","bs","bu","bu-sd","bu-sd_val","c","date","datetime","h","l","o","pbu","psd","puk","rbu","rsd","ruk","sb","sd","sum_vol","total_vol","uk","val","val_bu","val_sd","val_uk"
8648.1,200,2280000,5785160000,5519,60.8,1.2,1200,200,2280000,9.4,"2022-12-08T09:00:00.000Z",1670490000000,9.4,9,9,54.5,45.5,0,0.1,0.2,,0.8,1000,2200,1100,,20280000,11280000,9000000,
8648.1,-1200,-10880000,5791740000,5519,60.8,0,,-1400,-13160000,9.4,"2022-12-08T09:02:00.000Z",1670490120000,9.4,9.4,9.4,0,100,0,,0.3,,Infinity,1400,1400,1800,,13160000,,13160000,
8648.1,1800,18520000,5823100000,5519,60.8,2.8,4700,3000,29400000,9.8,"2022-12-08T09:14:00.000Z",1670490840000,9.8,9.8,9.8,73.4,26.6,0,0.5,0.3,,0.4,1700,6400,5000,,62720000,46060000,16660000,
8648.1,1000,10680000,5827020000,5519,60.8,0,,-800,-7840000.000000001,9.8,"2022-12-08T09:16:00.000Z",1670490960000,9.8,9.8,9.8,0,100,0,,0.1,,Infinity,800,800,5400,,7840000.000000001,,7840000.000000001,
8648.1,1000,10680000,5836820000,5519,60.8,NaN,,0,0,9.8,"2022-12-08T09:18:00.000Z",1670491080000,9.8,9.8,9.8,0,0,100,,,32.9,NaN,,2000,6400,2000,19600000,,,19600000
8648.1,11600,115620000,5892260000,5519,60.8,Infinity,10600,10600,104940000,9.9,"2022-12-08T09:20:00.000Z",1670491200000,9.9,9.9,9.9,94.6,0,5.4,1.2,,9.9,0,,11200,12000,600,110880000,104940000,,5940000
8648.1,13600,135660000,5931250000,5519,60.8,1.7,4900,2000,20040000,10.1,"2022-12-08T09:22:00.000Z",1670491320000,10.1,9.8,9.8,62.8,37.2,0,0.6,0.5,,0.6,2900,7800,15900,,77980000,49010000,28970000,
8648.1,14800,147900000,5955550000,5519,60.8,1.7,3000,1200,12240000,10.2,"2022-12-08T09:24:00.000Z",1670491440000,10.2,10.1,10.1,62.5,37.5,0,0.3,0.3,,0.6,1800,4800,18300,,48600000,30420000,18180000,
8648.1,31400,317220000,6050310000,5519,60.8,17.6,17600,16600,169320000,10.1,"2022-12-08T09:26:00.000Z",1670491560000,10.2,10.1,10.2,94.6,5.4,0,2,0.2,,0.1,1000,18600,27600,,189520000,179420000,10100000,
8648.1,27000,272780000,6077580000,5519,60.8,0.1,500,-4400,-44440000,10.1,"2022-12-08T09:28:00.000Z",1670491680000,10.1,10.1,10.1,9.3,90.7,0,0.1,0.9,,9.8,4900,5400,30300,,54540000,5050000,49490000,
