"abu","acum_busd","acum_busd_val","acum_val","asd","auk","bs","bu","bu-sd","bu-sd_val","c","date","datetime","h","l","o","pbu","psd","puk","rbu","rsd","ruk","sb","sd","sum_vol","total_vol","uk","val","val_bu","val_sd","val_uk"
919.2,-1300,-12358000,12358000,738.5,596.2,0,,-1300,-12358000,9.5,"2022-12-09T09:20:00.000Z",1670577600000,9.51,9.5,9.51,0,100,0,,1.8,,Infinity,1300,1300,1300,,12358000,,12358000,
919.2,-2600,-24643000,24643000,738.5,596.2,0,,-1300,-12285000,9.4,"2022-12-09T09:55:00.000Z",1670579700000,9.47,9.4,9.47,0,100,0,,1.8,,Infinity,1300,1300,2500,,12285000,,12285000,
919.2,-2500,-23693000,25593000,738.5,596.2,Infinity,100,100,950000,9.5,"2022-12-09T10:05:00.000Z",1670580300000,9.5,9.5,9.5,100,0,0,0.1,,,0,,100,2700,,950000,950000,,
919.2,-2700,-25559000,27459000,738.5,596.2,0,,-200,-1866000,9.33,"2022-12-09T10:20:00.000Z",1670581200000,9.33,9.33,9.33,0,100,0,,0.3,,Infinity,200,200,2900,,1866000,,1866000,
919.2,-3100,-29287000,49807000,738.5,596.2,0.7,1000,-400,-3728000,9.31,"2022-12-09T10:30:00.000Z",1670581800000,9.32,9.31,9.32,41.7,58.3,0,1.1,1.9,,1.4,1400,2400,5300,,22348000,9310000,13038000,
919.2,-6700,-62514000,105334000,738.5,596.2,0.3,1200,-3600,-33227000,9.2,"2022-12-09T10:35:00.000Z",1670582100000,9.31,9.2,9.31,20,80,0,1.3,6.5,,4,4800,6000,11300,,55527000,11150000,44377000,
919.2,-6400,-59718000,111858000,738.5,596.2,2.5,500,300,2796000,9.32,"2022-12-09T10:40:00.000Z",1670582400000,9.32,9.32,9.32,71.4,28.6,0,0.5,0.3,,0.4,200,700,12000,,6524000,4660000,1864000,
919.2,-6200,-57840000,113736000,738.5,596.2,Infinity,200,200,1878000,9.45,"2022-12-09T10:45:00.000Z",1670582700000,9.45,9.33,9.33,100,0,0,0.2,,,0,,200,12200,,1878000,1878000,,
919.2,-5200,-48360000,123216000,738.5,596.2,Infinity,1000,1000,9480000,9.48,"2022-12-09T10:50:00.000Z",1670583000000,9.48,9.48,9.48,100,0,0,1.1,,,0,,1000,13200,,9480000,9480000,,
919.2,-4800,-44600000,126976000,738.5,596.2,Infinity,400,400,3760000,9.47,"2022-12-09T11:05:00.000Z",1670583900000,9.47,9.33,9.33,100,0,0,0.4,,,0,,400,13600,,3760000,3760000,,
919.2,-4900,-45546000,129814000,738.5,596.2,0.5,100,-100,-946000.0000000001,9.46,"2022-12-09T11:15:00.000Z",1670584500000,9.46,9.46,9.46,33.3,66.7,0,0.1,0.3,,2,200,300,13900,,2838000.0000000005,946000.0000000001,1892000.0000000002,
919.2,-4600,-42708000,132652000,738.5,596.2,Infinity,300,300,2838000.0000000005,9.46,"2022-12-09T11:25:00.000Z",1670585100000,9.46,9.46,9.46,100,0,0,0.3,,,0,,300,14200,,2838000.0000000005,2838000.0000000005,,
919.2,-7200,-66555000,178743000,738.5,596.2,0,,-2600,-23847000,9.25,"2022-12-09T13:00:00.000Z",1670590800000,9.28,9.16,9.25,0,52,48,,3.5,4,Infinity,2600,5000,19200,2400,46091000,,23847000,22244000
919.2,-7100,-65625000,181513000,738.5,596.2,2,200,100,930000.0000000001,9.25,"2022-12-09T13:05:00.000Z",1670591100000,9.25,9.2,9.2,66.7,33.3,0,0.2,0.1,,0.5,100,300,19500,,2770000,1850000,919999.9999999999,
919.2,-5900,-54500000,194478000,738.5,596.2,13,1300,1200,11125000,9.45,"2022-12-09T13:10:00.000Z",1670591400000,9.45,9.2,9.25,92.9,7.1,0,1.4,0.1,,0.1,100,1400,20900,,12965000,12045000,919999.9999999999,
919.2,-8200,-75664000,217532000,738.5,596.2,0,100,-2300,-21164000,9.45,"2022-12-09T13:15:00.000Z",1670591700000,9.45,9.17,9.25,4,96,0,0.1,3.2,,24,2400,2500,23400,,23054000,944999.9999999999,22109000,
919.2,-9300,-85724000,229480000,738.5,596.2,0.1,100,-1100,-10060000,9.44,"2022-12-09T13:20:00.000Z",1670592000000,9.44,9.17,9.17,7.7,92.3,0,0.1,1.6,,12,1200,1300,24700,,11948000,944000,11004000,
919.2,-7800,-71600000,245436000,738.5,596.2,16,1600,1500,14124000,9.4,"2022-12-09T13:30:00.000Z",1670592600000,9.4,9.16,9.4,94.1,5.9,0,1.7,0.1,,0.1,100,1700,26400,,15956000,15040000,916000,
919.2,-7700,-70665000,246371000,738.5,596.2,Infinity,100,100,935000,9.35,"2022-12-09T13:35:00.000Z",1670592900000,9.35,9.35,9.35,100,0,0,0.1,,,0,,100,26500,,935000,935000,,
919.2,-6200,-56949000,269335000,738.5,596.2,4,2000,1500,13716000,9.17,"2022-12-09T13:50:00.000Z",1670593800000,9.3,9.17,9.3,80,20,0,2.2,0.7,,0.3,500,2500,29000,,22964000,18340000,4624000,
919.2,-6300,-57833000,273959000,738.5,596.2,0.7,200,-100,-884000,9.35,"2022-12-09T13:55:00.000Z",1670594100000,9.35,9.18,9.35,40,60,0,0.2,0.4,,1.5,300,500,29500,,4624000,1870000,2754000,
919.2,-5700,-52247000,286929000,738.5,596.2,2.5,1000,600,5586000,9.35,"2022-12-09T14:10:00.000Z",1670595000000,9.35,9.23,9.23,71.4,28.6,0,1.1,0.5,,0.4,400,1400,30900,,12970000,9278000,3692000,
919.2,-4000,-36519000,307330000,738.5,596.2,Infinity,1700,1700,15728000,9.36,"2022-12-09T14:15:00.000Z",1670595300000,9.36,9.23,9.23,77.3,0,22.7,1.8,,0.8,0,,2200,33100,500,20401000,15728000,,4673000
919.2,2100,21393000,401302000,738.5,596.2,4.2,8000,6100,57912000,9.48,"2022-12-09T14:20:00.000Z",1670595600000,9.48,9.18,9.36,80,19,1,8.7,2.6,0.2,0.2,1900,10000,43100,100,93972000,75472000,17560000,940000
919.2,4700,46085000,429794000,738.5,596.2,14,2800,2600,24692000,9.5,"2022-12-09T14:25:00.000Z",1670595900000,9.5,9.48,9.48,93.3,6.7,0,3,0.3,,0.1,200,3000,46100,,28492000,26592000,1900000,
919.2,4700,46085000,550169000,738.5,596.2,NaN,,0,0,9.63,"2022-12-09T14:45:00.000Z",1670597100000,9.63,9.63,9.63,0,0,100,,,21,NaN,,12500,58600,12500,120375000.00000001,,,120375000.00000001
