"abu","acum_busd","acum_busd_val","acum_val","asd","auk","bs","bu","bu-sd","bu-sd_val","c","date","datetime","h","l","o","pbu","psd","puk","rbu","rsd","ruk","sb","sd","sum_vol","total_vol","uk","val","val_bu","val_sd","val_uk"
2383.3,-900,-5760000,9600000,3467.9,169,0.3,300,-900,-5760000,6.4,"2022-12-12T09:00:00.000Z",1670835600000,6.4,6.4,6.4,20,80,0,0.1,0.3,,4,1200,1500,1500,,9600000,1920000,7680000,
2383.3,-1200,-7710000,11550000,3467.9,169,0,,-300,-1950000,6.5,"2022-12-12T09:04:00.000Z",1670835840000,6.5,6.5,6.5,0,100,0,,0.1,,Infinity,300,300,1800,,1950000,,1950000,
2383.3,16800,114690000,133950000,3467.9,169,Infinity,18000,18000,122400000,6.8,"2022-12-12T09:08:00.000Z",1670836080000,6.8,6.8,6.8,100,0,0,7.6,,,0,,18000,19800,,122400000,122400000,,
2383.3,15500,105850000,144150000,3467.9,169,0.1,100,-1300,-8840000,6.8,"2022-12-12T09:10:00.000Z",1670836200000,6.8,6.8,6.8,6.7,93.3,0,0,0.4,,14,1400,1500,21300,,10200000,680000,9520000,
2383.3,11400,78420000,178360000,3467.9,169,0.1,500,-4100,-27430000,6.8,"2022-12-12T09:14:00.000Z",1670836440000,6.8,6.7,6.7,9.8,90.2,0,0.2,1.3,,9.2,4600,5100,26400,,34210000,3390000,30820000,
2383.3,19100,130010000,246030000,3467.9,169,7.4,8900,7700,51590000,6.7,"2022-12-12T09:16:00.000Z",1670836560000,6.7,6.7,6.7,88.1,11.9,0,3.7,0.3,,0.1,1200,10100,36500,,67670000,59630000,8040000,
2383.3,21200,144080000,260100000,3467.9,169,Infinity,2100,2100,14070000,6.7,"2022-12-12T09:18:00.000Z",1670836680000,6.7,6.7,6.7,100,0,0,0.9,,,0,,2100,38600,,14070000,14070000,,
2383.3,21300,144750000,260770000,3467.9,169,Infinity,100,100,670000,6.7,"2022-12-12T09:24:00.000Z",1670837040000,6.7,6.7,6.7,100,0,0,0,,,0,,100,38700,,670000,670000,,
2383.3,18800,128250000,277270000,3467.9,169,0,,-2500,-16500000,6.6,"2022-12-12T09:26:00.000Z",1670837160000,6.6,6.6,6.6,0,100,0,,0.7,,Infinity,2500,2500,41200,,16500000,,16500000,
2383.3,10800,75450000,330070000,3467.9,169,0,,-8000,-52800000,6.6,"2022-12-12T09:28:00.000Z",1670837280000,6.6,6.6,6.6,0,100,0,,2.3,,Infinity,8000,8000,49200,,52800000,,52800000,
2383.3,10300,72150000,333370000,3467.9,169,0,,-500,-3300000,6.6,"2022-12-12T09:30:00.000Z",1670837400000,6.6,6.6,6.6,0,100,0,,0.1,,Infinity,500,500,49700,,3300000,,3300000,
2383.3,10200,71490000,334030000,3467.9,169,0,,-100,-660000,6.6,"2022-12-12T09:32:00.000Z",1670837520000,6.6,6.6,6.6,0,100,0,,0,,Infinity,100,100,49800,,660000,,660000,
2383.3,9800,68850000,336670000,3467.9,169,0,,-400,-2640000,6.6,"2022-12-12T09:34:00.000Z",1670837640000,6.6,6.6,6.6,0,100,0,,0.1,,Infinity,400,400,50200,,2640000,,2640000,
2383.3,8600,60930000,344590000,3467.9,169,0,,-1200,-7920000,6.6,"2022-12-12T09:36:00.000Z",1670837760000,6.6,6.6,6.6,0,100,0,,0.3,,Infinity,1200,1200,51400,,7920000,,7920000,
