"abu","acum_busd","acum_busd_val","acum_val_bu","acum_val_sd","acum_val","avg_val_bu","avg_val_sd","rbusd","asd","auk","bs","bu","bu-sd","bu-sd_val","c","date","datetime","h","l","o","pbu","psd","puk","rbu","rsd","ruk","sb","sd","sum_vol","total_vol","uk","val","val_bu","val_sd","val_uk"
12939.1,-88800,-1622815000,579860000,2202675000,2782535000,194263728.3,482251132.6,5.6,33732.6,643.5,0.3,31700,-88800,-1622815000,18.3,"2022-12-12T09:15:00.000Z",1670836500000,18.35,18.1,18.3,20.8,79.2,0,2.4,3.6,,3.8,120500,152200,152200,,2782535000,579860000,2202675000,
12939.1,-147800,-2700260000,1390450000,4090710000,5481160000,194263728.3,482251132.6,3.7,33732.6,643.5,0.4,44400,-59000,-1077445000,18.1,"2022-12-12T09:20:00.000Z",1670836800000,18.35,18.1,18.3,30,70,0,3.4,3.1,,2.3,103400,147800,300000,,2698625000,810590000,1888035000,
12939.1,-145800,-2663245000,1665125000,4328370000,5993495000,194263728.3,482251132.6,-0.1,33732.6,643.5,1.2,15100,2000,37015000,18.15,"2022-12-12T09:25:00.000Z",1670837100000,18.2,18.1,18.1,53.5,46.5,0,1.2,0.4,,0.9,13100,28200,328200,,512335000,274675000,237660000,
12939.1,-144400,-2637155000,2068670000,4705825000,6774495000,194263728.3,482251132.6,-0.1,33732.6,643.5,1.1,22200,1400,26090000,18.1,"2022-12-12T09:30:00.000Z",1670837400000,18.2,18.1,18.2,51.6,48.4,0,1.7,0.6,,0.9,20800,43000,371200,,781000000,403545000,377455000,
12939.1,-126700,-2314830000,2532175000,4847005000,7379180000,194263728.3,482251132.6,-1.1,33732.6,643.5,3.3,25500,17700,322325000,18.15,"2022-12-12T09:35:00.000Z",1670837700000,18.2,18.1,18.15,76.6,23.4,0,2,0.2,,0.3,7800,33300,404500,,604685000,463505000,141180000,
12939.1,-112900,-2064360000,2797165000,4861525000,7676840000,194263728.3,482251132.6,-0.9,33732.6,643.5,18.3,14600,13800,250470000,18.15,"2022-12-12T09:40:00.000Z",1670838000000,18.15,18.15,18.15,89,4.9,6.1,1.1,0,1.6,0.1,800,16400,420900,1000,297660000,264990000,14520000,18149999.999999996
12939.1,-107000,-1957025000,3014965000,4971990000,8005105000,194263728.3,482251132.6,-0.4,33732.6,643.5,2,12000,5900,107335000,18.15,"2022-12-12T09:45:00.000Z",1670838300000,18.15,18.1,18.15,66.3,33.7,0,0.9,0.2,,0.5,6100,18100,439000,,328265000,217800000,110465000,
12939.1,-114200,-2087510000,3104000000,5191510000,8313660000,194263728.3,482251132.6,0.5,33732.6,643.5,0.4,4900,-7200,-130485000,18.15,"2022-12-12T09:50:00.000Z",1670838600000,18.2,18.1,18.15,28.8,71.2,0,0.4,0.4,,2.5,12100,17000,456000,,308555000,89035000,219520000,
12939.1,-97900,-1791320000,3525080000,5316400000,8859630000,194263728.3,482251132.6,-1,33732.6,643.5,3.4,23200,16300,296190000,18.15,"2022-12-12T09:55:00.000Z",1670838900000,18.15,18.1,18.15,77.1,22.9,0,1.8,0.2,,0.3,6900,30100,486100,,545970000,421080000,124890000,
12939.1,-114000,-2082730000,3534130000,5616860000,9169140000,194263728.3,482251132.6,1,33732.6,643.5,0,500,-16100,-291410000,18.1,"2022-12-12T10:00:00.000Z",1670839200000,18.1,18.1,18.1,2.9,97.1,0,0,0.5,,33.2,16600,17100,503200,,309510000,9050000.000000002,300460000,
