"abu","acum_busd","acum_busd_val","acum_val","asd","auk","bs","bu","bu-sd","bu-sd_val","c","date","datetime","h","l","o","pbu","psd","puk","rbu","rsd","ruk","sb","sd","sum_vol","total_vol","uk","val","val_bu","val_sd","val_uk"
750,4600,186170000,186170000,161.1,0,Infinity,4600,4600,186170000,40.5,"2022-12-12T09:46:00.000Z",1670838360000,40.5,40.25,40.25,100,0,0,6.1,,,0,,4600,4600,,186170000,186170000,,
750,4400,178070000,194270000,161.1,0,0,,-200,-8100000,40.5,"2022-12-12T09:48:00.000Z",1670838480000,40.5,40.5,40.5,0,100,0,,1.2,,Infinity,200,200,4800,,8100000,,8100000,
750,4500,182120000,198320000,161.1,0,Infinity,100,100,4050000,40.5,"2022-12-12T09:52:00.000Z",1670838720000,40.5,40.5,40.5,100,0,0,0.1,,,0,,100,4900,,4050000,4050000,,
750,4400,178100000,202340000,161.1,0,0,,-100,-4020000.0000000005,40.2,"2022-12-12T10:08:00.000Z",1670839680000,40.2,40.2,40.2,0,100,0,,0.6,,Infinity,100,100,5000,,4020000.0000000005,,4020000.0000000005,
750,4500,182160000,206400000,161.1,0,Infinity,100,100,4060000,40.6,"2022-12-12T10:14:00.000Z",1670840040000,40.6,40.6,40.6,100,0,0,0.1,,,0,,100,5100,,4060000,4060000,,
750,4600,186220000,210460000,161.1,0,Infinity,100,100,4060000,40.6,"2022-12-12T10:32:00.000Z",1670841120000,40.6,40.6,40.6,100,0,0,0.1,,,0,,100,5200,,4060000,4060000,,
750,6600,186302100,210550100,161.1,0,21,2100,2000,82100,41,"2022-12-12T10:40:00.000Z",1670841600000,41,40,40,95.5,4.5,0,2.8,0.6,,0,100,2200,7400,,90100,86100,4000,
750,6500,182252100,214600100,161.1,0,0,,-100,-4050000,40.5,"2022-12-12T13:00:00.000Z",1670850000000,40.5,40.5,40.5,0,100,0,,0.6,,Infinity,100,100,7500,,4050000,,4050000,
750,5600,145802100,251050100,161.1,0,0,,-900,-36450000,40.5,"2022-12-12T13:08:00.000Z",1670850480000,40.5,40.5,40.5,0,100,0,,5.6,,Infinity,900,900,8400,,36450000,,36450000,
750,5500,141792100,255060100,161.1,0,0,,-100,-4010000,40.1,"2022-12-12T13:12:00.000Z",1670850720000,40.1,40.1,40.1,0,100,0,,0.6,,Infinity,100,100,8500,,4010000,,4010000,
750,8100,246832100,360100100,161.1,0,Infinity,2600,2600,105040000,40.4,"2022-12-12T13:40:00.000Z",1670852400000,40.4,40.4,40.4,100,0,0,3.5,,,0,,2600,11100,,105040000,105040000,,
750,9200,291347100,404615100,161.1,0,Infinity,1100,1100,44515000,40.5,"2022-12-12T13:44:00.000Z",1670852640000,40.5,40.4,40.4,100,0,0,1.5,,,0,,1100,12200,,44515000,44515000,,
750,9300,295407100,408675100,161.1,0,Infinity,100,100,4060000,40.6,"2022-12-12T13:46:00.000Z",1670852760000,40.6,40.6,40.6,100,0,0,0.1,,,0,,100,12300,,4060000,4060000,,
750,10400,340067100,453335100,161.1,0,Infinity,1100,1100,44660000,40.6,"2022-12-12T13:48:00.000Z",1670852880000,40.6,40.6,40.6,100,0,0,1.5,,,0,,1100,13400,,44660000,44660000,,
750,10000,323827100,469575100,161.1,0,0,,-400,-16240000,40.6,"2022-12-12T13:54:00.000Z",1670853240000,40.6,40.6,40.6,0,100,0,,2.5,,Infinity,400,400,13800,,16240000,,16240000,
750,10500,344152100,489900100,161.1,0,Infinity,500,500,20325000,40.65,"2022-12-12T14:02:00.000Z",1670853720000,40.65,40.65,40.65,100,0,0,0.7,,,0,,500,14300,,20325000,20325000,,
750,9500,303797100,530255100,161.1,0,0,,-1000,-40355000,40.35,"2022-12-12T14:24:00.000Z",1670855040000,40.4,40.35,40.4,0,100,0,,6.2,,Infinity,1000,1000,15300,,40355000,,40355000,
750,10600,348457100,574915100,161.1,0,Infinity,1100,1100,44660000,40.6,"2022-12-12T14:44:00.000Z",1670856240000,40.6,40.6,40.6,100,0,0,1.5,,,0,,1100,16400,,44660000,44660000,,
