"abu","acum_busd","acum_busd_val","acum_val_bu","acum_val_sd","acum_val","avg_val_bu","avg_val_sd","rbusd","asd","auk","bs","bu","bu-sd","bu-sd_val","c","date","datetime","h","l","o","pbu","psd","puk","rbu","rsd","ruk","sb","sd","sum_vol","total_vol","uk","val","val_bu","val_sd","val_uk"
1711.4,-1500,-16800000,0,16800000,16800000,18069831.4,30280462.9,1.4,2868.6,454.3,0,,-1500,-16800000,11.2,"2022-12-12T09:00:00.000Z",1670835600000,11.2,11.2,11.2,0,100,0,,0.5,,Infinity,1500,1500,1500,,16800000,,16800000,
1711.4,-6500,-72800000,0,72800000,72800000,18069831.4,30280462.9,4.6,2868.6,454.3,0,,-5000,-56000000,11.2,"2022-12-12T09:15:00.000Z",1670836500000,11.2,11.2,11.2,0,100,0,,1.7,,Infinity,5000,5000,6500,,56000000,,56000000,
1711.4,-7000,-78400000,0,78400000,78400000,18069831.4,30280462.9,0.5,2868.6,454.3,0,,-500,-5600000,11.2,"2022-12-12T09:20:00.000Z",1670836800000,11.2,11.2,11.2,0,100,0,,0.2,,Infinity,500,500,7000,,5600000,,5600000,
1711.4,-27000,-302400000,0,302400000,302400000,18069831.4,30280462.9,18.3,2868.6,454.3,0,,-20000,-224000000,11.2,"2022-12-12T09:30:00.000Z",1670837400000,11.2,11.2,11.2,0,100,0,,7,,Infinity,20000,20000,27000,,224000000,,224000000,
1711.4,-30600,-342720000,0,342720000,342720000,18069831.4,30280462.9,3.3,2868.6,454.3,0,,-3600,-40320000,11.2,"2022-12-12T09:35:00.000Z",1670837700000,11.2,11.2,11.2,0,100,0,,1.3,,Infinity,3600,3600,30600,,40320000,,40320000,
1711.4,-31100,-348270000,0,348270000,363950000,18069831.4,30280462.9,0.5,2868.6,454.3,0,,-500,-5550000,11.2,"2022-12-12T09:40:00.000Z",1670838000000,11.2,11.1,11.1,0,26.3,73.7,,0.2,3.1,Infinity,500,1900,32500,1400,21230000,,5550000,15679999.999999998
1711.4,-34200,-382680000,0,382680000,398360000,18069831.4,30280462.9,2.8,2868.6,454.3,0,,-3100,-34410000,11.1,"2022-12-12T09:50:00.000Z",1670838600000,11.1,11.1,11.1,0,100,0,,1.1,,Infinity,3100,3100,35600,,34410000,,34410000,
1711.4,-68300,-750920000,20560000,771480000,807720000,18069831.4,30280462.9,30.2,2868.6,454.3,0.1,1900,-34100,-368240000,11.2,"2022-12-12T10:00:00.000Z",1670839200000,11.2,10.8,10.8,5,95,0,1.1,12.5,,18.9,36000,37900,73500,,409360000,20560000,388800000,
1711.4,-65100,-715080000,56400000,771480000,843560000,18069831.4,30280462.9,-2.9,2868.6,454.3,Infinity,3200,3200,35840000,11.2,"2022-12-12T10:10:00.000Z",1670839800000,11.2,11.2,11.2,100,0,0,1.9,,,0,,3200,76700,,35840000,35840000,,
1711.4,-65100,-715080000,56400000,771480000,845820000,18069831.4,30280462.9,0,2868.6,454.3,NaN,,0,0,11.3,"2022-12-12T10:15:00.000Z",1670840100000,11.3,11.3,11.3,0,0,100,,,0.4,NaN,,200,76900,200,2260000,,,2260000
1711.4,-64100,-703780000,67700000,771480000,857120000,18069831.4,30280462.9,-0.9,2868.6,454.3,Infinity,1000,1000,11300000,11.3,"2022-12-12T10:20:00.000Z",1670840400000,11.3,11.3,11.3,100,0,0,0.6,,,0,,1000,77900,,11300000,11300000,,
1711.4,-55000,-600050000,171430000,771480000,960850000,18069831.4,30280462.9,-8.5,2868.6,454.3,Infinity,9100,9100,103730000,11.4,"2022-12-12T10:30:00.000Z",1670841000000,11.4,11.3,11.3,100,0,0,5.3,,,0,,9100,87000,,103730000,103730000,,
1711.4,-56000,-611350000,171430000,782780000,972150000,18069831.4,30280462.9,0.9,2868.6,454.3,0,,-1000,-11300000,11.3,"2022-12-12T10:35:00.000Z",1670841300000,11.3,11.3,11.3,0,100,0,,0.3,,Infinity,1000,1000,88000,,11300000,,11300000,
1711.4,-54900,-598720000,194230000,792950000,1005120000,18069831.4,30280462.9,-1,2868.6,454.3,2.2,2000,1100,12630000,11.4,"2022-12-12T10:40:00.000Z",1670841600000,11.4,11.3,11.3,69,31,0,1.2,0.3,,0.5,900,2900,90900,,32970000,22800000,10170000,
1711.4,-56400,-615670000,194230000,809900000,1022070000,18069831.4,30280462.9,1.4,2868.6,454.3,0,,-1500,-16950000,11.3,"2022-12-12T11:20:00.000Z",1670844000000,11.3,11.3,11.3,0,100,0,,0.5,,Infinity,1500,1500,92400,,16950000,,16950000,
1711.4,-57000,-622450000,194230000,816680000,1028850000,18069831.4,30280462.9,0.6,2868.6,454.3,0,,-600,-6780000,11.3,"2022-12-12T11:25:00.000Z",1670844300000,11.3,11.3,11.3,0,100,0,,0.2,,Infinity,600,600,93000,,6780000,,6780000,
1711.4,-57000,-622450000,194230000,816680000,1036760000,18069831.4,30280462.9,0,2868.6,454.3,NaN,,0,0,11.3,"2022-12-12T13:00:00.000Z",1670850000000,11.3,11.3,11.3,0,0,100,,,1.5,NaN,,700,93700,700,7910000,,,7910000
