"abu","acum_busd","acum_busd_val","acum_val_bu","acum_val_sd","acum_val","avg_val_bu","avg_val_sd","rbusd","asd","auk","bs","bu","bu-sd","bu-sd_val","c","date","datetime","h","l","o","pbu","psd","puk","rbu","rsd","ruk","sb","sd","sum_vol","total_vol","uk","val","val_bu","val_sd","val_uk"
233.3,-200,-1019999.9999999999,0,1019999.9999999999,1540000,1261333.3,562666.7,-1.5,106.7,153.3,0,,-200,-1019999.9999999999,5.2,"2022-12-13T09:25:00.000Z",1670923500000,5.2,5.1,5.1,0,66.7,33.3,,1.9,0.7,Infinity,200,300,300,100,1540000,,1019999.9999999999,520000
233.3,0,80000.00000000012,1100000,1019999.9999999999,2640000,1261333.3,562666.7,1.6,106.7,153.3,Infinity,200,200,1100000,5.5,"2022-12-13T09:40:00.000Z",1670924400000,5.5,5.5,5.5,100,0,0,0.9,,,0,,200,500,,1100000,1100000,,
233.3,700,3860000,4880000,1019999.9999999999,6420000,1261333.3,562666.7,5.4,106.7,153.3,Infinity,700,700,3780000,5.4,"2022-12-13T10:15:00.000Z",1670926500000,5.4,5.4,5.4,100,0,0,3,,,0,,700,1200,,3780000,3780000,,
233.3,400,2300000,4880000,2580000,7980000,1261333.3,562666.7,-2.2,106.7,153.3,0,,-300,-1560000,5.2,"2022-12-13T10:25:00.000Z",1670927100000,5.2,5.2,5.2,0,100,0,,2.8,,Infinity,300,300,1500,,1560000,,1560000,
233.3,400,2300000,4880000,2580000,13280000,1261333.3,562666.7,0,106.7,153.3,NaN,,0,0,5.3,"2022-12-13T10:35:00.000Z",1670927700000,5.3,5.3,5.3,0,0,100,,,6.5,NaN,,1000,2500,1000,5300000,,,5300000
233.3,600,3380000,5960000,2580000,14360000,1261333.3,562666.7,1.5,106.7,153.3,Infinity,200,200,1080000,5.4,"2022-12-13T10:40:00.000Z",1670928000000,5.4,5.4,5.4,100,0,0,0.9,,,0,,200,2700,,1080000,1080000,,
233.3,600,3380000,5960000,2580000,20300000,1261333.3,562666.7,0,106.7,153.3,NaN,,0,0,5.4,"2022-12-13T11:00:00.000Z",1670929200000,5.4,5.4,5.4,0,0,100,,,7.2,NaN,,1100,3800,1100,5940000,,,5940000
233.3,300,1760000,5960000,4200000,21920000,1261333.3,562666.7,-2.3,106.7,153.3,0,,-300,-1620000,5.4,"2022-12-13T11:15:00.000Z",1670930100000,5.4,5.4,5.4,0,100,0,,2.8,,Infinity,300,300,4100,,1620000,,1620000,
233.3,500,2840000,7040000,4200000,23000000,1261333.3,562666.7,1.5,106.7,153.3,Infinity,200,200,1080000,5.4,"2022-12-13T13:00:00.000Z",1670936400000,5.4,5.4,5.4,100,0,0,0.9,,,0,,200,4300,,1080000,1080000,,
233.3,700,3920000,8120000,4200000,24080000,1261333.3,562666.7,1.5,106.7,153.3,Infinity,200,200,1080000,5.4,"2022-12-13T13:05:00.000Z",1670936700000,5.4,5.4,5.4,100,0,0,0.9,,,0,,200,4500,,1080000,1080000,,
233.3,700,3920000,8120000,4200000,24620000,1261333.3,562666.7,0,106.7,153.3,NaN,,0,0,5.4,"2022-12-13T13:50:00.000Z",1670939400000,5.4,5.4,5.4,0,0,100,,,0.7,NaN,,100,4600,100,540000,,,540000
233.3,0,220000,8660000,8440000,29400000,1261333.3,562666.7,-5.3,106.7,153.3,0.1,100,-700,-3700000,5.4,"2022-12-13T14:15:00.000Z",1670940900000,5.4,5.3,5.3,11.1,88.9,0,0.4,7.5,,8,800,900,5500,,4780000,540000,4240000,
233.3,1200,6700000,15140000,8440000,35880000,1261333.3,562666.7,9.3,106.7,153.3,Infinity,1200,1200,6480000,5.4,"2022-12-13T14:20:00.000Z",1670941200000,5.4,5.4,5.4,100,0,0,5.1,,,0,,1200,6700,,6480000,6480000,,
233.3,1700,9400000,17840000,8440000,38580000,1261333.3,562666.7,3.9,106.7,153.3,Infinity,500,500,2700000,5.4,"2022-12-13T14:25:00.000Z",1670941500000,5.4,5.4,5.4,100,0,0,2.1,,,0,,500,7200,,2700000,2700000,,
233.3,1900,10480000,18920000,8440000,39660000,1261333.3,562666.7,1.5,106.7,153.3,Infinity,200,200,1080000,5.4,"2022-12-13T14:45:00.000Z",1670942700000,5.4,5.4,5.4,100,0,0,0.9,,,0,,200,7400,,1080000,1080000,,
