"abu","acum_busd","acum_busd_val","acum_val","asd","auk","bs","bu","bu-sd","bu-sd_val","c","date","datetime","h","l","o","pbu","psd","puk","rbu","rsd","ruk","sb","sd","sum_vol","total_vol","uk","val","val_bu","val_sd","val_uk"
430,-100,-2495000,2495000,290,0,0,,-100,-2495000,24.95,"2022-12-15T09:40:00.000Z",1671097200000,24.95,24.95,24.95,0,100,0,,0.3,,Infinity,100,100,100,,2495000,,2495000,
430,-200,-4990000,4990000,290,0,0,,-100,-2495000,24.95,"2022-12-15T10:26:00.000Z",1671099960000,24.95,24.95,24.95,0,100,0,,0.3,,Infinity,100,100,200,,2495000,,2495000,
430,-100,-2500000,7480000,290,0,Infinity,100,100,2490000,24.9,"2022-12-15T10:48:00.000Z",1671101280000,24.9,24.9,24.9,100,0,0,0.2,,,0,,100,300,,2490000,2490000,,
430,200,4985000,14965000,290,0,Infinity,300,300,7485000,24.95,"2022-12-15T11:04:00.000Z",1671102240000,24.95,24.95,24.95,100,0,0,0.7,,,0,,300,600,,7485000,7485000,,
430,100,2490000,22450000,290,0,0.5,100,-100,-2495000,24.95,"2022-12-15T13:00:00.000Z",1671109200000,24.95,24.95,24.95,33.3,66.7,0,0.2,0.7,,2,200,300,900,,7485000,2495000,4990000,
430,-700,-17350000,42290000,290,0,0,,-800,-19840000,24.8,"2022-12-15T13:10:00.000Z",1671109800000,24.8,24.8,24.8,0,100,0,,2.8,,Infinity,800,800,1700,,19840000,,19840000,
430,-900,-22310000,47250000,290,0,0,,-200,-4960000,24.8,"2022-12-15T13:12:00.000Z",1671109920000,24.8,24.8,24.8,0,100,0,,0.7,,Infinity,200,200,1900,,4960000,,4960000,
430,-1400,-34760000,59700000,290,0,0,,-500,-12450000,24.9,"2022-12-15T13:30:00.000Z",1671111000000,24.9,24.9,24.9,0,100,0,,1.7,,Infinity,500,500,2400,,12450000,,12450000,
430,-2400,-59610000,84550000,290,0,0,,-1000,-24850000,24.85,"2022-12-15T14:10:00.000Z",1671113400000,24.85,24.85,24.85,0,100,0,,3.4,,Infinity,1000,1000,3400,,24850000,,24850000,
430,1400,35390000,179550000,290,0,Infinity,3800,3800,95000000,25,"2022-12-15T14:44:00.000Z",1671115440000,25,25,25,100,0,0,8.8,,,0,,3800,7200,,95000000,95000000,,
