"abu","acum_busd","acum_busd_val","acum_val_bu","acum_val_sd","acum_val","avg_val_bu","avg_val_sd","rbusd","asd","auk","bs","bu","bu-sd","bu-sd_val","c","date","datetime","h","l","o","pbu","psd","puk","rbu","rsd","ruk","sb","sd","sum_vol","total_vol","uk","val","val_bu","val_sd","val_uk"
430.8,500,4645000,4645000,0,4645000,4059865.4,6785461.5,1.7,723.1,42.3,Infinity,500,500,4645000,9.29,"2022-12-15T09:14:00.000Z",1671095640000,9.29,9.29,9.29,100,0,0,1.2,,,0,,500,500,,4645000,4645000,,
430.8,1700,15793000,15793000,0,15793000,4059865.4,6785461.5,4.1,723.1,42.3,Infinity,1200,1200,11148000,9.29,"2022-12-15T09:16:00.000Z",1671095760000,9.29,9.29,9.29,100,0,0,2.8,,,0,,1200,1700,,11148000,11148000,,
430.8,2000,18627000,19562000,935000,20497000,4059865.4,6785461.5,1,723.1,42.3,4,400,300,2834000,9.55,"2022-12-15T09:20:00.000Z",1671096000000,9.55,9.35,9.35,80,20,0,0.9,0.1,,0.3,100,500,2200,,4704000,3769000,935000,
430.8,2100,19606000,21480000,1874000,23354000,4059865.4,6785461.5,0.4,723.1,42.3,2,200,100,979000,9.59,"2022-12-15T09:22:00.000Z",1671096120000,9.59,9.39,9.39,66.7,33.3,0,0.5,0.1,,0.5,100,300,2500,,2857000,1918000,939000,
430.8,2200,20561000,22435000,1874000,24309000,4059865.4,6785461.5,0.4,723.1,42.3,Infinity,100,100,955000.0000000001,9.55,"2022-12-15T09:26:00.000Z",1671096360000,9.55,9.55,9.55,100,0,0,0.2,,,0,,100,2600,,955000.0000000001,955000.0000000001,,
430.8,5200,49268000,51142000,1874000,53016000,4059865.4,6785461.5,10.5,723.1,42.3,Infinity,3000,3000,28707000,9.59,"2022-12-15T09:30:00.000Z",1671096600000,9.59,9.55,9.55,100,0,0,7,,,0,,3000,5600,,28707000,28707000,,
430.8,5700,54063000,55937000,1874000,57811000,4059865.4,6785461.5,1.8,723.1,42.3,Infinity,500,500,4795000,9.59,"2022-12-15T09:32:00.000Z",1671096720000,9.59,9.59,9.59,100,0,0,1.2,,,0,,500,6100,,4795000,4795000,,
430.8,5900,55979000,57853000,1874000,59727000,4059865.4,6785461.5,0.7,723.1,42.3,Infinity,200,200,1916000,9.58,"2022-12-15T09:36:00.000Z",1671096960000,9.58,9.58,9.58,100,0,0,0.5,,,0,,200,6300,,1916000,1916000,,
430.8,6400,60769000,62643000,1874000,64517000,4059865.4,6785461.5,1.8,723.1,42.3,Infinity,500,500,4790000,9.58,"2022-12-15T09:38:00.000Z",1671097080000,9.58,9.58,9.58,100,0,0,1.2,,,0,,500,6800,,4790000,4790000,,
430.8,6700,63637000,65511000,1874000,67385000,4059865.4,6785461.5,1.1,723.1,42.3,Infinity,300,300,2868000,9.57,"2022-12-15T09:42:00.000Z",1671097320000,9.57,9.55,9.55,100,0,0,0.7,,,0,,300,7100,,2868000,2868000,,
430.8,6800,64594000,66468000,1874000,68342000,4059865.4,6785461.5,0.4,723.1,42.3,Infinity,100,100,957000,9.57,"2022-12-15T09:44:00.000Z",1671097440000,9.57,9.57,9.57,100,0,0,0.2,,,0,,100,7200,,957000,957000,,
430.8,3800,35884000,66468000,30584000,97052000,4059865.4,6785461.5,10.5,723.1,42.3,0,,-3000,-28710000,9.57,"2022-12-15T09:48:00.000Z",1671097680000,9.57,9.57,9.57,0,100,0,,4.1,,Infinity,3000,3000,10200,,28710000,,28710000,
430.8,1800,16744000,66468000,49724000,116192000,4059865.4,6785461.5,7,723.1,42.3,0,,-2000,-19140000,9.57,"2022-12-15T09:50:00.000Z",1671097800000,9.57,9.57,9.57,0,100,0,,2.8,,Infinity,2000,2000,12200,,19140000,,19140000,
