"abu","acum_busd","acum_busd_val","acum_val_bu","acum_val_sd","acum_val","avg_val_bu","avg_val_sd","rbusd","asd","auk","bs","bu","bu-sd","bu-sd_val","c","date","datetime","h","l","o","pbu","psd","puk","rbu","rsd","ruk","sb","sd","sum_vol","total_vol","uk","val","val_bu","val_sd","val_uk"
138319.6,-15700,-353833600,702382900,1056216500,1758599400,1607005134.8,1335100637,-1.3,115923.9,215.2,0.8,67100,-15700,-353833600,13.15,"2022-12-15T09:15:00.000Z",1671095700000,13.15,12.8,12.8,44.8,55.2,0,0.5,0.7,,1.2,82800,149900,149900,,1758599400,702382900,1056216500,
138319.6,124400,1493231400,3034452900,1541221500,4575674400,1607005134.8,1335100637,6.8,115923.9,215.2,4.8,176900,140100,1847065000,13.2,"2022-12-15T09:20:00.000Z",1671096000000,13.25,13.1,13.15,82.8,17.2,0,1.3,0.3,,0.2,36800,213700,363600,,2817075000,2332070000,485005000,
138319.6,177400,2194751400,4765392900,2570641500,7336034400,1607005134.8,1335100637,2.6,115923.9,215.2,1.7,131500,53000,701520000,13.1,"2022-12-15T09:25:00.000Z",1671096300000,13.2,13.1,13.2,62.6,37.4,0,1,0.7,,0.6,78500,210000,573600,,2760360000,1730940000,1029420000,
138319.6,384800,4932616400,8333672900,3401056500,11734729400,1607005134.8,1335100637,10.1,115923.9,215.2,4.3,270700,207400,2737865000,13.2,"2022-12-15T09:30:00.000Z",1671096600000,13.2,13.1,13.15,81,19,0,2,0.5,,0.2,63300,334000,907600,,4398695000,3568280000,830415000,
138319.6,591500,7676326400,11230737900,3554411500,14785149400,1607005134.8,1335100637,10.1,115923.9,215.2,18.8,218300,206700,2743710000,13.3,"2022-12-15T09:35:00.000Z",1671096900000,13.3,13.2,13.2,95,5,0,1.6,0.1,,0.1,11600,229900,1137500,,3050420000,2897065000,153355000,
138319.6,644100,8376851400,12603552900,4226701500,16830254400,1607005134.8,1335100637,2.6,115923.9,215.2,2,103200,52600,700525000,13.25,"2022-12-15T09:40:00.000Z",1671097200000,13.35,13.25,13.3,67.1,32.9,0,0.7,0.4,,0.5,50600,153800,1291300,,2045105000,1372815000,672290000,
138319.6,631000,8213281400,15790162900,7576881500,23367044400,1607005134.8,1335100637,-0.6,115923.9,215.2,0.9,239100,-13100,-163570000,13.25,"2022-12-15T09:45:00.000Z",1671097500000,13.4,13.2,13.3,48.7,51.3,0,1.7,2.2,,1.1,252200,491300,1782600,,6536790000,3186610000,3350180000,
138319.6,551000,7157961400,16293727900,9135766500,25429494400,1607005134.8,1335100637,-3.9,115923.9,215.2,0.3,38000,-80000,-1055320000,13.25,"2022-12-15T09:50:00.000Z",1671097800000,13.3,13.15,13.3,24.4,75.6,0,0.3,1,,3.1,118000,156000,1938600,,2062450000,503565000,1558885000,
138319.6,580700,7552346400,16915152900,9362806500,26277959400,1607005134.8,1335100637,1.5,115923.9,215.2,2.7,46900,29700,394385000,13.25,"2022-12-15T09:55:00.000Z",1671098100000,13.25,13.2,13.25,73.2,26.8,0,0.3,0.1,,0.4,17200,64100,2002700,,848465000,621425000,227040000,
138319.6,661900,8629431400,18372652900,9743221500,28115874400,1607005134.8,1335100637,4,115923.9,215.2,3.8,110000,81200,1077085000,13.2,"2022-12-15T10:00:00.000Z",1671098400000,13.25,13.2,13.25,79.3,20.7,0,0.8,0.2,,0.3,28800,138800,2141500,,1837915000,1457500000,380415000,
138319.6,532200,6918111400,19178212900,12260101500,31477914400,1607005134.8,1335100637,-6.3,115923.9,215.2,0.3,61000,-129700,-1711320000,13.2,"2022-12-15T10:05:00.000Z",1671098700000,13.25,13.15,13.2,23.9,74.9,1.2,0.4,1.6,13.9,3.1,190700,254700,2396200,3000,3362040000,805560000,2516880000,39600000
138319.6,560300,7289901400,19856692900,12566791500,32463084400,1607005134.8,1335100637,1.4,115923.9,215.2,2.2,51400,28100,371790000,13.15,"2022-12-15T10:10:00.000Z",1671099000000,13.2,13.15,13.2,68.8,31.2,0,0.4,0.2,,0.5,23300,74700,2470900,,985170000,678480000,306690000,
138319.6,474400,6161221400,20083207900,13921986500,34044794400,1607005134.8,1335100637,-4.2,115923.9,215.2,0.2,17200,-85900,-1128680000,13.1,"2022-12-15T10:15:00.000Z",1671099300000,13.2,13.1,13.2,14.3,85.7,0,0.1,0.9,,6,103100,120300,2591200,,1581710000,226515000,1355195000,
138319.6,360500,4669821400,20468972900,15799151500,36307724400,1607005134.8,1335100637,-5.5,115923.9,215.2,0.2,29400,-113900,-1491400000,13.1,"2022-12-15T10:20:00.000Z",1671099600000,13.15,13.05,13.1,17,83,0,0.2,1.2,,4.9,143300,172700,2763900,,2262930000,385765000,1877165000,
138319.6,248200,3217738400,20765602900,17547864500,38366117400,1607005134.8,1335100637,-5.3,115923.9,215.2,0.2,22700,-112300,-1452083000,13.05,"2022-12-15T10:25:00.000Z",1671099900000,13.1,13,13.05,14.3,85.1,0.6,0.2,1.2,4.6,5.9,135000,158700,2922600,1000,2058393000,296630000,1748713000,13050000
138319.6,183500,3453367000,21007527900,17554160900,38614338800,1607005134.8,1335100637,0.9,115923.9,215.2,0.2,18500,-64700,235628600,13,"2022-12-15T10:30:00.000Z",1671100200000,13.1,13,13.1,18.2,81.8,0,0.1,0.7,,4.5,83200,101700,3024300,,248221400,241925000,6296400,
138319.6,85800,3076933900,21223947600,18147013700,39449511300,1607005134.8,1335100637,-1.4,115923.9,215.2,0.2,28600,-97700,-376433100,12.95,"2022-12-15T10:35:00.000Z",1671100500000,13,12.9,13,18.2,80.5,1.3,0.2,1.1,9.3,4.4,126300,156900,3181200,2000,835172500,216419700,592852800,25900000
138319.6,109300,3295874700,21536128400,18240253700,39854932100,1607005134.8,1335100637,0.8,115923.9,215.2,4.3,30700,23500,218940800,12.95,"2022-12-15T10:40:00.000Z",1671100800000,13,12.95,12.95,81,19,0,0.2,0.1,,0.2,7200,37900,3219100,,405420800,312180800,93240000,
138319.6,176900,3329346000,21570104100,18240758100,39889412200,1607005134.8,1335100637,0.1,115923.9,215.2,2.7,106400,67600,33471300,13,"2022-12-15T10:45:00.000Z",1671101100000,13.05,13,13,73.3,26.7,0,0.8,0.3,,0.4,38800,145200,3364300,,34480100,33975700,504400,
138319.6,219300,3331200900,21572043500,18240842600,39891436100,1607005134.8,1335100637,0,115923.9,215.2,7.5,48900,42400,1854900,13,"2022-12-15T10:50:00.000Z",1671101400000,13.05,13,13,88.3,11.7,0,0.4,0.1,,0.1,6500,55400,3419700,,2023900,1939400,84500,
138319.6,245400,3331540200,21572382800,18240842600,39891775400,1607005134.8,1335100637,0,115923.9,215.2,Infinity,26100,26100,339300,13,"2022-12-15T10:55:00.000Z",1671101700000,13,13,13,100,0,0,0.2,,,0,,26100,3445800,,339300,339300,,
138319.6,176500,2432816700,21572389300,19139572600,40790511900,1607005134.8,1335100637,-3.3,115923.9,215.2,0,500,-68900,-898723500,12.95,"2022-12-15T11:00:00.000Z",1671102000000,13,12.95,13,0.7,99.3,0,0,0.6,,138.8,69400,69900,3515700,,898736500,6500,898730000,
138319.6,142000,1984748000,21826210600,19841462600,41746223200,1607005134.8,1335100637,-1.6,115923.9,215.2,0.4,19700,-34500,-448068700,12.95,"2022-12-15T11:05:00.000Z",1671102300000,13,12.95,13,26.7,73.3,0,0.1,0.5,,2.8,54200,73900,3589600,,955711300,253821300,701890000,
138319.6,132400,1861433000,22064490600,20203057600,42348688200,1607005134.8,1335100637,-0.5,115923.9,215.2,0.7,18400,-9600,-123315000,12.95,"2022-12-15T11:10:00.000Z",1671102600000,12.95,12.9,12.95,39.5,60.1,0.4,0.1,0.2,0.9,1.5,28000,46600,3636200,200,602465000,238280000,361595000,2590000
138319.6,149800,2086773000,22341620600,20254847600,42677608200,1607005134.8,1335100637,0.8,115923.9,215.2,5.4,21400,17400,225340000,12.95,"2022-12-15T11:15:00.000Z",1671102900000,12.95,12.9,12.95,84.3,15.7,0,0.2,0,,0.2,4000,25400,3661600,,328920000,277130000,51790000,
138319.6,221300,2087702500,22342550100,20254847600,42678537700,1607005134.8,1335100637,0,115923.9,215.2,Infinity,71500,71500,929500,13,"2022-12-15T11:20:00.000Z",1671103200000,13,13,13,100,0,0,0.5,,,0,,71500,3733100,,929500,929500,,
138319.6,143100,2157085700,22413112400,20256026700,42750279100,1607005134.8,1335100637,0.3,115923.9,215.2,0.1,12500,-78200,69383200,13,"2022-12-15T11:25:00.000Z",1671103500000,13.05,13,13,12.1,87.9,0,0.1,0.8,,7.3,90700,103200,3836300,,71741400,70562300,1179100,
138319.6,26100,-1123964800,22415809900,23539774700,46036724600,1607005134.8,1335100637,-12.1,115923.9,215.2,0.6,207500,-117000,-3281050500,13,"2022-12-15T13:00:00.000Z",1671109200000,13,12.95,12.95,39,61,0,1.5,2.8,,1.6,324500,532000,4368300,,3286445500,2697500,3283748000,
138319.6,-163100,-3470608800,22416316900,25886925700,48384382600,1607005134.8,1335100637,-8.6,115923.9,215.2,0.2,39000,-189200,-2346644000,13,"2022-12-15T13:05:00.000Z",1671109500000,13,12.95,12.95,14.6,85.4,0,0.3,2,,5.9,228200,267200,4635500,,2347658000,507000,2347151000,
138319.6,-176300,-4081406800,22418204500,26499611300,48998955800,1607005134.8,1335100637,-2.2,115923.9,215.2,0.9,145200,-13200,-610798000,13,"2022-12-15T13:10:00.000Z",1671109800000,13,12.95,12.95,47.8,52.2,0,1,1.4,,1.1,158400,303600,4939100,,614573200,1887600,612685600,
