"abu","acum_busd","acum_busd_val","acum_val","asd","auk","bs","bu","bu-sd","bu-sd_val","c","date","datetime","h","l","o","pbu","psd","puk","rbu","rsd","ruk","sb","sd","sum_vol","total_vol","uk","val","val_bu","val_sd","val_uk"
42.9,-600,-5760000,5760000,507.1,178.6,0,,-600,-5760000,9.6,"2022-12-15T09:02:00.000Z",1671094920000,9.6,9.6,9.6,0,100,0,,1.2,,Infinity,600,600,600,,5760000,,5760000,
42.9,-500,-4690000,6830000,507.1,178.6,Infinity,100,100,1070000,10.7,"2022-12-15T09:04:00.000Z",1671095040000,10.7,10.7,10.7,100,0,0,2.3,,,0,,100,700,,1070000,1070000,,
42.9,-600,-5670000,7810000,507.1,178.6,0,,-100,-980000.0000000001,9.8,"2022-12-15T09:30:00.000Z",1671096600000,9.8,9.8,9.8,0,100,0,,0.2,,Infinity,100,100,800,,980000.0000000001,,980000.0000000001,
42.9,-1400,-13510000,15650000,507.1,178.6,0,,-800,-7840000.000000001,9.8,"2022-12-15T09:38:00.000Z",1671097080000,9.8,9.8,9.8,0,100,0,,1.6,,Infinity,800,800,1600,,7840000.000000001,,7840000.000000001,
42.9,-1500,-14500000,16640000,507.1,178.6,0,,-100,-990000,9.9,"2022-12-15T10:36:00.000Z",1671100560000,9.9,9.9,9.9,0,100,0,,0.2,,Infinity,100,100,1700,,990000,,990000,
42.9,-1600,-15490000,17630000,507.1,178.6,0,,-100,-990000,9.9,"2022-12-15T10:42:00.000Z",1671100920000,9.9,9.9,9.9,0,100,0,,0.2,,Infinity,100,100,1800,,990000,,990000,
42.9,-2700,-26490000,28630000,507.1,178.6,0,,-1100,-11000000,10,"2022-12-15T11:06:00.000Z",1671102360000,10,10,10,0,100,0,,2.2,,Infinity,1100,1100,2900,,11000000,,11000000,
42.9,-3700,-36490000,38630000,507.1,178.6,0,,-1000,-10000000,10,"2022-12-15T11:10:00.000Z",1671102600000,10,10,10,0,100,0,,2,,Infinity,1000,1000,3900,,10000000,,10000000,
42.9,-3800,-37490000,49730000,507.1,178.6,0,,-100,-1000000,10,"2022-12-15T13:00:00.000Z",1671109200000,10.1,10,10.1,0,9.1,90.9,,0.2,5.6,Infinity,100,1100,5000,1000,11100000,,1000000,10100000
42.9,-3800,-37490000,53730000,507.1,178.6,NaN,,0,0,10,"2022-12-15T13:04:00.000Z",1671109440000,10,10,10,0,0,100,,,2.2,NaN,,400,5400,400,4000000,,,4000000
42.9,-3300,-32340000,58880000,507.1,178.6,Infinity,500,500,5150000,10.3,"2022-12-15T13:14:00.000Z",1671110040000,10.3,10.3,10.3,100,0,0,11.7,,,0,,500,5900,,5150000,5150000,,
42.9,-5300,-52340000,78880000,507.1,178.6,0,,-2000,-20000000,10,"2022-12-15T13:16:00.000Z",1671110160000,10,10,10,0,100,0,,3.9,,Infinity,2000,2000,7900,,20000000,,20000000,
42.9,-5300,-52340000,89880000,507.1,178.6,NaN,,0,0,10,"2022-12-15T13:26:00.000Z",1671110760000,10,10,10,0,0,100,,,6.2,NaN,,1100,9000,1100,11000000,,,11000000
42.9,-6500,-64340000,101880000,507.1,178.6,0,,-1200,-12000000,10,"2022-12-15T13:46:00.000Z",1671111960000,10,10,10,0,100,0,,2.4,,Infinity,1200,1200,10200,,12000000,,12000000,
