"abu","acum_busd","acum_busd_val","acum_val","asd","auk","bs","bu","bu-sd","bu-sd_val","c","date","datetime","h","l","o","pbu","psd","puk","rbu","rsd","ruk","sb","sd","sum_vol","total_vol","uk","val","val_bu","val_sd","val_uk"
45250,18200,433740000,1293530000,40666.4,5598.4,2.1,34500,18200,433740000,23.5,"2022-12-19T09:00:00.000Z",1671440400000,23.7,22.8,23.2,62.6,29.6,7.8,0.8,0.4,0.8,0.5,16300,55100,55100,4300,1293530000,813710000,379970000,99850000
45250,33200,785080000,1901590000,40666.4,5598.4,3.7,20500,15000,351340000,23.4,"2022-12-19T09:02:00.000Z",1671440520000,23.4,23.3,23.4,78.8,21.2,0,0.5,0.1,,0.3,5500,26000,81100,,608060000,479700000,128360000,
45250,40300,951220000,2479570000,40666.4,5598.4,1.8,15900,7100,166140000,23.4,"2022-12-19T09:04:00.000Z",1671440640000,23.4,23.4,23.4,64.4,35.6,0,0.4,0.2,,0.6,8800,24700,105800,,577980000,372060000,205920000,
45250,35200,832920000,3322300000,40666.4,5598.4,0.7,15100,-5100,-118300000,23.6,"2022-12-19T09:06:00.000Z",1671440760000,23.6,23.4,23.4,42.2,56.4,1.4,0.3,0.5,0.1,1.3,20200,35800,141600,500,842730000,356340000,474640000,11750000
45250,73400,1734560000,4370020000,40666.4,5598.4,13.3,41300,38200,901640000,23.6,"2022-12-19T09:08:00.000Z",1671440880000,23.6,23.5,23.6,93,7,0,0.9,0.1,,0.1,3100,44400,186000,,1047720000,974680000,73040000,
45250,118400,2801760000,6740120000,40666.4,5598.4,2.6,72500,45000,1067200000,23.7,"2022-12-19T09:10:00.000Z",1671441000000,23.8,23.6,23.6,72.5,27.5,0,1.6,0.7,,0.4,27500,100000,286000,,2370100000,1718650000,651450000,
45250,312000,6148571600,11985375600,40666.4,5598.4,5.8,233800,193600,3346811600,24.1,"2022-12-19T09:12:00.000Z",1671441120000,24.1,23.7,23.7,85.3,14.7,0,5.2,1,,0.2,40200,274000,560000,,5245255600,4296033600,949222000,
45250,525200,11377691600,26431695600,40666.4,5598.4,2.1,402100,213200,5229120000,24.3,"2022-12-19T09:14:00.000Z",1671441240000,24.5,24.1,24.1,68,32,0,8.9,4.6,,0.5,188900,591000,1151000,,14446320000,9837720000,4608600000,
45250,516900,11180286800,28220649200,40666.4,5598.4,0.9,53500,-8300,-197404800,23.9,"2022-12-19T09:16:00.000Z",1671441360000,24.4,23.9,24.3,46.4,53.6,0,1.2,1.5,,1.2,61800,115300,1266300,,1788953600,795774400,993179200,
45250,506500,10428363200,29045285600,40666.4,5598.4,0.7,22600,-10400,-751923600,23.8,"2022-12-19T09:18:00.000Z",1671441480000,24,23.8,23.9,40.6,59.4,0,0.5,0.8,,1.5,33000,55600,1321900,,824636400,36356400,788280000,
45250,544200,10095624000,31878056400,40666.4,5598.4,1.7,93200,37700,-332739200,23.9,"2022-12-19T09:20:00.000Z",1671441600000,24,23.8,23.8,54.8,32.6,12.6,2.1,1.4,3.8,0.6,55500,170200,1492100,21500,2832770800,993090800,1325830000,513849999.99999994
45250,634900,10883831200,33841123600,40666.4,5598.4,4.7,115300,90700,788207200,24,"2022-12-19T09:22:00.000Z",1671441720000,24,23.8,23.9,82.4,17.6,0,2.5,0.6,,0.2,24600,139900,1632000,,1963067200,1375637200,587430000,
