"abu","acum_busd","acum_busd_val","acum_val_bu","acum_val_sd","acum_val","avg_val_bu","avg_val_sd","rbusd","asd","auk","bs","bu","bu-sd","bu-sd_val","c","date","datetime","h","l","o","pbu","psd","puk","rbu","rsd","ruk","sb","sd","sum_vol","total_vol","uk","val","val_bu","val_sd","val_uk"
1818.2,300,7980000,7980000,0,7980000,42892072.7,21099090.9,0.4,790.9,0,Infinity,300,300,7980000,26.6,"2022-12-20T09:00:00.000Z",1671526800000,26.6,26.6,26.6,100,0,0,0.2,,,0,,300,300,,7980000,7980000,,
1818.2,3200,85120000,85120000,0,85120000,42892072.7,21099090.9,3.5,790.9,0,Infinity,2900,2900,77140000,26.6,"2022-12-20T09:24:00.000Z",1671528240000,26.6,26.6,26.6,100,0,0,1.6,,,0,,2900,3200,,77140000,77140000,,
1818.2,3300,87780000,87780000,0,87780000,42892072.7,21099090.9,0.1,790.9,0,Infinity,100,100,2660000,26.6,"2022-12-20T09:26:00.000Z",1671528360000,26.6,26.6,26.6,100,0,0,0.1,,,0,,100,3300,,2660000,2660000,,
1818.2,1400,37260000,90460000,53200000,143660000,42892072.7,21099090.9,2.3,790.9,0,0.1,100,-1900,-50520000,26.8,"2022-12-20T09:28:00.000Z",1671528480000,26.8,26.6,26.6,4.8,95.2,0,0.1,2.5,,20,2000,2100,5400,,55880000,2680000,53200000,
1818.2,1500,39940000,93140000,53200000,146340000,42892072.7,21099090.9,0.1,790.9,0,Infinity,100,100,2680000,26.8,"2022-12-20T09:32:00.000Z",1671528720000,26.8,26.8,26.8,100,0,0,0.1,,,0,,100,5500,,2680000,2680000,,
1818.2,7900,210820000,274700000,63880000,338580000,42892072.7,21099090.9,7.8,790.9,0,17,6800,6400,170880000,26.7,"2022-12-20T09:46:00.000Z",1671529560000,26.7,26.7,26.7,94.4,5.6,0,3.7,0.5,,0.1,400,7200,12700,,192240000,181560000,10680000,
1818.2,9900,261020000,324900000,63880000,388780000,42892072.7,21099090.9,2.3,790.9,0,Infinity,2000,2000,50200000,25.1,"2022-12-20T13:24:00.000Z",1671542640000,25.1,25.1,25.1,100,0,0,1.1,,,0,,2000,14700,,50200000,50200000,,
1818.2,10800,261041600,324921600,63880000,388801600,42892072.7,21099090.9,0,790.9,0,Infinity,900,900,21600,24,"2022-12-20T13:28:00.000Z",1671542880000,24,24,24,100,0,0,0.5,,,0,,900,15600,,21600,21600,,
1818.2,10400,215682800,324952800,109270000,434222800,42892072.7,21099090.9,2.1,790.9,0,0.8,1300,-400,-45358800,26.7,"2022-12-20T13:30:00.000Z",1671543000000,26.7,24,24,43.3,56.7,0,0.7,2.1,,1.3,1700,3000,18600,,45421200,31200,45390000,
1818.2,10000,205002800,386362800,181360000,567722800,42892072.7,21099090.9,0.5,790.9,0,0.9,2300,-400,-10680000,26.7,"2022-12-20T13:42:00.000Z",1671543720000,26.7,26.7,26.7,46,54,0,1.3,3.4,,1.2,2700,5000,23600,,133500000,61410000,72090000,
1818.2,11300,239722800,471812800,232090000,703902800,42892072.7,21099090.9,1.6,790.9,0,1.7,3200,1300,34720000,26.8,"2022-12-20T14:06:00.000Z",1671545160000,26.8,26.7,26.7,62.7,37.3,0,1.8,2.4,,0.6,1900,5100,28700,,136180000,85450000,50730000,
