"abu","acum_busd","acum_busd_val","acum_val_bu","acum_val_sd","acum_val","avg_val_bu","avg_val_sd","rbusd","asd","auk","bs","bu","bu-sd","bu-sd_val","c","date","datetime","h","l","o","pbu","psd","puk","rbu","rsd","ruk","sb","sd","sum_vol","total_vol","uk","val","val_bu","val_sd","val_uk"
15480,-157800,-4665384600,1212665400,5878050000,7379715400,412616722.2,972997424.4,8.3,35864.4,1042.2,0.2,44100,-157800,-4665384600,29.6,"2022-12-21T09:15:00.000Z",1671614100000,29.75,28.5,28.5,17.2,78.9,3.9,2.8,5.6,9.6,4.6,201900,256000,256000,10000,7379715400,1212665400,5878050000,289000000
15480,-125400,-3708229600,2355435400,6063665000,8708100400,412616722.2,972997424.4,-1.7,35864.4,1042.2,6.1,38700,32400,957155000,29.55,"2022-12-21T09:20:00.000Z",1671614400000,29.6,29.05,29.55,86,14,0,2.5,0.2,,0.2,6300,45000,301000,,1328385000,1142770000,185615000,
15480,-113200,-3347114600,2840845400,6187960000,9317805400,412616722.2,972997424.4,-0.6,35864.4,1042.2,3.9,16400,12200,361115000,29.55,"2022-12-21T09:25:00.000Z",1671614700000,29.65,29.55,29.55,79.6,20.4,0,1.1,0.1,,0.3,4200,20600,321600,,609705000,485410000,124295000,
15480,-120900,-3574319600,2870335400,6444655000,9612780400,412616722.2,972997424.4,0.4,35864.4,1042.2,0.1,1000,-7700,-227205000,29.3,"2022-12-21T09:30:00.000Z",1671615000000,29.55,29.3,29.55,10,87,3,0.1,0.2,0.3,8.7,8700,10000,331600,300,294975000,29490000,256695000,8790000
15480,-145000,-4274054600,3049060400,7323115000,10669965400,412616722.2,972997424.4,1.2,35864.4,1042.2,0.2,6100,-24100,-699735000,29.25,"2022-12-21T09:35:00.000Z",1671615300000,29.3,29.05,29.15,16.8,83.2,0,0.4,0.8,,5,30200,36300,367900,,1057185000,178725000,878460000,
15480,-136600,-4027219600,3579620400,7606840000,11484250400,412616722.2,972997424.4,-0.4,35864.4,1042.2,1.9,18100,8400,246835000,29.35,"2022-12-21T09:40:00.000Z",1671615600000,29.35,29.25,29.25,65.1,34.9,0,1.2,0.3,,0.5,9700,27800,395700,,814285000,530560000,283725000,
15480,-51400,-1510314600,6451055400,7961370000,14710215400,412616722.2,972997424.4,-4.5,35864.4,1042.2,8,97300,85200,2516905000,29.55,"2022-12-21T09:45:00.000Z",1671615900000,29.6,29.3,29.3,88.9,11.1,0,6.3,0.3,,0.1,12100,109400,505100,,3225965000,2871435000,354530000,
15480,-37700,-1104654600,7051655400,8156310000,15505755400,412616722.2,972997424.4,-0.7,35864.4,1042.2,3.1,20300,13700,405660000,29.6,"2022-12-21T09:50:00.000Z",1671616200000,29.6,29.5,29.5,75.5,24.5,0,1.3,0.2,,0.3,6600,26900,532000,,795540000,600600000,194940000,
15480,-35500,-1039484600,7208535400,8248020000,15754345400,412616722.2,972997424.4,-0.1,35864.4,1042.2,1.7,5300,2200,65170000,29.5,"2022-12-21T09:55:00.000Z",1671616500000,29.65,29.5,29.6,63.1,36.9,0,0.3,0.1,,0.6,3100,8400,540400,,248590000,156880000,91710000,
15480,-33000,-965704600,7420965400,8386670000,16105425400,412616722.2,972997424.4,-0.1,35864.4,1042.2,1.5,7200,2500,73780000,29.5,"2022-12-21T10:00:00.000Z",1671616800000,29.6,29.5,29.5,60.5,39.5,0,0.5,0.1,,0.7,4700,11900,552300,,351080000,212430000,138650000,
15480,-47600,-1393804600,7429785400,8823590000,16551165400,412616722.2,972997424.4,0.8,35864.4,1042.2,0,300,-14600,-428100000,29.3,"2022-12-21T10:05:00.000Z",1671617100000,29.4,29.3,29.4,2,98,0,0,0.4,,49.7,14900,15200,567500,,445740000,8820000,436920000,
15480,-48100,-1408454600,7429785400,8838240000,16565815400,412616722.2,972997424.4,0,35864.4,1042.2,0,,-500,-14650000,29.3,"2022-12-21T10:10:00.000Z",1671617400000,29.3,29.3,29.3,0,100,0,,0,,Infinity,500,500,568000,,14650000,,14650000,
15480,-49000,-1434819600,7441425400,8876245000,16615460400,412616722.2,972997424.4,0,35864.4,1042.2,0.3,400,-900,-26365000,29.1,"2022-12-21T10:15:00.000Z",1671617700000,29.3,29.1,29.3,23.5,76.5,0,0,0,,3.3,1300,1700,569700,,49645000,11640000,38005000,
15480,-116400,-1538542700,7493740400,9032283100,16948943500,412616722.2,972997424.4,0.2,35864.4,1042.2,0,1800,-67400,-103723100,29.1,"2022-12-21T10:20:00.000Z",1671618000000,29.1,29,29.1,2.4,91.9,5.7,0.1,1.9,4.1,38.4,69200,75300,645000,4300,333483100,52315000,156038100,125130000
15480,-121500,-1845228200,7496794900,9342023100,17261738000,412616722.2,972997424.4,0.5,35864.4,1042.2,0.5,5600,-5100,-306685500,28.9,"2022-12-21T10:25:00.000Z",1671618300000,29,28.9,29,34.4,65.6,0,0.4,0.3,,1.9,10700,16300,661300,,312794500,3054500,309740000,
15480,-97300,-1389706700,7984126400,9373833100,17835789500,412616722.2,972997424.4,-0.8,35864.4,1042.2,23,25300,24200,455521500,29.1,"2022-12-21T10:30:00.000Z",1671618600000,29.1,28.9,28.9,89.4,3.9,6.7,1.6,0,1.8,0,1100,28300,689600,1900,574051500,487331500,31810000,54910000
15480,-96300,-1360616700,8182996400,9543613100,18204439500,412616722.2,972997424.4,-0.1,35864.4,1042.2,1.2,6800,1000,29090000,29.3,"2022-12-21T10:35:00.000Z",1671618900000,29.4,29.2,29.2,54,46,0,0.4,0.2,,0.9,5800,12600,702200,,368650000,198870000,169780000,
15480,-98800,-1433866700,8182996400,9616863100,18277689500,412616722.2,972997424.4,0.1,35864.4,1042.2,0,,-2500,-73250000,29.3,"2022-12-21T10:40:00.000Z",1671619200000,29.3,29.3,29.3,0,100,0,,0.1,,Infinity,2500,2500,704700,,73250000,,73250000,
15480,-102200,-1532706700,8435756400,9968463100,18882049500,412616722.2,972997424.4,0.2,35864.4,1042.2,0.7,8600,-3400,-98840000,29.3,"2022-12-21T10:45:00.000Z",1671619500000,29.4,29.3,29.4,41.7,58.3,0,0.6,0.3,,1.4,12000,20600,725300,,604360000,252760000,351600000,
15480,-110500,-1687213700,8435947800,10123161500,19036939300,412616722.2,972997424.4,0.3,35864.4,1042.2,0.4,6600,-8300,-154507000,29,"2022-12-21T10:50:00.000Z",1671619800000,29.2,29,29.2,30.7,69.3,0,0.4,0.4,,2.3,14900,21500,746800,,154889800,191400,154698400,
15480,-133500,-2103623100,8513977800,10617600900,19609408700,412616722.2,972997424.4,0.7,35864.4,1042.2,0.1,2700,-23000,-416409400,28.9,"2022-12-21T11:00:00.000Z",1671620400000,29,28.9,29,9.5,90.5,0,0.2,0.7,,9.5,25700,28400,775200,,572469400,78030000,494439400,
15480,-131800,-2152654500,8525665400,10678319900,19681815300,412616722.2,972997424.4,0.1,35864.4,1042.2,1.5,4800,1700,-49031400,28.9,"2022-12-21T11:05:00.000Z",1671620700000,29,28.9,28.9,60.8,39.2,0,0.3,0.1,,0.6,3100,7900,783100,,72406600,11687600,60719000,
15480,-175300,-3408434500,8967480400,12375914900,21821225300,412616722.2,972997424.4,2.2,35864.4,1042.2,0.3,15300,-43500,-1255780000,28.8,"2022-12-21T11:10:00.000Z",1671621000000,28.95,28.8,28.95,20.6,79.4,0,1,1.6,,3.8,58800,74100,857200,,2139410000,441815000,1697595000,
15480,-171800,-3305889500,9505310400,12811199900,22794340300,412616722.2,972997424.4,-0.2,35864.4,1042.2,1.2,18600,3500,102545000,28.9,"2022-12-21T11:15:00.000Z",1671621300000,28.95,28.8,28.8,55.2,44.8,0,1.2,0.4,,0.8,15100,33700,890900,,973115000,537830000,435285000,
