"abu","acum_busd","acum_busd_val","acum_val","asd","auk","bs","bu","bu-sd","bu-sd_val","c","date","datetime","h","l","o","pbu","psd","puk","rbu","rsd","ruk","sb","sd","sum_vol","total_vol","uk","val","val_bu","val_sd","val_uk"
9514.3,-44900,-296508000,320072000,6414.3,4882.9,0,1700,-44900,-296508000,7,"2022-12-21T09:15:00.000Z",1671614100000,7,6.61,6.61,3.5,96.5,0,0.2,7.3,,27.4,46600,48300,48300,,320072000,11782000,308290000,
9514.3,-46300,-306069000,337673000,6414.3,4882.9,0.3,600,-1400,-9561000,6.79,"2022-12-21T09:30:00.000Z",1671615000000,6.84,6.7,6.84,23.1,76.9,0,0.1,0.3,,3.3,2000,2600,50900,,17601000,4020000,13581000,
9514.3,-49600,-328363000,380343000,6414.3,4882.9,0.3,1500,-3300,-22294000,6.68,"2022-12-21T09:35:00.000Z",1671615300000,6.8,6.68,6.79,23.8,76.2,0,0.2,0.7,,3.2,4800,6300,57200,,42670000,10188000,32482000,
9514.3,-55000,-364435000,437791000,6414.3,4882.9,0.2,1600,-5400,-36072000,6.68,"2022-12-21T09:40:00.000Z",1671615600000,6.68,6.68,6.68,18.6,81.4,0,0.2,1.1,,4.4,7000,8600,65800,,57448000,10688000,46760000,
9514.3,-34200,-222907000,583399000,6414.3,4882.9,70.3,21100,20800,141528000,6.8,"2022-12-21T09:45:00.000Z",1671615900000,6.82,6.76,6.76,98.6,1.4,0,2.2,0,,0,300,21400,87200,,145608000,143568000,2040000,
9514.3,-37600,-246027000,606519000,6414.3,4882.9,0,,-3400,-23120000,6.8,"2022-12-21T09:50:00.000Z",1671616200000,6.8,6.8,6.8,0,100,0,,0.5,,Infinity,3400,3400,90600,,23120000,,23120000,
9514.3,-23400,-149183000,703363000,6414.3,4882.9,Infinity,14200,14200,96844000,6.82,"2022-12-21T09:55:00.000Z",1671616500000,6.82,6.82,6.82,100,0,0,1.5,,,0,,14200,104800,,96844000,96844000,,
9514.3,-23300,-148498000,704048000,6414.3,4882.9,Infinity,100,100,685000,6.85,"2022-12-21T10:00:00.000Z",1671616800000,6.85,6.85,6.85,100,0,0,0,,,0,,100,104900,,685000,685000,,
9514.3,-95300,-638898000,1201268000,6414.3,4882.9,0,500,-72000,-490400000,6.8,"2022-12-21T10:05:00.000Z",1671617100000,6.82,6.8,6.82,0.7,99.3,0,0.1,11.3,,145,72500,73000,177900,,497220000,3410000,493810000,
9514.3,-93600,-627332000,1218282000,6414.3,4882.9,5.3,2100,1700,11566000,6.81,"2022-12-21T10:10:00.000Z",1671617400000,6.81,6.8,6.8,84,16,0,0.2,0.1,,0.2,400,2500,180400,,17014000,14290000,2724000,
