"abu","acum_busd","acum_busd_val","acum_val","asd","auk","bs","bu","bu-sd","bu-sd_val","c","date","datetime","h","l","o","pbu","psd","puk","rbu","rsd","ruk","sb","sd","sum_vol","total_vol","uk","val","val_bu","val_sd","val_uk"
1903,-3300,-6270000,6270000,2072.7,0,0,,-3300,-6270000,1.9,"2022-12-22T09:00:00.000Z",1671699600000,1.9,1.9,1.9,0,100,0,,1.6,,Infinity,3300,3300,3300,,6270000,,6270000,
1903,-9500,-18040000,18440000,2072.7,0,0,100,-6200,-11770000,2,"2022-12-22T09:34:00.000Z",1671701640000,2,1.9,1.9,1.6,98.4,0,0.1,3,,63,6300,6400,9700,,12170000,200000,11970000,
1903,-9000,-17040000,19440000,2072.7,0,Infinity,500,500,1000000,2,"2022-12-22T09:48:00.000Z",1671702480000,2,2,2,100,0,0,0.3,,,0,,500,10200,,1000000,1000000,,
1903,-8800,-16640000,19840000,2072.7,0,Infinity,200,200,400000,2,"2022-12-22T10:00:00.000Z",1671703200000,2,2,2,100,0,0,0.1,,,0,,200,10400,,400000,400000,,
1903,-8400,-15840000,20640000,2072.7,0,Infinity,400,400,800000,2,"2022-12-22T10:04:00.000Z",1671703440000,2,2,2,100,0,0,0.2,,,0,,400,10800,,800000,800000,,
1903,-7300,-13640000,22840000,2072.7,0,Infinity,1100,1100,2200000,2,"2022-12-22T10:06:00.000Z",1671703560000,2,2,2,100,0,0,0.6,,,0,,1100,11900,,2200000,2200000,,
1903,9200,19360000,55840000,2072.7,0,Infinity,16500,16500,33000000,2,"2022-12-22T10:26:00.000Z",1671704760000,2,2,2,100,0,0,8.7,,,0,,16500,28400,,33000000,33000000,,
1903,9300,19560000,56040000,2072.7,0,Infinity,100,100,200000,2,"2022-12-22T10:28:00.000Z",1671704880000,2,2,2,100,0,0,0.1,,,0,,100,28500,,200000,200000,,
1903,8900,18800000,56800000,2072.7,0,0,,-400,-760000,1.9,"2022-12-22T10:42:00.000Z",1671705720000,1.9,1.9,1.9,0,100,0,,0.2,,Infinity,400,400,28900,,760000,,760000,
1903,9000,19000000,57000000,2072.7,0,Infinity,100,100,200000,2,"2022-12-22T10:50:00.000Z",1671706200000,2,2,2,100,0,0,0.1,,,0,,100,29000,,200000,200000,,
1903,-10900,-18800000,95200000,2072.7,0,0,100,-19900,-37800000,2,"2022-12-22T10:56:00.000Z",1671706560000,2,1.9,1.9,0.5,99.5,0,0.1,9.6,,200,20000,20100,49100,,38200000,200000,38000000,
1903,-11000,-18990000,95390000,2072.7,0,0,,-100,-190000,1.9,"2022-12-22T10:58:00.000Z",1671706680000,1.9,1.9,1.9,0,100,0,,0,,Infinity,100,100,49200,,190000,,190000,
1903,-21000,-37990000,114390000,2072.7,0,0,,-10000,-19000000,1.9,"2022-12-22T11:04:00.000Z",1671707040000,1.9,1.9,1.9,0,100,0,,4.8,,Infinity,10000,10000,59200,,19000000,,19000000,
1903,-22200,-40270000,116670000,2072.7,0,0,,-1200,-2280000,1.9,"2022-12-22T11:06:00.000Z",1671707160000,1.9,1.9,1.9,0,100,0,,0.6,,Infinity,1200,1200,60400,,2280000,,2280000,
1903,-16300,-29060000,127880000,2072.7,0,Infinity,5900,5900,11210000,1.9,"2022-12-22T11:16:00.000Z",1671707760000,1.9,1.9,1.9,100,0,0,3.1,,,0,,5900,66300,,11210000,11210000,,
1903,-13300,-23360000,133580000,2072.7,0,Infinity,3000,3000,5700000,1.9,"2022-12-22T11:18:00.000Z",1671707880000,1.9,1.9,1.9,100,0,0,1.6,,,0,,3000,69300,,5700000,5700000,,
1903,-13200,-23160000,133780000,2072.7,0,Infinity,100,100,200000,2,"2022-12-22T11:22:00.000Z",1671708120000,2,2,2,100,0,0,0.1,,,0,,100,69400,,200000,200000,,
1903,-13100,-22960000,133980000,2072.7,0,Infinity,100,100,200000,2,"2022-12-22T13:00:00.000Z",1671714000000,2,2,2,100,0,0,0.1,,,0,,100,69500,,200000,200000,,
1903,-9600,-16310000,140630000,2072.7,0,Infinity,3500,3500,6650000,1.9,"2022-12-22T13:06:00.000Z",1671714360000,1.9,1.9,1.9,100,0,0,1.8,,,0,,3500,73000,,6650000,6650000,,
1903,-12600,-22010000,146330000,2072.7,0,0,,-3000,-5700000,1.9,"2022-12-22T13:08:00.000Z",1671714480000,1.9,1.9,1.9,0,100,0,,1.4,,Infinity,3000,3000,76000,,5700000,,5700000,
1903,-12800,-22390000,146710000,2072.7,0,0,,-200,-380000,1.9,"2022-12-22T13:28:00.000Z",1671715680000,1.9,1.9,1.9,0,100,0,,0.1,,Infinity,200,200,76200,,380000,,380000,
1903,-36500,-67420000,191740000,2072.7,0,0,,-23700,-45030000,1.9,"2022-12-22T13:36:00.000Z",1671716160000,1.9,1.9,1.9,0,100,0,,11.4,,Infinity,23700,23700,99900,,45030000,,45030000,
1903,-31500,-57920000,201240000,2072.7,0,Infinity,5000,5000,9500000,1.9,"2022-12-22T13:38:00.000Z",1671716280000,1.9,1.9,1.9,100,0,0,2.6,,,0,,5000,104900,,9500000,9500000,,
1903,-24100,-43860000,215300000,2072.7,0,Infinity,7400,7400,14060000,1.9,"2022-12-22T13:40:00.000Z",1671716400000,1.9,1.9,1.9,100,0,0,3.9,,,0,,7400,112300,,14060000,14060000,,
1903,-20900,-37780000,221380000,2072.7,0,Infinity,3200,3200,6080000,1.9,"2022-12-22T13:42:00.000Z",1671716520000,1.9,1.9,1.9,100,0,0,1.7,,,0,,3200,115500,,6080000,6080000,,
1903,-20800,-37590000,221570000,2072.7,0,Infinity,100,100,190000,1.9,"2022-12-22T13:46:00.000Z",1671716760000,1.9,1.9,1.9,100,0,0,0.1,,,0,,100,115600,,190000,190000,,
1903,-19900,-35880000,223280000,2072.7,0,Infinity,900,900,1710000,1.9,"2022-12-22T13:48:00.000Z",1671716880000,1.9,1.9,1.9,100,0,0,0.5,,,0,,900,116500,,1710000,1710000,,
1903,-16800,-29990000,229170000,2072.7,0,Infinity,3100,3100,5890000,1.9,"2022-12-22T13:50:00.000Z",1671717000000,1.9,1.9,1.9,100,0,0,1.6,,,0,,3100,119600,,5890000,5890000,,
1903,-17000,-30370000,229550000,2072.7,0,0,,-200,-380000,1.9,"2022-12-22T13:52:00.000Z",1671717120000,1.9,1.9,1.9,0,100,0,,0.1,,Infinity,200,200,119800,,380000,,380000,
1903,-16900,-30170000,229750000,2072.7,0,Infinity,100,100,200000,2,"2022-12-22T14:08:00.000Z",1671718080000,2,2,2,100,0,0,0.1,,,0,,100,119900,,200000,200000,,
1903,-16700,-29770000,230150000,2072.7,0,Infinity,200,200,400000,2,"2022-12-22T14:12:00.000Z",1671718320000,2,2,2,100,0,0,0.1,,,0,,200,120100,,400000,400000,,
1903,-15900,-28170000,231750000,2072.7,0,Infinity,800,800,1600000,2,"2022-12-22T14:18:00.000Z",1671718680000,2,2,2,100,0,0,0.4,,,0,,800,120900,,1600000,1600000,,
1903,-5600,-7570000,252350000,2072.7,0,Infinity,10300,10300,20600000,2,"2022-12-22T14:44:00.000Z",1671720240000,2,2,2,100,0,0,5.4,,,0,,10300,131200,,20600000,20600000,,
