"abu","acum_busd","acum_busd_val","acum_val_bu","acum_val_sd","acum_val","avg_val_bu","avg_val_sd","rbusd","asd","auk","bs","bu","bu-sd","bu-sd_val","c","date","datetime","h","l","o","pbu","psd","puk","rbu","rsd","ruk","sb","sd","sum_vol","total_vol","uk","val","val_bu","val_sd","val_uk"
2621.7,7500,256650000.00000003,266760000.00000003,10110000,276870000.00000006,60005239.1,96032102.2,-7.1,3567.4,304.3,26,7800,7500,256650000.00000003,34.2,"2022-12-22T09:15:00.000Z",1671700500000,34.2,33.7,34.2,96.3,3.7,0,3,0.1,,0,300,8100,8100,,276870000.00000006,266760000.00000003,10110000,
2621.7,8200,304816200,376490000,71673800,448163800.00000006,60005239.1,96032102.2,-1.3,3567.4,304.3,1.3,3200,700,48166200,34,"2022-12-22T09:20:00.000Z",1671700800000,34.3,34,34.3,56.1,43.9,0,1.2,0.7,,0.8,2500,5700,13800,,171293800,109730000,61563800,
2621.7,6100,230129600,379947400,149817800,529765200.00000006,60005239.1,96032102.2,2.1,3567.4,304.3,0.4,1200,-2100,-74686600,34.2,"2022-12-22T09:25:00.000Z",1671701100000,34.2,33.95,33.95,26.7,73.3,0,0.5,0.9,,2.8,3300,4500,18300,,81601400,3457400.0000000005,78144000,
2621.7,-1500,124506600,386774200,262267600,649041800,60005239.1,96032102.2,2.9,3567.4,304.3,0.1,400,-7600,-105623000,33.95,"2022-12-22T09:30:00.000Z",1671701400000,34.1,33.95,34.1,4.8,95.2,0,0.2,2.2,,20,8000,8400,26700,,119276600,6826800,112449800,
2621.7,-11700,-220888400,407139200,628027600,1035166800,60005239.1,96032102.2,9.6,3567.4,304.3,0.1,600,-10200,-345395000,33.85,"2022-12-22T09:35:00.000Z",1671701700000,33.95,33.85,33.95,5.3,94.7,0,0.2,3,,18,10800,11400,38100,,386125000,20365000,365760000,
2621.7,-12300,-241198400,437604200,678802600,1116406800,60005239.1,96032102.2,0.6,3567.4,304.3,0.6,900,-600,-20310000,33.85,"2022-12-22T09:40:00.000Z",1671702000000,33.85,33.85,33.85,37.5,62.5,0,0.3,0.4,,1.7,1500,2400,40500,,81240000,30465000,50775000,
2621.7,3000,-344562800,709523800,1054086600,1763610400,60005239.1,96032102.2,2.9,3567.4,304.3,2.3,27400,15300,-103364400,34,"2022-12-22T09:45:00.000Z",1671702300000,34,33.8,33.85,69.4,30.6,0,10.5,3.4,,0.4,12100,39500,80000,,647203600,271919600,375284000,
2621.7,1600,-303721200,750491200,1054212400,1804703600,60005239.1,96032102.2,-1.1,3567.4,304.3,0.6,2300,-1400,40841600,34.15,"2022-12-22T09:50:00.000Z",1671702600000,34.15,34,34,38.3,61.7,0,0.9,1,,1.6,3700,6000,86000,,41093200,40967400,125800,
2621.7,2900,-252503000,801716200,1054219200,1855935400,60005239.1,96032102.2,-1.4,3567.4,304.3,7.5,1500,1300,51218200,34,"2022-12-22T09:55:00.000Z",1671702900000,34.15,34,34.15,88.2,11.8,0,0.6,0.1,,0.1,200,1700,87700,,51231800,51225000,6800,
2621.7,13500,82269200,1150091800,1067822600,2217914400,60005239.1,96032102.2,-9.3,3567.4,304.3,22.2,11100,10600,334772200,34.2,"2022-12-22T10:00:00.000Z",1671703200000,34.2,33.95,34,95.7,4.3,0,4.2,0.1,,0,500,11600,99300,,361979000,348375600,13603400,
2621.7,16300,178029200,1276631800,1098602600,2375234400,60005239.1,96032102.2,-2.7,3567.4,304.3,4.1,3700,2800,95760000.00000001,34.2,"2022-12-22T10:05:00.000Z",1671703500000,34.2,34.2,34.2,80.4,19.6,0,1.4,0.3,,0.2,900,4600,103900,,157320000.00000003,126540000.00000001,30780000,
2621.7,17200,208889200,1324541800,1115652600,2440194400,60005239.1,96032102.2,-0.9,3567.4,304.3,2.8,1400,900,30860000,34.25,"2022-12-22T10:10:00.000Z",1671703800000,34.25,34.1,34.1,73.7,26.3,0,0.5,0.1,,0.4,500,1900,105800,,64960000,47910000,17050000,
2621.7,12800,58814200,1331391800,1272577600,2603969400,60005239.1,96032102.2,4.2,3567.4,304.3,0,200,-4400,-150075000,34.1,"2022-12-22T10:15:00.000Z",1671704100000,34.25,34.1,34.25,4.2,95.8,0,0.1,1.3,,23,4600,4800,110600,,163775000,6850000,156925000,
2621.7,4300,58590200,1372355000,1313764800,2686119800,60005239.1,96032102.2,0,3567.4,304.3,0.3,3500,-8500,-224000,34,"2022-12-22T10:20:00.000Z",1671704400000,34.1,33.9,34.1,22.6,77.4,0,1.3,3.4,,3.4,12000,15500,126100,,82150400,40963200,41187200,
2621.7,4400,58593600,1372358400,1313764800,2686123200,60005239.1,96032102.2,0,3567.4,304.3,Infinity,100,100,3400,34,"2022-12-22T10:25:00.000Z",1671704700000,34,34,34,100,0,0,0,,,0,,100,126200,,3400,3400,,
2621.7,8200,58722800,1372487600,1313764800,2686252400,60005239.1,96032102.2,0,3567.4,304.3,Infinity,3800,3800,129200,34,"2022-12-22T10:30:00.000Z",1671705000000,34,34,34,100,0,0,1.4,,,0,,3800,130000,,129200,129200,,
2621.7,7800,45162800,1372487600,1327324800,2699812400,60005239.1,96032102.2,0.4,3567.4,304.3,0,,-400,-13560000,33.9,"2022-12-22T10:35:00.000Z",1671705300000,33.9,33.9,33.9,0,100,0,,0.1,,Infinity,400,400,130400,,13560000,,13560000,
2621.7,6900,14607800,1372487600,1357879800,2730367400,60005239.1,96032102.2,0.8,3567.4,304.3,0,,-900,-30555000,33.95,"2022-12-22T10:40:00.000Z",1671705600000,33.95,33.95,33.95,0,100,0,,0.3,,Infinity,900,900,131300,,30555000,,30555000,
2621.7,7600,-36242400,1372562400,1408804800,2781367200,60005239.1,96032102.2,1.4,3567.4,304.3,1.5,2200,700,-50850200,34,"2022-12-22T10:45:00.000Z",1671705900000,34,33.95,33.95,59.5,40.5,0,0.8,0.4,,0.7,1500,3700,135000,,50999800,74800,50925000,
2621.7,7100,-36259400,1372562400,1408821800,2781384200,60005239.1,96032102.2,0,3567.4,304.3,0,,-500,-17000,34,"2022-12-22T10:50:00.000Z",1671706200000,34,34,34,0,100,0,,0.1,,Infinity,500,500,135500,,17000,,17000,
2621.7,8400,-19207200,1389621400,1408828600,2798450000,60005239.1,96032102.2,-0.5,3567.4,304.3,7.5,1500,1300,17052200,34,"2022-12-22T10:55:00.000Z",1671706500000,34.05,34,34.05,88.2,11.8,0,0.6,0.1,,0.1,200,1700,137200,,17065800,17059000,6800,
2621.7,8200,-19214000,1389621400,1408835400,2798456800,60005239.1,96032102.2,0,3567.4,304.3,0,,-200,-6800,34,"2022-12-22T11:00:00.000Z",1671706800000,34,34,34,0,100,0,,0.1,,Infinity,200,200,137400,,6800,,6800,
2621.7,5300,-100591000,1389624800,1490215800,2879840600,60005239.1,96032102.2,2.3,3567.4,304.3,0,100,-2900,-81377000,33.9,"2022-12-22T11:05:00.000Z",1671707100000,34,33.9,34,3.2,96.8,0,0,0.8,,30,3000,3100,140500,,81383800,3400,81380400,
2621.7,2400,-198901000,1389624800,1588525800,2978150600,60005239.1,96032102.2,2.7,3567.4,304.3,0,,-2900,-98310000,33.9,"2022-12-22T11:10:00.000Z",1671707400000,33.9,33.9,33.9,0,100,0,,0.8,,Infinity,2900,2900,143400,,98310000,,98310000,
2621.7,300,-269996000,1389624800,1659620800,3049245600,60005239.1,96032102.2,2,3567.4,304.3,0,,-2100,-71095000,33.85,"2022-12-22T11:15:00.000Z",1671707700000,33.9,33.85,33.9,0,100,0,,0.6,,Infinity,2100,2100,145500,,71095000,,71095000,
2621.7,-600,-310605800,1389635000,1700240800,3089875800,60005239.1,96032102.2,1.1,3567.4,304.3,0.3,300,-900,-40609800,34,"2022-12-22T11:20:00.000Z",1671708000000,34,33.85,33.85,20,80,0,0.1,0.3,,4,1200,1500,147000,,40630200,10200,40620000,
2621.7,1800,-310524200,1389720000,1700244200,3089964200,60005239.1,96032102.2,0,3567.4,304.3,25,2500,2400,81600,34,"2022-12-22T11:25:00.000Z",1671708300000,34,34,34,96.2,3.8,0,1,0,,0,100,2600,149600,,88400,85000,3400,
2621.7,-35400,-1550616200,1420140000,2970756200,4390896200,60005239.1,96032102.2,34.4,3567.4,304.3,0,900,-37200,-1240092000,33.7,"2022-12-22T13:00:00.000Z",1671714000000,34,33.7,33.85,2.3,97.7,0,0.3,10.7,,42.3,38100,39000,188600,,1300932000,30419999.999999996,1270512000,
2621.7,-34500,-1520231200,1460640000,2980871200,4441511200,60005239.1,96032102.2,-0.8,3567.4,304.3,4,1200,900,30385000,33.75,"2022-12-22T13:05:00.000Z",1671714300000,33.75,33.7,33.7,80,20,0,0.5,0.1,,0.3,300,1500,190100,,50615000,40500000,10115000,
2621.7,-30800,-1442148600,1538729400,2980878000,4519607400,60005239.1,96032102.2,-2.2,3567.4,304.3,19.5,3900,3700,78082600,34,"2022-12-22T13:10:00.000Z",1671714600000,34.05,33.75,33.75,95.1,4.9,0,1.5,0.1,,0.1,200,4100,194200,,78096200,78089400,6800,
