"abu","acum_busd","acum_busd_val","acum_val","asd","auk","bs","bu","bu-sd","bu-sd_val","c","date","datetime","h","l","o","pbu","psd","puk","rbu","rsd","ruk","sb","sd","sum_vol","total_vol","uk","val","val_bu","val_sd","val_uk"
9027.4,-31400,-587180000,590920000,5940.7,661.1,0,100,-31400,-587180000,18.7,"2022-12-22T09:14:00.000Z",1671700440000,18.7,18.7,18.7,0.3,99.7,0,0,5.3,,315,31500,31600,31600,,590920000,1870000,589050000,
9027.4,5900,112795000,1354305000,5940.7,661.1,22.9,39000,37300,699975000,18.9,"2022-12-22T09:16:00.000Z",1671700560000,18.9,18.65,18.65,95.8,4.2,0,4.3,0.3,,0,1700,40700,72300,,763385000,731680000,31704999.999999996,
9027.4,8800,167370000,1533320000,5940.7,661.1,1.9,6200,2900,54575000,18.8,"2022-12-22T09:18:00.000Z",1671700680000,18.95,18.75,18.95,65.3,34.7,0,0.7,0.6,,0.5,3300,9500,81800,,179015000,116795000,62220000,
9027.4,6900,131655000,1956315000,5940.7,661.1,0.8,10300,-1900,-35715000,18.75,"2022-12-22T09:20:00.000Z",1671700800000,18.8,18.75,18.8,45.8,54.2,0,1.1,2.1,,1.2,12200,22500,104300,,422995000,193640000,229355000,
9027.4,-6600,-120085000,2226765000,5940.7,661.1,0,500,-13500,-251740000,18.5,"2022-12-22T09:22:00.000Z",1671700920000,18.75,18.5,18.75,3.4,96.6,0,0.1,2.4,,28,14000,14500,118800,,270450000,9355000,261095000,
9027.4,-23400,-430445000,2559295000,5940.7,661.1,0,600,-16800,-310360000,18.4,"2022-12-22T09:24:00.000Z",1671701040000,18.6,18.4,18.5,3.3,96.7,0,0.1,2.9,,29,17400,18000,136800,,332530000,11085000,321445000,
9027.4,-34800,-639975000,2945945000,5940.7,661.1,0.3,4800,-11400,-209530000,18.4,"2022-12-22T09:26:00.000Z",1671701160000,18.45,18.4,18.4,22.9,77.1,0,0.5,2.7,,3.4,16200,21000,157800,,386650000,88560000,298090000,
9027.4,-36200,-665505000,3122785000,5940.7,661.1,0.7,4100,-1400,-25530000,18.45,"2022-12-22T09:28:00.000Z",1671701280000,18.5,18.35,18.4,42.7,57.3,0,0.5,0.9,,1.3,5500,9600,167400,,176840000,75655000,101185000,
9027.4,-26400,-484175000,3389215000,5940.7,661.1,5.3,12100,9800,181330000,18.65,"2022-12-22T09:30:00.000Z",1671701400000,18.65,18.45,18.45,84,16,0,1.3,0.4,,0.2,2300,14400,181800,,266430000,223880000,42550000,
9027.4,-25900,-474825000,3398565000,5940.7,661.1,Infinity,500,500,9350000,18.7,"2022-12-22T09:32:00.000Z",1671701520000,18.7,18.7,18.7,100,0,0,0.1,,,0,,500,182300,,9350000,9350000,,
9027.4,-28200,-517375000,3441115000,5940.7,661.1,0,,-2300,-42550000,18.5,"2022-12-22T09:34:00.000Z",1671701640000,18.5,18.5,18.5,0,100,0,,0.4,,Infinity,2300,2300,184600,,42550000,,42550000,
