"abu","acum_busd","acum_busd_val","acum_val_bu","acum_val_sd","acum_val","avg_val_bu","avg_val_sd","rbusd","asd","auk","bs","bu","bu-sd","bu-sd_val","c","date","datetime","h","l","o","pbu","psd","puk","rbu","rsd","ruk","sb","sd","sum_vol","total_vol","uk","val","val_bu","val_sd","val_uk"
3417.5,0,11158900,11170000,11100,11181100,338205965,190385260,0.1,1857.5,275,1,100,0,11158900,111,"2022-12-22T09:15:00.000Z",1671700500000,111.7,111,111.7,50,50,0,0,0.1,,1,100,200,200,,11181100,11170000,11100,
3417.5,-500,-65588700,1291622400,1357211100,2648833500,338205965,190385260,-0.5,1857.5,275,1,11600,-500,-76747600,112.2,"2022-12-22T09:20:00.000Z",1671700800000,112.7,112,112,48.9,51.1,0,3.4,6.5,,1,12100,23700,23900,,2637652400,1280452400,1357200000,
3417.5,19400,2167251300,3602942400,1435691100,5038633500,338205965,190385260,15.1,1857.5,275,29.4,20600,19900,2232840000,112.1,"2022-12-22T09:25:00.000Z",1671701100000,112.2,112.1,112.2,96.7,3.3,0,6,0.4,,0,700,21300,45200,,2389800000,2311320000,78480000,
3417.5,20100,2245941300,3715102400,1469161100,5184263500,338205965,190385260,0.5,1857.5,275,3.3,1000,700,78690000,111.3,"2022-12-22T09:30:00.000Z",1671701400000,112.2,111.3,112.1,76.9,23.1,0,0.3,0.2,,0.3,300,1300,46500,,145630000,112160000,33470000,
3417.5,27300,2896858100,4377250400,1480392300,5857642700,338205965,190385260,4.4,1857.5,275,37,7400,7200,650916800,112,"2022-12-22T09:35:00.000Z",1671701700000,112.2,112,112.2,97.4,2.6,0,2.2,0.1,,0,200,7600,54100,,673379200,662148000,11231200,
3417.5,27200,2874609300,4377261600,1502652300,5879913900,338205965,190385260,-0.2,1857.5,275,0.5,100,-100,-22248800,112,"2022-12-22T09:40:00.000Z",1671702000000,112,111.3,111.3,33.3,66.7,0,0,0.1,,2,200,300,54400,,22271200,11200,22260000,
3417.5,30300,3221289300,4746201600,1524912300,6271113900,338205965,190385260,2.3,1857.5,275,16.5,3300,3100,346680000,111.8,"2022-12-22T09:50:00.000Z",1671702600000,111.8,111.3,111.8,94.3,5.7,0,1,0.1,,0.1,200,3500,57900,,391200000,368940000,22260000,
3417.5,33900,3623049300,5147961600,1524912300,6672873900,338205965,190385260,2.7,1857.5,275,Infinity,3600,3600,401760000,111.6,"2022-12-22T09:55:00.000Z",1671702900000,111.6,111.6,111.6,100,0,0,1.1,,,0,,3600,61500,,401760000,401760000,,
3417.5,55100,5801379700,7449182000,1647802300,9152884300,338205965,190385260,14.7,1857.5,275,20.3,22300,21200,2178330400,112,"2022-12-22T10:00:00.000Z",1671703200000,112,111.6,111.6,93.3,4.6,2.1,6.5,0.6,1.8,0,1100,23900,85400,500,2480010400,2301220400,122890000,55900000
3417.5,55700,5936112500,8155623200,2219510700,10431033900,338205965,190385260,0.9,1857.5,275,1.1,6400,600,134732800,112.1,"2022-12-22T10:05:00.000Z",1671703500000,112.2,111.3,112.2,52.5,47.5,0,1.9,3.1,,0.9,5800,12200,97600,,1278149600,706441200,571708400,
3417.5,58200,6212083700,9309684400,3097600700,12463185100,338205965,190385260,1.9,1857.5,275,1.3,10400,2500,275971200,111.1,"2022-12-22T10:10:00.000Z",1671703800000,112.1,111.1,112.1,56.8,43.2,0,3,4.3,,0.8,7900,18300,115900,,2032151200,1154061200,878090000,
3417.5,57100,5958428800,9410787200,3452358400,12919045600,338205965,190385260,-1.7,1857.5,275,0.7,2800,-1100,-253654900,111,"2022-12-22T10:15:00.000Z",1671704100000,112.1,110.6,112,41.8,58.2,0,0.8,2.1,,1.4,3900,6700,122600,,455860500,101102800,354757700,
3417.5,41800,4243720000,9410798400,5167078400,14633776800,338205965,190385260,-11.6,1857.5,275,0,100,-15300,-1714708800,111.4,"2022-12-22T10:20:00.000Z",1671704400000,112,111.1,111.1,0.6,99.4,0,0,8.3,,154,15400,15500,138100,,1714731200,11200,1714720000,
3417.5,44800,4579820000,9879928400,5300108400,15235936800,338205965,190385260,2.3,1857.5,275,3.5,4200,3000,336100000,110.8,"2022-12-22T10:25:00.000Z",1671704700000,111.9,110.8,110.9,77.8,22.2,0,1.2,0.6,,0.3,1200,5400,143500,,602160000,469130000,133030000,
3417.5,44800,4579930000,9902198400,5322268400,15280366800,338205965,190385260,0,1857.5,275,1,200,0,110000,110.8,"2022-12-22T10:30:00.000Z",1671705000000,111.9,110.8,111.9,50,50,0,0.1,0.1,,1,200,400,143900,,44430000,22270000,22160000,
3417.5,40600,4115360000,9902198400,5786838400,15744936800,338205965,190385260,-3.1,1857.5,275,0,,-4200,-464570000,110.6,"2022-12-22T10:35:00.000Z",1671705300000,110.7,110.6,110.7,0,100,0,,2.3,,Infinity,4200,4200,148100,,464570000,,464570000,
3417.5,38500,3883300000,9913278400,6029978400,15999156800,338205965,190385260,-1.6,1857.5,275,0,100,-2100,-232060000,110.4,"2022-12-22T10:40:00.000Z",1671705600000,110.8,110.4,110.6,4.3,95.7,0,0,1.2,,22,2200,2300,150400,,254220000,11080000,243140000,
3417.5,37600,3784050000,9924358400,6140308400,16120566800,338205965,190385260,-0.7,1857.5,275,0.1,100,-900,-99250000,110.8,"2022-12-22T10:45:00.000Z",1671705900000,110.8,110.3,110.4,9.1,90.9,0,0,0.5,,10,1000,1100,151500,,121410000,11080000,110330000,
3417.5,37700,3795140000,9935448400,6140308400,16131656800,338205965,190385260,0.1,1857.5,275,Infinity,100,100,11090000,110.9,"2022-12-22T10:50:00.000Z",1671706200000,110.9,110.9,110.9,100,0,0,0,,,0,,100,151600,,11090000,11090000,,
3417.5,36700,3684730000,9935448400,6250718400,16242066800,338205965,190385260,-0.7,1857.5,275,0,,-1000,-110410000,110.3,"2022-12-22T11:05:00.000Z",1671707100000,110.6,110.3,110.6,0,100,0,,0.5,,Infinity,1000,1000,152600,,110410000,,110410000,
3417.5,36900,3706910000,9957628400,6250718400,16264246800,338205965,190385260,0.2,1857.5,275,Infinity,200,200,22180000,110.9,"2022-12-22T11:10:00.000Z",1671707400000,110.9,110.9,110.9,100,0,0,0.1,,,0,,200,152800,,22180000,22180000,,
3417.5,39400,3984160000,10234878400,6250718400,16541496800,338205965,190385260,1.9,1857.5,275,Infinity,2500,2500,277250000,110.9,"2022-12-22T11:20:00.000Z",1671708000000,110.9,110.9,110.9,100,0,0,0.7,,,0,,2500,155300,,277250000,277250000,,
3417.5,39000,3940030000,10245968400,6305938400,16607806800,338205965,190385260,-0.3,1857.5,275,0.2,100,-400,-44130000,110.9,"2022-12-22T11:25:00.000Z",1671708300000,110.9,110.4,110.5,16.7,83.3,0,0,0.3,,5,500,600,155900,,66310000,11090000,55220000,
3417.5,38500,3884860000,10245968400,6361108400,16662976800,338205965,190385260,-0.4,1857.5,275,0,,-500,-55170000,110.3,"2022-12-22T13:00:00.000Z",1671714000000,110.4,110.3,110.4,0,100,0,,0.3,,Infinity,500,500,156400,,55170000,,55170000,
3417.5,37000,3719410000,10245968400,6526558400,16828426800,338205965,190385260,-1.1,1857.5,275,0,,-1500,-165450000,110.3,"2022-12-22T13:05:00.000Z",1671714300000,110.3,110.3,110.3,0,100,0,,0.8,,Infinity,1500,1500,157900,,165450000,,165450000,
3417.5,36300,3642260000,10245968400,6603708400,16905576800,338205965,190385260,-0.5,1857.5,275,0,,-700,-77150000,110.2,"2022-12-22T13:10:00.000Z",1671714600000,110.3,110.2,110.3,0,100,0,,0.4,,Infinity,700,700,158600,,77150000,,77150000,
3417.5,38900,3930600000,10534308400,6603708400,17193916800,338205965,190385260,2,1857.5,275,Infinity,2600,2600,288340000,110.9,"2022-12-22T13:20:00.000Z",1671715200000,110.9,110.9,110.9,100,0,0,0.8,,,0,,2600,161200,,288340000,288340000,,
3417.5,39900,4041500000,10645208400,6603708400,17338056800,338205965,190385260,0.8,1857.5,275,Infinity,1000,1000,110900000,110.9,"2022-12-22T13:25:00.000Z",1671715500000,110.9,110.8,110.9,76.9,0,23.1,0.3,,1.1,0,,1300,162500,300,144140000,110900000,,33240000
