"abu","acum_busd","acum_busd_val","acum_val_bu","acum_val_sd","acum_val","avg_val_bu","avg_val_sd","rbusd","asd","auk","bs","bu","bu-sd","bu-sd_val","c","date","datetime","h","l","o","pbu","psd","puk","rbu","rsd","ruk","sb","sd","sum_vol","total_vol","uk","val","val_bu","val_sd","val_uk"
572.7,-1000,-5400000,0,5400000,5400000,2922727.3,8850000,0.9,1690.9,90.9,0,,-1000,-5400000,5.4,"2022-12-26T09:35:00.000Z",1672047300000,5.4,5.4,5.4,0,100,0,,0.6,,Infinity,1000,1000,1000,,5400000,,5400000,
572.7,-1000,-5400000,0,5400000,10900000,2922727.3,8850000,0,1690.9,90.9,NaN,,0,0,5.5,"2022-12-26T10:00:00.000Z",1672048800000,5.5,5.5,5.5,0,0,100,,,11,NaN,,1000,2000,1000,5500000,,,5500000
572.7,-5100,-27540000,0,27540000,33040000,2922727.3,8850000,3.7,1690.9,90.9,0,,-4100,-22140000,5.4,"2022-12-26T11:25:00.000Z",1672053900000,5.4,5.4,5.4,0,100,0,,2.4,,Infinity,4100,4100,6100,,22140000,,22140000,
572.7,-7100,-38140000,0,38140000,43640000,2922727.3,8850000,1.8,1690.9,90.9,0,,-2000,-10600000,5.3,"2022-12-26T13:30:00.000Z",1672061400000,5.3,5.3,5.3,0,100,0,,1.2,,Infinity,2000,2000,8100,,10600000,,10600000,
572.7,-7300,-39200000,0,39200000,44700000,2922727.3,8850000,0.2,1690.9,90.9,0,,-200,-1060000,5.3,"2022-12-26T13:45:00.000Z",1672062300000,5.3,5.3,5.3,0,100,0,,0.1,,Infinity,200,200,8300,,1060000,,1060000,
572.7,-7400,-39730000,0,39730000,45230000,2922727.3,8850000,0.1,1690.9,90.9,0,,-100,-530000,5.3,"2022-12-26T14:05:00.000Z",1672063500000,5.3,5.3,5.3,0,100,0,,0.1,,Infinity,100,100,8400,,530000,,530000,
572.7,-12300,-65200000,530000,65730000,71760000,2922727.3,8850000,4.3,1690.9,90.9,0,100,-4900,-25470000,5.2,"2022-12-26T14:10:00.000Z",1672063800000,5.3,5.2,5.3,2,98,0,0.2,3,,50,5000,5100,13500,,26530000,530000,26000000,
572.7,-12900,-68260000,530000,68790000,74820000,2922727.3,8850000,0.5,1690.9,90.9,0,,-600,-3060000,5.1,"2022-12-26T14:15:00.000Z",1672064100000,5.1,5.1,5.1,0,100,0,,0.4,,Infinity,600,600,14100,,3060000,,3060000,
572.7,-17300,-90700000,3080000,93780000,102360000,2922727.3,8850000,3.8,1690.9,90.9,0.1,500,-4400,-22440000,5.1,"2022-12-26T14:20:00.000Z",1672064400000,5.1,5.1,5.1,9.3,90.7,0,0.9,2.9,,9.8,4900,5400,19500,,27540000,2550000,24990000,
572.7,-18000,-94270000,3080000,97350000,105930000,2922727.3,8850000,0.6,1690.9,90.9,0,,-700,-3570000,5.1,"2022-12-26T14:25:00.000Z",1672064700000,5.1,5.1,5.1,0,100,0,,0.4,,Infinity,700,700,20200,,3570000,,3570000,
572.7,-12300,-65200000,32149999.999999996,97350000,135000000,2922727.3,8850000,-4.9,1690.9,90.9,Infinity,5700,5700,29069999.999999996,5.1,"2022-12-26T14:40:00.000Z",1672065600000,5.1,5.1,5.1,100,0,0,10,,,0,,5700,25900,,29069999.999999996,29069999.999999996,,
