"abu","acum_busd","acum_busd_val","acum_val","asd","auk","bs","bu","bu-sd","bu-sd_val","c","date","datetime","h","l","o","pbu","psd","puk","rbu","rsd","ruk","sb","sd","sum_vol","total_vol","uk","val","val_bu","val_sd","val_uk"
1731.3,-200,-680000,680000,543.8,18.8,0,,-200,-680000,3.4,"2022-12-27T09:15:00.000Z",1672132500000,3.4,3.4,3.4,0,100,0,,0.4,,Infinity,200,200,200,,680000,,680000,
1731.3,900,3170000,4530000,543.8,18.8,Infinity,1100,1100,3850000,3.5,"2022-12-27T09:20:00.000Z",1672132800000,3.5,3.5,3.5,100,0,0,0.6,,,0,,1100,1300,,3850000,3850000,,
1731.3,4700,16470000,17830000,543.8,18.8,Infinity,3800,3800,13300000,3.5,"2022-12-27T09:25:00.000Z",1672133100000,3.5,3.5,3.5,100,0,0,2.2,,,0,,3800,5100,,13300000,13300000,,
1731.3,4800,16819000,18179000,543.8,18.8,Infinity,100,100,349000,3.49,"2022-12-27T10:10:00.000Z",1672135800000,3.49,3.49,3.49,100,0,0,0.1,,,0,,100,5200,,349000,349000,,
1731.3,4900,17168000,18528000,543.8,18.8,Infinity,100,100,349000,3.49,"2022-12-27T10:25:00.000Z",1672136700000,3.49,3.49,3.49,100,0,0,0.1,,,0,,100,5300,,349000,349000,,
1731.3,5000,17517000,18877000,543.8,18.8,Infinity,100,100,349000,3.49,"2022-12-27T10:30:00.000Z",1672137000000,3.49,3.49,3.49,100,0,0,0.1,,,0,,100,5400,,349000,349000,,
1731.3,5100,17865000,20257000,543.8,18.8,Infinity,100,100,348000,3.48,"2022-12-27T10:45:00.000Z",1672137900000,3.48,3.44,3.44,25,0,75,0.1,,16,0,,400,5800,300,1380000,348000,,1032000
1731.3,4000,14092000,24030000,543.8,18.8,0,,-1100,-3773000,3.43,"2022-12-27T11:10:00.000Z",1672139400000,3.43,3.43,3.43,0,100,0,,2,,Infinity,1100,1100,6900,,3773000,,3773000,
1731.3,4000,14097000,24721000,543.8,18.8,1,100,0,5000,3.48,"2022-12-27T13:00:00.000Z",1672146000000,3.48,3.43,3.43,50,50,0,0.1,0.2,,1,100,200,7100,,691000,348000,343000,
1731.3,2900,10351000,29163000,543.8,18.8,0.1,100,-1100,-3746000,3.4,"2022-12-27T13:20:00.000Z",1672147200000,3.48,3.4,3.48,7.7,92.3,0,0.1,2.2,,12,1200,1300,8400,,4442000,348000,4094000,
1731.3,3000,10699000,29511000,543.8,18.8,Infinity,100,100,348000,3.48,"2022-12-27T13:25:00.000Z",1672147500000,3.48,3.48,3.48,100,0,0,0.1,,,0,,100,8500,,348000,348000,,
1731.3,3200,11394000,30206000,543.8,18.8,Infinity,200,200,695000,3.48,"2022-12-27T13:40:00.000Z",1672148400000,3.48,3.47,3.47,100,0,0,0.1,,,0,,200,8700,,695000,695000,,
1731.3,4200,14864000,33676000,543.8,18.8,Infinity,1000,1000,3470000,3.47,"2022-12-27T13:50:00.000Z",1672149000000,3.47,3.47,3.47,100,0,0,0.6,,,0,,1000,9700,,3470000,3470000,,
1731.3,12600,44142000,62954000,543.8,18.8,Infinity,8400,8400,29278000,3.5,"2022-12-27T14:20:00.000Z",1672150800000,3.5,3.47,3.47,100,0,0,4.9,,,0,,8400,18100,,29278000,29278000,,
1731.3,25100,88231000,107043000,543.8,18.8,Infinity,12500,12500,44089000,3.6,"2022-12-27T14:25:00.000Z",1672151100000,3.6,3.5,3.5,100,0,0,7.2,,,0,,12500,30500,,44089000,44089000,,
1731.3,19000,66881000,128393000,543.8,18.8,0,,-6100,-21350000,3.5,"2022-12-27T14:45:00.000Z",1672152300000,3.5,3.5,3.5,0,100,0,,11.2,,Infinity,6100,6100,36700,,21350000,,21350000,
