"abu","acum_busd","acum_busd_val","acum_val","asd","auk","bs","bu","bu-sd","bu-sd_val","c","date","datetime","h","l","o","pbu","psd","puk","rbu","rsd","ruk","sb","sd","sum_vol","total_vol","uk","val","val_bu","val_sd","val_uk"
3065.9,-38900,-155600000,155600000,4975.6,2.4,0,,-38900,-155600000,4,"2022-12-29T07:40:00.000Z",1672299600000,4,4,4,0,100,0,,7.8,,Infinity,38900,38900,329800,,155600000,,155600000,
3065.9,-39700,-158800000,158800000,4975.6,2.4,0,,-800,-3200000,4,"2022-12-29T08:55:00.000Z",1672304100000,4,4,4,0,100,0,,0.2,,Infinity,800,800,800,,3200000,,3200000,
3065.9,-18200,-70280000,276920000,4975.6,2.4,6.8,25200,21500,88520000,4.1,"2022-12-29T09:00:00.000Z",1672304400000,4.1,4,4,87.2,12.8,0,8.2,0.7,,0.1,3700,28900,29700,,118120000,103320000,14800000,
3065.9,-13300,-50190000,297010000,4975.6,2.4,Infinity,4900,4900,20090000,4.1,"2022-12-29T09:05:00.000Z",1672304700000,4.1,4.1,4.1,100,0,0,1.6,,,0,,4900,34600,,20090000,20090000,,
3065.9,-12500,-46650000,321350000,4975.6,2.4,1.3,3400,800,3539999.999999998,4.1,"2022-12-29T09:20:00.000Z",1672305600000,4.1,4,4,56.7,43.3,0,1.1,0.5,,0.8,2600,6000,40600,,24340000,13939999.999999998,10400000,
3065.9,-11200,-41320000,326680000,4975.6,2.4,Infinity,1300,1300,5330000,4.1,"2022-12-29T09:25:00.000Z",1672305900000,4.1,4.1,4.1,100,0,0,0.4,,,0,,1300,41900,,5330000,5330000,,
3065.9,27600,117759999.99999997,491500000,4975.6,2.4,56.4,39500,38800,159079999.99999997,4.1,"2022-12-29T09:30:00.000Z",1672306200000,4.1,4.1,4.1,98.3,1.7,0,12.9,0.1,,0,700,40200,82100,,164819999.99999997,161949999.99999997,2869999.9999999995,
3065.9,43000,182439999.99999997,556180000,4975.6,2.4,Infinity,15400,15400,64680000,4.2,"2022-12-29T09:35:00.000Z",1672306500000,4.2,4.2,4.2,100,0,0,5,,,0,,15400,97500,,64680000,64680000,,
3065.9,42200,179189999.99999997,561950000,4975.6,2.4,0.3,300,-800,-3250000,4.1,"2022-12-29T09:45:00.000Z",1672307100000,4.2,4.1,4.2,21.4,78.6,0,0.1,0.2,,3.7,1100,1400,98900,,5770000,1260000,4510000,
3065.9,42300,179609999.99999997,562370000,4975.6,2.4,Infinity,100,100,420000,4.2,"2022-12-29T10:00:00.000Z",1672308000000,4.2,4.2,4.2,100,0,0,0,,,0,,100,99000,,420000,420000,,
3065.9,42800,181709999.99999997,564470000,4975.6,2.4,Infinity,500,500,2100000,4.2,"2022-12-29T10:05:00.000Z",1672308300000,4.2,4.2,4.2,100,0,0,0.2,,,0,,500,99500,,2100000,2100000,,
3065.9,43000,182549999.99999997,565310000,4975.6,2.4,Infinity,200,200,840000,4.2,"2022-12-29T10:10:00.000Z",1672308600000,4.2,4.2,4.2,100,0,0,0.1,,,0,,200,99700,,840000,840000,,
3065.9,42500,180499999.99999997,567360000,4975.6,2.4,0,,-500,-2050000,4.1,"2022-12-29T10:25:00.000Z",1672309500000,4.1,4.1,4.1,0,100,0,,0.1,,Infinity,500,500,100200,,2050000,,2050000,
3065.9,41500,176399999.99999997,571460000,4975.6,2.4,0,,-1000,-4100000,4.1,"2022-12-29T10:30:00.000Z",1672309800000,4.1,4.1,4.1,0,100,0,,0.2,,Infinity,1000,1000,101200,,4100000,,4100000,
3065.9,37800,161229999.99999997,586630000,4975.6,2.4,0,,-3700,-15170000,4.1,"2022-12-29T10:35:00.000Z",1672310100000,4.1,4.1,4.1,0,100,0,,0.7,,Infinity,3700,3700,104900,,15170000,,15170000,
3065.9,32800,140729999.99999997,607130000,4975.6,2.4,0,,-5000,-20500000,4.1,"2022-12-29T10:40:00.000Z",1672310400000,4.1,4.1,4.1,0,100,0,,1,,Infinity,5000,5000,109900,,20500000,,20500000,
3065.9,15300,68979999.99999997,678880000,4975.6,2.4,0,,-17500,-71750000,4.1,"2022-12-29T10:45:00.000Z",1672310700000,4.1,4.1,4.1,0,100,0,,3.5,,Infinity,17500,17500,127400,,71750000,,71750000,
3065.9,13500,61599999.99999997,686260000,4975.6,2.4,0,,-1800,-7380000,4.1,"2022-12-29T10:50:00.000Z",1672311000000,4.1,4.1,4.1,0,100,0,,0.4,,Infinity,1800,1800,129200,,7380000,,7380000,
3065.9,20300,89479999.99999997,725620000,4975.6,2.4,5.9,8200,6800,27879999.999999993,4.1,"2022-12-29T10:55:00.000Z",1672311300000,4.1,4.1,4.1,85.4,14.6,0,2.7,0.3,,0.2,1400,9600,138800,,39359999.99999999,33619999.99999999,5739999.999999999,
3065.9,22300,97679999.99999997,749400000,4975.6,2.4,2.1,3900,2000,8199999.999999999,4.1,"2022-12-29T11:00:00.000Z",1672311600000,4.1,4.1,4.1,67.2,32.8,0,1.3,0.4,,0.5,1900,5800,144600,,23779999.999999996,15989999.999999998,7789999.999999999,
3065.9,24400,106299999.99999997,758430000,4975.6,2.4,Infinity,2100,2100,8620000,4.2,"2022-12-29T11:05:00.000Z",1672311900000,4.2,4.1,4.1,95.5,0,4.5,0.7,,41.7,0,,2200,146800,100,9030000,8620000,,409999.99999999994
3065.9,24900,108399999.99999997,760530000,4975.6,2.4,Infinity,500,500,2100000,4.2,"2022-12-29T11:10:00.000Z",1672312200000,4.2,4.2,4.2,100,0,0,0.2,,,0,,500,147300,,2100000,2100000,,
3065.9,26900,116599999.99999997,768730000,4975.6,2.4,Infinity,2000,2000,8200000,4.1,"2022-12-29T11:15:00.000Z",1672312500000,4.1,4.1,4.1,100,0,0,0.7,,,0,,2000,149300,,8200000,8200000,,
3065.9,32000,137519999.99999997,789650000,4975.6,2.4,Infinity,5100,5100,20920000,4.1,"2022-12-29T11:20:00.000Z",1672312800000,4.2,4.1,4.2,100,0,0,1.7,,,0,,5100,154400,,20920000,20920000,,
3065.9,32100,137929999.99999997,790060000,4975.6,2.4,Infinity,100,100,409999.99999999994,4.1,"2022-12-29T12:55:00.000Z",1672318500000,4.1,4.1,4.1,100,0,0,0,,,0,,100,154500,,409999.99999999994,409999.99999999994,,
3065.9,6700,36329999.99999997,891660000,4975.6,2.4,0,,-25400,-101600000,4,"2022-12-29T13:00:00.000Z",1672318800000,4,4,4,0,100,0,,5.1,,Infinity,25400,25400,179900,,101600000,,101600000,
3065.9,5900,33129999.99999997,894860000,4975.6,2.4,0,,-800,-3200000,4,"2022-12-29T13:05:00.000Z",1672319100000,4,4,4,0,100,0,,0.2,,Infinity,800,800,180700,,3200000,,3200000,
3065.9,-8100,-22870000.00000003,950860000,4975.6,2.4,0,,-14000,-56000000,4,"2022-12-29T13:10:00.000Z",1672319400000,4,4,4,0,100,0,,2.8,,Infinity,14000,14000,194700,,56000000,,56000000,
3065.9,-10100,-30870000.00000003,958860000,4975.6,2.4,0,,-2000,-8000000,4,"2022-12-29T13:15:00.000Z",1672319700000,4,4,4,0,100,0,,0.4,,Infinity,2000,2000,196700,,8000000,,8000000,
3065.9,-10200,-31240000.00000003,961690000,4975.6,2.4,0.8,300,-100,-370000.00000000023,4.1,"2022-12-29T13:25:00.000Z",1672320300000,4.1,4,4,42.9,57.1,0,0.1,0.1,,1.3,400,700,197400,,2830000,1229999.9999999998,1600000,
3065.9,-6600,-16480000.00000003,976450000,4975.6,2.4,Infinity,3600,3600,14760000,4.1,"2022-12-29T13:30:00.000Z",1672320600000,4.1,4.1,4.1,100,0,0,1.2,,,0,,3600,201000,,14760000,14760000,,
3065.9,-6700,-16880000.00000003,976850000,4975.6,2.4,0,,-100,-400000,4,"2022-12-29T13:40:00.000Z",1672321200000,4,4,4,0,100,0,,0,,Infinity,100,100,201100,,400000,,400000,
3065.9,-7400,-19680000.00000003,979650000,4975.6,2.4,0,,-700,-2800000,4,"2022-12-29T13:45:00.000Z",1672321500000,4,4,4,0,100,0,,0.1,,Infinity,700,700,201800,,2800000,,2800000,
3065.9,-80200,-310880000,1270850000,4975.6,2.4,0,,-72800,-291200000,4,"2022-12-29T13:50:00.000Z",1672321800000,4,4,4,0,100,0,,14.6,,Infinity,72800,72800,274600,,291200000,,291200000,
3065.9,-82200,-318880000,1278850000,4975.6,2.4,0,,-2000,-8000000,4,"2022-12-29T13:55:00.000Z",1672322100000,4,4,4,0,100,0,,0.4,,Infinity,2000,2000,276600,,8000000,,8000000,
3065.9,-87300,-339280000,1299250000,4975.6,2.4,0,,-5100,-20400000,4,"2022-12-29T14:00:00.000Z",1672322400000,4,4,4,0,100,0,,1,,Infinity,5100,5100,281700,,20400000,,20400000,
3065.9,-87200,-338870000,1299660000,4975.6,2.4,Infinity,100,100,409999.99999999994,4.1,"2022-12-29T14:05:00.000Z",1672322700000,4.1,4.1,4.1,100,0,0,0,,,0,,100,281800,,409999.99999999994,409999.99999999994,,
3065.9,-87000,-338050000,1300480000,4975.6,2.4,Infinity,200,200,819999.9999999999,4.1,"2022-12-29T14:10:00.000Z",1672323000000,4.1,4.1,4.1,100,0,0,0.1,,,0,,200,282000,,819999.9999999999,819999.9999999999,,
3065.9,-86800,-337220000,1302110000,4975.6,2.4,3,300,200,830000,4.1,"2022-12-29T14:15:00.000Z",1672323300000,4.1,4,4,75,25,0,0.1,0,,0.3,100,400,282400,,1630000,1230000,400000,
3065.9,-80300,-310570000,1328760000,4975.6,2.4,Infinity,6500,6500,26649999.999999996,4.1,"2022-12-29T14:20:00.000Z",1672323600000,4.1,4.1,4.1,100,0,0,2.1,,,0,,6500,288900,,26649999.999999996,26649999.999999996,,
3065.9,-78300,-302370000,1336960000,4975.6,2.4,Infinity,2000,2000,8200000,4.1,"2022-12-29T14:25:00.000Z",1672323900000,4.1,4.1,4.1,100,0,0,0.7,,,0,,2000,290900,,8200000,8200000,,
