"abu","acum_busd","acum_busd_val","acum_val","asd","auk","bs","bu","bu-sd","bu-sd_val","c","date","datetime","h","l","o","pbu","psd","puk","rbu","rsd","ruk","sb","sd","sum_vol","total_vol","uk","val","val_bu","val_sd","val_uk"
3477.2,-1500,-18900000,18900000,1498.2,0,0,,-1500,-18900000,12.6,"2022-12-29T09:14:00.000Z",1672305240000,12.6,12.6,12.6,0,100,0,,1,,Infinity,1500,1500,1500,,18900000,,18900000,
3477.2,-1400,-17610000,20190000,1498.2,0,Infinity,100,100,1290000,12.9,"2022-12-29T09:16:00.000Z",1672305360000,12.9,12.9,12.9,100,0,0,0,,,0,,100,1600,,1290000,1290000,,
3477.2,-2400,-30215000,32795000,1498.2,0,0,,-1000,-12605000,12.6,"2022-12-29T09:22:00.000Z",1672305720000,12.65,12.6,12.65,0,100,0,,0.7,,Infinity,1000,1000,2600,,12605000,,12605000,
3477.2,-4500,-56780000,59360000,1498.2,0,0,,-2100,-26565000,12.65,"2022-12-29T09:28:00.000Z",1672306080000,12.65,12.65,12.65,0,100,0,,1.4,,Infinity,2100,2100,4700,,26565000,,26565000,
3477.2,-3400,-42645000,73495000,1498.2,0,Infinity,1100,1100,14135000,12.85,"2022-12-29T09:32:00.000Z",1672306320000,12.85,12.85,12.85,100,0,0,0.3,,,0,,1100,5800,,14135000,14135000,,
3477.2,-3300,-41360000,74780000,1498.2,0,Infinity,100,100,1285000,12.85,"2022-12-29T09:34:00.000Z",1672306440000,12.85,12.85,12.85,100,0,0,0,,,0,,100,5900,,1285000,1285000,,
3477.2,-400,-4095000,112045000,1498.2,0,Infinity,2900,2900,37265000,12.85,"2022-12-29T09:36:00.000Z",1672306560000,12.85,12.85,12.85,100,0,0,0.8,,,0,,2900,8800,,37265000,37265000,,
3477.2,-200,-1525000,114615000,1498.2,0,Infinity,200,200,2570000,12.85,"2022-12-29T09:38:00.000Z",1672306680000,12.85,12.85,12.85,100,0,0,0.1,,,0,,200,9000,,2570000,2570000,,
3477.2,-800,-9205000,145335000,1498.2,0,0.6,900,-600,-7680000,12.8,"2022-12-29T09:40:00.000Z",1672306800000,12.8,12.8,12.8,37.5,62.5,0,0.3,1,,1.7,1500,2400,11400,,30720000,11520000,19200000,
3477.2,-3300,-41205000,177335000,1498.2,0,0,,-2500,-32000000,12.8,"2022-12-29T09:42:00.000Z",1672306920000,12.8,12.8,12.8,0,100,0,,1.7,,Infinity,2500,2500,13900,,32000000,,32000000,
3477.2,-3100,-38645000,179895000,1498.2,0,Infinity,200,200,2560000,12.8,"2022-12-29T09:44:00.000Z",1672307040000,12.8,12.8,12.8,100,0,0,0.1,,,0,,200,14100,,2560000,2560000,,
3477.2,-3000,-37365000,181175000,1498.2,0,Infinity,100,100,1280000,12.8,"2022-12-29T09:46:00.000Z",1672307160000,12.8,12.8,12.8,100,0,0,0,,,0,,100,14200,,1280000,1280000,,
3477.2,-3500,-43740000,187550000,1498.2,0,0,,-500,-6375000,12.75,"2022-12-29T09:52:00.000Z",1672307520000,12.75,12.75,12.75,0,100,0,,0.3,,Infinity,500,500,14700,,6375000,,6375000,
3477.2,-3600,-45015000,188825000,1498.2,0,0,,-100,-1275000,12.75,"2022-12-29T09:54:00.000Z",1672307640000,12.75,12.75,12.75,0,100,0,,0.1,,Infinity,100,100,14800,,1275000,,1275000,
3477.2,-2900,-36090000,197750000,1498.2,0,Infinity,700,700,8925000,12.75,"2022-12-29T09:56:00.000Z",1672307760000,12.75,12.75,12.75,100,0,0,0.2,,,0,,700,15500,,8925000,8925000,,
3477.2,-3400,-42465000,204125000,1498.2,0,0,,-500,-6375000,12.75,"2022-12-29T09:58:00.000Z",1672307880000,12.75,12.75,12.75,0,100,0,,0.3,,Infinity,500,500,16000,,6375000,,6375000,
3477.2,-1300,-15540000,254000000,1498.2,0,3.3,3000,2100,26925000,12.75,"2022-12-29T10:04:00.000Z",1672308240000,12.8,12.75,12.75,76.9,23.1,0,0.9,0.6,,0.3,900,3900,19900,,49875000,38400000,11475000,
3477.2,0,1100000,270640000,1498.2,0,Infinity,1300,1300,16640000,12.8,"2022-12-29T10:06:00.000Z",1672308360000,12.8,12.8,12.8,100,0,0,0.4,,,0,,1300,21200,,16640000,16640000,,
3477.2,-10200,-128930000,410910000,1498.2,0,0,400,-10200,-130030000,12.75,"2022-12-29T10:10:00.000Z",1672308600000,12.8,12.75,12.8,3.6,96.4,0,0.1,7.1,,26.5,10600,11000,32200,,140270000,5120000,135150000,
3477.2,-10000,-126380000,413460000,1498.2,0,Infinity,200,200,2550000,12.75,"2022-12-29T10:16:00.000Z",1672308960000,12.75,12.75,12.75,100,0,0,0.1,,,0,,200,32400,,2550000,2550000,,
3477.2,-6800,-85580000,454260000,1498.2,0,Infinity,3200,3200,40800000,12.75,"2022-12-29T10:18:00.000Z",1672309080000,12.75,12.75,12.75,100,0,0,0.9,,,0,,3200,35600,,40800000,40800000,,
3477.2,-6300,-79180000,460660000,1498.2,0,Infinity,500,500,6400000,12.8,"2022-12-29T10:20:00.000Z",1672309200000,12.8,12.8,12.8,100,0,0,0.1,,,0,,500,36100,,6400000,6400000,,
3477.2,-4900,-61260000,478580000,1498.2,0,Infinity,1400,1400,17920000,12.8,"2022-12-29T10:22:00.000Z",1672309320000,12.8,12.8,12.8,100,0,0,0.4,,,0,,1400,37500,,17920000,17920000,,
3477.2,-5900,-74060000,491380000,1498.2,0,0,,-1000,-12800000,12.8,"2022-12-29T10:26:00.000Z",1672309560000,12.8,12.8,12.8,0,100,0,,0.7,,Infinity,1000,1000,38500,,12800000,,12800000,
3477.2,-6900,-86810000,506680000,1498.2,0,0.1,100,-1000,-12750000,12.75,"2022-12-29T10:30:00.000Z",1672309800000,12.75,12.75,12.75,8.3,91.7,0,0,0.7,,11,1100,1200,39700,,15300000,1275000,14025000,
3477.2,-7900,-99560000,519430000,1498.2,0,0,,-1000,-12750000,12.75,"2022-12-29T10:38:00.000Z",1672310280000,12.75,12.75,12.75,0,100,0,,0.7,,Infinity,1000,1000,40700,,12750000,,12750000,
3477.2,-11100,-140200000,560070000,1498.2,0,0,,-3200,-40640000,12.7,"2022-12-29T10:44:00.000Z",1672310640000,12.7,12.7,12.7,0,100,0,,2.1,,Infinity,3200,3200,43900,,40640000,,40640000,
3477.2,-12300,-155440000,575310000,1498.2,0,0,,-1200,-15240000,12.7,"2022-12-29T11:06:00.000Z",1672311960000,12.7,12.7,12.7,0,100,0,,0.8,,Infinity,1200,1200,45100,,15240000,,15240000,
3477.2,600,9630000,740380000,1498.2,0,Infinity,12900,12900,165070000,12.8,"2022-12-29T11:10:00.000Z",1672312200000,12.8,12.75,12.75,100,0,0,3.7,,,0,,12900,58000,,165070000,165070000,,
3477.2,-1800,-21090000,781340000,1498.2,0,0.1,400,-2400,-30720000,12.8,"2022-12-29T11:12:00.000Z",1672312320000,12.8,12.8,12.8,12.5,87.5,0,0.1,1.9,,7,2800,3200,61200,,40960000,5120000,35840000,
3477.2,-8600,-107450000,867700000,1498.2,0,0,,-6800,-86360000,12.7,"2022-12-29T11:14:00.000Z",1672312440000,12.7,12.7,12.7,0,100,0,,4.5,,Infinity,6800,6800,68000,,86360000,,86360000,
