"abu","acum_busd","acum_busd_val","acum_val","asd","auk","bs","bu","bu-sd","bu-sd_val","c","date","datetime","h","l","o","pbu","psd","puk","rbu","rsd","ruk","sb","sd","sum_vol","total_vol","uk","val","val_bu","val_sd","val_uk"
241.7,-2000,-25600000,25600000,720.8,50,0,,-2000,-25600000,12.8,"2022-12-30T09:08:00.000Z",1672391280000,12.8,12.8,12.8,0,100,0,,2.8,,Infinity,2000,2000,2000,,25600000,,25600000,
241.7,-2200,-28160000,28160000,720.8,50,0,,-200,-2560000,12.8,"2022-12-30T09:24:00.000Z",1672392240000,12.8,12.8,12.8,0,100,0,,0.3,,Infinity,200,200,2200,,2560000,,2560000,
241.7,-2100,-26880000,29440000,720.8,50,Infinity,100,100,1280000,12.8,"2022-12-30T09:26:00.000Z",1672392360000,12.8,12.8,12.8,100,0,0,0.4,,,0,,100,2300,,1280000,1280000,,
241.7,-8100,-103680000,106240000,720.8,50,0,,-6000,-76800000,12.8,"2022-12-30T09:48:00.000Z",1672393680000,12.8,12.8,12.8,0,100,0,,8.3,,Infinity,6000,6000,8300,,76800000,,76800000,
241.7,-7700,-98560000,111360000,720.8,50,Infinity,400,400,5120000,12.8,"2022-12-30T09:52:00.000Z",1672393920000,12.8,12.8,12.8,100,0,0,1.7,,,0,,400,8700,,5120000,5120000,,
241.7,-7500,-96000000,113920000,720.8,50,Infinity,200,200,2560000,12.8,"2022-12-30T09:54:00.000Z",1672394040000,12.8,12.8,12.8,100,0,0,0.8,,,0,,200,8900,,2560000,2560000,,
241.7,-8000,-102350000,120270000,720.8,50,0,,-500,-6350000,12.7,"2022-12-30T10:16:00.000Z",1672395360000,12.7,12.7,12.7,0,100,0,,0.7,,Infinity,500,500,9400,,6350000,,6350000,
241.7,-8500,-108700000,126620000,720.8,50,0,,-500,-6350000,12.7,"2022-12-30T10:52:00.000Z",1672397520000,12.7,12.7,12.7,0,100,0,,0.7,,Infinity,500,500,9900,,6350000,,6350000,
241.7,-6500,-83100000,152220000,720.8,50,Infinity,2000,2000,25600000,12.8,"2022-12-30T11:12:00.000Z",1672398720000,12.8,12.8,12.8,100,0,0,8.3,,,0,,2000,11900,,25600000,25600000,,
241.7,-7100,-90630000,162290000,720.8,50,0.1,100,-600,-7530000,12.5,"2022-12-30T13:00:00.000Z",1672405200000,12.7,12.5,12.7,12.5,87.5,0,0.4,1,,7,700,800,12700,,10070000,1270000,8800000,
241.7,-7100,-90620000,164800000,720.8,50,1,100,0,10000,12.6,"2022-12-30T13:06:00.000Z",1672405560000,12.6,12.5,12.5,50,50,0,0.4,0.1,,1,100,200,12900,,2510000,1260000,1250000,
241.7,-7000,-89360000,166060000,720.8,50,Infinity,100,100,1260000,12.6,"2022-12-30T13:10:00.000Z",1672405800000,12.6,12.6,12.6,100,0,0,0.4,,,0,,100,13000,,1260000,1260000,,
241.7,-7100,-90610000,167310000,720.8,50,0,,-100,-1250000,12.5,"2022-12-30T13:12:00.000Z",1672405920000,12.5,12.5,12.5,0,100,0,,0.1,,Infinity,100,100,13100,,1250000,,1250000,
241.7,-8100,-103110000,179810000,720.8,50,0,,-1000,-12500000,12.5,"2022-12-30T13:18:00.000Z",1672406280000,12.5,12.5,12.5,0,100,0,,1.4,,Infinity,1000,1000,14100,,12500000,,12500000,
241.7,-10400,-131860000,208560000,720.8,50,0,,-2300,-28750000,12.5,"2022-12-30T13:20:00.000Z",1672406400000,12.5,12.5,12.5,0,100,0,,3.2,,Infinity,2300,2300,16400,,28750000,,28750000,
241.7,-11900,-150610000,227310000,720.8,50,0,,-1500,-18750000,12.5,"2022-12-30T13:38:00.000Z",1672407480000,12.5,12.5,12.5,0,100,0,,2.1,,Infinity,1500,1500,17900,,18750000,,18750000,
241.7,-12900,-163110000,239810000,720.8,50,0,,-1000,-12500000,12.5,"2022-12-30T13:54:00.000Z",1672408440000,12.5,12.5,12.5,0,100,0,,1.4,,Infinity,1000,1000,18900,,12500000,,12500000,
241.7,-13100,-165610000,242310000,720.8,50,0,,-200,-2500000,12.5,"2022-12-30T14:10:00.000Z",1672409400000,12.5,12.5,12.5,0,100,0,,0.3,,Infinity,200,200,19100,,2500000,,2500000,
241.7,-12600,-159360000,256060000,720.8,50,2.7,800,500,6250000,12.5,"2022-12-30T14:28:00.000Z",1672410480000,12.5,12.5,12.5,72.7,27.3,0,3.3,0.4,,0.4,300,1100,20200,,13750000,10000000,3750000,
241.7,-12500,-158110000,257310000,720.8,50,Infinity,100,100,1250000,12.5,"2022-12-30T14:32:00.000Z",1672410720000,12.5,12.5,12.5,100,0,0,0.4,,,0,,100,20300,,1250000,1250000,,
241.7,-11100,-140610000,274810000,720.8,50,Infinity,1400,1400,17500000,12.5,"2022-12-30T14:38:00.000Z",1672411080000,12.5,12.5,12.5,100,0,0,5.8,,,0,,1400,21700,,17500000,17500000,,
241.7,-10600,-134360000,281060000,720.8,50,Infinity,500,500,6250000,12.5,"2022-12-30T14:40:00.000Z",1672411200000,12.5,12.5,12.5,100,0,0,2.1,,,0,,500,22200,,6250000,6250000,,
241.7,-11500,-145520000,292220000,720.8,50,0,,-900,-11160000,12.4,"2022-12-30T14:46:00.000Z",1672411560000,12.4,12.4,12.4,0,100,0,,1.2,,Infinity,900,900,23100,,11160000,,11160000,
241.7,-11500,-145520000,307220000,720.8,50,NaN,,0,0,12.5,"2022-12-30T14:50:00.000Z",1672411800000,12.5,12.5,12.5,0,0,100,,,24,NaN,,1200,24300,1200,15000000,,,15000000
