"abu","acum_busd","acum_busd_val","acum_val_bu","acum_val_sd","acum_val","avg_val_bu","avg_val_sd","rbusd","asd","auk","bs","bu","bu-sd","bu-sd_val","c","date","datetime","h","l","o","pbu","psd","puk","rbu","rsd","ruk","sb","sd","sum_vol","total_vol","uk","val","val_bu","val_sd","val_uk"
1876.5,100,559000,559000,0,559000,11129647.1,14072794.1,-0.2,2350,5.9,Infinity,100,100,559000,5.59,"2022-12-30T09:40:00.000Z",1672393200000,5.59,5.59,5.59,100,0,0,0.1,,,0,,100,100,,559000,559000,,
1876.5,9800,55789000,56909000,1120000,58029000,11129647.1,14072794.1,-18.8,2350,5.9,49.5,9900,9700,55230000,5.7,"2022-12-30T09:45:00.000Z",1672393500000,5.7,5.6,5.6,98,2,0,5.3,0.1,,0,200,10100,10200,,57470000,56350000,1120000,
1876.5,40300,237840000,238960000,1120000,240080000,11129647.1,14072794.1,-61.9,2350,5.9,Infinity,30500,30500,182051000,5.99,"2022-12-30T09:50:00.000Z",1672393800000,5.99,5.88,5.9,100,0,0,16.3,,,0,,30500,40700,,182051000,182051000,,
1876.5,37200,219271000,244950000,25679000,270629000,11129647.1,14072794.1,6.3,2350,5.9,0.2,1000,-3100,-18569000,5.99,"2022-12-30T09:55:00.000Z",1672394100000,5.99,5.99,5.99,19.6,80.4,0,0.5,1.7,,4.1,4100,5100,45800,,30549000,5990000,24559000,
1876.5,35800,210885000,244950000,34065000,279015000,11129647.1,14072794.1,2.8,2350,5.9,0,,-1400,-8386000,5.99,"2022-12-30T10:00:00.000Z",1672394400000,5.99,5.99,5.99,0,100,0,,0.6,,Infinity,1400,1400,47200,,8386000,,8386000,
1876.5,24200,141401000,244950000,103549000,348499000,11129647.1,14072794.1,23.6,2350,5.9,0,,-11600,-69484000,5.99,"2022-12-30T10:05:00.000Z",1672394700000,5.99,5.99,5.99,0,100,0,,4.9,,Infinity,11600,11600,58800,,69484000,,69484000,
1876.5,12400,70719000,244950000,174231000,419181000,11129647.1,14072794.1,24,2350,5.9,0,,-11800,-70682000,5.99,"2022-12-30T10:10:00.000Z",1672395000000,5.99,5.99,5.99,0,100,0,,5,,Infinity,11800,11800,70600,,70682000,,70682000,
1876.5,11800,67125000,244950000,177825000,422775000,11129647.1,14072794.1,1.2,2350,5.9,0,,-600,-3594000,5.99,"2022-12-30T10:15:00.000Z",1672395300000,5.99,5.99,5.99,0,100,0,,0.3,,Infinity,600,600,71200,,3594000,,3594000,
1876.5,-900,-8948000,244950000,253898000,498848000,11129647.1,14072794.1,25.8,2350,5.9,0,,-12700,-76073000,5.99,"2022-12-30T10:20:00.000Z",1672395600000,5.99,5.99,5.99,0,100,0,,5.4,,Infinity,12700,12700,83900,,76073000,,76073000,
1876.5,-4400,-29913000,258727000,288640000,547367000,11129647.1,14072794.1,7.1,2350,5.9,0.4,2300,-3500,-20965000,5.99,"2022-12-30T10:25:00.000Z",1672395900000,5.99,5.99,5.99,28.4,71.6,0,1.2,2.5,,2.5,5800,8100,92000,,48519000,13777000,34742000,
