"abu","acum_busd","acum_busd_val","acum_val","asd","auk","bs","bu","bu-sd","bu-sd_val","c","date","datetime","h","l","o","pbu","psd","puk","rbu","rsd","ruk","sb","sd","sum_vol","total_vol","uk","val","val_bu","val_sd","val_uk"
618.8,200,10310000,10310000,187.5,18.8,Infinity,200,200,10310000,51.5,"2023-01-03T09:35:00.000Z",1672738500000,51.6,51.5,51.6,100,0,0,0.3,,,0,,200,200,,10310000,10310000,,
618.8,4200,216600000,319600000,187.5,18.8,5,5000,4000,206290000,51.6,"2023-01-03T09:40:00.000Z",1672738800000,51.6,51.5,51.5,83.3,16.7,0,8.1,5.3,,0.2,1000,6000,6200,,309290000,257790000,51500000,
618.8,5900,304320000,407320000,187.5,18.8,Infinity,1700,1700,87720000,51.6,"2023-01-03T09:45:00.000Z",1672739100000,51.6,51.6,51.6,100,0,0,2.7,,,0,,1700,7900,,87720000,87720000,,
618.8,6400,330110000,433110000,187.5,18.8,Infinity,500,500,25790000,51.6,"2023-01-03T10:00:00.000Z",1672740000000,51.6,51.5,51.5,100,0,0,0.8,,,0,,500,8400,,25790000,25790000,,
618.8,6600,340430000,443430000,187.5,18.8,Infinity,200,200,10320000,51.6,"2023-01-03T10:10:00.000Z",1672740600000,51.6,51.6,51.6,100,0,0,0.3,,,0,,200,8600,,10320000,10320000,,
618.8,6700,345780000,489580000,187.5,18.8,1.3,500,100,5350000,51,"2023-01-03T10:20:00.000Z",1672741200000,51.5,51,51.5,55.6,44.4,0,0.8,2.1,,0.8,400,900,9500,,46150000,25750000,20400000,
618.8,6800,350930000,494730000,187.5,18.8,Infinity,100,100,5150000,51.5,"2023-01-03T10:30:00.000Z",1672741800000,51.5,51.5,51.5,100,0,0,0.2,,,0,,100,9600,,5150000,5150000,,
618.8,6600,340730000,504930000,187.5,18.8,0,,-200,-10200000,51,"2023-01-03T10:55:00.000Z",1672743300000,51,51,51,0,100,0,,1.1,,Infinity,200,200,9800,,10200000,,10200000,
618.8,7200,371630000,535830000,187.5,18.8,Infinity,600,600,30900000,51.5,"2023-01-03T11:25:00.000Z",1672745100000,51.5,51.5,51.5,100,0,0,1,,,0,,600,10400,,30900000,30900000,,
618.8,7300,376780000,540980000,187.5,18.8,Infinity,100,100,5150000,51.5,"2023-01-03T13:00:00.000Z",1672750800000,51.5,51.5,51.5,100,0,0,0.2,,,0,,100,10500,,5150000,5150000,,
618.8,6200,321410000,611510000,187.5,18.8,0,,-1100,-55370000,50.3,"2023-01-03T13:50:00.000Z",1672753800000,50.6,50.3,50.4,0,78.6,21.4,,5.9,16,Infinity,1100,1400,11700,300,70530000,,55370000,15160000
618.8,6100,316510000,626690000,187.5,18.8,0.5,100,-100,-4900000,51.4,"2023-01-03T13:55:00.000Z",1672754100000,51.4,50.2,50.2,33.3,66.7,0,0.2,1.1,,2,200,300,12200,,15180000,5140000,10040000,
618.8,6300,326790000,636970000,187.5,18.8,Infinity,200,200,10280000,51.4,"2023-01-03T14:05:00.000Z",1672754700000,51.4,51.4,51.4,100,0,0,0.3,,,0,,200,12400,,10280000,10280000,,
618.8,6200,321750000,642010000,187.5,18.8,0,,-100,-5040000,50.4,"2023-01-03T14:15:00.000Z",1672755300000,50.4,50.4,50.4,0,100,0,,0.5,,Infinity,100,100,12500,,5040000,,5040000,
618.8,6400,332020000,652280000,187.5,18.8,Infinity,200,200,10270000,51.4,"2023-01-03T14:25:00.000Z",1672755900000,51.4,51.3,51.3,100,0,0,0.3,,,0,,200,12700,,10270000,10270000,,
618.8,6900,357770000,678030000,187.5,18.8,Infinity,500,500,25750000,51.5,"2023-01-03T14:45:00.000Z",1672757100000,51.5,51.5,51.5,100,0,0,0.8,,,0,,500,13200,,25750000,25750000,,
