"abu","acum_busd","acum_busd_val","acum_val_bu","acum_val_sd","acum_val","avg_val_bu","avg_val_sd","rbusd","asd","auk","bs","bu","bu-sd","bu-sd_val","c","date","datetime","h","l","o","pbu","psd","puk","rbu","rsd","ruk","sb","sd","sum_vol","total_vol","uk","val","val_bu","val_sd","val_uk"
141.2,-100,-4150000,0,4150000,4150000,5897352.9,11254117.6,0.8,270.6,0,0,,-100,-4150000,41.5,"2023-01-04T09:22:00.000Z",1672824120000,41.5,41.5,41.5,0,100,0,,0.4,,Infinity,100,100,100,,4150000,,4150000,
141.2,-200,-8300000,0,8300000,8300000,5897352.9,11254117.6,0.8,270.6,0,0,,-100,-4150000,41.5,"2023-01-04T09:40:00.000Z",1672825200000,41.5,41.5,41.5,0,100,0,,0.4,,Infinity,100,100,200,,4150000,,4150000,
141.2,-300,-12475000,0,12475000,12475000,5897352.9,11254117.6,0.8,270.6,0,0,,-100,-4175000,41.75,"2023-01-04T10:18:00.000Z",1672827480000,41.75,41.75,41.75,0,100,0,,0.4,,Infinity,100,100,300,,4175000,,4175000,
141.2,-400,-16645000,0,16645000,16645000,5897352.9,11254117.6,0.8,270.6,0,0,,-100,-4170000,41.7,"2023-01-04T10:26:00.000Z",1672827960000,41.7,41.7,41.7,0,100,0,,0.4,,Infinity,100,100,400,,4170000,,4170000,
141.2,-500,-20820000,0,20820000,20820000,5897352.9,11254117.6,0.8,270.6,0,0,,-100,-4175000,41.75,"2023-01-04T10:38:00.000Z",1672828680000,41.75,41.75,41.75,0,100,0,,0.4,,Infinity,100,100,500,,4175000,,4175000,
141.2,-700,-29165000,0,29165000,29165000,5897352.9,11254117.6,1.6,270.6,0,0,,-200,-8345000,41.7,"2023-01-04T10:54:00.000Z",1672829640000,41.75,41.7,41.75,0,100,0,,0.7,,Infinity,200,200,700,,8345000,,8345000,
141.2,-600,-24975000,4190000,29165000,33355000,5897352.9,11254117.6,0.8,270.6,0,Infinity,100,100,4190000,41.9,"2023-01-04T11:26:00.000Z",1672831560000,41.9,41.9,41.9,100,0,0,0.7,,,0,,100,800,,4190000,4190000,,
141.2,-700,-29145000,4190000,33335000,37525000,5897352.9,11254117.6,0.8,270.6,0,0,,-100,-4170000,41.7,"2023-01-04T13:10:00.000Z",1672837800000,41.7,41.7,41.7,0,100,0,,0.4,,Infinity,100,100,900,,4170000,,4170000,
141.2,-1200,-49995000,4190000,54185000,58375000,5897352.9,11254117.6,3.9,270.6,0,0,,-500,-20850000,41.7,"2023-01-04T13:20:00.000Z",1672838400000,41.7,41.7,41.7,0,100,0,,1.8,,Infinity,500,500,1400,,20850000,,20850000,
141.2,-700,-29135000,25050000,54185000,79235000,5897352.9,11254117.6,3.9,270.6,0,Infinity,500,500,20860000,41.8,"2023-01-04T13:26:00.000Z",1672838760000,41.8,41.7,41.7,100,0,0,3.5,,,0,,500,1900,,20860000,20860000,,
141.2,300,12665000,66850000,54185000,121035000,5897352.9,11254117.6,7.8,270.6,0,Infinity,1000,1000,41800000,41.8,"2023-01-04T13:30:00.000Z",1672839000000,41.8,41.8,41.8,100,0,0,7.1,,,0,,1000,2900,,41800000,41800000,,
141.2,700,29385000,83570000,54185000,137755000,5897352.9,11254117.6,3.1,270.6,0,Infinity,400,400,16720000,41.8,"2023-01-04T13:32:00.000Z",1672839120000,41.8,41.8,41.8,100,0,0,2.8,,,0,,400,3300,,16720000,16720000,,
141.2,400,16860000,83570000,66710000,150280000,5897352.9,11254117.6,2.3,270.6,0,0,,-300,-12525000,41.75,"2023-01-04T13:34:00.000Z",1672839240000,41.75,41.75,41.75,0,100,0,,1.1,,Infinity,300,300,3600,,12525000,,12525000,
141.2,500,21035000,87745000,66710000,154455000,5897352.9,11254117.6,0.8,270.6,0,Infinity,100,100,4175000,41.75,"2023-01-04T13:36:00.000Z",1672839360000,41.75,41.75,41.75,100,0,0,0.7,,,0,,100,3700,,4175000,4175000,,
141.2,300,12695000,96085000,83390000,179475000,5897352.9,11254117.6,1.6,270.6,0,0.5,200,-200,-8340000,41.7,"2023-01-04T13:44:00.000Z",1672839840000,41.7,41.7,41.7,33.3,66.7,0,1.4,1.5,,2,400,600,4300,,25020000,8340000,16680000,
141.2,300,12700000,100255000,87555000,187810000,5897352.9,11254117.6,0,270.6,0,1,100,0,5000,41.65,"2023-01-04T14:08:00.000Z",1672841280000,41.7,41.65,41.7,50,50,0,0.7,0.4,,1,100,200,4500,,8335000,4170000,4165000,
141.2,-2200,-91065000,100255000,191320000,291575000,5897352.9,11254117.6,19.4,270.6,0,0,,-2500,-103765000,41.5,"2023-01-04T14:16:00.000Z",1672841760000,41.6,41.5,41.6,0,100,0,,9.2,,Infinity,2500,2500,7000,,103765000,,103765000,
