"abu","acum_busd","acum_busd_val","acum_val_bu","acum_val_sd","acum_val","avg_val_bu","avg_val_sd","rbusd","asd","auk","bs","bu","bu-sd","bu-sd_val","c","date","datetime","h","l","o","pbu","psd","puk","rbu","rsd","ruk","sb","sd","sum_vol","total_vol","uk","val","val_bu","val_sd","val_uk"
637.5,-300,-2340000,0,2340000,2340000,4984375,10745000,0.4,1381.3,25,0,,-300,-2340000,7.8,"2023-01-04T09:16:00.000Z",1672823760000,7.8,7.8,7.8,0,100,0,,0.2,,Infinity,300,300,300,,2340000,,2340000,
637.5,5700,45060000,47400000,2340000,49740000,4984375,10745000,8.2,1381.3,25,Infinity,6000,6000,47400000,7.9,"2023-01-04T09:26:00.000Z",1672824360000,7.9,7.9,7.9,100,0,0,9.4,,,0,,6000,6300,,47400000,47400000,,
637.5,5700,45060000,47400000,2340000,51320000,4984375,10745000,0,1381.3,25,NaN,,0,0,7.9,"2023-01-04T09:28:00.000Z",1672824480000,7.9,7.9,7.9,0,0,100,,,8,NaN,,200,6500,200,1580000,,,1580000
637.5,3700,29460000,47400000,17940000,66920000,4984375,10745000,2.7,1381.3,25,0,,-2000,-15600000,7.8,"2023-01-04T09:46:00.000Z",1672825560000,7.8,7.8,7.8,0,100,0,,1.4,,Infinity,2000,2000,8500,,15600000,,15600000,
637.5,-8200,-63360000,47400000,110760000,159740000,4984375,10745000,16.1,1381.3,25,0,,-11900,-92820000,7.8,"2023-01-04T09:54:00.000Z",1672826040000,7.8,7.8,7.8,0,100,0,,8.6,,Infinity,11900,11900,20400,,92820000,,92820000,
637.5,-10300,-79520000,48180000,127700000,177460000,4984375,10745000,2.8,1381.3,25,0,100,-2100,-16160000,7.7,"2023-01-04T10:34:00.000Z",1672828440000,7.8,7.7,7.8,4.3,95.7,0,0.2,1.6,,22,2200,2300,22700,,17720000,780000,16940000,
637.5,-10500,-81080000,48180000,129260000,179020000,4984375,10745000,0.3,1381.3,25,0,,-200,-1560000,7.8,"2023-01-04T10:42:00.000Z",1672828920000,7.8,7.8,7.8,0,100,0,,0.1,,Infinity,200,200,22900,,1560000,,1560000,
637.5,-13500,-104480000,48180000,152660000,202420000,4984375,10745000,4.1,1381.3,25,0,,-3000,-23400000,7.8,"2023-01-04T10:50:00.000Z",1672829400000,7.8,7.8,7.8,0,100,0,,2.2,,Infinity,3000,3000,25900,,23400000,,23400000,
637.5,-13600,-105260000,48180000,153440000,203200000,4984375,10745000,0.1,1381.3,25,0,,-100,-780000,7.8,"2023-01-04T13:16:00.000Z",1672838160000,7.8,7.8,7.8,0,100,0,,0.1,,Infinity,100,100,26000,,780000,,780000,
637.5,-14500,-112280000,48180000,160460000,210220000,4984375,10745000,1.2,1381.3,25,0,,-900,-7020000,7.8,"2023-01-04T13:24:00.000Z",1672838640000,7.8,7.8,7.8,0,100,0,,0.7,,Infinity,900,900,26900,,7020000,,7020000,
637.5,-14600,-113050000,48180000,161230000,210990000,4984375,10745000,0.1,1381.3,25,0,,-100,-770000,7.7,"2023-01-04T14:10:00.000Z",1672841400000,7.7,7.7,7.7,0,100,0,,0.1,,Infinity,100,100,27000,,770000,,770000,
637.5,-15100,-116900000,48180000,165080000,214840000,4984375,10745000,0.7,1381.3,25,0,,-500,-3850000,7.7,"2023-01-04T14:18:00.000Z",1672841880000,7.7,7.7,7.7,0,100,0,,0.4,,Infinity,500,500,27500,,3850000,,3850000,
637.5,-12000,-93030000,72050000,165080000,238710000,4984375,10745000,4.1,1381.3,25,Infinity,3100,3100,23870000,7.7,"2023-01-04T14:30:00.000Z",1672842600000,7.7,7.7,7.7,100,0,0,4.9,,,0,,3100,30600,,23870000,23870000,,
637.5,-11000,-85330000,79750000,165080000,246410000,4984375,10745000,1.3,1381.3,25,Infinity,1000,1000,7700000,7.7,"2023-01-04T14:38:00.000Z",1672843080000,7.7,7.7,7.7,100,0,0,1.6,,,0,,1000,31600,,7700000,7700000,,
637.5,-11900,-92170000,79750000,171920000,253250000,4984375,10745000,1.2,1381.3,25,0,,-900,-6840000,7.6,"2023-01-04T14:50:00.000Z",1672843800000,7.6,7.6,7.6,0,100,0,,0.7,,Infinity,900,900,32500,,6840000,,6840000,
637.5,-11900,-92170000,79750000,171920000,254790000,4984375,10745000,0,1381.3,25,NaN,,0,0,7.7,"2023-01-04T14:56:00.000Z",1672844160000,7.7,7.7,7.7,0,0,100,,,8,NaN,,200,32700,200,1540000,,,1540000
