"abu","acum_busd","acum_busd_val","acum_val","asd","auk","bs","bu","bu-sd","bu-sd_val","c","date","datetime","h","l","o","pbu","psd","puk","rbu","rsd","ruk","sb","sd","sum_vol","total_vol","uk","val","val_bu","val_sd","val_uk"
1895.9,100,3285000,3285000,1297.3,1016.4,Infinity,100,100,3285000,32.85,"2023-01-05T09:14:00.000Z",1672910040000,32.85,32.85,32.85,100,0,0,0.1,,,0,,100,100,,3285000,3285000,,
1895.9,400,13110000,13110000,1297.3,1016.4,Infinity,300,300,9825000,32.75,"2023-01-05T09:24:00.000Z",1672910640000,32.75,32.75,32.75,100,0,0,0.2,,,0,,300,400,,9825000,9825000,,
1895.9,500,16385000,16385000,1297.3,1016.4,Infinity,100,100,3275000,32.75,"2023-01-05T09:26:00.000Z",1672910760000,32.75,32.75,32.75,100,0,0,0.1,,,0,,100,500,,3275000,3275000,,
1895.9,1600,52460000,52460000,1297.3,1016.4,Infinity,1100,1100,36075000,32.8,"2023-01-05T09:30:00.000Z",1672911000000,32.8,32.75,32.75,100,0,0,0.6,,,0,,1100,1600,,36075000,36075000,,
1895.9,600,19660000,85260000,1297.3,1016.4,0,,-1000,-32800000,32.8,"2023-01-05T09:32:00.000Z",1672911120000,32.8,32.8,32.8,0,100,0,,0.8,,Infinity,1000,1000,2600,,32800000,,32800000,
1895.9,1200,39370000,104970000,1297.3,1016.4,Infinity,600,600,19710000,32.85,"2023-01-05T09:34:00.000Z",1672911240000,32.85,32.85,32.85,100,0,0,0.3,,,0,,600,3200,,19710000,19710000,,
1895.9,1700,55795000,121395000,1297.3,1016.4,Infinity,500,500,16425000,32.85,"2023-01-05T09:50:00.000Z",1672912200000,32.85,32.85,32.85,100,0,0,0.3,,,0,,500,3700,,16425000,16425000,,
1895.9,2700,88645000,154245000,1297.3,1016.4,Infinity,1000,1000,32850000,32.85,"2023-01-05T09:56:00.000Z",1672912560000,32.85,32.85,32.85,100,0,0,0.5,,,0,,1000,4700,,32850000,32850000,,
1895.9,2800,91930000,173955000,1297.3,1016.4,Infinity,100,100,3285000,32.85,"2023-01-05T09:58:00.000Z",1672912680000,32.85,32.85,32.85,16.7,0,83.3,0.1,,0.5,0,,600,5300,500,19710000,3285000,,16425000
1895.9,2600,85360000,180525000,1297.3,1016.4,0,,-200,-6570000,32.85,"2023-01-05T10:00:00.000Z",1672912800000,32.85,32.85,32.85,0,100,0,,0.2,,Infinity,200,200,5500,,6570000,,6570000,
1895.9,600,19660000,246225000,1297.3,1016.4,0,,-2000,-65700000,32.85,"2023-01-05T10:02:00.000Z",1672912920000,32.85,32.85,32.85,0,100,0,,1.5,,Infinity,2000,2000,7500,,65700000,,65700000,
1895.9,-700,-23045000,288930000,1297.3,1016.4,0,,-1300,-42705000,32.85,"2023-01-05T10:06:00.000Z",1672913160000,32.85,32.85,32.85,0,100,0,,1,,Infinity,1300,1300,8800,,42705000,,42705000,
1895.9,-800,-26330000,292215000,1297.3,1016.4,0,,-100,-3285000,32.85,"2023-01-05T10:08:00.000Z",1672913280000,32.85,32.85,32.85,0,100,0,,0.1,,Infinity,100,100,8900,,3285000,,3285000,
1895.9,-1700,-55895000,321780000,1297.3,1016.4,0,,-900,-29565000,32.85,"2023-01-05T10:10:00.000Z",1672913400000,32.85,32.85,32.85,0,100,0,,0.7,,Infinity,900,900,9800,,29565000,,29565000,
1895.9,-1600,-52610000,325065000,1297.3,1016.4,Infinity,100,100,3285000,32.85,"2023-01-05T10:12:00.000Z",1672913520000,32.85,32.85,32.85,100,0,0,0.1,,,0,,100,9900,,3285000,3285000,,
1895.9,7000,230455000,608130000,1297.3,1016.4,Infinity,8600,8600,283065000,32.95,"2023-01-05T10:20:00.000Z",1672914000000,32.95,32.9,32.9,100,0,0,4.5,,,0,,8600,18500,,283065000,283065000,,
1895.9,15100,497790000,875465000,1297.3,1016.4,Infinity,8100,8100,267335000,33.1,"2023-01-05T10:22:00.000Z",1672914120000,33.1,32.95,32.95,100,0,0,4.3,,,0,,8100,26600,,267335000,267335000,,
1895.9,15000,494485000,878770000,1297.3,1016.4,0,,-100,-3304999.9999999995,33.05,"2023-01-05T10:24:00.000Z",1672914240000,33.05,33.05,33.05,0,100,0,,0.1,,Infinity,100,100,26700,,3304999.9999999995,,3304999.9999999995,
1895.9,15400,507765000,892050000,1297.3,1016.4,Infinity,400,400,13280000,33.2,"2023-01-05T10:26:00.000Z",1672914360000,33.2,33.2,33.2,100,0,0,0.2,,,0,,400,27100,,13280000,13280000,,
1895.9,12500,411785000,994670000,1297.3,1016.4,0,100,-2900,-95980000,33.1,"2023-01-05T10:30:00.000Z",1672914600000,33.2,33.1,33.2,3.2,96.8,0,0.1,2.3,,30,3000,3100,30200,,102620000,3320000.0000000005,99300000,
1895.9,10800,355600000,1050855000,1297.3,1016.4,0,,-1700,-56185000,33.05,"2023-01-05T10:32:00.000Z",1672914720000,33.05,33.05,33.05,0,100,0,,1.3,,Infinity,1700,1700,31900,,56185000,,56185000,
1895.9,8000,263070000,1156625000,1297.3,1016.4,0.1,200,-2800,-92530000,33.1,"2023-01-05T10:34:00.000Z",1672914840000,33.1,33.05,33.05,6.3,93.8,0,0.1,2.3,,15,3000,3200,35100,,105770000,6620000,99150000,
1895.9,8900,292865000,1193030000,1297.3,1016.4,10,1000,900,29795000,33.1,"2023-01-05T10:38:00.000Z",1672915080000,33.1,33.05,33.05,90.9,9.1,0,0.5,0.1,,0.1,100,1100,36200,,36405000,33100000,3304999.9999999995,
1895.9,5200,170615000.00000003,1434260000,1297.3,1016.4,0.3,1800,-3700,-122249999.99999997,33.05,"2023-01-05T10:42:00.000Z",1672915320000,33.05,33,33.05,24.7,75.3,0,0.9,4.2,,3.1,5500,7300,43500,,241229999.99999997,59489999.99999999,181739999.99999997,
1895.9,3200,104515000.00000003,1500360000,1297.3,1016.4,0,,-2000,-66099999.99999999,33.05,"2023-01-05T10:44:00.000Z",1672915440000,33.05,33.05,33.05,0,100,0,,1.5,,Infinity,2000,2000,45500,,66099999.99999999,,66099999.99999999,
1895.9,1700,55060000.00000003,1582915000,1297.3,1016.4,0.3,500,-1500,-49455000,33.1,"2023-01-05T10:50:00.000Z",1672915800000,33.1,33,33.1,20,80,0,0.3,1.5,,4,2000,2500,48000,,82555000,16550000,66005000,
1895.9,2000,64990000.00000003,1592845000,1297.3,1016.4,Infinity,300,300,9930000,33.1,"2023-01-05T10:52:00.000Z",1672915920000,33.1,33.1,33.1,100,0,0,0.2,,,0,,300,48300,,9930000,9930000,,
1895.9,8300,273780000,1854735000,1297.3,1016.4,8.9,7100,6300,208790000,33.2,"2023-01-05T10:54:00.000Z",1672916040000,33.2,33.1,33.1,89.9,10.1,0,3.7,0.6,,0.1,800,7900,56200,,261890000,235340000,26550000.000000004,
1895.9,8700,287060000,1868015000,1297.3,1016.4,Infinity,400,400,13280000.000000002,33.2,"2023-01-05T10:56:00.000Z",1672916160000,33.2,33.2,33.2,100,0,0,0.2,,,0,,400,56600,,13280000.000000002,13280000.000000002,,
1895.9,16100,533370000,2253765000,1297.3,1016.4,4.5,9500,7400,246310000,33.2,"2023-01-05T10:58:00.000Z",1672916280000,33.3,33.2,33.25,81.9,18.1,0,5,1.6,,0.2,2100,11600,68200,,385750000,316030000,69720000,
1895.9,48900,1626970000,3373885000,1297.3,1016.4,83,33200,32800,1093600000,33.5,"2023-01-05T11:00:00.000Z",1672916400000,33.5,33.15,33.2,98.8,1.2,0,17.5,0.3,,0,400,33600,101800,,1120120000,1106860000,13260000,
1895.9,50000,1663930000,3424285000,1297.3,1016.4,6.5,1300,1100,36960000,33.6,"2023-01-05T11:02:00.000Z",1672916520000,33.6,33.6,33.6,86.7,13.3,0,0.7,0.2,,0.2,200,1500,103300,,50400000,43680000,6720000,
1895.9,47900,1593950000,3507585000,1297.3,1016.4,0.1,200,-2100,-69980000,33.3,"2023-01-05T11:18:00.000Z",1672917480000,33.4,33.3,33.4,8,92,0,0.1,1.8,,11.5,2300,2500,105800,,83300000,6659999.999999999,76640000,
1895.9,50100,1667650000,3581285000,1297.3,1016.4,Infinity,2200,2200,73700000,33.5,"2023-01-05T11:22:00.000Z",1672917720000,33.5,33.5,33.5,100,0,0,1.2,,,0,,2200,108000,,73700000,73700000,,
1895.9,49100,1634155000,3621490000,1297.3,1016.4,0.1,100,-1000,-33495000,33.55,"2023-01-05T11:24:00.000Z",1672917840000,33.55,33.5,33.5,8.3,91.7,0,0.1,0.8,,11,1100,1200,109200,,40205000,3354999.9999999995,36850000,
1895.9,48900,1627490000,3641545000,1297.3,1016.4,0.5,200,-200,-6665000,33.45,"2023-01-05T13:00:00.000Z",1672923600000,33.5,33.4,33.5,33.3,66.7,0,0.1,0.3,,2,400,600,109800,,20055000,6695000,13360000,
1895.9,48600,1617470000,3651565000,1297.3,1016.4,0,,-300,-10020000,33.4,"2023-01-05T13:02:00.000Z",1672923720000,33.4,33.4,33.4,0,100,0,,0.2,,Infinity,300,300,110100,,10020000,,10020000,
1895.9,49100,1634220000,3668315000,1297.3,1016.4,Infinity,500,500,16750000,33.5,"2023-01-05T13:04:00.000Z",1672923840000,33.5,33.5,33.5,100,0,0,0.3,,,0,,500,110600,,16750000,16750000,,
1895.9,48600,1617495000,3685040000,1297.3,1016.4,0,,-500,-16725000,33.45,"2023-01-05T13:08:00.000Z",1672924080000,33.45,33.45,33.45,0,100,0,,0.4,,Infinity,500,500,111100,,16725000,,16725000,
1895.9,49600,1650995000,3718540000,1297.3,1016.4,Infinity,1000,1000,33500000,33.5,"2023-01-05T13:10:00.000Z",1672924200000,33.5,33.5,33.5,100,0,0,0.5,,,0,,1000,112100,,33500000,33500000,,
