"abu","acum_busd","acum_busd_val","acum_val_bu","acum_val_sd","acum_val","avg_val_bu","avg_val_sd","rbusd","asd","auk","bs","bu","bu-sd","bu-sd_val","c","date","datetime","h","l","o","pbu","psd","puk","rbu","rsd","ruk","sb","sd","sum_vol","total_vol","uk","val","val_bu","val_sd","val_uk"
5305.4,2700,5680000,12190000,6510000,18700000,11162432.4,5916064.9,1.1,12327,29.7,1.9,5800,2700,5680000,2.1,"2023-01-06T09:00:00.000Z",1672995600000,2.2,2.1,2.1,65.2,34.8,0,1.1,0.3,,0.5,3100,8900,8900,,18700000,12190000,6510000,
5305.4,2400,5050000,12190000,7140000,19330000,11162432.4,5916064.9,-0.1,12327,29.7,0,,-300,-630000,2.1,"2023-01-06T09:10:00.000Z",1672996200000,2.1,2.1,2.1,0,100,0,,0,,Infinity,300,300,9200,,630000,,630000,
5305.4,-5100,-10700000,12190000,22890000,35080000,11162432.4,5916064.9,-3,12327,29.7,0,,-7500,-15750000,2.1,"2023-01-06T09:15:00.000Z",1672996500000,2.1,2.1,2.1,0,100,0,,0.6,,Infinity,7500,7500,16700,,15750000,,15750000,
5305.4,-6600,-13810000,13070000,26880000,39950000,11162432.4,5916064.9,-0.6,12327,29.7,0.2,400,-1500,-3110000,2.1,"2023-01-06T09:20:00.000Z",1672996800000,2.2,2.1,2.1,17.4,82.6,0,0.1,0.2,,4.8,1900,2300,19000,,4870000,880000,3990000,
5305.4,-9600,-20110000,13070000,33180000,46250000,11162432.4,5916064.9,-1.2,12327,29.7,0,,-3000,-6300000,2.1,"2023-01-06T09:25:00.000Z",1672997100000,2.1,2.1,2.1,0,100,0,,0.2,,Infinity,3000,3000,22000,,6300000,,6300000,
5305.4,-9700,-20320000,13070000,33390000,46460000,11162432.4,5916064.9,0,12327,29.7,0,,-100,-210000,2.1,"2023-01-06T09:40:00.000Z",1672998000000,2.1,2.1,2.1,0,100,0,,0,,Infinity,100,100,22100,,210000,,210000,
5305.4,69800,146630000,193670000,47040000,240710000,11162432.4,5916064.9,31.8,12327,29.7,13.2,86000,79500,166950000,2.1,"2023-01-06T09:50:00.000Z",1672998600000,2.1,2.1,2.1,93,7,0,16.2,0.5,,0.1,6500,92500,114600,,194250000,180600000,13650000,
5305.4,70100,147270000,194520000,47250000,244080000,11162432.4,5916064.9,0.1,12327,29.7,4,400,300,640000,2.2,"2023-01-06T09:55:00.000Z",1672998900000,2.2,2.1,2.1,25,6.3,68.8,0.1,0,37,0.3,100,1600,116200,1100,3370000,850000,210000,2310000
5305.4,71100,149470000,196720000,47250000,246280000,11162432.4,5916064.9,0.4,12327,29.7,Infinity,1000,1000,2200000,2.2,"2023-01-06T10:00:00.000Z",1672999200000,2.2,2.2,2.2,100,0,0,0.2,,,0,,1000,117200,,2200000,2200000,,
5305.4,70700,148640000,196940000,48300000,247550000,11162432.4,5916064.9,-0.2,12327,29.7,0.2,100,-400,-830000,2.1,"2023-01-06T10:10:00.000Z",1672999800000,2.2,2.1,2.2,16.7,83.3,0,0,0,,5,500,600,117800,,1270000,220000.00000000003,1050000,
5305.4,70800,148860000,197160000,48300000,247770000,11162432.4,5916064.9,0,12327,29.7,Infinity,100,100,220000.00000000003,2.2,"2023-01-06T10:15:00.000Z",1673000100000,2.2,2.2,2.2,100,0,0,0,,,0,,100,117900,,220000.00000000003,220000.00000000003,,
5305.4,71400,150180000,198480000,48300000,249090000,11162432.4,5916064.9,0.3,12327,29.7,Infinity,600,600,1320000,2.2,"2023-01-06T10:25:00.000Z",1673000700000,2.2,2.2,2.2,100,0,0,0.1,,,0,,600,118500,,1320000,1320000,,
5305.4,66200,139260000,198480000,59220000,260010000,11162432.4,5916064.9,-2.1,12327,29.7,0,,-5200,-10920000,2.1,"2023-01-06T10:40:00.000Z",1673001600000,2.1,2.1,2.1,0,100,0,,0.4,,Infinity,5200,5200,123700,,10920000,,10920000,
5305.4,66300,139480000,198700000,59220000,260230000,11162432.4,5916064.9,0,12327,29.7,Infinity,100,100,220000.00000000003,2.2,"2023-01-06T10:45:00.000Z",1673001900000,2.2,2.2,2.2,100,0,0,0,,,0,,100,123800,,220000.00000000003,220000.00000000003,,
5305.4,71300,150480000,209700000,59220000,271230000,11162432.4,5916064.9,2.1,12327,29.7,Infinity,5000,5000,11000000,2.2,"2023-01-06T10:50:00.000Z",1673002200000,2.2,2.2,2.2,100,0,0,0.9,,,0,,5000,128800,,11000000,11000000,,
5305.4,70700,149230000,209920000,60690000,272920000,11162432.4,5916064.9,-0.2,12327,29.7,0.1,100,-600,-1250000,2.2,"2023-01-06T11:00:00.000Z",1673002800000,2.2,2.1,2.1,12.5,87.5,0,0,0.1,,7,700,800,129600,,1690000,220000.00000000003,1470000,
5305.4,67200,141890000,210140000,68250000,280700000,11162432.4,5916064.9,-1.4,12327,29.7,0,100,-3500,-7340000,2.1,"2023-01-06T11:05:00.000Z",1673003100000,2.2,2.1,2.2,2.7,97.3,0,0,0.3,,36,3600,3700,133300,,7780000,220000.00000000003,7560000,
5305.4,63500,134130000,210360000,76230000,288900000,11162432.4,5916064.9,-1.5,12327,29.7,0,100,-3700,-7760000,2.1,"2023-01-06T11:10:00.000Z",1673003400000,2.2,2.1,2.2,2.6,97.4,0,0,0.3,,38,3800,3900,137200,,8200000,220000.00000000003,7980000,
