"abu","acum_busd","acum_busd_val","acum_val_bu","acum_val_sd","acum_val","avg_val_bu","avg_val_sd","rbusd","asd","auk","bs","bu","bu-sd","bu-sd_val","c","date","datetime","h","l","o","pbu","psd","puk","rbu","rsd","ruk","sb","sd","sum_vol","total_vol","uk","val","val_bu","val_sd","val_uk"
465,-300,-2310000,0,2310000,2310000,3627000,12936000,0.2,1680,100,0,,-300,-2310000,7.7,"2023-01-09T09:10:00.000Z",1673255400000,7.7,7.7,7.7,0,100,0,,0.2,,Infinity,300,300,300,,2310000,,2310000,
465,-5700,-43890000,0,43890000,43890000,3627000,12936000,4.5,1680,100,0,,-5400,-41580000,7.7,"2023-01-09T09:30:00.000Z",1673256600000,7.7,7.7,7.7,0,100,0,,3.2,,Infinity,5400,5400,5700,,41580000,,41580000,
465,-6300,-48510000,0,48510000,48510000,3627000,12936000,0.5,1680,100,0,,-600,-4620000,7.7,"2023-01-09T09:45:00.000Z",1673257500000,7.7,7.7,7.7,0,100,0,,0.4,,Infinity,600,600,6300,,4620000,,4620000,
465,-7300,-56210000,0,56210000,56210000,3627000,12936000,0.8,1680,100,0,,-1000,-7700000,7.7,"2023-01-09T09:50:00.000Z",1673257800000,7.7,7.7,7.7,0,100,0,,0.6,,Infinity,1000,1000,7300,,7700000,,7700000,
465,-7400,-56980000,0,56980000,56980000,3627000,12936000,0.1,1680,100,0,,-100,-770000,7.7,"2023-01-09T09:55:00.000Z",1673258100000,7.7,7.7,7.7,0,100,0,,0.1,,Infinity,100,100,7400,,770000,,770000,
465,-7300,-56160000,3900000,60060000,63960000,3627000,12936000,-0.1,1680,100,1.3,500,100,820000,7.8,"2023-01-09T10:05:00.000Z",1673258700000,7.8,7.7,7.7,55.6,44.4,0,1.1,0.2,,0.8,400,900,8300,,6980000,3900000,3080000,
465,-6700,-51480000,8580000,60060000,68640000,3627000,12936000,-0.5,1680,100,Infinity,600,600,4680000,7.8,"2023-01-09T10:10:00.000Z",1673259000000,7.8,7.8,7.8,100,0,0,1.3,,,0,,600,8900,,4680000,4680000,,
465,-6500,-49920000,10140000,60060000,70200000,3627000,12936000,-0.2,1680,100,Infinity,200,200,1560000,7.8,"2023-01-09T13:00:00.000Z",1673269200000,7.8,7.8,7.8,100,0,0,0.4,,,0,,200,9100,,1560000,1560000,,
465,-9200,-70710000,10140000,80850000,90990000,3627000,12936000,2.2,1680,100,0,,-2700,-20790000,7.7,"2023-01-09T13:05:00.000Z",1673269500000,7.7,7.7,7.7,0,100,0,,1.6,,Infinity,2700,2700,11800,,20790000,,20790000,
465,-10000,-76870000,10140000,87010000,97150000,3627000,12936000,0.7,1680,100,0,,-800,-6160000,7.7,"2023-01-09T13:15:00.000Z",1673270100000,7.7,7.7,7.7,0,100,0,,0.5,,Infinity,800,800,12600,,6160000,,6160000,
465,-5500,-41770000,45240000,87010000,132250000,3627000,12936000,-3.8,1680,100,Infinity,4500,4500,35100000,7.8,"2023-01-09T13:20:00.000Z",1673270400000,7.8,7.8,7.8,100,0,0,9.7,,,0,,4500,17100,,35100000,35100000,,
465,-4500,-33970000,53040000,87010000,140050000,3627000,12936000,-0.8,1680,100,Infinity,1000,1000,7800000,7.8,"2023-01-09T13:25:00.000Z",1673270700000,7.8,7.8,7.8,100,0,0,2.2,,,0,,1000,18100,,7800000,7800000,,
465,-3500,-26170000,60840000,87010000,147850000,3627000,12936000,-0.8,1680,100,Infinity,1000,1000,7800000,7.8,"2023-01-09T13:30:00.000Z",1673271000000,7.8,7.8,7.8,100,0,0,2.2,,,0,,1000,19100,,7800000,7800000,,
465,-2000,-14470000,72540000,87010000,159550000,3627000,12936000,-1.3,1680,100,Infinity,1500,1500,11700000,7.8,"2023-01-09T13:40:00.000Z",1673271600000,7.8,7.8,7.8,100,0,0,3.2,,,0,,1500,20600,,11700000,11700000,,
465,-12400,-94550000,72540000,167090000,239630000,3627000,12936000,8.6,1680,100,0,,-10400,-80080000,7.7,"2023-01-09T13:45:00.000Z",1673271900000,7.7,7.7,7.7,0,100,0,,6.2,,Infinity,10400,10400,31000,,80080000,,80080000,
465,-20500,-156920000,72540000,229460000,302000000,3627000,12936000,6.7,1680,100,0,,-8100,-62370000,7.7,"2023-01-09T13:50:00.000Z",1673272200000,7.7,7.7,7.7,0,100,0,,4.8,,Infinity,8100,8100,39100,,62370000,,62370000,
465,-22600,-173090000,72540000,245630000,318170000,3627000,12936000,1.7,1680,100,0,,-2100,-16170000,7.7,"2023-01-09T14:10:00.000Z",1673273400000,7.7,7.7,7.7,0,100,0,,1.3,,Infinity,2100,2100,41200,,16170000,,16170000,
465,-24100,-184640000,72540000,257180000,329720000,3627000,12936000,1.2,1680,100,0,,-1500,-11550000,7.7,"2023-01-09T14:15:00.000Z",1673273700000,7.7,7.7,7.7,0,100,0,,0.9,,Infinity,1500,1500,42700,,11550000,,11550000,
465,-24300,-186180000,72540000,258720000,331260000,3627000,12936000,0.2,1680,100,0,,-200,-1540000,7.7,"2023-01-09T14:20:00.000Z",1673274000000,7.7,7.7,7.7,0,100,0,,0.1,,Infinity,200,200,42900,,1540000,,1540000,
465,-24300,-186180000,72540000,258720000,346860000,3627000,12936000,0,1680,100,NaN,,0,0,7.8,"2023-01-09T14:45:00.000Z",1673275500000,7.8,7.8,7.8,0,0,100,,,20,NaN,,2000,44900,2000,15600000,,,15600000
