"abu","acum_busd","acum_busd_val","acum_val","asd","auk","bs","bu","bu-sd","bu-sd_val","c","date","datetime","h","l","o","pbu","psd","puk","rbu","rsd","ruk","sb","sd","sum_vol","total_vol","uk","val","val_bu","val_sd","val_uk"
280,100,360000,360000,1140,0,Infinity,100,100,360000,3.6,"2023-01-09T09:00:00.000Z",1673254800000,3.6,3.6,3.6,100,0,0,0.4,,,0,,100,100,,360000,360000,,
280,400,1440000,1440000,1140,0,Infinity,300,300,1080000,3.6,"2023-01-09T09:50:00.000Z",1673257800000,3.6,3.6,3.6,100,0,0,1.1,,,0,,300,400,,1080000,1080000,,
280,100,390000,2490000,1140,0,0,,-300,-1050000,3.5,"2023-01-09T09:55:00.000Z",1673258100000,3.5,3.5,3.5,0,100,0,,0.3,,Infinity,300,300,700,,1050000,,1050000,
280,-900,-3110000,5990000,1140,0,0,,-1000,-3500000,3.5,"2023-01-09T10:00:00.000Z",1673258400000,3.5,3.5,3.5,0,100,0,,0.9,,Infinity,1000,1000,1700,,3500000,,3500000,
280,-700,-2410000,6690000,1140,0,Infinity,200,200,700000,3.5,"2023-01-09T10:10:00.000Z",1673259000000,3.5,3.5,3.5,100,0,0,0.7,,,0,,200,1900,,700000,700000,,
280,1300,4590000,13690000,1140,0,Infinity,2000,2000,7000000,3.5,"2023-01-09T10:55:00.000Z",1673261700000,3.5,3.5,3.5,100,0,0,7.1,,,0,,2000,3900,,7000000,7000000,,
280,2500,8790000,17890000,1140,0,Infinity,1200,1200,4200000,3.5,"2023-01-09T11:00:00.000Z",1673262000000,3.5,3.5,3.5,100,0,0,4.3,,,0,,1200,5100,,4200000,4200000,,
280,2200,7770000,18910000,1140,0,0,,-300,-1020000,3.4,"2023-01-09T13:00:00.000Z",1673269200000,3.4,3.4,3.4,0,100,0,,0.3,,Infinity,300,300,5400,,1020000,,1020000,
280,2300,8120000,19260000,1140,0,Infinity,100,100,350000,3.5,"2023-01-09T13:20:00.000Z",1673270400000,3.5,3.5,3.5,100,0,0,0.4,,,0,,100,5500,,350000,350000,,
280,2600,9170000,20310000,1140,0,Infinity,300,300,1050000,3.5,"2023-01-09T13:30:00.000Z",1673271000000,3.5,3.5,3.5,100,0,0,1.1,,,0,,300,5800,,1050000,1050000,,
280,1600,5670000,23810000,1140,0,0,,-1000,-3500000,3.5,"2023-01-09T13:40:00.000Z",1673271600000,3.5,3.5,3.5,0,100,0,,0.9,,Infinity,1000,1000,6800,,3500000,,3500000,
280,-2900,-10080000,39560000,1140,0,0,,-4500,-15750000,3.5,"2023-01-09T14:10:00.000Z",1673273400000,3.5,3.5,3.5,0,100,0,,3.9,,Infinity,4500,4500,11300,,15750000,,15750000,
280,-5200,-18130000,47610000,1140,0,0,,-2300,-8050000,3.5,"2023-01-09T14:15:00.000Z",1673273700000,3.5,3.5,3.5,0,100,0,,2,,Infinity,2300,2300,13600,,8050000,,8050000,
280,-11400,-39830000,69310000,1140,0,0,,-6200,-21700000,3.5,"2023-01-09T14:20:00.000Z",1673274000000,3.5,3.5,3.5,0,100,0,,5.4,,Infinity,6200,6200,19800,,21700000,,21700000,
280,-12900,-44930000,74410000,1140,0,0,,-1500,-5100000,3.4,"2023-01-09T14:40:00.000Z",1673275200000,3.4,3.4,3.4,0,100,0,,1.3,,Infinity,1500,1500,21300,,5100000,,5100000,
