"abu","acum_busd","acum_busd_val","acum_val","asd","auk","bs","bu","bu-sd","bu-sd_val","c","date","datetime","h","l","o","pbu","psd","puk","rbu","rsd","ruk","sb","sd","sum_vol","total_vol","uk","val","val_bu","val_sd","val_uk"
941.4,-100,-450000,450000,1110.3,12.1,0,,-100,-450000,4.5,"2023-01-09T09:06:00.000Z",1673255160000,4.5,4.5,4.5,0,100,0,,0.1,,Infinity,100,100,100,,450000,,450000,
941.4,100,469999.9999999999,1370000,1110.3,12.1,Infinity,200,200,919999.9999999999,4.6,"2023-01-09T09:12:00.000Z",1673255520000,4.6,4.6,4.6,100,0,0,0.2,,,0,,200,300,,919999.9999999999,919999.9999999999,,
941.4,300,1389999.9999999998,2290000,1110.3,12.1,Infinity,200,200,919999.9999999999,4.6,"2023-01-09T09:14:00.000Z",1673255640000,4.6,4.6,4.6,100,0,0,0.2,,,0,,200,500,,919999.9999999999,919999.9999999999,,
941.4,700,3229999.9999999995,4130000,1110.3,12.1,Infinity,400,400,1839999.9999999998,4.6,"2023-01-09T09:16:00.000Z",1673255760000,4.6,4.6,4.6,100,0,0,0.4,,,0,,400,900,,1839999.9999999998,1839999.9999999998,,
941.4,1100,5069999.999999999,5970000,1110.3,12.1,Infinity,400,400,1839999.9999999998,4.6,"2023-01-09T09:22:00.000Z",1673256120000,4.6,4.6,4.6,100,0,0,0.4,,,0,,400,1300,,1839999.9999999998,1839999.9999999998,,
941.4,-1400,-6180000.000000001,17220000,1110.3,12.1,0,,-2500,-11250000,4.5,"2023-01-09T09:24:00.000Z",1673256240000,4.5,4.5,4.5,0,100,0,,2.3,,Infinity,2500,2500,3800,,11250000,,11250000,
941.4,-15400,-69180000,80220000,1110.3,12.1,0,,-14000,-63000000,4.5,"2023-01-09T09:26:00.000Z",1673256360000,4.5,4.5,4.5,0,100,0,,12.6,,Infinity,14000,14000,17800,,63000000,,63000000,
941.4,-21500,-96630000,107670000,1110.3,12.1,0,,-6100,-27450000,4.5,"2023-01-09T09:28:00.000Z",1673256480000,4.5,4.5,4.5,0,100,0,,5.5,,Infinity,6100,6100,23900,,27450000,,27450000,
941.4,-25500,-114630000,125670000,1110.3,12.1,0,,-4000,-18000000,4.5,"2023-01-09T09:30:00.000Z",1673256600000,4.5,4.5,4.5,0,100,0,,3.6,,Infinity,4000,4000,27900,,18000000,,18000000,
941.4,-26300,-118230000,129270000,1110.3,12.1,0,,-800,-3600000,4.5,"2023-01-09T09:32:00.000Z",1673256720000,4.5,4.5,4.5,0,100,0,,0.7,,Infinity,800,800,28700,,3600000,,3600000,
941.4,-28900,-129930000,140970000,1110.3,12.1,0,,-2600,-11700000,4.5,"2023-01-09T09:34:00.000Z",1673256840000,4.5,4.5,4.5,0,100,0,,2.3,,Infinity,2600,2600,31300,,11700000,,11700000,
941.4,-29300,-131730000,142770000,1110.3,12.1,0,,-400,-1800000,4.5,"2023-01-09T09:38:00.000Z",1673257080000,4.5,4.5,4.5,0,100,0,,0.4,,Infinity,400,400,31700,,1800000,,1800000,
941.4,-28700,-129030000,145470000,1110.3,12.1,Infinity,600,600,2700000,4.5,"2023-01-09T09:40:00.000Z",1673257200000,4.5,4.5,4.5,100,0,0,0.6,,,0,,600,32300,,2700000,2700000,,
941.4,-29300,-131730000,148170000,1110.3,12.1,0,,-600,-2700000,4.5,"2023-01-09T09:44:00.000Z",1673257440000,4.5,4.5,4.5,0,100,0,,0.5,,Infinity,600,600,32900,,2700000,,2700000,
