"abu","acum_busd","acum_busd_val","acum_val_bu","acum_val_sd","acum_val","avg_val_bu","avg_val_sd","rbusd","asd","auk","bs","bu","bu-sd","bu-sd_val","c","date","datetime","h","l","o","pbu","psd","puk","rbu","rsd","ruk","sb","sd","sum_vol","total_vol","uk","val","val_bu","val_sd","val_uk"
170,-4300,-180600,0,180600,180600,6793250,18389800,0,2505,660,0,,-4300,-180600,42,"2023-01-10T09:10:00.000Z",1673341800000,42,42,42,0,100,0,,1.7,,Infinity,4300,4300,4300,,180600,,180600,
170,-40300,-14295000,0,14295000,14295000,6793250,18389800,1.2,2505,660,0,,-36000,-14114400,42,"2023-01-10T09:15:00.000Z",1673342100000,42.05,42,42.05,0,100,0,,14.4,,Infinity,36000,36000,40300,,14114400,,14114400,
170,-41300,-54435000,0,54435000,54435000,6793250,18389800,3.5,2505,660,0,,-1000,-40140000,40.05,"2023-01-10T09:25:00.000Z",1673342700000,40.5,40.05,40.5,0,100,0,,0.4,,Infinity,1000,1000,41300,,40140000,,40140000,
170,-41100,-46105000,8330000,54435000,62765000,6793250,18389800,-0.7,2505,660,Infinity,200,200,8330000,41.65,"2023-01-10T09:35:00.000Z",1673343300000,41.65,41.65,41.65,100,0,0,1.2,,,0,,200,41500,,8330000,8330000,,
170,-41500,-62125000,8330000,70455000,78785000,6793250,18389800,1.4,2505,660,0,,-400,-16019999.999999998,40.05,"2023-01-10T09:40:00.000Z",1673343600000,40.05,40.05,40.05,0,100,0,,0.2,,Infinity,400,400,41900,,16019999.999999998,,16019999.999999998,
170,-41400,-58120000,12335000,70455000,82790000,6793250,18389800,-0.3,2505,660,Infinity,100,100,4004999.9999999995,40.05,"2023-01-10T10:05:00.000Z",1673345100000,40.05,40.05,40.05,100,0,0,0.6,,,0,,100,42000,,4004999.9999999995,4004999.9999999995,,
170,-42100,-58148000,12335000,70483000,82818000,6793250,18389800,0,2505,660,0,,-700,-28000,40,"2023-01-10T10:10:00.000Z",1673345400000,40,40,40,0,100,0,,0.3,,Infinity,700,700,42700,,28000,,28000,
170,-41800,-46008000,24475000,70483000,94958000,6793250,18389800,-1,2505,660,Infinity,300,300,12140000,40.5,"2023-01-10T10:15:00.000Z",1673345700000,40.5,40.45,40.45,100,0,0,1.8,,,0,,300,43000,,12140000,12140000,,
170,-41900,-46012000,24475000,70487000,94962000,6793250,18389800,0,2505,660,0,,-100,-4000,40,"2023-01-10T10:20:00.000Z",1673346000000,40,40,40,0,100,0,,0,,Infinity,100,100,43100,,4000,,4000,
170,-42000,-46016000,24475000,70491000,94966000,6793250,18389800,0,2505,660,0,,-100,-4000,40,"2023-01-10T10:50:00.000Z",1673347800000,40,40,40,0,100,0,,0,,Infinity,100,100,43200,,4000,,4000,
170,-41900,-42021000,28470000,70491000,98961000,6793250,18389800,-0.3,2505,660,Infinity,100,100,3995000.0000000005,39.95,"2023-01-10T11:25:00.000Z",1673349900000,39.95,39.95,39.95,100,0,0,0.6,,,0,,100,43300,,3995000.0000000005,3995000.0000000005,,
170,-48900,-319476000,28470000,347946000,376416000,6793250,18389800,23.9,2505,660,0,,-7000,-277455000,39.5,"2023-01-10T13:00:00.000Z",1673355600000,39.95,39.5,39.95,0,100,0,,2.8,,Infinity,7000,7000,50300,,277455000,,277455000,
170,-49000,-323426000,28470000,351896000,380366000,6793250,18389800,0.3,2505,660,0,,-100,-3950000,39.5,"2023-01-10T13:20:00.000Z",1673356800000,39.5,39.5,39.5,0,100,0,,0,,Infinity,100,100,50400,,3950000,,3950000,
170,-47900,-279656000,72240000,351896000,424136000,6793250,18389800,-3.8,2505,660,Infinity,1100,1100,43770000,39.8,"2023-01-10T13:40:00.000Z",1673358000000,39.8,39.7,39.7,100,0,0,6.5,,,0,,1100,51500,,43770000,43770000,,
170,-47600,-267706000,96115000,363821000,459936000,6793250,18389800,-1,2505,660,2,600,300,11950000,39.8,"2023-01-10T13:55:00.000Z",1673358900000,39.8,39.75,39.75,66.7,33.3,0,3.5,0.1,,0.5,300,900,52400,,35800000,23875000,11925000,
170,-47700,-271681000,96115000,367796000,463911000,6793250,18389800,0.3,2505,660,0,,-100,-3975000,39.75,"2023-01-10T14:00:00.000Z",1673359200000,39.75,39.75,39.75,0,100,0,,0,,Infinity,100,100,52500,,3975000,,3975000,
170,-47600,-267706000,100090000,367796000,467886000,6793250,18389800,-0.3,2505,660,Infinity,100,100,3975000,39.75,"2023-01-10T14:10:00.000Z",1673359800000,39.75,39.75,39.75,100,0,0,0.6,,,0,,100,52600,,3975000,3975000,,
170,-47400,-259756000,108040000,367796000,475836000,6793250,18389800,-0.7,2505,660,Infinity,200,200,7950000,39.75,"2023-01-10T14:20:00.000Z",1673360400000,39.75,39.75,39.75,100,0,0,1.2,,,0,,200,52800,,7950000,7950000,,
170,-46700,-231931000,135865000,367796000,503661000,6793250,18389800,-2.4,2505,660,Infinity,700,700,27825000,39.75,"2023-01-10T14:25:00.000Z",1673360700000,39.75,39.75,39.75,100,0,0,4.1,,,0,,700,53500,,27825000,27825000,,
170,-46700,-231931000,135865000,367796000,1050141000,6793250,18389800,0,2505,660,NaN,,0,0,41.4,"2023-01-10T14:45:00.000Z",1673361900000,41.4,41.4,41.4,0,0,100,,,20,NaN,,13200,66700,13200,546480000,,,546480000
