"abu","acum_busd","acum_busd_val","acum_val_bu","acum_val_sd","acum_val","avg_val_bu","avg_val_sd","rbusd","asd","auk","bs","bu","bu-sd","bu-sd_val","c","date","datetime","h","l","o","pbu","psd","puk","rbu","rsd","ruk","sb","sd","sum_vol","total_vol","uk","val","val_bu","val_sd","val_uk"
1022.9,800,12000,12000,0,12000,5074907.1,17757600,0,1348.6,0,Infinity,800,800,12000,15,"2023-01-11T09:14:00.000Z",1673428440000,15,15,15,100,0,0,0.8,,,0,,800,800,,12000,12000,,
1022.9,900,13500,13500,0,13500,5074907.1,17757600,0,1348.6,0,Infinity,100,100,1500,15,"2023-01-11T09:16:00.000Z",1673428560000,15,15,15,100,0,0,0.1,,,0,,100,900,,1500,1500,,
1022.9,1200,18000,18000,0,18000,5074907.1,17757600,0,1348.6,0,Infinity,300,300,4500,15,"2023-01-11T09:22:00.000Z",1673428920000,15,15,15,100,0,0,0.3,,,0,,300,1200,,4500,4500,,
1022.9,900,-4422000,18000,4440000,4458000,5074907.1,17757600,0.4,1348.6,0,0,,-300,-4440000,14.8,"2023-01-11T09:26:00.000Z",1673429160000,14.8,14.8,14.8,0,100,0,,0.2,,Infinity,300,300,1500,,4440000,,4440000,
1022.9,-100,-19222000,18000,19240000,19258000,5074907.1,17757600,1.2,1348.6,0,0,,-1000,-14800000,14.8,"2023-01-11T09:28:00.000Z",1673429280000,14.8,14.8,14.8,0,100,0,,0.7,,Infinity,1000,1000,2500,,14800000,,14800000,
1022.9,-500,-25162000,18000,25180000,25198000,5074907.1,17757600,0.5,1348.6,0,0,,-400,-5940000,14.85,"2023-01-11T09:34:00.000Z",1673429640000,14.85,14.85,14.85,0,100,0,,0.3,,Infinity,400,400,2900,,5940000,,5940000,
1022.9,-400,-23677000,1503000,25180000,26683000,5074907.1,17757600,0.1,1348.6,0,Infinity,100,100,1485000,14.85,"2023-01-11T09:36:00.000Z",1673429760000,14.85,14.85,14.85,100,0,0,0.1,,,0,,100,3000,,1485000,1485000,,
1022.9,-1400,-38482000,8928000,47410000,56338000,5074907.1,17757600,1.2,1348.6,0,0.3,500,-1000,-14805000,14.8,"2023-01-11T09:38:00.000Z",1673429880000,14.85,14.8,14.85,25,75,0,0.5,1.1,,3,1500,2000,5000,,29655000,7425000,22230000,
1022.9,-8400,-142107000,8928000,151035000,159963000,5074907.1,17757600,8.2,1348.6,0,0,,-7000,-103625000,14.8,"2023-01-11T09:40:00.000Z",1673430000000,14.85,14.8,14.85,0,100,0,,5.2,,Infinity,7000,7000,12000,,103625000,,103625000,
1022.9,-8500,-143587000,8928000,152515000,161443000,5074907.1,17757600,0.1,1348.6,0,0,,-100,-1480000,14.8,"2023-01-11T09:44:00.000Z",1673430240000,14.8,14.8,14.8,0,100,0,,0.1,,Infinity,100,100,12100,,1480000,,1480000,
1022.9,-8700,-146557000,10413000,156970000,167383000,5074907.1,17757600,0.2,1348.6,0,0.3,100,-200,-2970000,14.85,"2023-01-11T09:46:00.000Z",1673430360000,14.85,14.85,14.85,25,75,0,0.1,0.2,,3,300,400,12500,,5940000,1485000,4455000,
1022.9,-8600,-145067000,11903000,156970000,168873000,5074907.1,17757600,0.1,1348.6,0,Infinity,100,100,1490000,14.9,"2023-01-11T09:48:00.000Z",1673430480000,14.9,14.9,14.9,100,0,0,0.1,,,0,,100,12600,,1490000,1490000,,
1022.9,-8300,-140597000,16373000,156970000,173343000,5074907.1,17757600,0.4,1348.6,0,Infinity,300,300,4470000,14.9,"2023-01-11T09:50:00.000Z",1673430600000,14.9,14.9,14.9,100,0,0,0.3,,,0,,300,12900,,4470000,4470000,,
1022.9,-6600,-115267000,41703000,156970000,198673000,5074907.1,17757600,2,1348.6,0,Infinity,1700,1700,25330000,14.9,"2023-01-11T09:52:00.000Z",1673430720000,14.9,14.9,14.9,100,0,0,1.7,,,0,,1700,14600,,25330000,25330000,,
1022.9,-6900,-119737000,41703000,161440000,203143000,5074907.1,17757600,0.4,1348.6,0,0,,-300,-4470000,14.9,"2023-01-11T09:56:00.000Z",1673430960000,14.9,14.9,14.9,0,100,0,,0.2,,Infinity,300,300,14900,,4470000,,4470000,
1022.9,-7000,-121217000,41703000,162920000,204623000,5074907.1,17757600,0.1,1348.6,0,0,,-100,-1480000,14.8,"2023-01-11T09:58:00.000Z",1673431080000,14.8,14.8,14.8,0,100,0,,0.1,,Infinity,100,100,15000,,1480000,,1480000,
1022.9,-7100,-122687000,43193000,165880000,209073000,5074907.1,17757600,0.1,1348.6,0,0.5,100,-100,-1470000,14.9,"2023-01-11T10:00:00.000Z",1673431200000,14.9,14.8,14.8,33.3,66.7,0,0.1,0.1,,2,200,300,15300,,4450000,1490000,2960000,
1022.9,-6500,-113747000,53623000,167370000,220993000,5074907.1,17757600,0.7,1348.6,0,7,700,600,8940000,14.9,"2023-01-11T10:02:00.000Z",1673431320000,14.9,14.9,14.9,87.5,12.5,0,0.7,0.1,,0.1,100,800,16100,,11920000,10430000,1490000,
1022.9,-7100,-122687000,53623000,176310000,229933000,5074907.1,17757600,0.7,1348.6,0,0,,-600,-8940000,14.9,"2023-01-11T10:04:00.000Z",1673431440000,14.9,14.9,14.9,0,100,0,,0.4,,Infinity,600,600,16700,,8940000,,8940000,
1022.9,-7000,-121197000,55113000,176310000,231423000,5074907.1,17757600,0.1,1348.6,0,Infinity,100,100,1490000,14.9,"2023-01-11T10:06:00.000Z",1673431560000,14.9,14.9,14.9,100,0,0,0.1,,,0,,100,16800,,1490000,1490000,,
1022.9,-7500,-128647000,55113000,183760000,238873000,5074907.1,17757600,0.6,1348.6,0,0,,-500,-7450000,14.9,"2023-01-11T10:08:00.000Z",1673431680000,14.9,14.9,14.9,0,100,0,,0.4,,Infinity,500,500,17300,,7450000,,7450000,
1022.9,-8900,-149507000,55113000,204620000,259733000,5074907.1,17757600,1.6,1348.6,0,0,,-1400,-20860000,14.9,"2023-01-11T10:12:00.000Z",1673431920000,14.9,14.9,14.9,0,100,0,,1,,Infinity,1400,1400,18700,,20860000,,20860000,
1022.9,-9000,-150997000,55113000,206110000,261223000,5074907.1,17757600,0.1,1348.6,0,0,,-100,-1490000,14.9,"2023-01-11T10:20:00.000Z",1673432400000,14.9,14.9,14.9,0,100,0,,0.1,,Infinity,100,100,18800,,1490000,,1490000,
1022.9,-9100,-152487000,55113000,207600000,262713000,5074907.1,17757600,0.1,1348.6,0,0,,-100,-1490000,14.9,"2023-01-11T10:24:00.000Z",1673432640000,14.9,14.9,14.9,0,100,0,,0.1,,Infinity,100,100,18900,,1490000,,1490000,
1022.9,-6000,-106142000,101458000,207600000,309058000,5074907.1,17757600,3.7,1348.6,0,Infinity,3100,3100,46345000,14.95,"2023-01-11T10:26:00.000Z",1673432760000,14.95,14.95,14.95,100,0,0,3,,,0,,3100,22000,,46345000,46345000,,
1022.9,-6100,-107637000,101458000,209095000,310553000,5074907.1,17757600,0.1,1348.6,0,0,,-100,-1495000,14.95,"2023-01-11T10:28:00.000Z",1673432880000,14.95,14.95,14.95,0,100,0,,0.1,,Infinity,100,100,22100,,1495000,,1495000,
1022.9,-5300,-107625000,101470000,209095000,310565000,5074907.1,17757600,0,1348.6,0,Infinity,800,800,12000,15,"2023-01-11T10:32:00.000Z",1673433120000,15,15,15,100,0,0,0.8,,,0,,800,22900,,12000,12000,,
1022.9,11600,-107371500,101723500,209095000,310818500,5074907.1,17757600,0,1348.6,0,Infinity,16900,16900,253500,15,"2023-01-11T10:36:00.000Z",1673433360000,15,15,15,100,0,0,16.5,,,0,,16900,39800,,253500,253500,,
1022.9,15400,-107314500,101780500,209095000,310875500,5074907.1,17757600,0,1348.6,0,Infinity,3800,3800,57000,15,"2023-01-11T10:38:00.000Z",1673433480000,15,15,15,100,0,0,3.7,,,0,,3800,43600,,57000,57000,,
1022.9,18500,-107268000,101827000,209095000,310922000,5074907.1,17757600,0,1348.6,0,Infinity,3100,3100,46500,15,"2023-01-11T10:40:00.000Z",1673433600000,15,15,15,100,0,0,3,,,0,,3100,46700,,46500,46500,,
1022.9,18100,-104267000,104837000,209104000,313941000,5074907.1,17757600,0.2,1348.6,0,0.3,200,-400,3001000,15.05,"2023-01-11T10:42:00.000Z",1673433720000,15.05,15,15,25,75,0,0.2,0.4,,3,600,800,47500,,3019000,3010000,9000,
1022.9,17800,-101264500,107847000,209111500,316958500,5074907.1,17757600,0.2,1348.6,0,0.4,200,-300,3002500,15.05,"2023-01-11T10:48:00.000Z",1673434080000,15.05,15,15,28.6,71.4,0,0.2,0.4,,2.5,500,700,48200,,3017500,3010000,7500,
1022.9,18500,-90699500,118412000,209111500,327523500,5074907.1,17757600,0.8,1348.6,0,Infinity,700,700,10565000,15.1,"2023-01-11T10:50:00.000Z",1673434200000,15.1,15.05,15.05,100,0,0,0.7,,,0,,700,48900,,10565000,10565000,,
1022.9,13100,-36474500,184862500,221337000,406199500,5074907.1,17757600,4.3,1348.6,0,0.5,5100,-5400,54225000,15,"2023-01-11T10:52:00.000Z",1673434320000,15.1,15,15.1,32.7,67.3,0,5,7.8,,2.1,10500,15600,64500,,78676000,66450500,12225500,
1022.9,13700,-36465500,184871500,221337000,406208500,5074907.1,17757600,0,1348.6,0,Infinity,600,600,9000,15,"2023-01-11T11:06:00.000Z",1673435160000,15,15,15,100,0,0,0.6,,,0,,600,65100,,9000,9000,,
1022.9,17700,-36405500,184931500,221337000,406268500,5074907.1,17757600,0,1348.6,0,Infinity,4000,4000,60000,15,"2023-01-11T11:12:00.000Z",1673435520000,15,15,15,100,0,0,3.9,,,0,,4000,69100,,60000,60000,,
1022.9,18700,-36390500,184946500,221337000,406283500,5074907.1,17757600,0,1348.6,0,Infinity,1000,1000,15000,15,"2023-01-11T11:22:00.000Z",1673436120000,15,15,15,100,0,0,1,,,0,,1000,70100,,15000,15000,,
1022.9,19200,-36383000,184954000,221337000,406291000,5074907.1,17757600,0,1348.6,0,Infinity,500,500,7500,15,"2023-01-11T11:24:00.000Z",1673436240000,15,15,15,100,0,0,0.5,,,0,,500,70600,,7500,7500,,
1022.9,23200,-34779500,201457500,236237000,437694500,5074907.1,17757600,0.1,1348.6,0,5,5000,4000,1603500,15,"2023-01-11T13:00:00.000Z",1673442000000,15,14.9,14.95,83.3,16.7,0,4.9,0.7,,0.2,1000,6000,76600,,31403500,16503500,14900000,
1022.9,33000,-34632500,201604500,236237000,437841500,5074907.1,17757600,0,1348.6,0,Infinity,9800,9800,147000,15,"2023-01-11T13:02:00.000Z",1673442120000,15,15,15,100,0,0,9.6,,,0,,9800,86400,,147000,147000,,
1022.9,34600,-34608500,201628500,236237000,437865500,5074907.1,17757600,0,1348.6,0,Infinity,1600,1600,24000,15,"2023-01-11T13:06:00.000Z",1673442360000,15,15,15,100,0,0,1.6,,,0,,1600,88000,,24000,24000,,
1022.9,32900,-60023500,201628500,261652000,463280500,5074907.1,17757600,2,1348.6,0,0,,-1700,-25415000,14.95,"2023-01-11T13:08:00.000Z",1673442480000,14.95,14.95,14.95,0,100,0,,1.3,,Infinity,1700,1700,89700,,25415000,,25415000,
1022.9,28900,-119613500,201628500,321242000,522870500,5074907.1,17757600,4.7,1348.6,0,0,,-4000,-59590000,14.85,"2023-01-11T13:10:00.000Z",1673442600000,14.9,14.85,14.9,0,100,0,,3,,Infinity,4000,4000,93700,,59590000,,59590000,
1022.9,22100,-220603500,210538500,431142000,641680500,5074907.1,17757600,8,1348.6,0,0.1,600,-6800,-100990000,14.85,"2023-01-11T13:12:00.000Z",1673442720000,14.9,14.85,14.9,7.5,92.5,0,0.6,5.5,,12.3,7400,8000,101700,,118810000,8910000,109900000,
1022.9,22000,-222093500,210538500,432632000,643170500,5074907.1,17757600,0.1,1348.6,0,0,,-100,-1490000,14.9,"2023-01-11T13:16:00.000Z",1673442960000,14.9,14.9,14.9,0,100,0,,0.1,,Infinity,100,100,101800,,1490000,,1490000,
1022.9,23200,-204138500,232963500,437102000,670065500,5074907.1,17757600,1.4,1348.6,0,5,1500,1200,17955000,14.95,"2023-01-11T13:18:00.000Z",1673443080000,14.95,14.9,14.9,83.3,16.7,0,1.5,0.2,,0.2,300,1800,103600,,26895000,22425000,4470000,
1022.9,19200,-263688500,247913500,511602000,759515500,5074907.1,17757600,4.7,1348.6,0,0.2,1000,-4000,-59550000,14.9,"2023-01-11T13:20:00.000Z",1673443200000,14.95,14.9,14.95,16.7,83.3,0,1,3.7,,5,5000,6000,109600,,89450000,14950000,74500000,
1022.9,16200,-308388500,247913500,556302000,804215500,5074907.1,17757600,3.5,1348.6,0,0,,-3000,-44700000,14.9,"2023-01-11T13:22:00.000Z",1673443320000,14.9,14.9,14.9,0,100,0,,2.2,,Infinity,3000,3000,112600,,44700000,,44700000,
1022.9,15200,-323288500,247913500,571202000,819115500,5074907.1,17757600,1.2,1348.6,0,0,,-1000,-14900000,14.9,"2023-01-11T13:24:00.000Z",1673443440000,14.9,14.9,14.9,0,100,0,,0.7,,Infinity,1000,1000,113600,,14900000,,14900000,
1022.9,15300,-321793500,249408500,571202000,820610500,5074907.1,17757600,0.1,1348.6,0,Infinity,100,100,1495000,14.95,"2023-01-11T13:26:00.000Z",1673443560000,14.95,14.95,14.95,100,0,0,0.1,,,0,,100,113700,,1495000,1495000,,
1022.9,14600,-332223500,249408500,581632000,831040500,5074907.1,17757600,0.8,1348.6,0,0,,-700,-10430000,14.9,"2023-01-11T13:28:00.000Z",1673443680000,14.9,14.9,14.9,0,100,0,,0.5,,Infinity,700,700,114400,,10430000,,10430000,
1022.9,14500,-333713500,249408500,583122000,832530500,5074907.1,17757600,0.1,1348.6,0,0,,-100,-1490000,14.9,"2023-01-11T13:30:00.000Z",1673443800000,14.9,14.9,14.9,0,100,0,,0.1,,Infinity,100,100,114500,,1490000,,1490000,
1022.9,14400,-335203500,249408500,584612000,834020500,5074907.1,17757600,0.1,1348.6,0,0,,-100,-1490000,14.9,"2023-01-11T13:34:00.000Z",1673444040000,14.9,14.9,14.9,0,100,0,,0.1,,Infinity,100,100,114600,,1490000,,1490000,
1022.9,14500,-333708500,250903500,584612000,835515500,5074907.1,17757600,0.1,1348.6,0,Infinity,100,100,1495000,14.95,"2023-01-11T13:38:00.000Z",1673444280000,14.95,14.95,14.95,100,0,0,0.1,,,0,,100,114700,,1495000,1495000,,
1022.9,18000,-281383500,303228500,584612000,887840500,5074907.1,17757600,4.1,1348.6,0,Infinity,3500,3500,52325000,14.95,"2023-01-11T13:42:00.000Z",1673444520000,14.95,14.95,14.95,100,0,0,3.4,,,0,,3500,118200,,52325000,52325000,,
1022.9,15900,-312778500,303228500,616007000,919235500,5074907.1,17757600,2.5,1348.6,0,0,,-2100,-31395000,14.95,"2023-01-11T13:44:00.000Z",1673444640000,14.95,14.95,14.95,0,100,0,,1.6,,Infinity,2100,2100,120300,,31395000,,31395000,
1022.9,10900,-387278500,303228500,690507000,993735500,5074907.1,17757600,5.9,1348.6,0,0,,-5000,-74500000,14.9,"2023-01-11T13:46:00.000Z",1673444760000,14.9,14.9,14.9,0,100,0,,3.7,,Infinity,5000,5000,125300,,74500000,,74500000,
1022.9,10800,-388768500,303228500,691997000,995225500,5074907.1,17757600,0.1,1348.6,0,0,,-100,-1490000,14.9,"2023-01-11T13:48:00.000Z",1673444880000,14.9,14.9,14.9,0,100,0,,0.1,,Infinity,100,100,125400,,1490000,,1490000,
1022.9,9900,-402173500,304723500,706897000,1011620500,5074907.1,17757600,1.1,1348.6,0,0.1,100,-900,-13405000,14.95,"2023-01-11T13:52:00.000Z",1673445120000,14.95,14.9,14.9,9.1,90.9,0,0.1,0.7,,10,1000,1100,126500,,16395000,1495000,14900000,
1022.9,10200,-397688500,309208500,706897000,1016105500,5074907.1,17757600,0.4,1348.6,0,Infinity,300,300,4485000,14.95,"2023-01-11T13:54:00.000Z",1673445240000,14.95,14.95,14.95,100,0,0,0.3,,,0,,300,126800,,4485000,4485000,,
1022.9,200,-546688500,309208500,855897000,1165105500,5074907.1,17757600,11.7,1348.6,0,0,,-10000,-149000000,14.9,"2023-01-11T13:56:00.000Z",1673445360000,14.9,14.9,14.9,0,100,0,,7.4,,Infinity,10000,10000,136800,,149000000,,149000000,
1022.9,-7700,-664003500,309208500,973212000,1282420500,5074907.1,17757600,9.3,1348.6,0,0,,-7900,-117315000,14.85,"2023-01-11T13:58:00.000Z",1673445480000,14.85,14.85,14.85,0,100,0,,5.9,,Infinity,7900,7900,144700,,117315000,,117315000,
1022.9,-11800,-724888500,310693500,1035582000,1346275500,5074907.1,17757600,4.8,1348.6,0,0,100,-4100,-60885000,14.85,"2023-01-11T14:00:00.000Z",1673445600000,14.85,14.85,14.85,2.3,97.7,0,0.1,3.1,,42,4200,4300,149000,,63855000,1485000,62370000,
1022.9,-9200,-686278500,355243500,1041522000,1396765500,5074907.1,17757600,3,1348.6,0,7.5,3000,2600,38610000,14.85,"2023-01-11T14:02:00.000Z",1673445720000,14.85,14.85,14.85,88.2,11.8,0,2.9,0.3,,0.1,400,3400,152400,,50490000,44550000,5940000,
1022.9,-13800,-754588500,355243500,1109832000,1465075500,5074907.1,17757600,5.4,1348.6,0,0,,-4600,-68310000,14.85,"2023-01-11T14:06:00.000Z",1673445960000,14.85,14.85,14.85,0,100,0,,3.4,,Infinity,4600,4600,157000,,68310000,,68310000,
1022.9,-16300,-791588500,355243500,1146832000,1502075500,5074907.1,17757600,2.9,1348.6,0,0,,-2500,-37000000,14.8,"2023-01-11T14:08:00.000Z",1673446080000,14.8,14.8,14.8,0,100,0,,1.9,,Infinity,2500,2500,159500,,37000000,,37000000,
1022.9,-16800,-798988500,355243500,1154232000,1509475500,5074907.1,17757600,0.6,1348.6,0,0,,-500,-7400000,14.8,"2023-01-11T14:16:00.000Z",1673446560000,14.8,14.8,14.8,0,100,0,,0.4,,Infinity,500,500,160000,,7400000,,7400000,
1022.9,-17200,-804908500,355243500,1160152000,1515395500,5074907.1,17757600,0.5,1348.6,0,0,,-400,-5920000,14.8,"2023-01-11T14:20:00.000Z",1673446800000,14.8,14.8,14.8,0,100,0,,0.3,,Infinity,400,400,160400,,5920000,,5920000,
1022.9,-17700,-812308500,355243500,1167552000,1522795500,5074907.1,17757600,0.6,1348.6,0,0,,-500,-7400000,14.8,"2023-01-11T14:22:00.000Z",1673446920000,14.8,14.8,14.8,0,100,0,,0.4,,Infinity,500,500,160900,,7400000,,7400000,
1022.9,-22800,-887788500,355243500,1243032000,1598275500,5074907.1,17757600,6,1348.6,0,0,,-5100,-75480000,14.8,"2023-01-11T14:44:00.000Z",1673448240000,14.8,14.8,14.8,0,100,0,,3.8,,Infinity,5100,5100,166000,,75480000,,75480000,
