"abu","acum_busd","acum_busd_val","acum_val","asd","auk","bs","bu","bu-sd","bu-sd_val","c","date","datetime","h","l","o","pbu","psd","puk","rbu","rsd","ruk","sb","sd","sum_vol","total_vol","uk","val","val_bu","val_sd","val_uk"
6249.5,-3600,-45000000,45000000,7811.7,2006.3,0,,-3600,-45000000,12.5,"2023-01-12T09:14:00.000Z",1673514840000,12.5,12.5,12.5,0,100,0,,0.5,,Infinity,3600,3600,3600,,45000000,,45000000,
6249.5,-7600,-95000000,95000000,7811.7,2006.3,0,,-4000,-50000000,12.5,"2023-01-12T09:16:00.000Z",1673514960000,12.5,12.5,12.5,0,100,0,,0.5,,Infinity,4000,4000,7600,,50000000,,50000000,
6249.5,-11200,-140000000,140000000,7811.7,2006.3,0,,-3600,-45000000,12.5,"2023-01-12T09:18:00.000Z",1673515080000,12.5,12.5,12.5,0,100,0,,0.5,,Infinity,3600,3600,11200,,45000000,,45000000,
6249.5,-12600,-157490000,157490000,7811.7,2006.3,0,,-1400,-17490000,12.45,"2023-01-12T09:20:00.000Z",1673515200000,12.5,12.45,12.5,0,100,0,,0.2,,Infinity,1400,1400,12600,,17490000,,17490000,
6249.5,-10800,-134830000,259830000,7811.7,2006.3,1.6,5000,1800,22660000,12.5,"2023-01-12T09:22:00.000Z",1673515320000,12.5,12.45,12.45,61,39,0,0.8,0.4,,0.6,3200,8200,20800,,102340000,62500000,39840000,
6249.5,29500,368920000,763580000,7811.7,2006.3,Infinity,40300,40300,503750000,12.5,"2023-01-12T09:24:00.000Z",1673515440000,12.5,12.5,12.5,100,0,0,6.4,,,0,,40300,61100,,503750000,503750000,,
6249.5,31400,392765000,820055000,7811.7,2006.3,2.5,3200,1900,23845000,12.55,"2023-01-12T09:26:00.000Z",1673515560000,12.55,12.55,12.55,71.1,28.9,0,0.5,0.2,,0.4,1300,4500,65600,,56475000,40160000,16315000,
6249.5,33800,423005000,850295000,7811.7,2006.3,Infinity,2400,2400,30240000,12.6,"2023-01-12T09:28:00.000Z",1673515680000,12.6,12.6,12.6,100,0,0,0.4,,,0,,2400,68000,,30240000,30240000,,
6249.5,18200,227250000,1146500000,7811.7,2006.3,0.2,4000,-15600,-195755000,12.6,"2023-01-12T09:30:00.000Z",1673515800000,12.6,12.55,12.55,16.9,83.1,0,0.6,2.5,,4.9,19600,23600,91600,,296205000,50225000,245980000,
6249.5,20200,252525000,1426295000,7811.7,2006.3,1.2,12100,2000,25275000,12.65,"2023-01-12T09:32:00.000Z",1673515920000,12.65,12.6,12.6,54.5,45.5,0,1.9,1.3,,0.8,10100,22200,113800,,279795000,152535000,127260000,
6249.5,1900,21970000,1785370000,7811.7,2006.3,0.2,5100,-18300,-230555000,12.6,"2023-01-12T09:34:00.000Z",1673516040000,12.6,12.55,12.6,17.9,82.1,0,0.8,3,,4.6,23400,28500,142300,,359075000,64260000,294815000,
6249.5,2400,28270000,1791670000,7811.7,2006.3,Infinity,500,500,6300000,12.6,"2023-01-12T09:36:00.000Z",1673516160000,12.6,12.6,12.6,100,0,0,0.1,,,0,,500,142800,,6300000,6300000,,
6249.5,2600,30780000,2047690000,7811.7,2006.3,1,10300,200,2510000,12.55,"2023-01-12T09:38:00.000Z",1673516280000,12.55,12.55,12.55,50.5,49.5,0,1.6,1.3,,1,10100,20400,163200,,256020000,129265000,126755000,
6249.5,1600,18230000,2090360000,7811.7,2006.3,0.5,1200,-1000,-12550000,12.55,"2023-01-12T09:40:00.000Z",1673516400000,12.55,12.55,12.55,35.3,64.7,0,0.2,0.3,,1.8,2200,3400,166600,,42670000,15060000,27610000,
6249.5,-300,-5615000,2124245000,7811.7,2006.3,0.1,300,-1900,-23845000,12.55,"2023-01-12T09:42:00.000Z",1673516520000,12.55,12.55,12.55,11.1,81.5,7.4,0,0.3,0.1,7.3,2200,2700,169300,200,33885000,3765000,27610000,2510000
6249.5,-10900,-138645000,2257275000,7811.7,2006.3,0,,-10600,-133030000,12.55,"2023-01-12T09:44:00.000Z",1673516640000,12.55,12.55,12.55,0,100,0,,1.4,,Infinity,10600,10600,179900,,133030000,,133030000,
6249.5,-2700,-35735000,2490705000,7811.7,2006.3,2.6,13400,8200,102910000,12.55,"2023-01-12T09:46:00.000Z",1673516760000,12.55,12.55,12.55,72,28,0,2.1,0.7,,0.4,5200,18600,198500,,233430000,168170000,65260000,
6249.5,8200,101165000,2780705000,7811.7,2006.3,2.8,17000,10900,136900000,12.55,"2023-01-12T09:48:00.000Z",1673516880000,12.6,12.5,12.6,73.6,26.4,0,2.7,0.8,,0.4,6100,23100,221600,,290000000,213450000,76550000,
6249.5,-11000,-139795000,3044255000,7811.7,2006.3,0,900,-19200,-240960000,12.55,"2023-01-12T09:50:00.000Z",1673517000000,12.55,12.55,12.55,4.3,95.7,0,0.1,2.6,,22.3,20100,21000,242600,,263550000,11295000,252255000,
6249.5,-14200,-179955000,3204895000,7811.7,2006.3,0.6,4800,-3200,-40160000,12.55,"2023-01-12T09:52:00.000Z",1673517120000,12.55,12.55,12.55,37.5,62.5,0,0.8,1,,1.7,8000,12800,255400,,160640000,60240000,100400000,
6249.5,25100,315525000,3850975000,7811.7,2006.3,7.6,45300,39300,495480000,12.6,"2023-01-12T09:54:00.000Z",1673517240000,12.6,12.55,12.55,88.3,11.7,0,7.2,0.8,,0.1,6000,51300,306700,,646080000,570780000,75300000,
6249.5,14500,181965000,3984535000,7811.7,2006.3,0,,-10600,-133560000,12.6,"2023-01-12T09:56:00.000Z",1673517360000,12.6,12.6,12.6,0,100,0,,1.4,,Infinity,10600,10600,317300,,133560000,,133560000,
6249.5,14500,181980000,3992110000,7811.7,2006.3,1,300,0,15000,12.6,"2023-01-12T09:58:00.000Z",1673517480000,12.65,12.6,12.65,50,50,0,0,0,,1,300,600,317900,,7575000,3795000,3780000,
6249.5,16300,205275000,4280005000,7811.7,2006.3,1.2,12300,1800,23295000,12.65,"2023-01-12T10:00:00.000Z",1673517600000,12.65,12.6,12.6,53.9,46.1,0,2,1.3,,0.9,10500,22800,340700,,287895000,155595000,132300000,
6249.5,23400,295115000,4382445000,7811.7,2006.3,15.2,7600,7100,89840000,12.65,"2023-01-12T10:02:00.000Z",1673517720000,12.65,12.6,12.65,93.8,6.2,0,1.2,0.1,,0.1,500,8100,348800,,102440000,96140000,6300000,
6249.5,30100,379870000,4467200000,7811.7,2006.3,Infinity,6700,6700,84755000,12.65,"2023-01-12T10:04:00.000Z",1673517840000,12.65,12.65,12.65,100,0,0,1.1,,,0,,6700,355500,,84755000,84755000,,
6249.5,20300,256405000,4598255000,7811.7,2006.3,0,300,-9800,-123465000,12.6,"2023-01-12T10:06:00.000Z",1673517960000,12.65,12.6,12.65,2.9,97.1,0,0,1.3,,33.7,10100,10400,365900,,131055000,3795000,127260000,
6249.5,20200,255145000,4599515000,7811.7,2006.3,0,,-100,-1260000,12.6,"2023-01-12T10:08:00.000Z",1673518080000,12.6,12.6,12.6,0,100,0,,0,,Infinity,100,100,366000,,1260000,,1260000,
6249.5,8100,102685000,4751975000,7811.7,2006.3,0,,-12100,-152460000,12.6,"2023-01-12T10:10:00.000Z",1673518200000,12.6,12.6,12.6,0,100,0,,1.5,,Infinity,12100,12100,378100,,152460000,,152460000,
6249.5,8000,101430000,4755760000,7811.7,2006.3,0.5,100,-100,-1255000,12.65,"2023-01-12T10:12:00.000Z",1673518320000,12.65,12.6,12.6,33.3,66.7,0,0,0,,2,200,300,378400,,3785000,1265000,2520000,
6249.5,9100,115375000,4784825000,7811.7,2006.3,2.8,1700,1100,13945000,12.6,"2023-01-12T10:14:00.000Z",1673518440000,12.65,12.6,12.65,73.9,26.1,0,0.3,0.1,,0.4,600,2300,380700,,29065000,21505000,7560000,
6249.5,4200,53670000,4864240000,7811.7,2006.3,0.1,700,-4900,-61705000,12.6,"2023-01-12T10:16:00.000Z",1673518560000,12.65,12.6,12.6,11.1,88.9,0,0.1,0.7,,8,5600,6300,387000,,79415000,8855000,70560000,
6249.5,-1100,-13110000,4931020000,7811.7,2006.3,0,,-5300,-66780000,12.6,"2023-01-12T10:18:00.000Z",1673518680000,12.6,12.6,12.6,0,100,0,,0.7,,Infinity,5300,5300,392300,,66780000,,66780000,
6249.5,-1800,-21930000,4939840000,7811.7,2006.3,0,,-700,-8820000,12.6,"2023-01-12T10:20:00.000Z",1673518800000,12.6,12.6,12.6,0,100,0,,0.1,,Infinity,700,700,393000,,8820000,,8820000,
6249.5,-4100,-49940000,5619980000,7811.7,2006.3,0.9,25800,-2300,-28010000,12.6,"2023-01-12T10:22:00.000Z",1673518920000,12.65,12.6,12.6,47.9,52.1,0,4.1,3.6,,1.1,28100,53900,446900,,680140000,326065000,354075000,
6249.5,-1200,-13235000,5742035000,7811.7,2006.3,1.9,6300,2900,36705000,12.6,"2023-01-12T10:24:00.000Z",1673519040000,12.6,12.55,12.6,64.9,35.1,0,1,0.4,,0.5,3400,9700,456600,,122055000,79380000,42675000,
6249.5,-2800,-33395000,5895755000,7811.7,2006.3,0.8,5300,-1600,-20160000,12.6,"2023-01-12T10:26:00.000Z",1673519160000,12.6,12.6,12.6,43.4,56.6,0,0.8,0.9,,1.3,6900,12200,468800,,153720000,66780000,86940000,
6249.5,1900,25825000,5954975000,7811.7,2006.3,Infinity,4700,4700,59220000,12.6,"2023-01-12T10:28:00.000Z",1673519280000,12.6,12.6,12.6,100,0,0,0.8,,,0,,4700,473500,,59220000,59220000,,
6249.5,8100,104095000,6151385000,7811.7,2006.3,2.3,10900,6200,78270000,12.6,"2023-01-12T10:30:00.000Z",1673519400000,12.6,12.55,12.6,69.9,30.1,0,1.7,0.6,,0.4,4700,15600,489100,,196410000,137340000,59070000,
6249.5,4700,61255000,6254705000,7811.7,2006.3,0.4,2400,-3400,-42840000,12.6,"2023-01-12T10:32:00.000Z",1673519520000,12.6,12.6,12.6,29.3,70.7,0,0.4,0.7,,2.4,5800,8200,497300,,103320000,30240000,73080000,
6249.5,-2300,-26945000,6347945000,7811.7,2006.3,0,200,-7000,-88200000,12.6,"2023-01-12T10:34:00.000Z",1673519640000,12.6,12.6,12.6,2.7,97.3,0,0,0.9,,36,7200,7400,504700,,93240000,2520000,90720000,
6249.5,-23000,-285715000,6808315000,7811.7,2006.3,0.3,8000,-20700,-258770000,12.6,"2023-01-12T10:36:00.000Z",1673519760000,12.6,12.5,12.6,21.8,78.2,0,1.3,3.7,,3.6,28700,36700,541400,,460370000,100800000,359570000,
6249.5,-22500,-279405000,6817125000,7811.7,2006.3,6,600,500,6310000,12.6,"2023-01-12T10:38:00.000Z",1673519880000,12.6,12.5,12.6,85.7,14.3,0,0.1,0,,0.2,100,700,542100,,8810000,7560000,1250000,
6249.5,-22800,-283145000,6825885000,7811.7,2006.3,0.4,200,-300,-3740000,12.55,"2023-01-12T10:40:00.000Z",1673520000000,12.55,12.5,12.5,28.6,71.4,0,0,0.1,,2.5,500,700,542800,,8760000,2510000,6250000,
6249.5,-16100,-198725000,6910305000,7811.7,2006.3,Infinity,6700,6700,84420000,12.6,"2023-01-12T10:46:00.000Z",1673520360000,12.6,12.6,12.6,100,0,0,1.1,,,0,,6700,549500,,84420000,84420000,,
6249.5,-13100,-160925000,6948105000,7811.7,2006.3,Infinity,3000,3000,37800000,12.6,"2023-01-12T10:48:00.000Z",1673520480000,12.6,12.6,12.6,100,0,0,0.5,,,0,,3000,552500,,37800000,37800000,,
6249.5,-10600,-129425000,6979605000,7811.7,2006.3,Infinity,2500,2500,31500000,12.6,"2023-01-12T10:50:00.000Z",1673520600000,12.6,12.6,12.6,100,0,0,0.4,,,0,,2500,555000,,31500000,31500000,,
6249.5,-11300,-138210000,6988390000,7811.7,2006.3,0,,-700,-8785000,12.55,"2023-01-12T10:52:00.000Z",1673520720000,12.55,12.55,12.55,0,100,0,,0.1,,Infinity,700,700,555700,,8785000,,8785000,
6249.5,-28800,-357835000,7303395000,7811.7,2006.3,0.2,3800,-17500,-219625000,12.55,"2023-01-12T10:54:00.000Z",1673520840000,12.55,12.55,12.55,15.1,84.9,0,0.6,2.7,,5.6,21300,25100,580800,,315005000,47690000,267315000,
6249.5,-28300,-351285000,7435445000,7811.7,2006.3,1.1,5500,500,6550000,12.6,"2023-01-12T10:56:00.000Z",1673520960000,12.6,12.55,12.55,52.4,47.6,0,0.9,0.6,,0.9,5000,10500,591300,,132050000,69300000,62750000,
