"abu","acum_busd","acum_busd_val","acum_val","asd","auk","bs","bu","bu-sd","bu-sd_val","c","date","datetime","h","l","o","pbu","psd","puk","rbu","rsd","ruk","sb","sd","sum_vol","total_vol","uk","val","val_bu","val_sd","val_uk"
22023.9,9300,63276000,148686000,29663,4447.8,3.3,13400,9300,63276000,6.83,"2023-01-13T09:15:00.000Z",1673601300000,6.83,6.75,6.75,61.2,18.7,20.1,0.6,0.1,1,0.3,4100,21900,21900,4400,148686000,91131000,27855000,29700000
22023.9,8600,58721000,527237000,29663,4447.8,1,25400,-700,-4555000,6.83,"2023-01-13T09:20:00.000Z",1673601600000,6.85,6.8,6.81,45.8,47,7.2,1.2,0.9,0.9,1,26100,55500,77400,4000,378551000,173358000,177913000,27280000
22023.9,-4100,-27620000,702242000,29663,4447.8,0.3,6500,-12700,-86341000,6.79,"2023-01-13T09:25:00.000Z",1673601900000,6.83,6.79,6.83,25.3,74.7,0,0.3,0.6,,3,19200,25700,103100,,175005000,44332000,130673000,
22023.9,-2900,-19443000,904613000,29663,4447.8,1.1,15500,1200,8177000,6.79,"2023-01-13T09:30:00.000Z",1673602200000,6.8,6.79,6.79,52,48,0,0.7,0.5,,0.9,14300,29800,132900,,202371000,105274000,97097000,
22023.9,38600,262782000,1214006000,29663,4447.8,21.8,43500,41500,282225000,6.8,"2023-01-13T09:35:00.000Z",1673602500000,6.81,6.79,6.79,95.6,4.4,0,2,0.1,,0,2000,45500,178400,,309393000,295809000,13584000,
22023.9,78500,533944000,1742004000,29663,4447.8,3.1,58800,39900,271162000,6.8,"2023-01-13T09:40:00.000Z",1673602800000,6.8,6.79,6.79,75.7,24.3,0,2.7,0.6,,0.3,18900,77700,256100,,527998000,399580000,128418000,
22023.9,73500,500135000,2018075000,29663,4447.8,0.8,17800,-5000,-33809000,6.8,"2023-01-13T09:45:00.000Z",1673603100000,6.81,6.79,6.8,43.8,56.2,0,0.8,0.8,,1.3,22800,40600,296700,,276071000,121131000,154940000,
22023.9,57000,388099000,2240271000,29663,4447.8,0.3,8100,-16500,-112036000,6.79,"2023-01-13T09:50:00.000Z",1673603400000,6.8,6.79,6.8,24.8,75.2,0,0.4,0.8,,3,24600,32700,329400,,222196000,55080000,167116000,
22023.9,45800,312109000,2332561000,29663,4447.8,0,200,-11200,-75990000,6.78,"2023-01-13T09:55:00.000Z",1673603700000,6.8,6.78,6.79,1.5,83.8,14.7,0,0.4,0.4,57,11400,13600,343000,2000,92290000,1360000,77350000,13580000
22023.9,36800,251196000,2640268000,29663,4447.8,0.7,18100,-9000,-60913000,6.78,"2023-01-13T10:00:00.000Z",1673604000000,6.79,6.77,6.78,39.9,59.7,0.4,0.8,0.9,0,1.5,27100,45400,388400,200,307707000,122720000,183633000,1354000
22023.9,18900,130023000,2775001000,29663,4447.8,0.1,1000,-17900,-121173000,6.77,"2023-01-13T10:05:00.000Z",1673604300000,6.78,6.77,6.78,5,95,0,0,0.6,,18.9,18900,19900,408300,,134733000,6780000,127953000,
22023.9,22100,151895000,2934791000,29663,4447.8,1.3,13400,3200,21872000,6.76,"2023-01-13T10:10:00.000Z",1673604600000,6.79,6.76,6.78,56.8,43.2,0,0.6,0.3,,0.8,10200,23600,431900,,159790000,90831000,68959000,
22023.9,2700,20761000,3065925000,29663,4447.8,0,,-19400,-131134000,6.76,"2023-01-13T10:15:00.000Z",1673604900000,6.76,6.75,6.76,0,100,0,,0.7,,Infinity,19400,19400,451300,,131134000,,131134000,
22023.9,1300,11362000,3166044000,29663,4447.8,0.8,6700,-1400,-9399000,6.78,"2023-01-13T10:20:00.000Z",1673605200000,6.78,6.76,6.77,45.3,54.7,0,0.3,0.3,,1.2,8100,14800,466100,,100119000,45360000,54759000,
22023.9,18800,130013000,3286049000,29663,4447.8,176,17600,17500,118651000,6.78,"2023-01-13T10:25:00.000Z",1673605500000,6.78,6.77,6.78,99.4,0.6,0,0.8,0,,0,100,17700,483800,,120005000,119328000,677000,
22023.9,66000,450029000,3622337000,29663,4447.8,40.3,48400,47200,320016000,6.78,"2023-01-13T10:30:00.000Z",1673605800000,6.78,6.78,6.78,97.6,2.4,0,2.2,0,,0,1200,49600,533400,,336288000,328152000,8136000,
22023.9,55900,381561000,3789813000,29663,4447.8,0.4,7300,-10100,-68468000,6.79,"2023-01-13T10:35:00.000Z",1673606100000,6.79,6.78,6.78,29.6,70.4,0,0.3,0.6,,2.4,17400,24700,558100,,167476000,49504000,117972000,
22023.9,-3900,-23834000,4450514000,29663,4447.8,0.2,18800,-59800,-405395000,6.78,"2023-01-13T10:40:00.000Z",1673606400000,6.8,6.78,6.78,19.3,80.7,0,0.9,2.6,,4.2,78600,97400,655500,,660701000,127653000,533048000,
22023.9,120500,821682000,5369146000,29663,4447.8,24,129800,124400,845516000,6.8,"2023-01-13T10:45:00.000Z",1673606700000,6.8,6.77,6.77,96,4,0,5.9,0.2,,0,5400,135200,790700,,918632000,882074000,36558000,
22023.9,129400,882129000,5430949000,29663,4447.8,90,9000,8900,60447000,6.79,"2023-01-13T10:50:00.000Z",1673607000000,6.8,6.78,6.8,98.9,1.1,0,0.4,0,,0,100,9100,799800,,61803000,61125000,678000,
22023.9,128800,878066000,5501554000,29663,4447.8,0.9,4900,-600,-4063000,6.78,"2023-01-13T10:55:00.000Z",1673607300000,6.79,6.78,6.79,47.1,52.9,0,0.2,0.2,,1.1,5500,10400,810200,,70605000,33271000,37334000,
22023.9,65400,448435000,5944765000,29663,4447.8,0,1000,-63400,-429631000,6.77,"2023-01-13T11:00:00.000Z",1673607600000,6.79,6.77,6.78,1.5,98.5,0,0,2.2,,64.4,64400,65400,875600,,443211000,6790000,436421000,
22023.9,47000,324060000,6081326000,29663,4447.8,0,900,-18400,-124375000,6.76,"2023-01-13T11:05:00.000Z",1673607900000,6.77,6.76,6.76,4.5,95.5,0,0,0.7,,21.4,19300,20200,895800,,136561000,6093000,130468000,
22023.9,83500,571165000,6329785000,29663,4447.8,366,36600,36500,247105000,6.77,"2023-01-13T11:10:00.000Z",1673608200000,6.77,6.77,6.77,99.7,0.3,0,1.7,0,,0,100,36700,932500,,248459000,247782000,677000,
22023.9,83700,572521000,6331141000,29663,4447.8,Infinity,200,200,1356000,6.78,"2023-01-13T11:15:00.000Z",1673608500000,6.78,6.78,6.78,100,0,0,0,,,0,,200,932700,,1356000,1356000,,
22023.9,102700,701403000,6469511000,29663,4447.8,28.1,19700,19000,128882000,6.78,"2023-01-13T11:20:00.000Z",1673608800000,6.79,6.77,6.78,96.6,3.4,0,0.9,0,,0,700,20400,953100,,138370000,133626000,4744000,
22023.9,144900,988371000,6770039000,29663,4447.8,43.2,43200,42200,286968000,6.78,"2023-01-13T11:25:00.000Z",1673609100000,6.8,6.78,6.78,97.7,2.3,0,2,0,,0,1000,44200,997300,,300528000,293748000,6780000,
22023.9,67900,468799000,7553284000,29663,4447.8,0.2,18200,-77000,-519572000,6.75,"2023-01-13T13:00:00.000Z",1673614800000,6.79,6.75,6.78,15.7,82.1,2.2,0.8,3.2,0.6,5.2,95200,115900,1113200,2500,783245000,123374000,642946000,16925000
22023.9,23500,169135000,7920370000,29663,4447.8,0.1,5000,-44400,-299664000,6.74,"2023-01-13T13:05:00.000Z",1673615100000,6.78,6.74,6.78,9.2,90.8,0,0.2,1.7,,9.9,49400,54400,1167600,,367086000,33711000,333375000,
22023.9,1200,18953000,8172778000,29663,4447.8,0.3,7600,-22300,-150182000,6.72,"2023-01-13T13:10:00.000Z",1673615400000,6.75,6.71,6.75,20.3,79.7,0,0.3,1,,3.9,29900,37500,1205100,,252408000,51113000,201295000,
22023.9,-96100,-633336000,9114955000,29663,4447.8,0.2,21600,-97300,-652289000,6.71,"2023-01-13T13:15:00.000Z",1673615700000,6.72,6.7,6.72,15.4,84.6,0,1,4,,5.5,118900,140500,1345600,,942177000,144944000,797233000,
22023.9,-48400,-312774000,10083627000,29663,4447.8,2.1,92100,47700,320562000,6.71,"2023-01-13T13:20:00.000Z",1673616000000,6.72,6.7,6.71,63.8,30.8,5.4,4.2,1.5,1.8,0.5,44400,144300,1489900,7800,968672000,618448000,297886000,52338000
22023.9,-13300,-76755000,10661106000,29663,4447.8,2.5,58200,35100,236019000,6.73,"2023-01-13T13:25:00.000Z",1673616300000,6.74,6.71,6.71,67.8,26.9,5.2,2.6,0.8,1,0.4,23100,85800,1575700,4500,577479000,391584000,155565000,30330000
22023.9,-10700,-59206000,10890648000,29663,4447.8,1.2,17100,2600,17549000,6.73,"2023-01-13T13:30:00.000Z",1673616600000,6.74,6.72,6.73,50.1,42.5,7.3,0.8,0.5,0.6,0.8,14500,34100,1609800,2500,229542000,115133000,97584000,16825000
22023.9,-24500,-151921000,11039895000,29663,4447.8,0.2,4200,-13800,-92715000,6.72,"2023-01-13T13:35:00.000Z",1673616900000,6.73,6.72,6.73,18.9,81.1,0,0.2,0.6,,4.3,18000,22200,1632000,,149247000,28266000,120981000,
22023.9,-58600,-380479000,11722801000,29663,4447.8,0.4,24800,-34100,-228558000,6.72,"2023-01-13T13:40:00.000Z",1673617200000,6.74,6.71,6.72,24.4,58,17.6,1.1,2,4,2.4,58900,101600,1733600,17900,682906000,166867000,395425000,120614000
22023.9,-57000,-369621000,11869459000,29663,4447.8,1.2,11700,1600,10858000,6.73,"2023-01-13T13:45:00.000Z",1673617500000,6.74,6.71,6.72,53.7,46.3,0,0.5,0.3,,0.9,10100,21800,1755400,,146658000,78758000,67900000,
22023.9,-157700,-1045144000,12631104000,29663,4447.8,0.1,6400,-100700,-675523000,6.7,"2023-01-13T13:50:00.000Z",1673617800000,6.73,6.7,6.73,5.6,94.4,0,0.3,3.6,,16.7,107100,113500,1868900,,761645000,43061000,718584000,
22023.9,-176700,-1172432000,12951376000,29663,4447.8,0.4,12900,-19000,-127288000,6.7,"2023-01-13T13:55:00.000Z",1673618100000,6.71,6.7,6.7,27,66.7,6.3,0.6,1.1,0.7,2.5,31900,47800,1916700,3000,320272000,86442000,213730000,20100000
22023.9,-158400,-1049769000,13165155000,29663,4447.8,3.7,25100,18300,122663000,6.71,"2023-01-13T14:00:00.000Z",1673618400000,6.71,6.69,6.7,78.7,21.3,0,1.1,0.2,,0.3,6800,31900,1948600,,213779000,168221000,45558000,
22023.9,-207400,-1377749000,13726559000,29663,4447.8,0.3,17400,-49000,-327980000,6.69,"2023-01-13T14:05:00.000Z",1673618700000,6.71,6.69,6.71,20.8,79.2,0,0.8,2.2,,3.8,66400,83800,2032400,,561404000,116712000,444692000,
22023.9,-266300,-1770442000,14254238000,29663,4447.8,0.1,10100,-58900,-392693000,6.66,"2023-01-13T14:10:00.000Z",1673619000000,6.69,6.65,6.69,12.8,87.2,0,0.5,2.3,,6.8,69000,79100,2111500,,527679000,67493000,460186000,
22023.9,-306200,-2036186000,14769352000,29663,4447.8,0.3,18700,-39900,-265744000,6.66,"2023-01-13T14:15:00.000Z",1673619300000,6.68,6.66,6.67,24.2,75.8,0,0.8,2,,3.1,58600,77300,2188800,,515114000,124685000,390429000,
22023.9,-359000,-2386398000,15973528000,29663,4447.8,0.4,40900,-52800,-350212000,6.66,"2023-01-13T14:20:00.000Z",1673619600000,6.66,6.61,6.66,22.5,51.6,25.9,1.9,3.2,10.6,2.3,93700,181700,2370500,47100,1204176000,271081000,621293000,311802000
22023.9,-351400,-2334763000,16660369000,29663,4447.8,1.2,55300,7600,51635000,6.69,"2023-01-13T14:25:00.000Z",1673619900000,6.7,6.65,6.66,53.7,46.3,0,2.5,1.6,,0.9,47700,103000,2473500,,686841000,369238000,317603000,
22023.9,-351400,-2334763000,17384311000,29663,4447.8,NaN,,0,0,6.66,"2023-01-13T14:45:00.000Z",1673621100000,6.66,6.66,6.66,0,0,100,,,24.4,NaN,,108700,2582200,108700,723942000,,,723942000
