"abu","acum_busd","acum_busd_val","acum_val_bu","acum_val_sd","acum_val","avg_val_bu","avg_val_sd","rbusd","asd","auk","bs","bu","bu-sd","bu-sd_val","c","date","datetime","h","l","o","pbu","psd","puk","rbu","rsd","ruk","sb","sd","sum_vol","total_vol","uk","val","val_bu","val_sd","val_uk"
43280.4,31200,761165000,766005000,4840000,1055815000,1060075978.3,498288913,1.4,20382.6,13252.2,157,31400,31200,761165000,24.5,"2023-01-16T09:15:00.000Z",1673860500000,24.5,24.15,24.15,72.4,0.5,27.2,0.7,0,0.9,0,200,43400,43400,11800,1055815000,766005000,4840000,284970000
43280.4,70300,1718815000,1745520000,26705000,2057195000,1060075978.3,498288913,1.7,20382.6,13252.2,44.4,40000,39100,957650000,24.45,"2023-01-16T09:20:00.000Z",1673860800000,24.5,24.25,24.45,97.8,2.2,0,0.9,0,,0,900,40900,84300,,1001380000,979515000,21865000,
43280.4,70200,1716455000,1765030000,48575000,2098575000,1060075978.3,498288913,0,20382.6,13252.2,0.9,800,-100,-2360000,24.3,"2023-01-16T09:25:00.000Z",1673861100000,24.45,24.25,24.4,47.1,52.9,0,0,0,,1.1,900,1700,86000,,41380000,19510000,21870000,
43280.4,63000,1542000000,1774750000,232750000,2292470000,1060075978.3,498288913,-0.3,20382.6,13252.2,0.1,400,-7200,-174455000,24.15,"2023-01-16T09:30:00.000Z",1673861400000,24.3,24.15,24.3,5,95,0,0,0.4,,19,7600,8000,94000,,193895000,9720000,184175000,
43280.4,60600,1484195000,1934360000,450165000,2669495000,1060075978.3,498288913,-0.1,20382.6,13252.2,0.7,6600,-2400,-57805000,24.2,"2023-01-16T09:35:00.000Z",1673861700000,24.25,24.15,24.2,42.3,57.7,0,0.2,0.4,,1.4,9000,15600,109600,,377025000,159610000,217415000,
43280.4,143700,3508150000,3958315000,450165000,4693450000,1060075978.3,498288913,3.6,20382.6,13252.2,Infinity,83100,83100,2023955000,24.5,"2023-01-16T09:40:00.000Z",1673862000000,24.5,24.2,24.2,100,0,0,1.9,,,0,,83100,192700,,2023955000,2023955000,,
43280.4,142900,3488770000,3968095000,479325000,4732390000,1060075978.3,498288913,0,20382.6,13252.2,0.3,400,-800,-19380000,24.3,"2023-01-16T09:45:00.000Z",1673862300000,24.45,24.3,24.45,25,75,0,0,0.1,,3,1200,1600,194300,,38940000,9780000,29160000,
43280.4,145500,3552130000,4058190000,506060000,4849220000,1060075978.3,498288913,0.1,20382.6,13252.2,3.4,3700,2600,63360000,24.35,"2023-01-16T09:50:00.000Z",1673862600000,24.35,24.3,24.3,77.1,22.9,0,0.1,0.1,,0.3,1100,4800,199100,,116830000,90095000,26735000,
43280.4,145900,3561870000,4075235000,513365000,4873570000,1060075978.3,498288913,0,20382.6,13252.2,2.3,700,400,9740000,24.35,"2023-01-16T09:55:00.000Z",1673862900000,24.35,24.35,24.35,70,30,0,0,0,,0.4,300,1000,200100,,24350000,17045000,7305000,
43280.4,142400,3476895000,4116620000,639725000,5252725000,1060075978.3,498288913,-0.2,20382.6,13252.2,0.3,1700,-3500,-84975000,24.3,"2023-01-16T10:00:00.000Z",1673863200000,24.35,24.3,24.3,10.9,33.3,55.8,0,0.3,0.7,3.1,5200,15600,215700,8700,379155000,41385000,126360000,211410000
43280.4,143300,3498820000,4150695000,651875000,5298950000,1060075978.3,498288913,0,20382.6,13252.2,2.8,1400,900,21925000,24.35,"2023-01-16T10:05:00.000Z",1673863500000,24.35,24.3,24.3,73.7,26.3,0,0,0,,0.4,500,1900,217600,,46225000,34075000,12150000,
43280.4,153900,3756740000,4663475000,906735000,6066590000,1060075978.3,498288913,0.5,20382.6,13252.2,2,21100,10600,257920000,24.3,"2023-01-16T10:10:00.000Z",1673863800000,24.35,24.25,24.35,66.8,33.2,0,0.5,0.5,,0.5,10500,31600,249200,,767640000,512780000,254860000,
43280.4,142800,3490065000,5149475000,1659410000,7305265000,1060075978.3,498288913,-0.5,20382.6,13252.2,0.6,20000,-11100,-266675000,24.25,"2023-01-16T10:15:00.000Z",1673864100000,24.3,24.2,24.3,39.1,60.9,0,0.5,1.5,,1.6,31100,51100,300300,,1238675000,486000000,752675000,
43280.4,160000,3908280000,5654915000,1746635000,7897930000,1060075978.3,498288913,0.7,20382.6,13252.2,5.8,20800,17200,418215000,24.3,"2023-01-16T10:20:00.000Z",1673864400000,24.3,24.2,24.3,85.2,14.8,0,0.5,0.2,,0.2,3600,24400,324700,,592665000,505440000,87225000,
43280.4,160700,3925265000,5676740000,1751475000,7924595000,1060075978.3,498288913,0,20382.6,13252.2,4.5,900,700,16985000,24.2,"2023-01-16T10:25:00.000Z",1673864700000,24.25,24.2,24.25,81.8,18.2,0,0,0,,0.2,200,1100,325800,,26665000,21825000,4840000,
43280.4,141500,3461195000,5850990000,2389795000,8737165000,1060075978.3,498288913,-0.8,20382.6,13252.2,0.3,7200,-19200,-464070000,24.2,"2023-01-16T10:30:00.000Z",1673865000000,24.25,24.15,24.2,21.4,78.6,0,0.2,1.3,,3.7,26400,33600,359400,,812570000,174250000,638320000,
