"abu","acum_busd","acum_busd_val","acum_val_bu","acum_val_sd","acum_val","avg_val_bu","avg_val_sd","rbusd","asd","auk","bs","bu","bu-sd","bu-sd_val","c","date","datetime","h","l","o","pbu","psd","puk","rbu","rsd","ruk","sb","sd","sum_vol","total_vol","uk","val","val_bu","val_sd","val_uk"
28809.5,2300,8478200,8520200,42000,8793200,1098916070.7,324970631.9,0,8306,3728.4,3.3,3300,2300,8478200,42,"2023-01-16T09:14:00.000Z",1673860440000,42,41.95,42,33.7,10.2,56.1,0.1,0.1,1.5,0.3,1000,9800,9800,5500,8793200,8520200,42000,231000
28809.5,-1400,-50488400,29616600,80105000,109952600,1098916070.7,324970631.9,0.1,8306,3728.4,0.4,2200,-3700,-58966600,42,"2023-01-16T09:16:00.000Z",1673860560000,42.05,42,42.05,27.2,72.8,0,0.1,0.7,,2.7,5900,8100,17900,,101159400,21096400,80063000,
28809.5,7000,143346200,316031200,172685000,488947200,1098916070.7,324970631.9,0.3,8306,3728.4,4.8,10600,8400,193834600,42.1,"2023-01-16T09:18:00.000Z",1673860680000,42.15,42,42,82.8,17.2,0,0.4,0.3,,0.2,2200,12800,30700,,378994600,286414600,92580000,
28809.5,111400,4549231200,5113016200,563785000,5677032200,1098916070.7,324970631.9,5.7,8306,3728.4,12.2,113700,104400,4405885000,42.2,"2023-01-16T09:20:00.000Z",1673860800000,42.2,42.05,42.1,92.4,7.6,0,3.9,1.1,,0.1,9300,123000,153700,,5188085000,4796985000,391100000,
28809.5,110100,4494521200,5121456200,626935000,5748622200,1098916070.7,324970631.9,0.1,8306,3728.4,0.1,200,-1300,-54710000,42.1,"2023-01-16T09:22:00.000Z",1673860920000,42.2,42.1,42.2,11.8,88.2,0,0,0.2,,7.5,1500,1700,155400,,71590000,8440000,63150000,
28809.5,118100,4831696200,5597556200,765860000,6363647200,1098916070.7,324970631.9,0.4,8306,3728.4,3.4,11300,8000,337175000,42.05,"2023-01-16T09:24:00.000Z",1673861040000,42.15,42.05,42.1,77.4,22.6,0,0.4,0.4,,0.3,3300,14600,170000,,615025000,476100000,138925000,
28809.5,106000,4322901200,5605976200,1283075000,6889282200,1098916070.7,324970631.9,0.7,8306,3728.4,0,200,-12100,-508795000,42.05,"2023-01-16T09:26:00.000Z",1673861160000,42.1,42.05,42.05,1.6,98.4,0,0,1.5,,61.5,12300,12500,182500,,525635000,8420000,517215000,
28809.5,107300,4378171200,5993441200,1615270000,7608942200,1098916070.7,324970631.9,0.1,8306,3728.4,1.2,9200,1300,55270000,42.15,"2023-01-16T09:28:00.000Z",1673861280000,42.15,42.05,42.05,53.8,46.2,0,0.3,1,,0.9,7900,17100,199600,,719660000,387465000,332195000,
28809.5,94300,3831521200,5993441200,2161920000,8155592200,1098916070.7,324970631.9,0.7,8306,3728.4,0,,-13000,-546650000,42.05,"2023-01-16T09:30:00.000Z",1673861400000,42.05,42.05,42.05,0,100,0,,1.6,,Infinity,13000,13000,212600,,546650000,,546650000,
28809.5,84300,3734482800,5993516800,2259034000,8252781800,1098916070.7,324970631.9,0.1,8306,3728.4,0.2,1800,-10000,-97038400,42,"2023-01-16T09:32:00.000Z",1673861520000,42.05,42,42.05,13.2,86.8,0,0.1,1.4,,6.6,11800,13600,226200,,97189600,75600,97114000,
28809.5,94200,3692990600,5993974600,2300984000,8295189600,1098916070.7,324970631.9,0.1,8306,3728.4,10.9,10900,9900,-41492200,42,"2023-01-16T09:34:00.000Z",1673861640000,42,41.95,42,91.6,8.4,0,0.4,0.1,,0.1,1000,11900,238100,,42407800,457800,41950000,
28809.5,97600,3554857000,6002666000,2447809000,8450706000,1098916070.7,324970631.9,0.2,8306,3728.4,2,6900,3400,-138133600,42.05,"2023-01-16T09:36:00.000Z",1673861760000,42.05,41.95,42,66.3,33.7,0,0.2,0.4,,0.5,3500,10400,248500,,155516400,8691400,146825000,
28809.5,114800,4279912000,6908536000,2628624000,9537391000,1098916070.7,324970631.9,0.9,8306,3728.4,5,21500,17200,725055000,42.15,"2023-01-16T09:38:00.000Z",1673861880000,42.15,42.05,42.05,83.3,16.7,0,0.7,0.5,,0.2,4300,25800,274300,,1086685000,905870000,180815000,
28809.5,112600,4187742000,7287886000,3100144000,10388261000,1098916070.7,324970631.9,0.1,8306,3728.4,0.8,9000,-2200,-92170000,42.15,"2023-01-16T09:40:00.000Z",1673862000000,42.15,42.1,42.1,44.6,55.4,0,0.3,1.3,,1.2,11200,20200,294500,,850870000,379350000,471520000,
28809.5,120800,4533732000,7857271000,3323539000,11181041000,1098916070.7,324970631.9,0.4,8306,3728.4,2.5,13500,8200,345990000,42.2,"2023-01-16T09:42:00.000Z",1673862120000,42.2,42.15,42.15,71.8,28.2,0,0.5,0.6,,0.4,5300,18800,313300,,792780000,569385000,223395000,
28809.5,121800,4576237000,8156891000,3580654000,11737776000,1098916070.7,324970631.9,0.1,8306,3728.4,1.2,7100,1000,42505000,42.15,"2023-01-16T09:44:00.000Z",1673862240000,42.2,42.15,42.2,53.8,46.2,0,0.2,0.7,,0.9,6100,13200,326500,,556735000,299620000,257115000,
28809.5,109700,4066222000,8156891000,4090669000,12247791000,1098916070.7,324970631.9,0.7,8306,3728.4,0,,-12100,-510015000,42.15,"2023-01-16T09:46:00.000Z",1673862360000,42.15,42.15,42.15,0,100,0,,1.5,,Infinity,12100,12100,338600,,510015000,,510015000,
28809.5,109600,4062007000,8156891000,4094884000,12252006000,1098916070.7,324970631.9,0,8306,3728.4,0,,-100,-4215000,42.15,"2023-01-16T09:48:00.000Z",1673862480000,42.15,42.15,42.15,0,100,0,,0,,Infinity,100,100,338700,,4215000,,4215000,
28809.5,94400,3421337000,8165331000,4743994000,12909556000,1098916070.7,324970631.9,0.8,8306,3728.4,0,200,-15200,-640670000,42.15,"2023-01-16T09:50:00.000Z",1673862600000,42.2,42.15,42.15,1.3,98.7,0,0,1.9,,77,15400,15600,354300,,657550000,8440000,649110000,
28809.5,93000,3362407000,8232851000,4870444000,13103526000,1098916070.7,324970631.9,0.1,8306,3728.4,0.5,1600,-1400,-58930000,42.15,"2023-01-16T09:52:00.000Z",1673862720000,42.2,42.15,42.15,34.8,65.2,0,0.1,0.4,,1.9,3000,4600,358900,,193970000,67520000,126450000,
28809.5,91800,3311827000,8232851000,4921024000,13154106000,1098916070.7,324970631.9,0.1,8306,3728.4,0,,-1200,-50580000,42.15,"2023-01-16T09:54:00.000Z",1673862840000,42.15,42.15,42.15,0,100,0,,0.1,,Infinity,1200,1200,360100,,50580000,,50580000,
