"abu","acum_busd","acum_busd_val","acum_val","asd","auk","bs","bu","bu-sd","bu-sd_val","c","date","datetime","h","l","o","pbu","psd","puk","rbu","rsd","ruk","sb","sd","sum_vol","total_vol","uk","val","val_bu","val_sd","val_uk"
114839.1,-37200,-524920000,1456340000,83213,5934.8,0.5,32900,-37200,-524920000,14.15,"2023-01-16T09:15:00.000Z",1673860500000,14.2,14.1,14.15,31.9,68.1,0,0.3,0.8,,2.1,70100,103000,103000,,1456340000,465710000,990630000,
114839.1,-48100,-678820000,2312020000,83213,5934.8,0.7,24800,-10900,-153900000,14.15,"2023-01-16T09:20:00.000Z",1673860800000,14.15,14.1,14.15,41,59,0,0.2,0.4,,1.4,35700,60500,163500,,855680000,350890000,504790000,
114839.1,-115700,-1632650000,3682260000,83213,5934.8,0.2,14700,-67600,-953830000,14.1,"2023-01-16T09:25:00.000Z",1673861100000,14.2,14.1,14.15,15.2,84.8,0,0.1,1,,5.6,82300,97000,260500,,1370240000,208205000,1162035000,
114839.1,-179600,-2529125000,5006945000,83213,5934.8,0.2,15200,-63900,-896475000,14.05,"2023-01-16T09:30:00.000Z",1673861400000,14.1,14,14.05,16.1,83.9,0,0.1,1,,5.2,79100,94300,354800,,1324685000,214105000,1110580000,
114839.1,-244700,-3440330000,6027740000,83213,5934.8,0.1,3900,-65100,-911205000,14,"2023-01-16T09:35:00.000Z",1673861700000,14.05,14,14,5.3,94.7,0,0,0.8,,17.7,69000,72900,427700,,1020795000,54795000,966000000,
114839.1,-253700,-3563545000,7858925000,83213,5934.8,0.9,60800,-9000,-123215000,14.05,"2023-01-16T09:40:00.000Z",1673862000000,14.05,14,14,46.6,53.4,0,0.5,0.8,,1.1,69800,130600,558300,,1831185000,853985000,977200000,
114839.1,-300400,-4217620000,8881140000,83213,5934.8,0.2,13100,-46700,-654075000,14,"2023-01-16T09:45:00.000Z",1673862300000,14.1,14,14.05,18,82,0,0.1,0.7,,4.6,59800,72900,631200,,1022215000,184070000,838145000,
114839.1,-279800,-3927730000,9982400000,83213,5934.8,1.7,49500,20600,289890000,14.05,"2023-01-16T09:50:00.000Z",1673862600000,14.1,14,14.05,63.1,36.9,0,0.4,0.3,,0.6,28900,78400,709600,,1101260000,695575000,405685000,
114839.1,-285600,-4009030000,10409400000,83213,5934.8,0.7,12300,-5800,-81300000,14.1,"2023-01-16T09:55:00.000Z",1673862900000,14.1,14,14.05,40.5,59.5,0,0.1,0.2,,1.5,18100,30400,740000,,427000000,172850000,254150000,
114839.1,-228500,-3201755000,12331025000,83213,5934.8,2.4,96600,57100,807275000,14.15,"2023-01-16T10:00:00.000Z",1673863200000,14.15,14.05,14.05,71,29,0,0.8,0.5,,0.4,39500,136100,876100,,1921625000,1364450000,557175000,
114839.1,-292900,-4109730000,13289890000,83213,5934.8,0,1800,-64400,-907975000,14.1,"2023-01-16T10:05:00.000Z",1673863500000,14.15,14.1,14.15,2.6,97.4,0,0,0.8,,36.8,66200,68000,944100,,958865000,25445000,933420000,
114839.1,-263400,-3693275000,14069115000,83213,5934.8,3.3,42400,29500,416455000,14.05,"2023-01-16T10:10:00.000Z",1673863800000,14.1,14.05,14.1,76.7,23.3,0,0.4,0.2,,0.3,12900,55300,999400,,779225000,597840000,181385000,
114839.1,-420600,-5900895000,16863295000,83213,5934.8,0.1,20800,-157200,-2207620000,14.05,"2023-01-16T10:15:00.000Z",1673864100000,14.1,14.05,14.05,10.5,89.5,0,0.2,2.1,,8.6,178000,198800,1198200,,2794180000,293280000,2500900000,
114839.1,-787700,-11041875000,22618295000,83213,5934.8,0.1,19900,-367100,-5140980000,14,"2023-01-16T10:20:00.000Z",1673864400000,14.05,14,14.05,4.8,94.2,1,0.2,4.7,0.7,19.4,387000,410900,1609100,4000,5755000000,278910000,5419890000,56200000
