"abu","acum_busd","acum_busd_val","acum_val_bu","acum_val_sd","acum_val","avg_val_bu","avg_val_sd","rbusd","asd","auk","bs","bu","bu-sd","bu-sd_val","c","date","datetime","h","l","o","pbu","psd","puk","rbu","rsd","ruk","sb","sd","sum_vol","total_vol","uk","val","val_bu","val_sd","val_uk"
192.3,-500,-13050000,0,13050000,13050000,5122692.3,7271153.8,6.1,276.9,0,0,,-500,-13050000,26.1,"2023-01-18T09:28:00.000Z",1674034080000,26.1,26.1,26.1,0,100,0,,1.8,,Infinity,500,500,500,,13050000,,13050000,
192.3,-600,-15670000,0,15670000,15670000,5122692.3,7271153.8,1.2,276.9,0,0,,-100,-2620000,26.2,"2023-01-18T10:10:00.000Z",1674036600000,26.2,26.2,26.2,0,100,0,,0.4,,Infinity,100,100,600,,2620000,,2620000,
192.3,-700,-18290000,0,18290000,18290000,5122692.3,7271153.8,1.2,276.9,0,0,,-100,-2620000,26.2,"2023-01-18T10:12:00.000Z",1674036720000,26.2,26.2,26.2,0,100,0,,0.4,,Infinity,100,100,700,,2620000,,2620000,
192.3,-1000,-26155000,0,26155000,26155000,5122692.3,7271153.8,3.7,276.9,0,0,,-300,-7865000,26.2,"2023-01-18T10:20:00.000Z",1674037200000,26.25,26.2,26.25,0,100,0,,1.1,,Infinity,300,300,1000,,7865000,,7865000,
192.3,-1500,-39255000,0,39255000,39255000,5122692.3,7271153.8,6.1,276.9,0,0,,-500,-13100000,26.2,"2023-01-18T10:46:00.000Z",1674038760000,26.2,26.2,26.2,0,100,0,,1.8,,Infinity,500,500,1500,,13100000,,13100000,
192.3,-2100,-54975000,0,54975000,54975000,5122692.3,7271153.8,7.3,276.9,0,0,,-600,-15720000,26.2,"2023-01-18T10:50:00.000Z",1674039000000,26.2,26.2,26.2,0,100,0,,2.2,,Infinity,600,600,2100,,15720000,,15720000,
192.3,-1400,-36345000,18630000,54975000,73605000,5122692.3,7271153.8,8.7,276.9,0,Infinity,700,700,18630000,26.65,"2023-01-18T10:58:00.000Z",1674039480000,26.65,26.5,26.5,100,0,0,3.6,,,0,,700,2800,,18630000,18630000,,
192.3,-1300,-33680000,21295000,54975000,76270000,5122692.3,7271153.8,1.2,276.9,0,Infinity,100,100,2665000,26.65,"2023-01-18T13:00:00.000Z",1674046800000,26.65,26.65,26.65,100,0,0,0.5,,,0,,100,2900,,2665000,2665000,,
192.3,-1200,-31015000,23960000,54975000,78935000,5122692.3,7271153.8,1.2,276.9,0,Infinity,100,100,2665000,26.65,"2023-01-18T13:28:00.000Z",1674048480000,26.65,26.65,26.65,100,0,0,0.5,,,0,,100,3000,,2665000,2665000,,
192.3,-1100,-28355000,26620000,54975000,81595000,5122692.3,7271153.8,1.2,276.9,0,Infinity,100,100,2660000,26.6,"2023-01-18T14:16:00.000Z",1674051360000,26.6,26.6,26.6,100,0,0,0.5,,,0,,100,3100,,2660000,2660000,,
192.3,-1200,-31015000,26620000,57635000,84255000,5122692.3,7271153.8,1.2,276.9,0,0,,-100,-2660000,26.6,"2023-01-18T14:18:00.000Z",1674051480000,26.6,26.6,26.6,0,100,0,,0.4,,Infinity,100,100,3200,,2660000,,2660000,
192.3,300,8960000,66595000,57635000,124230000,5122692.3,7271153.8,18.6,276.9,0,Infinity,1500,1500,39975000,26.65,"2023-01-18T14:22:00.000Z",1674051720000,26.65,26.65,26.65,100,0,0,7.8,,,0,,1500,4700,,39975000,39975000,,
192.3,-1100,-27930000,66595000,94525000,161120000,5122692.3,7271153.8,17.2,276.9,0,0,,-1400,-36890000,26.35,"2023-01-18T14:44:00.000Z",1674053040000,26.35,26.35,26.35,0,100,0,,5.1,,Infinity,1400,1400,6100,,36890000,,36890000,
