"abu","acum_busd","acum_busd_val","acum_val_bu","acum_val_sd","acum_val","avg_val_bu","avg_val_sd","rbusd","asd","auk","bs","bu","bu-sd","bu-sd_val","c","date","datetime","h","l","o","pbu","psd","puk","rbu","rsd","ruk","sb","sd","sum_vol","total_vol","uk","val","val_bu","val_sd","val_uk"
4395.7,7500,384680000,419547000,34867000,454414000,213197402.2,378703639.1,-2.3,7623.9,487,13.5,8100,7500,384680000,70,"2023-01-18T09:15:00.000Z",1674033300000,70,69.6,69.9,93.1,6.9,0,1.8,0.1,,0.1,600,8700,8700,,454414000,419547000,34867000,
4395.7,7100,398698000,433607000,34909000,475536000,213197402.2,378703639.1,-0.1,7623.9,487,0.3,200,-400,14018000,70,"2023-01-18T09:20:00.000Z",1674033600000,70.3,70,70.2,22.2,66.7,11.1,0,0.1,0.2,3,600,900,9600,100,21122000,14060000,42000,7020000
4395.7,-600,230547000,433614000,203067000,643701000,213197402.2,378703639.1,1,7623.9,487,0,100,-7700,-168151000,69.7,"2023-01-18T09:25:00.000Z",1674033900000,70.1,69.7,70,1.3,98.7,0,0,1,,78,7800,7900,17500,,168165000,7000,168158000,
4395.7,-2500,98487000,489284000,390797000,887101000,213197402.2,378703639.1,0.8,7623.9,487,0.3,800,-1900,-132060000,69.6,"2023-01-18T09:30:00.000Z",1674034200000,69.7,69.3,69.7,22.9,77.1,0,0.2,0.4,,3.4,2700,3500,21000,,243400000,55669999.99999999,187730000,
4395.7,-2900,70797000,503204000,432407000,963481000,213197402.2,378703639.1,0.2,7623.9,487,0.3,200,-400,-27690000,69.4,"2023-01-18T09:35:00.000Z",1674034500000,69.6,69.3,69.6,18.2,54.5,27.3,0,0.1,0.6,3,600,1100,22100,300,76380000,13919999.999999998,41610000,20850000
4395.7,-2500,98727000,676744000,578017000,1282631000,213197402.2,378703639.1,-0.2,7623.9,487,1.2,2500,400,27930000,69.4,"2023-01-18T09:40:00.000Z",1674034800000,69.6,69.3,69.6,54.3,45.7,0,0.6,0.3,,0.8,2100,4600,26700,,319150000,173540000,145610000,
4395.7,-4200,-19283000,746244000,765527000,1539641000,213197402.2,378703639.1,0.7,7623.9,487,0.4,1000,-1700,-118010000,69.4,"2023-01-18T09:45:00.000Z",1674035100000,69.5,69.4,69.5,27,73,0,0.2,0.4,,2.7,2700,3700,30400,,257010000,69500000,187510000,
4395.7,-3400,36536999.99999999,836764000,800227000,1664861000,213197402.2,378703639.1,-0.3,7623.9,487,2.6,1300,800,55819999.99999999,69.9,"2023-01-18T09:50:00.000Z",1674035400000,69.9,69.4,69.4,72.2,27.8,0,0.3,0.1,,0.4,500,1800,32200,,125220000,90520000,34700000.00000001,
4395.7,-900,190518000,1025515000,834997000,1888382000,213197402.2,378703639.1,-0.9,7623.9,487,6,3000,2500,153981000,69.9,"2023-01-18T09:55:00.000Z",1674035700000,70,69.5,69.9,85.7,14.3,0,0.7,0.1,,0.2,500,3500,35700,,223521000,188751000,34770000,
4395.7,-20900,-1272305000,1179312000,2451617000,3700549000,213197402.2,378703639.1,8.8,7623.9,487,0.1,3300,-20000,-1462823000,69.2,"2023-01-18T10:00:00.000Z",1674036000000,70,69.2,69.7,12.1,85.7,2.2,0.8,3.1,1.2,7.1,23300,27200,62900,600,1812167000,153797000,1616620000,41750000
