"abu","acum_busd","acum_busd_val","acum_val","asd","auk","bs","bu","bu-sd","bu-sd_val","c","date","datetime","h","l","o","pbu","psd","puk","rbu","rsd","ruk","sb","sd","sum_vol","total_vol","uk","val","val_bu","val_sd","val_uk"
14243.2,-1200,-4072000,6808000,4568.2,813.6,0.3,400,-1200,-4072000,3.42,"2023-01-18T09:15:00.000Z",1674033300000,3.42,3.4,3.4,20,80,0,0,0.4,,4,1600,2000,2000,,6808000,1368000,5440000,
14243.2,-3100,-10527000,17367000,4568.2,813.6,0.2,600,-1900,-6455000,3.4,"2023-01-18T09:20:00.000Z",1674033600000,3.42,3.4,3.42,19.4,80.6,0,0,0.5,,4.2,2500,3100,5100,,10559000,2052000,8507000,
14243.2,-600,-1969000,25925000,4568.2,813.6,Infinity,2500,2500,8558000,3.43,"2023-01-18T09:25:00.000Z",1674033900000,3.43,3.42,3.42,100,0,0,0.2,,,0,,2500,7600,,8558000,8558000,,
14243.2,-7200,-24539000,49867000,4568.2,813.6,0,200,-6600,-22570000,3.42,"2023-01-18T09:30:00.000Z",1674034200000,3.43,3.42,3.42,2.9,97.1,0,0,1.5,,34,6800,7000,14600,,23942000,686000,23256000,
14243.2,-7600,-25889000,55321000,4568.2,813.6,0.6,600,-400,-1350000,3.4,"2023-01-18T09:35:00.000Z",1674034500000,3.42,3.4,3.42,37.5,62.5,0,0,0.2,,1.7,1000,1600,16200,,5454000,2052000,3402000,
14243.2,-9400,-31999000,75731000,4568.2,813.6,0.5,2100,-1800,-6110000,3.4,"2023-01-18T09:40:00.000Z",1674034800000,3.41,3.4,3.4,35,65,0,0.1,0.9,,1.9,3900,6000,22200,,20410000,7150000,13260000,
14243.2,-11100,-37773000,83557000,4568.2,813.6,0.2,300,-1700,-5774000,3.4,"2023-01-18T09:45:00.000Z",1674035100000,3.42,3.4,3.42,13,87,0,0,0.4,,6.7,2000,2300,24500,,7826000,1026000,6800000,
14243.2,-14400,-48993000,94777000,4568.2,813.6,0,,-3300,-11220000,3.4,"2023-01-18T09:50:00.000Z",1674035400000,3.4,3.4,3.4,0,100,0,,0.7,,Infinity,3300,3300,27800,,11220000,,11220000,
14243.2,-17300,-58853000,104637000,4568.2,813.6,0,,-2900,-9860000,3.4,"2023-01-18T09:55:00.000Z",1674035700000,3.4,3.4,3.4,0,100,0,,0.6,,Infinity,2900,2900,30700,,9860000,,9860000,
14243.2,-17400,-59193000,105661000,4568.2,813.6,0.5,100,-100,-340000,3.42,"2023-01-18T10:00:00.000Z",1674036000000,3.42,3.41,3.41,33.3,66.7,0,0,0,,2,200,300,31000,,1024000,342000,682000,
14243.2,-17300,-58851000,106003000,4568.2,813.6,Infinity,100,100,342000,3.42,"2023-01-18T10:05:00.000Z",1674036300000,3.42,3.42,3.42,100,0,0,0,,,0,,100,31100,,342000,342000,,
14243.2,-1400,-4369000,164589000,4568.2,813.6,27.5,16500,15900,54482000,3.43,"2023-01-18T10:15:00.000Z",1674036900000,3.43,3.42,3.42,96.5,3.5,0,1.2,0.1,,0,600,17100,48200,,58586000,56534000,2052000,
