"abu","acum_busd","acum_busd_val","acum_val","asd","auk","bs","bu","bu-sd","bu-sd_val","c","date","datetime","h","l","o","pbu","psd","puk","rbu","rsd","ruk","sb","sd","sum_vol","total_vol","uk","val","val_bu","val_sd","val_uk"
263.6,-400,-1240000,1240000,827.3,18.2,0,,-400,-1240000,3.1,"2023-01-19T09:15:00.000Z",1674119700000,3.1,3.1,3.1,0,100,0,,0.5,,Infinity,400,400,400,,1240000,,1240000,
263.6,1600,4960000,7440000,827.3,18.2,Infinity,2000,2000,6200000,3.1,"2023-01-19T11:15:00.000Z",1674126900000,3.1,3.1,3.1,100,0,0,7.6,,,0,,2000,2400,,6200000,6200000,,
263.6,1900,5890000,8370000,827.3,18.2,Infinity,300,300,930000,3.1,"2023-01-19T11:20:00.000Z",1674127200000,3.1,3.1,3.1,100,0,0,1.1,,,0,,300,2700,,930000,930000,,
263.6,-100,-110000,14370000,827.3,18.2,0,,-2000,-6000000,3,"2023-01-19T13:00:00.000Z",1674133200000,3,3,3,0,100,0,,2.4,,Infinity,2000,2000,4700,,6000000,,6000000,
263.6,-1100,-3110000,17370000,827.3,18.2,0,,-1000,-3000000,3,"2023-01-19T13:10:00.000Z",1674133800000,3,3,3,0,100,0,,1.2,,Infinity,1000,1000,5700,,3000000,,3000000,
263.6,-1400,-4010000,18270000,827.3,18.2,0,,-300,-900000,3,"2023-01-19T13:25:00.000Z",1674134700000,3,3,3,0,100,0,,0.4,,Infinity,300,300,6000,,900000,,900000,
263.6,-1500,-4310000,18570000,827.3,18.2,0,,-100,-300000,3,"2023-01-19T14:00:00.000Z",1674136800000,3,3,3,0,100,0,,0.1,,Infinity,100,100,6100,,300000,,300000,
263.6,-4900,-14510000,28770000,827.3,18.2,0,,-3400,-10200000,3,"2023-01-19T14:05:00.000Z",1674137100000,3,3,3,0,100,0,,4.1,,Infinity,3400,3400,9500,,10200000,,10200000,
263.6,-4400,-13010000,30870000,827.3,18.2,Infinity,500,500,1500000,3,"2023-01-19T14:15:00.000Z",1674137700000,3,3,3,71.4,0,28.6,1.9,,11,0,,700,10200,200,2100000,1500000,,600000
263.6,-6300,-18710000,36570000,827.3,18.2,0,,-1900,-5700000,3,"2023-01-19T14:25:00.000Z",1674138300000,3,3,3,0,100,0,,2.3,,Infinity,1900,1900,12100,,5700000,,5700000,
263.6,-6200,-18400000,36880000,827.3,18.2,Infinity,100,100,310000,3.1,"2023-01-19T14:30:00.000Z",1674138600000,3.1,3.1,3.1,100,0,0,0.4,,,0,,100,12200,,310000,310000,,
