"abu","acum_busd","acum_busd_val","acum_val","asd","auk","bs","bu","bu-sd","bu-sd_val","c","date","datetime","h","l","o","pbu","psd","puk","rbu","rsd","ruk","sb","sd","sum_vol","total_vol","uk","val","val_bu","val_sd","val_uk"
342.9,-400,-18240000,18240000,200,38.1,0,,-400,-18240000,45.6,"2023-01-27T09:14:00.000Z",1674810840000,45.6,45.6,45.6,0,100,0,,2,,Infinity,400,400,400,,18240000,,18240000,
342.9,2600,119760000,202190000,200,38.1,7,3500,3000,138000000,46,"2023-01-27T09:20:00.000Z",1674811200000,46,45.95,45.95,87.5,12.5,0,10.2,2.5,,0.1,500,4000,4400,,183950000,160975000,22975000,
342.9,2900,133560000,215990000,200,38.1,Infinity,300,300,13800000,46,"2023-01-27T09:22:00.000Z",1674811320000,46,46,46,100,0,0,0.9,,,0,,300,4700,,13800000,13800000,,
342.9,3100,142840000,225270000,200,38.1,Infinity,200,200,9280000,46.4,"2023-01-27T09:24:00.000Z",1674811440000,46.4,46.4,46.4,100,0,0,0.6,,,0,,200,4900,,9280000,9280000,,
342.9,3600,165840000,248270000,200,38.1,Infinity,500,500,23000000,46,"2023-01-27T09:44:00.000Z",1674812640000,46,46,46,100,0,0,1.5,,,0,,500,5400,,23000000,23000000,,
342.9,3700,170470000,252900000,200,38.1,Infinity,100,100,4630000,46.3,"2023-01-27T09:46:00.000Z",1674812760000,46.3,46.3,46.3,100,0,0,0.3,,,0,,100,5500,,4630000,4630000,,
342.9,3400,156745000,275785000,200,38.1,0,,-300,-13725000,45.75,"2023-01-27T13:00:00.000Z",1674824400000,45.8,45.75,45.8,0,60,40,,1.5,5.2,Infinity,300,500,6000,200,22885000,,13725000,9160000
342.9,3900,179745000,298785000,200,38.1,Infinity,500,500,23000000,46,"2023-01-27T13:02:00.000Z",1674824520000,46,46,46,100,0,0,1.5,,,0,,500,6500,,23000000,23000000,,
342.9,4000,184375000,303415000,200,38.1,Infinity,100,100,4630000,46.3,"2023-01-27T13:06:00.000Z",1674824760000,46.3,46.3,46.3,100,0,0,0.3,,,0,,100,6600,,4630000,4630000,,
342.9,4200,193575000,312615000,200,38.1,Infinity,200,200,9200000,46,"2023-01-27T13:20:00.000Z",1674825600000,46,46,46,100,0,0,0.6,,,0,,200,6800,,9200000,9200000,,
342.9,4300,198205000,317245000,200,38.1,Infinity,100,100,4630000,46.3,"2023-01-27T13:24:00.000Z",1674825840000,46.3,46.3,46.3,100,0,0,0.3,,,0,,100,6900,,4630000,4630000,,
342.9,2300,106005000,409445000,200,38.1,0,,-2000,-92200000,46.1,"2023-01-27T13:38:00.000Z",1674826680000,46.1,46.1,46.1,0,100,0,,10,,Infinity,2000,2000,8900,,92200000,,92200000,
342.9,2400,110635000,414075000,200,38.1,Infinity,100,100,4630000,46.3,"2023-01-27T13:40:00.000Z",1674826800000,46.3,46.3,46.3,100,0,0,0.3,,,0,,100,9000,,4630000,4630000,,
342.9,2500,115265000,418705000,200,38.1,Infinity,100,100,4630000,46.3,"2023-01-27T13:46:00.000Z",1674827160000,46.3,46.3,46.3,100,0,0,0.3,,,0,,100,9100,,4630000,4630000,,
342.9,1700,78665000,459905000,200,38.1,0,,-800,-36600000,45.75,"2023-01-27T13:54:00.000Z",1674827640000,46,45.75,46,0,88.9,11.1,,4,2.6,Infinity,800,900,10000,100,41200000,,36600000,4600000
342.9,1800,83275000,464515000,200,38.1,Infinity,100,100,4610000,46.1,"2023-01-27T14:02:00.000Z",1674828120000,46.1,46.1,46.1,100,0,0,0.3,,,0,,100,10100,,4610000,4610000,,
342.9,2300,106325000,510590000,200,38.1,Infinity,500,500,23050000,46.1,"2023-01-27T14:14:00.000Z",1674828840000,46.1,46.05,46.05,50,0,50,1.5,,13.1,0,,1000,11100,500,46075000,23050000,,23025000
342.9,2700,124765000,529030000,200,38.1,Infinity,400,400,18440000,46.1,"2023-01-27T14:22:00.000Z",1674829320000,46.1,46.1,46.1,100,0,0,1.2,,,0,,400,11500,,18440000,18440000,,
342.9,2500,115595000,538200000,200,38.1,0,,-200,-9170000,45.85,"2023-01-27T14:24:00.000Z",1674829440000,45.85,45.85,45.85,0,100,0,,1,,Infinity,200,200,11700,,9170000,,9170000,
342.9,2800,129395000,552000000,200,38.1,Infinity,300,300,13800000,46,"2023-01-27T14:26:00.000Z",1674829560000,46,46,46,100,0,0,0.9,,,0,,300,12000,,13800000,13800000,,
342.9,3000,138615000,561220000,200,38.1,Infinity,200,200,9220000,46.1,"2023-01-27T14:44:00.000Z",1674830640000,46.1,46.1,46.1,100,0,0,0.6,,,0,,200,12200,,9220000,9220000,,
