"abu","acum_busd","acum_busd_val","acum_val_bu","acum_val_sd","acum_val","avg_val_bu","avg_val_sd","rbusd","asd","auk","bs","bu","bu-sd","bu-sd_val","c","date","datetime","h","l","o","pbu","psd","puk","rbu","rsd","ruk","sb","sd","sum_vol","total_vol","uk","val","val_bu","val_sd","val_uk"
1930.6,19600,166570000,170730000,4160000,174890000,16044638.9,9828416.7,26.8,1197.2,30.6,40.2,20100,19600,166570000,8.38,"2023-01-27T09:15:00.000Z",1674810900000,8.5,8.32,8.5,97.6,2.4,0,10.4,0.4,,0,500,20600,20600,,174890000,170730000,4160000,
1930.6,18400,156600000,177370000,20770000,198140000,16044638.9,9828416.7,-1.6,1197.2,30.6,0.4,800,-1200,-9970000,8.3,"2023-01-27T09:20:00.000Z",1674811200000,8.31,8.3,8.31,28.6,71.4,0,0.4,1.7,,2.5,2000,2800,23400,,23250000,6640000.000000001,16610000,
1930.6,17900,152625000,193089000,40464000,233553000,16044638.9,9828416.7,-0.6,1197.2,30.6,0.8,1900,-500,-3975000,8.3,"2023-01-27T09:25:00.000Z",1674811500000,8.3,8.2,8.3,44.2,55.8,0,1,2,,1.3,2400,4300,27700,,35413000,15719000,19694000,
1930.6,28800,243142000,287731000,44589000,332320000,16044638.9,9828416.7,14.6,1197.2,30.6,22.8,11400,10900,90517000.00000001,8.25,"2023-01-27T09:30:00.000Z",1674811800000,8.31,8.25,8.3,95.8,4.2,0,5.9,0.4,,0,500,11900,39600,,98767000.00000001,94642000.00000001,4125000,
1930.6,27900,235758000,289397000,53639000,343036000,16044638.9,9828416.7,-1.2,1197.2,30.6,0.2,200,-900,-7384000,8.35,"2023-01-27T09:35:00.000Z",1674812100000,8.35,8.22,8.31,15.4,84.6,0,0.1,0.9,,5.5,1100,1300,40900,,10716000,1666000,9050000,
1930.6,29000,245002000,303591000,58589000,362180000,16044638.9,9828416.7,1.5,1197.2,30.6,2.8,1700,1100,9244000,8.25,"2023-01-27T09:40:00.000Z",1674812400000,8.35,8.25,8.34,73.9,26.1,0,0.9,0.5,,0.4,600,2300,43200,,19144000,14194000,4950000,
1930.6,29100,245837000,304426000,58589000,363015000,16044638.9,9828416.7,0.1,1197.2,30.6,Infinity,100,100,835000,8.35,"2023-01-27T09:45:00.000Z",1674812700000,8.35,8.35,8.35,100,0,0,0.1,,,0,,100,43300,,835000,835000,,
1930.6,29400,248335000,307750000,59415000,367165000,16044638.9,9828416.7,0.4,1197.2,30.6,4,400,300,2498000,8.26,"2023-01-27T10:00:00.000Z",1674813600000,8.31,8.26,8.31,80,20,0,0.2,0.1,,0.3,100,500,43800,,4150000,3324000,826000,
1930.6,19600,167571000,307750000,140179000,447929000,16044638.9,9828416.7,-13,1197.2,30.6,0,,-9800,-80764000,8.23,"2023-01-27T10:05:00.000Z",1674813900000,8.26,8.23,8.26,0,100,0,,8.2,,Infinity,9800,9800,53600,,80764000,,80764000,
1930.6,17900,153621000,307750000,154129000,470089000,16044638.9,9828416.7,-2.2,1197.2,30.6,0,,-1700,-13950000,8.2,"2023-01-27T10:10:00.000Z",1674814200000,8.22,8.2,8.22,0,63,37,,1.4,32.7,Infinity,1700,2700,56300,1000,22160000,,13950000,8210000.000000001
