"abu","acum_busd","acum_busd_val","acum_val","asd","auk","bs","bu","bu-sd","bu-sd_val","c","date","datetime","h","l","o","pbu","psd","puk","rbu","rsd","ruk","sb","sd","sum_vol","total_vol","uk","val","val_bu","val_sd","val_uk"
247.6,-1800,-82800000,82800000,776.2,0,0,,-1800,-82800000,46,"2023-01-30T09:14:00.000Z",1675070040000,46,46,46,0,100,0,,2.3,,Infinity,1800,1800,1800,,82800000,,82800000,
247.6,-3600,-165440000,165440000,776.2,0,0,,-1800,-82640000,45.9,"2023-01-30T09:26:00.000Z",1675070760000,46,45.9,46,0,100,0,,2.3,,Infinity,1800,1800,3600,,82640000,,82640000,
247.6,-3800,-174640000,174640000,776.2,0,0,,-200,-9200000,46,"2023-01-30T09:32:00.000Z",1675071120000,46,46,46,0,100,0,,0.3,,Infinity,200,200,3800,,9200000,,9200000,
247.6,-5600,-257260000,257260000,776.2,0,0,,-1800,-82620000,45.9,"2023-01-30T09:34:00.000Z",1675071240000,45.9,45.9,45.9,0,100,0,,2.3,,Infinity,1800,1800,5600,,82620000,,82620000,
247.6,-7400,-339880000,339880000,776.2,0,0,,-1800,-82620000,45.9,"2023-01-30T09:38:00.000Z",1675071480000,45.9,45.9,45.9,0,100,0,,2.3,,Infinity,1800,1800,7400,,82620000,,82620000,
247.6,-8900,-408660000,408660000,776.2,0,0,,-1500,-68780000,45.8,"2023-01-30T09:40:00.000Z",1675071600000,45.9,45.8,45.9,0,100,0,,1.9,,Infinity,1500,1500,8900,,68780000,,68780000,
247.6,-8800,-404060000,413260000,776.2,0,Infinity,100,100,4600000,46,"2023-01-30T09:46:00.000Z",1675071960000,46,46,46,100,0,0,0.4,,,0,,100,9000,,4600000,4600000,,
247.6,-9800,-450060000,459260000,776.2,0,0,,-1000,-46000000,46,"2023-01-30T10:58:00.000Z",1675076280000,46,46,46,0,100,0,,1.3,,Infinity,1000,1000,10000,,46000000,,46000000,
247.6,-9600,-440860000,468460000,776.2,0,Infinity,200,200,9200000,46,"2023-01-30T11:02:00.000Z",1675076520000,46,46,46,100,0,0,0.8,,,0,,200,10200,,9200000,9200000,,
247.6,-9300,-427060000,482260000,776.2,0,Infinity,300,300,13800000,46,"2023-01-30T11:06:00.000Z",1675076760000,46,46,46,100,0,0,1.2,,,0,,300,10500,,13800000,13800000,,
247.6,-9000,-413260000,496060000,776.2,0,Infinity,300,300,13800000,46,"2023-01-30T11:12:00.000Z",1675077120000,46,46,46,100,0,0,1.2,,,0,,300,10800,,13800000,13800000,,
247.6,-10200,-468260000,551060000,776.2,0,0,,-1200,-55000000,45.8,"2023-01-30T11:22:00.000Z",1675077720000,46,45.8,46,0,100,0,,1.5,,Infinity,1200,1200,12000,,55000000,,55000000,
247.6,-10800,-495820000,578620000,776.2,0,0,,-600,-27560000,46,"2023-01-30T11:24:00.000Z",1675077840000,46,45.8,45.8,0,100,0,,0.8,,Infinity,600,600,12600,,27560000,,27560000,
247.6,-10700,-491220000,583220000,776.2,0,Infinity,100,100,4600000,46,"2023-01-30T13:00:00.000Z",1675083600000,46,46,46,100,0,0,0.4,,,0,,100,12700,,4600000,4600000,,
247.6,-9800,-449820000,624620000,776.2,0,Infinity,900,900,41400000,46,"2023-01-30T13:12:00.000Z",1675084320000,46,46,46,100,0,0,3.6,,,0,,900,13600,,41400000,41400000,,
247.6,-9900,-454420000,629220000,776.2,0,0,,-100,-4600000,46,"2023-01-30T13:14:00.000Z",1675084440000,46,46,46,0,100,0,,0.1,,Infinity,100,100,13700,,4600000,,4600000,
247.6,-8900,-408420000,712020000,776.2,0,3.5,1400,1000,46000000,46,"2023-01-30T13:42:00.000Z",1675086120000,46,46,46,77.8,22.2,0,5.7,0.5,,0.3,400,1800,15500,,82800000,64400000,18400000,
247.6,-10000,-459020000,762620000,776.2,0,0,,-1100,-50600000,46,"2023-01-30T13:54:00.000Z",1675086840000,46,46,46,0,100,0,,1.4,,Infinity,1100,1100,16600,,50600000,,50600000,
247.6,-11000,-505020000,808620000,776.2,0,0,,-1000,-46000000,46,"2023-01-30T13:58:00.000Z",1675087080000,46,46,46,0,100,0,,1.3,,Infinity,1000,1000,17600,,46000000,,46000000,
247.6,-11100,-509620000,813220000,776.2,0,0,,-100,-4600000,46,"2023-01-30T14:08:00.000Z",1675087680000,46,46,46,0,100,0,,0.1,,Infinity,100,100,17700,,4600000,,4600000,
247.6,-11100,-509620000,988020000,776.2,0,1,1900,0,0,46,"2023-01-30T14:12:00.000Z",1675087920000,46,46,46,50,50,0,7.7,2.4,,1,1900,3800,21500,,174800000,87400000,87400000,
