"abu","acum_busd","acum_busd_val","acum_val","asd","auk","bs","bu","bu-sd","bu-sd_val","c","date","datetime","h","l","o","pbu","psd","puk","rbu","rsd","ruk","sb","sd","sum_vol","total_vol","uk","val","val_bu","val_sd","val_uk"
574.3,0,0,32670000,1031.4,420,NaN,,0,0,9.9,"2023-01-30T09:16:00.000Z",1675070160000,9.9,9.9,9.9,0,0,100,,,7.9,NaN,,3300,3300,3300,32670000,,,32670000
574.3,-1300,-12870000,47520000,1031.4,420,0.1,100,-1300,-12870000,9.9,"2023-01-30T09:22:00.000Z",1675070520000,9.9,9.9,9.9,6.7,93.3,0,0.2,1.4,,14,1400,1500,4800,,14850000,990000,13860000,
574.3,-1300,-12870000,62370000,1031.4,420,NaN,,0,0,9.9,"2023-01-30T09:24:00.000Z",1675070640000,9.9,9.9,9.9,0,0,100,,,3.6,NaN,,1500,6300,1500,14850000,,,14850000
574.3,-300,-2970000,72270000,1031.4,420,Infinity,1000,1000,9900000,9.9,"2023-01-30T09:32:00.000Z",1675071120000,9.9,9.9,9.9,100,0,0,1.7,,,0,,1000,7300,,9900000,9900000,,
574.3,-1200,-12869000,82171000,1031.4,420,0.1,100,-900,-9899000,10,"2023-01-30T09:34:00.000Z",1675071240000,10,9.9,9.9,9.1,90.9,0,0.2,1,,10,1000,1100,8400,,9901000,1000,9900000,
574.3,-1200,-12869000,102961000,1031.4,420,NaN,,0,0,9.9,"2023-01-30T09:36:00.000Z",1675071360000,9.9,9.9,9.9,0,0,100,,,5,NaN,,2100,10500,2100,20790000,,,20790000
574.3,-1200,-12869000,103951000,1031.4,420,NaN,,0,0,9.9,"2023-01-30T09:46:00.000Z",1675071960000,9.9,9.9,9.9,0,0,100,,,0.2,NaN,,100,10600,100,990000,,,990000
574.3,-900,-12866000,103954000,1031.4,420,Infinity,300,300,3000,10,"2023-01-30T09:54:00.000Z",1675072440000,10,10,10,100,0,0,0.5,,,0,,300,10900,,3000,3000,,
574.3,-1200,-15836000,106924000,1031.4,420,0,,-300,-2970000,9.9,"2023-01-30T09:58:00.000Z",1675072680000,9.9,9.9,9.9,0,100,0,,0.3,,Infinity,300,300,11200,,2970000,,2970000,
574.3,-1200,-15836000,106957000,1031.4,420,NaN,,0,0,10,"2023-01-30T10:00:00.000Z",1675072800000,10,10,10,0,0,100,,,7.9,NaN,,3300,14500,3300,33000,,,33000
