"abu","acum_busd","acum_busd_val","acum_val_bu","acum_val_sd","acum_val","avg_val_bu","avg_val_sd","rbusd","asd","auk","bs","bu","bu-sd","bu-sd_val","c","date","datetime","h","l","o","pbu","psd","puk","rbu","rsd","ruk","sb","sd","sum_vol","total_vol","uk","val","val_bu","val_sd","val_uk"
641.7,100,9390000,9390000,0,18760000,55355995.8,17891250,0.3,187.5,12.5,Infinity,100,100,9390000,93.9,"2023-02-03T09:35:00.000Z",1675416900000,93.9,93.7,93.7,50,0,50,0.2,,8,0,,200,200,100,18760000,9390000,,9370000
641.7,600,56690000,66080000,9390000,84840000,55355995.8,17891250,1.3,187.5,12.5,6,600,500,47300000,94.5,"2023-02-03T09:45:00.000Z",1675417500000,94.5,93.9,93.9,85.7,14.3,0,0.9,0.5,,0.2,100,700,900,,66080000,56690000,9390000,
641.7,700,66140000,75530000,9390000,94290000,55355995.8,17891250,0.3,187.5,12.5,Infinity,100,100,9450000,94.5,"2023-02-03T09:50:00.000Z",1675417800000,94.5,94.5,94.5,100,0,0,0.2,,,0,,100,1000,,9450000,9450000,,
641.7,800,75590000,84980000,9390000,103740000,55355995.8,17891250,0.3,187.5,12.5,Infinity,100,100,9450000,94.5,"2023-02-03T10:20:00.000Z",1675419600000,94.5,94.5,94.5,100,0,0,0.2,,,0,,100,1100,,9450000,9450000,,
641.7,1400,132290000,141680000,9390000,160440000,55355995.8,17891250,1.5,187.5,12.5,Infinity,600,600,56700000,94.5,"2023-02-03T10:25:00.000Z",1675419900000,94.5,94.5,94.5,100,0,0,0.9,,,0,,600,1700,,56700000,56700000,,
641.7,1500,141740000,151130000,9390000,169890000,55355995.8,17891250,0.3,187.5,12.5,Infinity,100,100,9450000,94.5,"2023-02-03T10:30:00.000Z",1675420200000,94.5,94.5,94.5,100,0,0,0.2,,,0,,100,1800,,9450000,9450000,,
641.7,1400,132310000,151130000,18820000,179320000,55355995.8,17891250,-0.3,187.5,12.5,0,,-100,-9430000,94.3,"2023-02-03T10:35:00.000Z",1675420500000,94.3,94.3,94.3,0,100,0,,0.5,,Infinity,100,100,1900,,9430000,,9430000,
641.7,1700,151289500,170109500,18820000,198299500,55355995.8,17891250,0.5,187.5,12.5,Infinity,300,300,18979500,95,"2023-02-03T10:40:00.000Z",1675420800000,95,94.8,94.8,100,0,0,0.5,,,0,,300,2200,,18979500,18979500,,
641.7,5100,476529500,495349500,18820000,523539500,55355995.8,17891250,8.7,187.5,12.5,Infinity,3400,3400,325240000,95.8,"2023-02-03T10:45:00.000Z",1675421100000,95.8,95.5,95.5,100,0,0,5.3,,,0,,3400,5600,,325240000,325240000,,
641.7,5200,486109500,504929500,18820000,533119500,55355995.8,17891250,0.3,187.5,12.5,Infinity,100,100,9580000,95.8,"2023-02-03T10:50:00.000Z",1675421400000,95.8,95.8,95.8,100,0,0,0.2,,,0,,100,5700,,9580000,9580000,,
641.7,5400,505229500,524049500,18820000,552239500,55355995.8,17891250,0.5,187.5,12.5,Infinity,200,200,19120000,95.6,"2023-02-03T11:00:00.000Z",1675422000000,95.6,95.6,95.6,100,0,0,0.3,,,0,,200,5900,,19120000,19120000,,
641.7,5300,495699500,524049500,28350000,561769500,55355995.8,17891250,-0.3,187.5,12.5,0,,-100,-9530000,95.3,"2023-02-03T13:00:00.000Z",1675429200000,95.3,95.3,95.3,0,100,0,,0.5,,Infinity,100,100,6000,,9530000,,9530000,
641.7,5500,514799500,543149500,28350000,580869500,55355995.8,17891250,0.5,187.5,12.5,Infinity,200,200,19100000,95.5,"2023-02-03T13:05:00.000Z",1675429500000,95.5,95.5,95.5,100,0,0,0.3,,,0,,200,6200,,19100000,19100000,,
641.7,6800,638979500,676889500,37910000,724169500,55355995.8,17891250,3.3,187.5,12.5,14,1400,1300,124180000,95.6,"2023-02-03T13:10:00.000Z",1675429800000,95.6,95.5,95.5,93.3,6.7,0,2.2,0.5,,0.1,100,1500,7700,,143300000,133740000,9560000,
641.7,8100,763339500,801249500,37910000,848529500,55355995.8,17891250,3.3,187.5,12.5,Infinity,1300,1300,124360000,95.7,"2023-02-03T13:20:00.000Z",1675430400000,95.7,95.6,95.6,100,0,0,2,,,0,,1300,9000,,124360000,124360000,,
641.7,9100,858839500,896749500,37910000,944029500,55355995.8,17891250,2.5,187.5,12.5,Infinity,1000,1000,95500000,95.5,"2023-02-03T13:25:00.000Z",1675430700000,95.5,95.5,95.5,100,0,0,1.6,,,0,,1000,10000,,95500000,95500000,,
641.7,9400,887489500,925399500,37910000,972679500,55355995.8,17891250,0.8,187.5,12.5,Infinity,300,300,28650000,95.5,"2023-02-03T13:40:00.000Z",1675431600000,95.5,95.5,95.5,100,0,0,0.5,,,0,,300,10300,,28650000,28650000,,
641.7,8900,839839500,925399500,85560000,1020329500,55355995.8,17891250,-1.3,187.5,12.5,0,,-500,-47650000,95.3,"2023-02-03T13:50:00.000Z",1675432200000,95.3,95.3,95.3,0,100,0,,2.7,,Infinity,500,500,10800,,47650000,,47650000,
