"abu","acum_busd","acum_busd_val","acum_val_bu","acum_val_sd","acum_val","avg_val_bu","avg_val_sd","rbusd","asd","auk","bs","bu","bu-sd","bu-sd_val","c","date","datetime","h","l","o","pbu","psd","puk","rbu","rsd","ruk","sb","sd","sum_vol","total_vol","uk","val","val_bu","val_sd","val_uk"
1012.5,0,0,0,0,3679999.9999999995,21169200,17355750,0,504.2,179.2,NaN,,0,0,36.8,"2023-02-03T09:02:00.000Z",1675414920000,36.8,36.8,36.8,0,0,100,,,0.6,NaN,,100,100,100,3679999.9999999995,,,3679999.9999999995
1012.5,1100,40479999.99999999,47839999.99999999,7359999.999999999,58879999.99999999,21169200,17355750,10.6,504.2,179.2,6.5,1300,1100,40479999.99999999,36.8,"2023-02-03T09:10:00.000Z",1675415400000,36.8,36.8,36.8,86.7,13.3,0,1.3,0.4,,0.2,200,1500,1600,,55199999.99999999,47839999.99999999,7359999.999999999,
1012.5,2900,106360000,113720000,7359999.999999999,124760000,21169200,17355750,17.3,504.2,179.2,Infinity,1800,1800,65880000,36.6,"2023-02-03T09:22:00.000Z",1675416120000,36.6,36.6,36.6,100,0,0,1.8,,,0,,1800,3400,,65880000,65880000,,
1012.5,3000,109980000,117340000,7359999.999999999,128380000,21169200,17355750,0.9,504.2,179.2,Infinity,100,100,3620000.0000000005,36.2,"2023-02-03T10:22:00.000Z",1675419720000,36.2,36.2,36.2,100,0,0,0.1,,,0,,100,3500,,3620000.0000000005,3620000.0000000005,,
1012.5,3200,117220000,124580000,7359999.999999999,135620000,21169200,17355750,1.9,504.2,179.2,Infinity,200,200,7240000.000000001,36.2,"2023-02-03T10:26:00.000Z",1675419960000,36.2,36.2,36.2,100,0,0,0.2,,,0,,200,3700,,7240000.000000001,7240000.000000001,,
1012.5,4200,153420000,160780000,7359999.999999999,171820000,21169200,17355750,9.5,504.2,179.2,Infinity,1000,1000,36200000,36.2,"2023-02-03T10:58:00.000Z",1675421880000,36.2,36.2,36.2,100,0,0,1,,,0,,1000,4700,,36200000,36200000,,
1012.5,6300,229440000,236800000,7359999.999999999,247840000,21169200,17355750,19.9,504.2,179.2,Infinity,2100,2100,76020000,36.2,"2023-02-03T11:10:00.000Z",1675422600000,36.2,36.2,36.2,100,0,0,2.1,,,0,,2100,6800,,76020000,76020000,,
1012.5,6500,236720000,244080000,7359999.999999999,255120000,21169200,17355750,1.9,504.2,179.2,Infinity,200,200,7280000,36.4,"2023-02-03T11:16:00.000Z",1675422960000,36.4,36.4,36.4,100,0,0,0.2,,,0,,200,7000,,7280000,7280000,,
1012.5,3500,128119999.99999999,244080000,115960000.00000001,363720000,21169200,17355750,28.5,504.2,179.2,0,,-3000,-108600000.00000001,36.2,"2023-02-03T11:22:00.000Z",1675423320000,36.2,36.2,36.2,0,100,0,,6,,Infinity,3000,3000,10000,,108600000.00000001,,108600000.00000001,
1012.5,3400,124499999.99999999,244080000,119580000.00000001,367340000,21169200,17355750,0.9,504.2,179.2,0,,-100,-3620000.0000000005,36.2,"2023-02-03T11:24:00.000Z",1675423440000,36.2,36.2,36.2,0,100,0,,0.2,,Infinity,100,100,10100,,3620000.0000000005,,3620000.0000000005,
1012.5,3200,106610799.99999999,244090800,137480000,385250800,21169200,17355750,4.7,504.2,179.2,0.6,300,-200,-17889199.999999996,35.8,"2023-02-03T13:00:00.000Z",1675429200000,36,35.8,36,37.5,62.5,0,0.3,1,,1.7,500,800,10900,,17910799.999999996,10800,17899999.999999996,
