"abu","acum_busd","acum_busd_val","acum_val_bu","acum_val_sd","acum_val","avg_val_bu","avg_val_sd","rbusd","asd","auk","bs","bu","bu-sd","bu-sd_val","c","date","datetime","h","l","o","pbu","psd","puk","rbu","rsd","ruk","sb","sd","sum_vol","total_vol","uk","val","val_bu","val_sd","val_uk"
10111.1,-56700,-219055000,257955000,477010000,734965000,133170555.6,159906191.1,8.2,15113.3,1306.7,0.3,19400,-56700,-219055000,13,"2023-02-06T09:15:00.000Z",1675674900000,13.35,13,13.35,20.3,79.7,0,1.9,5,,3.9,76100,95500,95500,,734965000,257955000,477010000,
10111.1,-88400,-284652100,337560000,622212100,959772100,133170555.6,159906191.1,2.5,15113.3,1306.7,0.2,6100,-31700,-65597100,13,"2023-02-06T09:20:00.000Z",1675675200000,13.05,13,13.05,13.9,86.1,0,0.6,2.5,,6.2,37800,43900,139400,,224807100,79605000,145202100,
10111.1,-51100,206987900,843655000,636667100,1480322100,133170555.6,159906191.1,-18.4,15113.3,1306.7,34.9,38400,37300,491640000,13.15,"2023-02-06T09:25:00.000Z",1675675500000,13.2,13.05,13.05,97.2,2.8,0,3.8,0.1,,0,1100,39500,178900,,520550000,506095000,14455000,
10111.1,-76100,31432100,850215000,818782900,1668997900,133170555.6,159906191.1,6.6,15113.3,1306.7,0,500,-25000,-175555800,13,"2023-02-06T09:30:00.000Z",1675675800000,13.15,13,13.15,1.9,98.1,0,0,1.7,,51,25500,26000,204900,,188675800,6560000,182115800,
10111.1,-75800,189183700,1091640000,902456300,1994096300,133170555.6,159906191.1,-5.9,15113.3,1306.7,1,18500,300,157751600,13,"2023-02-06T09:35:00.000Z",1675676100000,13.05,13,13.05,50.4,49.6,0,1.8,1.2,,1,18200,36700,241600,,325098400,241425000,83673400,
10111.1,-68400,285753700,1330455000,1044701300,2375156300,133170555.6,159906191.1,-3.6,15113.3,1306.7,1.7,18300,7400,96570000,13.05,"2023-02-06T09:40:00.000Z",1675676400000,13.05,13.05,13.05,62.7,37.3,0,1.8,0.7,,0.6,10900,29200,270800,,381060000,238815000,142245000,
10111.1,-23700,869188700,1913890000,1044701300,2958591300,133170555.6,159906191.1,-21.8,15113.3,1306.7,Infinity,44700,44700,583435000,13.05,"2023-02-06T09:45:00.000Z",1675676700000,13.1,13.05,13.1,100,0,0,4.4,,,0,,44700,315500,,583435000,583435000,,
10111.1,600,1188213700,2232915000,1044701300,3277616300,133170555.6,159906191.1,-11.9,15113.3,1306.7,Infinity,24300,24300,319025000,13.15,"2023-02-06T09:50:00.000Z",1675677000000,13.15,13.05,13.05,100,0,0,2.4,,,0,,24300,339800,,319025000,319025000,,
10111.1,29100,1565473700,2614150000,1048676300,3662826300,133170555.6,159906191.1,-14.1,15113.3,1306.7,96,28800,28500,377260000,13.3,"2023-02-06T09:55:00.000Z",1675677300000,13.3,13.2,13.2,99,1,0,2.8,0,,0,300,29100,368900,,385210000,381235000,3975000,
10111.1,26600,1532383700,2638080000,1105696300,3746436300,133170555.6,159906191.1,1.2,15113.3,1306.7,0.4,1800,-2500,-33090000,13.3,"2023-02-06T10:00:00.000Z",1675677600000,13.3,13.25,13.3,28.6,68.3,3.2,0.2,0.3,0.2,2.4,4300,6300,375200,200,83610000,23930000,57020000,2660000
