"abu","acum_busd","acum_busd_val","acum_val_bu","acum_val_sd","acum_val","avg_val_bu","avg_val_sd","rbusd","asd","auk","bs","bu","bu-sd","bu-sd_val","c","date","datetime","h","l","o","pbu","psd","puk","rbu","rsd","ruk","sb","sd","sum_vol","total_vol","uk","val","val_bu","val_sd","val_uk"
1143.3,-2300,-24955000,0,24955000,24955000,10780670,15802000,5,1473.3,23.3,0,,-2300,-24955000,10.85,"2023-02-07T09:15:00.000Z",1675761300000,10.85,10.85,10.85,0,100,0,,1.6,,Infinity,2300,2300,2300,,24955000,,24955000,
1143.3,-3000,-32550000,0,32550000,32550000,10780670,15802000,1.5,1473.3,23.3,0,,-700,-7595000,10.85,"2023-02-07T09:20:00.000Z",1675761600000,10.85,10.85,10.85,0,100,0,,0.5,,Infinity,700,700,3000,,7595000,,7595000,
1143.3,-1700,-18445000,14105000,32550000,46655000,10780670,15802000,-2.8,1473.3,23.3,Infinity,1300,1300,14105000,10.85,"2023-02-07T09:25:00.000Z",1675761900000,10.85,10.85,10.85,100,0,0,1.1,,,0,,1300,4300,,14105000,14105000,,
1143.3,-2900,-31465000,14105000,45570000,59675000,10780670,15802000,2.6,1473.3,23.3,0,,-1200,-13020000,10.85,"2023-02-07T09:30:00.000Z",1675762200000,10.85,10.85,10.85,0,100,0,,0.8,,Infinity,1200,1200,5500,,13020000,,13020000,
1143.3,-2200,-31457300,14112700,45570000,59682700,10780670,15802000,0,1473.3,23.3,Infinity,700,700,7700,11,"2023-02-07T09:35:00.000Z",1675762500000,11,11,11,100,0,0,0.6,,,0,,700,6200,,7700,7700,,
1143.3,-2100,-30362300,15207700,45570000,60777700,10780670,15802000,-0.2,1473.3,23.3,Infinity,100,100,1095000,10.95,"2023-02-07T09:45:00.000Z",1675763100000,10.95,10.95,10.95,100,0,0,0.1,,,0,,100,6300,,1095000,1095000,,
1143.3,-2900,-39042300,17377700,56420000,73797700,10780670,15802000,1.7,1473.3,23.3,0.2,200,-800,-8680000,10.85,"2023-02-07T10:00:00.000Z",1675764000000,10.85,10.85,10.85,16.7,83.3,0,0.2,0.7,,5,1000,1200,7500,,13020000,2170000,10850000,
1143.3,-2000,-29232300,27187700,56420000,83607700,10780670,15802000,-2,1473.3,23.3,Infinity,900,900,9810000,10.9,"2023-02-07T10:05:00.000Z",1675764300000,10.9,10.9,10.9,100,0,0,0.8,,,0,,900,8400,,9810000,9810000,,
1143.3,-1100,-22689000,33731000,56420000,90151000,10780670,15802000,-1.3,1473.3,23.3,Infinity,900,900,6543300,11,"2023-02-07T10:20:00.000Z",1675765200000,11,10.9,10.9,100,0,0,0.8,,,0,,900,9300,,6543300,6543300,,
1143.3,-700,-22684600,33735400,56420000,95605400,10780670,15802000,0,1473.3,23.3,Infinity,400,400,4400,11,"2023-02-07T10:25:00.000Z",1675765500000,11,10.9,10.9,44.4,0,55.6,0.3,,21.5,0,,900,10200,500,5454400,4400,,5450000
