"abu","acum_busd","acum_busd_val","acum_val","asd","auk","bs","bu","bu-sd","bu-sd_val","c","date","datetime","h","l","o","pbu","psd","puk","rbu","rsd","ruk","sb","sd","sum_vol","total_vol","uk","val","val_bu","val_sd","val_uk"
4108.3,600,1980000,1980000,1558.3,0,Infinity,600,600,1980000,3.3,"2023-02-07T09:20:00.000Z",1675761600000,3.3,3.3,3.3,100,0,0,0.1,,,0,,600,600,,1980000,1980000,,
4108.3,3500,11550000,11550000,1558.3,0,Infinity,2900,2900,9570000,3.3,"2023-02-07T09:25:00.000Z",1675761900000,3.3,3.3,3.3,100,0,0,0.7,,,0,,2900,3500,,9570000,9570000,,
4108.3,3300,10890000,12210000,1558.3,0,0,,-200,-660000,3.3,"2023-02-07T09:30:00.000Z",1675762200000,3.3,3.3,3.3,0,100,0,,0.1,,Infinity,200,200,3700,,660000,,660000,
4108.3,300,990000,22110000,1558.3,0,0,,-3000,-9900000,3.3,"2023-02-07T10:00:00.000Z",1675764000000,3.3,3.3,3.3,0,100,0,,1.9,,Infinity,3000,3000,6700,,9900000,,9900000,
4108.3,-5200,-17160000,40260000,1558.3,0,0,,-5500,-18150000,3.3,"2023-02-07T10:20:00.000Z",1675765200000,3.3,3.3,3.3,0,100,0,,3.5,,Infinity,5500,5500,12200,,18150000,,18150000,
4108.3,800,2640000,60060000,1558.3,0,Infinity,6000,6000,19800000,3.3,"2023-02-07T10:30:00.000Z",1675765800000,3.3,3.3,3.3,100,0,0,1.5,,,0,,6000,18200,,19800000,19800000,,
4108.3,34300,113190000,170610000,1558.3,0,Infinity,33500,33500,110550000,3.3,"2023-02-07T10:35:00.000Z",1675766100000,3.3,3.3,3.3,100,0,0,8.2,,,0,,33500,51700,,110550000,110550000,,
4108.3,26000,85800000,209220000,1558.3,0,0.2,1700,-8300,-27390000,3.3,"2023-02-07T10:40:00.000Z",1675766400000,3.3,3.3,3.3,14.5,85.5,0,0.4,6.4,,5.9,10000,11700,63400,,38610000,5610000,33000000,
4108.3,26100,86130000,209550000,1558.3,0,Infinity,100,100,330000,3.3,"2023-02-07T10:45:00.000Z",1675766700000,3.3,3.3,3.3,100,0,0,0,,,0,,100,63500,,330000,330000,,
4108.3,28100,92730000,216150000,1558.3,0,Infinity,2000,2000,6600000,3.3,"2023-02-07T10:50:00.000Z",1675767000000,3.3,3.3,3.3,100,0,0,0.5,,,0,,2000,65500,,6600000,6600000,,
4108.3,28200,93060000,216480000,1558.3,0,Infinity,100,100,330000,3.3,"2023-02-07T10:55:00.000Z",1675767300000,3.3,3.3,3.3,100,0,0,0,,,0,,100,65600,,330000,330000,,
4108.3,30600,100980000,224400000,1558.3,0,Infinity,2400,2400,7920000,3.3,"2023-02-07T11:20:00.000Z",1675768800000,3.3,3.3,3.3,100,0,0,0.6,,,0,,2400,68000,,7920000,7920000,,
