"abu","acum_busd","acum_busd_val","acum_val","asd","auk","bs","bu","bu-sd","bu-sd_val","c","date","datetime","h","l","o","pbu","psd","puk","rbu","rsd","ruk","sb","sd","sum_vol","total_vol","uk","val","val_bu","val_sd","val_uk"
13941.3,-1500,-6283000,77256000,26547.8,460.9,0.5,1600,-1500,-6283000,4.25,"2023-02-07T09:15:00.000Z",1675761300000,4.25,4.22,4.25,8.8,17,74.2,0.1,0.1,29.3,1.9,3100,18200,18200,13500,77256000,6799000,13082000,57375000
13941.3,27300,116527000,249190000,26547.8,460.9,6,34600,28800,122810000,4.29,"2023-02-07T09:20:00.000Z",1675761600000,4.3,4.22,4.25,85.6,14.4,0,2.5,0.2,,0.2,5800,40400,58600,,171934000,147372000,24562000,
13941.3,40500,173217000,373350000,26547.8,460.9,2.8,20600,13200,56690000,4.27,"2023-02-07T09:25:00.000Z",1675761900000,4.29,4.26,4.28,71,25.5,3.4,1.5,0.3,2.2,0.4,7400,29000,87600,1000,124160000,88285000,31595000,4280000
13941.3,45400,194190000,411379000,26547.8,460.9,3.5,6900,4900,20973000,4.26,"2023-02-07T09:30:00.000Z",1675762200000,4.29,4.26,4.27,77.5,22.5,0,0.5,0.1,,0.3,2000,8900,96500,,38029000,29501000,8528000,
13941.3,37600,161007000,509404000,26547.8,460.9,0.5,7600,-7800,-33183000,4.26,"2023-02-07T09:35:00.000Z",1675762500000,4.27,4.26,4.27,33,67,0,0.5,0.6,,2,15400,23000,119500,,98025000,32421000,65604000,
13941.3,18100,77737000.00000001,602046000,26547.8,460.9,0.1,1100,-19500,-83269999.99999999,4.27,"2023-02-07T09:40:00.000Z",1675762800000,4.27,4.25,4.25,5.1,94.9,0,0.1,0.8,,18.7,20600,21700,141200,,92641999.99999999,4686000,87955999.99999999,
13941.3,41900,179694000,710001000,26547.8,460.9,35,24500,23800,101957000,4.28,"2023-02-07T09:45:00.000Z",1675763100000,4.29,4.27,4.27,97.2,2.8,0,1.8,0,,0,700,25200,166400,,107955000,104956000,2999000,
13941.3,34600,148453000,749380000,26547.8,460.9,0.1,700,-7300,-31241000,4.28,"2023-02-07T09:50:00.000Z",1675763400000,4.29,4.28,4.28,7.6,87,5.4,0.1,0.3,1.1,11.4,8000,9200,175600,500,39379000,2999000,34240000,2140000
13941.3,66200,283759000,885542000,26547.8,460.9,317,31700,31600,135306000,4.29,"2023-02-07T09:55:00.000Z",1675763700000,4.29,4.28,4.28,99.7,0.3,0,2.3,0,,0,100,31800,207400,,136162000,135734000,428000,
13941.3,60900,261112000,939935000,26547.8,460.9,0.4,3700,-5300,-22647000,4.29,"2023-02-07T10:00:00.000Z",1675764000000,4.29,4.28,4.29,29.1,70.9,0,0.3,0.3,,2.4,9000,12700,220100,,54393000,15873000,38520000,
13941.3,95400,409304000,1248199000,26547.8,460.9,2.8,53200,34500,148192000,4.29,"2023-02-07T10:05:00.000Z",1675764300000,4.29,4.28,4.29,74,26,0,3.8,0.7,,0.4,18700,71900,292000,,308264000,228228000,80036000,
13941.3,108900,467219000,1372180000,26547.8,460.9,2.8,21200,13500,57915000,4.29,"2023-02-07T10:10:00.000Z",1675764600000,4.29,4.29,4.29,73.4,26.6,0,1.5,0.3,,0.4,7700,28900,320900,,123981000,90948000,33033000,
13941.3,110500,474085000,1381616000,26547.8,460.9,6.3,1900,1600,6866000,4.28,"2023-02-07T10:15:00.000Z",1675764900000,4.29,4.28,4.29,86.4,13.6,0,0.1,0,,0.2,300,2200,323100,,9436000,8151000,1285000,
13941.3,110000,472064000,1485739000,26547.8,460.9,1,11900,-500,-2021000,4.28,"2023-02-07T10:20:00.000Z",1675765200000,4.29,4.28,4.28,49,51,0,0.9,0.5,,1,12400,24300,347400,,104123000,51051000,53072000,
13941.3,86600,371929000,1601316000,26547.8,460.9,0.1,1800,-23400,-100135000,4.28,"2023-02-07T10:25:00.000Z",1675765500000,4.29,4.28,4.28,6.7,93.3,0,0.1,0.9,,14,25200,27000,374400,,115577000,7721000,107856000,
13941.3,75300,323740000,1741097000,26547.8,460.9,0.5,10700,-11300,-48188999.999999985,4.28,"2023-02-07T10:30:00.000Z",1675765800000,4.28,4.27,4.28,32.7,67.3,0,0.8,0.8,,2.1,22000,32700,407100,,139781000,45796000,93984999.99999999,
13941.3,67600,290861000,1773976000,26547.8,460.9,0,,-7700,-32878999.999999993,4.27,"2023-02-07T10:35:00.000Z",1675766100000,4.27,4.27,4.27,0,100,0,,0.3,,Infinity,7700,7700,414800,,32878999.999999993,,32878999.999999993,
13941.3,39600,171366000.00000003,1949111000,26547.8,460.9,0.2,6500,-28000,-119494999.99999997,4.28,"2023-02-07T10:40:00.000Z",1675766400000,4.28,4.27,4.27,15.9,84.1,0,0.5,1.3,,5.3,34500,41000,455800,,175134999.99999997,27820000,147314999.99999997,
13941.3,28100,122286000.00000004,2019591000,26547.8,460.9,0.2,2500,-11500,-49079999.999999985,4.27,"2023-02-07T10:45:00.000Z",1675766700000,4.28,4.27,4.28,15.2,84.8,0,0.2,0.5,,5.6,14000,16500,472300,,70480000,10700000,59779999.999999985,
13941.3,-10100,-40827999.999999925,2194661000,26547.8,460.9,0,1400,-38200,-163113999.99999997,4.27,"2023-02-07T10:50:00.000Z",1675767000000,4.27,4.27,4.27,3.4,96.6,0,0.1,1.5,,28.3,39600,41000,513300,,175069999.99999997,5977999.999999999,169091999.99999997,
13941.3,-35900,-150711999.99999994,2325041000,26547.8,460.9,0.1,2400,-25800,-109884000,4.26,"2023-02-07T10:55:00.000Z",1675767300000,4.27,4.26,4.27,7.8,92.2,0,0.2,1.1,,11.8,28200,30600,543900,,130380000,10247999.999999998,120132000,
13941.3,-131500,-557069000,2731398000,26547.8,460.9,0,,-95600,-406357000,4.25,"2023-02-07T11:00:00.000Z",1675767600000,4.26,4.25,4.26,0,100,0,,3.6,,Infinity,95600,95600,639500,,406357000,,406357000,
13941.3,-137000,-580389000,2758958000,26547.8,460.9,0.1,500,-5500,-23320000,4.24,"2023-02-07T11:05:00.000Z",1675767900000,4.24,4.24,4.24,7.7,92.3,0,0,0.2,,12,6000,6500,646000,,27560000,2120000,25440000,
13941.3,-130700,-553677000,2786518000,26547.8,460.9,64,6400,6300,26712000,4.24,"2023-02-07T11:10:00.000Z",1675768200000,4.24,4.24,4.24,98.5,1.5,0,0.5,0,,0,100,6500,652500,,27560000,27136000,424000,
13941.3,-128000,-542194000,2804785000,26547.8,460.9,4.4,3500,2700,11483000,4.25,"2023-02-07T11:15:00.000Z",1675768500000,4.25,4.24,4.24,81.4,18.6,0,0.3,0,,0.2,800,4300,656800,,18267000,14875000,3392000,
13941.3,-129000,-546433000,2809874000,26547.8,460.9,0.1,100,-1000,-4239000,4.24,"2023-02-07T11:20:00.000Z",1675768800000,4.25,4.24,4.25,8.3,91.7,0,0,0,,11,1100,1200,658000,,5089000,425000,4664000,
13941.3,-164500,-696538000,2960402000,26547.8,460.9,0,,-35500,-150105000,4.22,"2023-02-07T11:25:00.000Z",1675769100000,4.24,4.22,4.24,0,99.7,0.3,,1.3,0.2,Infinity,35500,35600,693600,100,150528000,,150105000,423000.00000000006
13941.3,-192700,-815523000,3084459000,26547.8,460.9,0,600,-28200,-118985000,4.22,"2023-02-07T13:00:00.000Z",1675774800000,4.25,4.21,4.22,2,98,0,0,1.1,,48,28800,29400,723000,,124057000,2536000,121521000,
13941.3,-216900,-917366000,3234342000,26547.8,460.9,0.2,5600,-24200,-101843000,4.21,"2023-02-07T13:05:00.000Z",1675775100000,4.22,4.2,4.21,15.7,83.7,0.6,0.4,1.1,0.4,5.3,29800,35600,758600,200,149883000,23599000,125442000,842000
13941.3,-193900,-820531000,3335377000,26547.8,460.9,47,23500,23000,96835000,4.21,"2023-02-07T13:10:00.000Z",1675775400000,4.21,4.2,4.2,97.9,2.1,0,1.7,0,,0,500,24000,782600,,101035000,98935000,2100000,
13941.3,-182400,-772062000,3447730000,26547.8,460.9,2.5,19100,11500,48469000,4.21,"2023-02-07T13:15:00.000Z",1675775700000,4.21,4.2,4.21,71.5,28.5,0,1.4,0.3,,0.4,7600,26700,809300,,112353000,80411000,31942000,
13941.3,-195700,-827825000,3585167000,26547.8,460.9,0.4,9700,-13300,-55763000,4.21,"2023-02-07T13:20:00.000Z",1675776000000,4.21,4.2,4.2,29.7,70.3,0,0.7,0.9,,2.4,23000,32700,842000,,137437000,40837000,96600000,
13941.3,-190600,-806246000,3692542000,26547.8,460.9,1.5,15300,5100,21579000,4.21,"2023-02-07T13:25:00.000Z",1675776300000,4.22,4.2,4.21,60,40,0,1.1,0.4,,0.7,10200,25500,867500,,107375000,64477000,42898000,
13941.3,-209000,-883698000,3791489000,26547.8,460.9,0.1,1900,-18400,-77452000,4.21,"2023-02-07T13:30:00.000Z",1675776600000,4.22,4.21,4.21,8.1,86.4,5.5,0.1,0.8,2.8,10.7,20300,23500,891000,1300,98947000,8011000,85463000,5473000
