"abu","acum_busd","acum_busd_val","acum_val","asd","auk","bs","bu","bu-sd","bu-sd_val","c","date","datetime","h","l","o","pbu","psd","puk","rbu","rsd","ruk","sb","sd","sum_vol","total_vol","uk","val","val_bu","val_sd","val_uk"
1379.3,22200,407680000,462420000,1251.7,151.7,Infinity,22200,22200,407680000,18.3,"2023-02-07T09:10:00.000Z",1675761000000,18.4,18.1,18.1,88.1,0,11.9,16.1,,19.8,0,,25200,25200,3000,462420000,407680000,,54740000
1379.3,21700,398580000,507620000,1251.7,151.7,0.5,500,-500,-9100000,18,"2023-02-07T09:30:00.000Z",1675762200000,18.1,18,18.1,20,40,40,0.4,0.8,6.6,2,1000,2500,27700,1000,45200000,9000000,18100000,18100000
1379.3,22200,407580000,516620000,1251.7,151.7,Infinity,500,500,9000000,18,"2023-02-07T09:45:00.000Z",1675763100000,18,18,18,100,0,0,0.4,,,0,,500,28200,,9000000,9000000,,
1379.3,23200,425580000,534620000,1251.7,151.7,Infinity,1000,1000,18000000,18,"2023-02-07T09:50:00.000Z",1675763400000,18,18,18,100,0,0,0.7,,,0,,1000,29200,,18000000,18000000,,
1379.3,29300,534770000,643810000,1251.7,151.7,Infinity,6100,6100,109189999.99999999,17.9,"2023-02-07T10:15:00.000Z",1675764900000,17.9,17.9,17.9,100,0,0,4.4,,,0,,6100,35300,,109189999.99999999,109189999.99999999,,
1379.3,26500,484930000,693650000,1251.7,151.7,0,,-2800,-49840000,17.8,"2023-02-07T10:20:00.000Z",1675765200000,17.8,17.8,17.8,0,100,0,,2.2,,Infinity,2800,2800,38100,,49840000,,49840000,
1379.3,26600,486710000,695430000,1251.7,151.7,Infinity,100,100,1780000,17.8,"2023-02-07T10:25:00.000Z",1675765500000,17.8,17.8,17.8,100,0,0,0.1,,,0,,100,38200,,1780000,1780000,,
1379.3,22800,419550000,798190000,1251.7,151.7,0.2,1000,-3800,-67160000,17.7,"2023-02-07T10:35:00.000Z",1675766100000,17.8,17.7,17.8,17.2,82.8,0,0.7,3.8,,4.8,4800,5800,44000,,102760000,17800000,84960000,
1379.3,22900,421320000,799960000,1251.7,151.7,Infinity,100,100,1770000,17.7,"2023-02-07T10:40:00.000Z",1675766400000,17.7,17.7,17.7,100,0,0,0.1,,,0,,100,44100,,1770000,1770000,,
1379.3,23600,433710000,812350000,1251.7,151.7,Infinity,700,700,12390000,17.7,"2023-02-07T10:50:00.000Z",1675767000000,17.7,17.7,17.7,100,0,0,0.5,,,0,,700,44800,,12390000,12390000,,
1379.3,23800,437250000,815890000,1251.7,151.7,Infinity,200,200,3540000,17.7,"2023-02-07T10:55:00.000Z",1675767300000,17.7,17.7,17.7,100,0,0,0.1,,,0,,200,45000,,3540000,3540000,,
1379.3,23900,439020000,817660000,1251.7,151.7,Infinity,100,100,1770000,17.7,"2023-02-07T11:00:00.000Z",1675767600000,17.7,17.7,17.7,100,0,0,0.1,,,0,,100,45100,,1770000,1770000,,
1379.3,24100,442560000,849520000,1251.7,151.7,1.3,1000,200,3540000,17.7,"2023-02-07T11:05:00.000Z",1675767900000,17.7,17.7,17.7,55.6,44.4,0,0.7,0.6,,0.8,800,1800,46900,,31860000,17700000,14160000,
1379.3,24000,440790000,851290000,1251.7,151.7,0,,-100,-1770000,17.7,"2023-02-07T13:10:00.000Z",1675775400000,17.7,17.7,17.7,0,100,0,,0.1,,Infinity,100,100,47000,,1770000,,1770000,
1379.3,23800,437250000,854830000,1251.7,151.7,0,,-200,-3540000,17.7,"2023-02-07T13:15:00.000Z",1675775700000,17.7,17.7,17.7,0,100,0,,0.2,,Infinity,200,200,47200,,3540000,,3540000,
1379.3,22100,407360000,895340000,1251.7,151.7,0.2,300,-1700,-29890000,17.7,"2023-02-07T13:20:00.000Z",1675776000000,17.7,17.6,17.6,13,87,0,0.2,1.6,,6.7,2000,2300,49500,,40510000,5310000,35200000,
1379.3,21200,391580000,932360000,1251.7,151.7,0.4,600,-900,-15780000.000000004,17.7,"2023-02-07T13:25:00.000Z",1675776300000,17.7,17.6,17.6,28.6,71.4,0,0.4,1.2,,2.5,1500,2100,51600,,37020000,10620000,26400000.000000004,
1379.3,16600,310570000,1013370000,1251.7,151.7,0,,-4600,-81010000,17.6,"2023-02-07T13:30:00.000Z",1675776600000,17.7,17.6,17.7,0,100,0,,3.7,,Infinity,4600,4600,56200,,81010000,,81010000,
1379.3,15700,294730000,1029210000,1251.7,151.7,0,,-900,-15840000.000000002,17.6,"2023-02-07T13:35:00.000Z",1675776900000,17.6,17.6,17.6,0,100,0,,0.7,,Infinity,900,900,57100,,15840000.000000002,,15840000.000000002,
1379.3,15600,292960000,1030980000,1251.7,151.7,0,,-100,-1770000,17.7,"2023-02-07T13:40:00.000Z",1675777200000,17.7,17.7,17.7,0,100,0,,0.1,,Infinity,100,100,57200,,1770000,,1770000,
1379.3,15500,291190000,1032750000,1251.7,151.7,0,,-100,-1770000,17.7,"2023-02-07T13:45:00.000Z",1675777500000,17.7,17.7,17.7,0,100,0,,0.1,,Infinity,100,100,57300,,1770000,,1770000,
1379.3,17800,332130000,1073690000,1251.7,151.7,Infinity,2300,2300,40940000,17.8,"2023-02-07T13:50:00.000Z",1675777800000,17.8,17.8,17.8,100,0,0,1.7,,,0,,2300,59600,,40940000,40940000,,
1379.3,17800,332230000,1109190000,1251.7,151.7,1,1000,0,100000,17.8,"2023-02-07T13:55:00.000Z",1675778100000,17.8,17.7,17.7,50,50,0,0.7,0.8,,1,1000,2000,61600,,35500000,17800000,17700000,
1379.3,14000,264970000,1176450000,1251.7,151.7,0,,-3800,-67260000,17.7,"2023-02-07T14:10:00.000Z",1675779000000,17.7,17.7,17.7,0,100,0,,3,,Infinity,3800,3800,65400,,67260000,,67260000,
1379.3,9000,176770000,1264650000,1251.7,151.7,0,,-5000,-88200000,17.6,"2023-02-07T14:15:00.000Z",1675779300000,17.7,17.6,17.7,0,100,0,,4,,Infinity,5000,5000,70400,,88200000,,88200000,
1379.3,6500,133020000,1315440000,1251.7,151.7,0,,-2500,-43750000,17.5,"2023-02-07T14:25:00.000Z",1675779900000,17.6,17.5,17.6,0,86.2,13.8,,2,2.6,Infinity,2500,2900,73300,400,50790000,,43750000,7040000.000000001
1379.3,1500,45540000,1406460000,1251.7,151.7,0,100,-5000,-87480000,17.5,"2023-02-07T14:30:00.000Z",1675780200000,17.7,17.5,17.5,1.9,98.1,0,0.1,4.1,,51,5100,5200,78500,,91020000,1770000,89250000,
1379.3,3500,81140000,1442060000,1251.7,151.7,Infinity,2000,2000,35600000,17.8,"2023-02-07T14:40:00.000Z",1675780800000,17.8,17.8,17.8,100,0,0,1.5,,,0,,2000,80500,,35600000,35600000,,
1379.3,3700,84680000,1445600000,1251.7,151.7,Infinity,200,200,3540000,17.7,"2023-02-07T14:55:00.000Z",1675781700000,17.7,17.7,17.7,100,0,0,0.1,,,0,,200,80700,,3540000,3540000,,
