"abu","acum_busd","acum_busd_val","acum_val","asd","auk","bs","bu","bu-sd","bu-sd_val","c","date","datetime","h","l","o","pbu","psd","puk","rbu","rsd","ruk","sb","sd","sum_vol","total_vol","uk","val","val_bu","val_sd","val_uk"
815.4,3200,32480000,32480000,453.8,15.4,Infinity,3200,3200,32480000,10.15,"2023-02-08T09:14:00.000Z",1675847640000,10.15,10.15,10.15,100,0,0,3.9,,,0,,3200,3200,,32480000,32480000,,
815.4,3100,31481000,33479000,453.8,15.4,0,,-100,-999000,9.99,"2023-02-08T09:32:00.000Z",1675848720000,9.99,9.99,9.99,0,100,0,,0.2,,Infinity,100,100,3300,,999000,,999000,
815.4,3600,31486000,33484000,453.8,15.4,Infinity,500,500,5000,10,"2023-02-08T09:54:00.000Z",1675850040000,10,10,10,100,0,0,0.6,,,0,,500,3800,,5000,5000,,
815.4,5800,31508000,33506000,453.8,15.4,Infinity,2200,2200,22000,10,"2023-02-08T10:00:00.000Z",1675850400000,10,10,10,100,0,0,2.7,,,0,,2200,6000,,22000,22000,,
815.4,4800,31498000,33516000,453.8,15.4,0,,-1000,-10000,10,"2023-02-08T10:02:00.000Z",1675850520000,10,10,10,0,100,0,,2.2,,Infinity,1000,1000,7000,,10000,,10000,
815.4,5000,23478000,45596000,453.8,15.4,1.2,1200,200,-8020000,10.1,"2023-02-08T10:04:00.000Z",1675850640000,10.1,10,10,54.5,45.5,0,1.5,2.2,,0.8,1000,2200,9200,,12080000,2030000,10050000,
815.4,4000,13428000,55646000,453.8,15.4,0,,-1000,-10050000,10.05,"2023-02-08T10:34:00.000Z",1675852440000,10.05,10.05,10.05,0,100,0,,2.2,,Infinity,1000,1000,10200,,10050000,,10050000,
815.4,2200,-4662000,73736000,453.8,15.4,0,,-1800,-18090000,10.05,"2023-02-08T11:00:00.000Z",1675854000000,10.05,10.05,10.05,0,100,0,,4,,Infinity,1800,1800,12000,,18090000,,18090000,
815.4,1000,-16722000,85796000,453.8,15.4,0,,-1200,-12060000,10.05,"2023-02-08T11:04:00.000Z",1675854240000,10.05,10.05,10.05,0,100,0,,2.6,,Infinity,1200,1200,13200,,12060000,,12060000,
815.4,700,-16725000,85799000,453.8,15.4,0,,-300,-3000,10,"2023-02-08T11:28:00.000Z",1675855680000,10,10,10,0,100,0,,0.7,,Infinity,300,300,13500,,3000,,3000,
815.4,1100,-20713000,89803000,453.8,15.4,2,800,400,-3988000,10,"2023-02-08T13:00:00.000Z",1675861200000,10,9.99,9.99,66.7,33.3,0,1,0.9,,0.5,400,1200,14700,,4004000,8000,3996000,
815.4,3900,-20685000,89831000,453.8,15.4,Infinity,2800,2800,28000,10,"2023-02-08T13:04:00.000Z",1675861440000,10,10,10,100,0,0,3.4,,,0,,2800,17500,,28000,28000,,
815.4,4900,-20675000,89841000,453.8,15.4,Infinity,1000,1000,10000,10,"2023-02-08T13:08:00.000Z",1675861680000,10,10,10,100,0,0,1.2,,,0,,1000,18500,,10000,10000,,
815.4,900,-60527000,129693000,453.8,15.4,0,,-4000,-39852000,9.96,"2023-02-08T13:20:00.000Z",1675862400000,9.99,9.96,9.99,0,100,0,,8.8,,Infinity,4000,4000,22500,,39852000,,39852000,
815.4,1000,-59528000,130692000,453.8,15.4,Infinity,100,100,999000,9.99,"2023-02-08T13:36:00.000Z",1675863360000,9.99,9.99,9.99,100,0,0,0.1,,,0,,100,22600,,999000,999000,,
815.4,4000,-29558000,160662000,453.8,15.4,Infinity,3000,3000,29970000,9.99,"2023-02-08T13:40:00.000Z",1675863600000,9.99,9.99,9.99,100,0,0,3.7,,,0,,3000,25600,,29970000,29970000,,
815.4,4200,-27560000,162660000,453.8,15.4,Infinity,200,200,1998000,9.99,"2023-02-08T13:42:00.000Z",1675863720000,9.99,9.99,9.99,100,0,0,0.2,,,0,,200,25800,,1998000,1998000,,
815.4,4300,-26561000,163659000,453.8,15.4,Infinity,100,100,999000,9.99,"2023-02-08T13:44:00.000Z",1675863840000,9.99,9.99,9.99,100,0,0,0.1,,,0,,100,25900,,999000,999000,,
815.4,5200,-17570000,172650000,453.8,15.4,Infinity,900,900,8991000,9.99,"2023-02-08T13:52:00.000Z",1675864320000,9.99,9.99,9.99,100,0,0,1.1,,,0,,900,26800,,8991000,8991000,,
815.4,4200,-27560000,182640000,453.8,15.4,0,,-1000,-9990000,9.99,"2023-02-08T13:56:00.000Z",1675864560000,9.99,9.99,9.99,0,100,0,,2.2,,Infinity,1000,1000,27800,,9990000,,9990000,
815.4,7400,-27528000,182672000,453.8,15.4,Infinity,3200,3200,32000,10,"2023-02-08T14:02:00.000Z",1675864920000,10,10,10,100,0,0,3.9,,,0,,3200,31000,,32000,32000,,
815.4,8400,-27518000,182682000,453.8,15.4,Infinity,1000,1000,10000,10,"2023-02-08T14:08:00.000Z",1675865280000,10,10,10,100,0,0,1.2,,,0,,1000,32000,,10000,10000,,
815.4,8600,-27516000,182684000,453.8,15.4,Infinity,200,200,2000,10,"2023-02-08T14:10:00.000Z",1675865400000,10,10,10,100,0,0,0.2,,,0,,200,32200,,2000,2000,,
815.4,8900,-24501000,185699000,453.8,15.4,Infinity,300,300,3015000,10.05,"2023-02-08T14:12:00.000Z",1675865520000,10.05,10.05,10.05,100,0,0,0.4,,,0,,300,32500,,3015000,3015000,,
815.4,9400,-19476000,190724000,453.8,15.4,Infinity,500,500,5025000,10.05,"2023-02-08T14:22:00.000Z",1675866120000,10.05,10.05,10.05,100,0,0,0.6,,,0,,500,33000,,5025000,5025000,,
815.4,9400,-19476000,194744000,453.8,15.4,NaN,,0,0,10.05,"2023-02-08T14:44:00.000Z",1675867440000,10.05,10.05,10.05,0,0,100,,,26,NaN,,400,33400,400,4020000.0000000005,,,4020000.0000000005
