"abu","acum_busd","acum_busd_val","acum_val_bu","acum_val_sd","acum_val","avg_val_bu","avg_val_sd","rbusd","asd","auk","bs","bu","bu-sd","bu-sd_val","c","date","datetime","h","l","o","pbu","psd","puk","rbu","rsd","ruk","sb","sd","sum_vol","total_vol","uk","val","val_bu","val_sd","val_uk"
435.3,-200,-6400,0,6400,6400,14118823.5,12007270.6,0,947.1,70.6,0,,-200,-6400,32,"2023-02-08T10:30:00.000Z",1675852200000,32,32,32,0,100,0,,0.2,,Infinity,200,200,200,,6400,,6400,
435.3,0,6493600,6500000,6400,6506400,14118823.5,12007270.6,3.1,947.1,70.6,Infinity,200,200,6500000,32.5,"2023-02-08T10:55:00.000Z",1675853700000,32.5,32.5,32.5,100,0,0,0.5,,,0,,200,400,,6500000,6500000,,
435.3,800,32493600,48750000,16256400,65006400,14118823.5,12007270.6,12.3,947.1,70.6,2.6,1300,800,26000000,32.5,"2023-02-08T11:00:00.000Z",1675854000000,32.5,32.5,32.5,72.2,27.8,0,3,0.5,,0.4,500,1800,2200,,58500000,42250000,16250000,
435.3,800,32493600,48750000,16256400,71506400,14118823.5,12007270.6,0,947.1,70.6,NaN,,0,0,32.5,"2023-02-08T11:10:00.000Z",1675854600000,32.5,32.5,32.5,0,0,100,,,2.8,NaN,,200,2400,200,6500000,,,6500000
435.3,500,22713600,48750000,26036400,81286400,14118823.5,12007270.6,-4.6,947.1,70.6,0,,-300,-9780000,32.6,"2023-02-08T11:25:00.000Z",1675855500000,32.6,32.6,32.6,0,100,0,,0.3,,Infinity,300,300,2700,,9780000,,9780000,
435.3,-2500,-74156399.99999999,52010000,126166399.99999999,184676400,14118823.5,12007270.6,-45.9,947.1,70.6,0,100,-3000,-96869999.99999999,32.3,"2023-02-08T13:05:00.000Z",1675861500000,32.6,32.3,32.6,3.1,96.9,0,0.2,3.3,,31,3100,3200,5900,,103389999.99999999,3260000,100129999.99999999,
435.3,-6700,-61383599.999999985,64930000,126313599.99999999,197743600,14118823.5,12007270.6,6,947.1,70.6,0.1,400,-4200,12772799.999999998,32,"2023-02-08T13:10:00.000Z",1675861800000,32.3,32,32.3,8,92,0,0.9,4.9,,11.5,4600,5000,10900,,13067199.999999998,12919999.999999998,147200,
435.3,-11700,-61543599.999999985,64930000,126473599.99999999,197903600,14118823.5,12007270.6,-0.1,947.1,70.6,0,,-5000,-160000,32,"2023-02-08T13:15:00.000Z",1675862100000,32,32,32,0,100,0,,5.3,,Infinity,5000,5000,15900,,160000,,160000,
435.3,-11600,-58323599.999999985,68150000,126473599.99999999,201123600,14118823.5,12007270.6,1.5,947.1,70.6,Infinity,100,100,3220000.0000000005,32.2,"2023-02-08T13:20:00.000Z",1675862400000,32.2,32.2,32.2,100,0,0,0.2,,,0,,100,16000,,3220000.0000000005,3220000.0000000005,,
435.3,-10700,-29343599.99999998,97130000,126473599.99999999,230103600,14118823.5,12007270.6,13.7,947.1,70.6,Infinity,900,900,28980000.000000004,32.2,"2023-02-08T13:25:00.000Z",1675862700000,32.2,32.2,32.2,100,0,0,2.1,,,0,,900,16900,,28980000.000000004,28980000.000000004,,
435.3,-10200,-13203599.999999983,113270000,126473599.99999999,246243600,14118823.5,12007270.6,7.6,947.1,70.6,Infinity,500,500,16139999.999999998,32.3,"2023-02-08T13:45:00.000Z",1675863900000,32.3,32.2,32.2,100,0,0,1.1,,,0,,500,17400,,16139999.999999998,16139999.999999998,,
435.3,-11300,-48733599.999999985,113270000,162003600,281773600,14118823.5,12007270.6,-16.8,947.1,70.6,0,,-1100,-35530000,32.3,"2023-02-08T13:50:00.000Z",1675864200000,32.3,32.3,32.3,0,100,0,,1.2,,Infinity,1100,1100,18500,,35530000,,35530000,
435.3,-10800,-32483599.999999985,129520000,162003600,298023600,14118823.5,12007270.6,7.7,947.1,70.6,Infinity,500,500,16250000,32.5,"2023-02-08T14:05:00.000Z",1675865100000,32.5,32.5,32.5,100,0,0,1.1,,,0,,500,19000,,16250000,16250000,,
435.3,-10300,-16233599.999999985,145770000,162003600,314273600,14118823.5,12007270.6,7.7,947.1,70.6,Infinity,500,500,16250000,32.5,"2023-02-08T14:10:00.000Z",1675865400000,32.5,32.5,32.5,100,0,0,1.1,,,0,,500,19500,,16250000,16250000,,
435.3,-11600,-58353599.999999985,145770000,204123600,372643600,14118823.5,12007270.6,-19.9,947.1,70.6,0,,-1300,-42120000,32.4,"2023-02-08T14:20:00.000Z",1675866000000,32.5,32.4,32.5,0,72.2,27.8,,1.4,7.1,Infinity,1300,1800,21300,500,58370000,,42120000,16250000
435.3,-10400,-19523599.999999985,184600000,204123600,427623600,14118823.5,12007270.6,18.4,947.1,70.6,Infinity,1200,1200,38830000,32.3,"2023-02-08T14:25:00.000Z",1675866300000,32.4,32.3,32.4,70.6,0,29.4,2.8,,7.1,0,,1700,23000,500,54980000,38830000,,16149999.999999998
435.3,-8700,35896400.000000015,240020000,204123600,483043600,14118823.5,12007270.6,26.2,947.1,70.6,Infinity,1700,1700,55420000,32.6,"2023-02-08T14:45:00.000Z",1675867500000,32.6,32.6,32.6,100,0,0,3.9,,,0,,1700,24700,,55420000,55420000,,
