"abu","acum_busd","acum_busd_val","acum_val_bu","acum_val_sd","acum_val","avg_val_bu","avg_val_sd","rbusd","asd","auk","bs","bu","bu-sd","bu-sd_val","c","date","datetime","h","l","o","pbu","psd","puk","rbu","rsd","ruk","sb","sd","sum_vol","total_vol","uk","val","val_bu","val_sd","val_uk"
2408.8,-1300,-18330000,0,18330000,18332800,35389117.6,21159705.9,-1.3,1479.4,105.9,0,,-1300,-18330000,14.1,"2023-02-09T09:10:00.000Z",1675933800000,14.1,14,14,0,86.7,13.3,,0.9,1.9,Infinity,1300,1500,1500,200,18332800,,18330000,2800
2408.8,-1500,-21150000,0,21150000,23992800,35389117.6,21159705.9,-0.2,1479.4,105.9,0,,-200,-2820000,14.1,"2023-02-09T09:15:00.000Z",1675934100000,14.2,14.1,14.2,0,50,50,,0.1,1.9,Infinity,200,400,1900,200,5660000,,2820000,2840000
2408.8,-8100,-114110000,32530000,146640000,182012800,35389117.6,21159705.9,-6.5,1479.4,105.9,0.3,2300,-6600,-92960000,14.1,"2023-02-09T09:30:00.000Z",1675935000000,14.2,14.1,14.1,20.5,79.5,0,1,6,,3.9,8900,11200,13100,,158020000,32530000,125490000,
2408.8,-7100,-100010000,46630000,146640000,196112800,35389117.6,21159705.9,1,1479.4,105.9,Infinity,1000,1000,14100000,14.1,"2023-02-09T09:35:00.000Z",1675935300000,14.1,14.1,14.1,100,0,0,0.4,,,0,,1000,14100,,14100000,14100000,,
2408.8,-7000,-98600000,48040000,146640000,197522800,35389117.6,21159705.9,0.1,1479.4,105.9,Infinity,100,100,1410000,14.1,"2023-02-09T09:40:00.000Z",1675935600000,14.1,14.1,14.1,100,0,0,0,,,0,,100,14200,,1410000,1410000,,
2408.8,-7800,-109780000,62280000,172060000,237182800,35389117.6,21159705.9,-0.8,1479.4,105.9,0.6,1000,-800,-11180000,14.3,"2023-02-09T09:45:00.000Z",1675935900000,14.3,14.1,14.1,35.7,64.3,0,0.4,1.2,,1.8,1800,2800,17000,,39660000,14240000,25420000,
2408.8,-10400,-147140000,70880000,218020000,291742800,35389117.6,21159705.9,-2.6,1479.4,105.9,0.2,600,-2600,-37360000,14.5,"2023-02-09T09:50:00.000Z",1675936200000,14.5,14.3,14.3,15.8,84.2,0,0.2,2.2,,5.3,3200,3800,20800,,54560000,8600000,45960000,
2408.8,-4600,-62820000,158120000,220940000,381902800,35389117.6,21159705.9,5.9,1479.4,105.9,30,6000,5800,84320000,14.6,"2023-02-09T09:55:00.000Z",1675936500000,14.6,14.5,14.5,96.8,3.2,0,2.5,0.1,,0,200,6200,27000,,90160000,87240000,2920000,
2408.8,-7500,-105100000,161040000,266140000,430022800,35389117.6,21159705.9,-3,1479.4,105.9,0.1,200,-2900,-42280000,14.7,"2023-02-09T10:00:00.000Z",1675936800000,14.7,14.5,14.6,6.1,93.9,0,0.1,2.1,,15.5,3100,3300,30300,,48120000,2920000,45200000,
2408.8,24900,377390000,662770000,285380000,950992800,35389117.6,21159705.9,33.9,1479.4,105.9,25.9,33700,32400,482490000,14.8,"2023-02-09T10:05:00.000Z",1675937100000,14.9,14.7,14.7,96.3,3.7,0,14,0.9,,0,1300,35000,65300,,520970000,501730000,19240000,
